"Town","Gross Residential Grand List","Gross Commercial Grand List","Gross Industrial Grand List","Total Gross Grand List","Year"
"Hampton",58282310,1548020,404410,77317251,"SFY 2000-2001"
"Hartford",888874982,1212819051,77345730,3579845484,"SFY 2000-2001"
"Hartland",84774180,442900,106350,117621170,"SFY 2000-2001"
"Harwinton",243844660,7221140,1275440,311149246,"SFY 2000-2001"
"Hebron",332148680,11042890,442520,412425228,"SFY 2000-2001"
"Kent",233885130,31395600,0,300477912,"SFY 2000-2001"
"Killingly",297415410,54058365,63243185,617837121,"SFY 2000-2001"
"Killingworth",288114334,8318270,395010,354765058,"SFY 2000-2001"
"Lebanon",241908860,7687800,1743730,319423691,"SFY 2000-2001"
"Ledyard",426197450,32543630,9322670,616352123,"SFY 2000-2001"
"Lisbon",120305120,8647750,188230,187233546,"SFY 2000-2001"
"Litchfield",431509516,66211186,7396022,616980707,"SFY 2000-2001"
"Lyme",229860600,2512800,0,272470790,"SFY 2000-2001"
"Madison",1189514330,70209800,2108400,1440084300,"SFY 2000-2001"
"Manchester",1583943750,599461240,176551990,2928058836,"SFY 2000-2001"
"Mansfield",363210470,33723600,992250,515586278,"SFY 2000-2001"
"Marlborough",232391370,14106460,2973090,293147627,"SFY 2000-2001"
"Meriden",1140720540,295453790,76546320,2012198635,"SFY 2000-2001"
"Middlebury",332783179,29469454,40762005,503705168,"SFY 2000-2001"
"Middlefield",168752990,11728960,14688390,242047100,"SFY 2000-2001"
"Middletown",914611123,273991795,74529260,2064814453,"SFY 2000-2001"
"Milford",1856075571,423587920,146267310,3219861708,"SFY 2000-2001"
"Monroe",1054384310,71757410,18678290,1376828590,"SFY 2000-2001"
"Montville",442186540,45829290,34381600,804322056,"SFY 2000-2001"
"Morris",128437150,9200830,1399100,180560643,"SFY 2000-2001"
"Naugatuck",302555130,41275680,38571130,632948670,"SFY 2000-2001"
"New Britain",856541335,166488630,49431360,1541337366,"SFY 2000-2001"
"New Canaan",2679274240,179375690,1948730,3131843320,"SFY 2000-2001"
"New Fairfield",762070975,18338150,3263550,916248235,"SFY 2000-2001"
"New Hartford",226152430,18126080,12115390,380533227,"SFY 2000-2001"
"New Haven",1721469577,1204179036,163783284,3879505506,"SFY 2000-2001"
"Newington",1018035511,256715040,95779180,1726624702,"SFY 2000-2001"
"New London",391312180,206057150,4507860,820598548,"SFY 2000-2001"
"New Milford",951880840,127834350,68779210,1539554215,"SFY 2000-2001"
"Newtown",1324274480,101895960,44473730,1747823534,"SFY 2000-2001"
"Norfolk",112828910,7582990,0,160709590,"SFY 2000-2001"
"North Branford",470934100,44942450,31767960,676401455,"SFY 2000-2001"
"North Canaan",88300410,20743060,18403970,208173690,"SFY 2000-2001"
"North Haven",959275704,265813211,263045950,1999144928,"SFY 2000-2001"
"North Stonington",222258154,21041060,8791650,321418257,"SFY 2000-2001"
"Norwalk",2430404526,742944264,137186179,4292921220,"SFY 2000-2001"
"Norwich",648936951,176072900,35227400,1159102459,"SFY 2000-2001"
"Old Lyme",696204964,38063890,9596420,838164487,"SFY 2000-2001"
"Old Saybrook",761601104,141942840,9394650,1093676004,"SFY 2000-2001"
"Orange",781480090,247863860,51552575,1262790296,"SFY 2000-2001"
"Oxford",371015596,9405300,23478160,507365719,"SFY 2000-2001"
"Plainfield",280090060,46556900,34132000,497391250,"SFY 2000-2001"
"Plainville",497758140,156719660,70291130,926645030,"SFY 2000-2001"
"Plymouth",319847400,21922540,18477050,458347515,"SFY 2000-2001"
"Pomfret",127553972,13170942,3647703,186708772,"SFY 2000-2001"
"Portland",310802140,36943710,19495950,455249458,"SFY 2000-2001"
"Preston",149939300,9687000,1012400,202970149,"SFY 2000-2001"
"Prospect",295840917,19055091,9744330,403379891,"SFY 2000-2001"
"Putnam",161080000,50274000,29732000,340695192,"SFY 2000-2001"
"Redding",809218650,36410760,5417650,950636882,"SFY 2000-2001"
"Ridgefield",1986645212,148450012,132343479,2621092177,"SFY 2000-2001"
"Rocky Hill",590244510,278376870,52218700,1156610500,"SFY 2000-2001"
"Roxbury",255296530,1792600,795480,284818557,"SFY 2000-2001"
"Salem",144525620,11520470,506730,195004840,"SFY 2000-2001"
"Salisbury",415337000,33496390,1916170,504990810,"SFY 2000-2001"
"Scotland",52196030,550790,885720,67745394,"SFY 2000-2001"
"Seymour",464658730,38942870,29200290,681568400,"SFY 2000-2001"
"Sharon",263743100,12575200,0,343910200,"SFY 2000-2001"
"Shelton",1495376910,296335330,109667730,2449865250,"SFY 2000-2001"
"Sherman",287363310,2414250,0,367626026,"SFY 2000-2001"
"Simsbury",1065927544,134750620,11234390,1475354076,"SFY 2000-2001"
"Somers",341424420,15370230,7277460,443872849,"SFY 2000-2001"
"Southbury",923827550,200785876,8731310,1450697704,"SFY 2000-2001"
"Southington",1401621483,174864783,76235864,2115507423,"SFY 2000-2001"
"South Windsor",914006860,74396170,133666905,1403505064,"SFY 2000-2001"
"Sprague",75883145,5578030,10060720,139699376,"SFY 2000-2001"
"Stafford",342805430,34141530,17672410,526689178,"SFY 2000-2001"
"Stamford",6023193940,2598116515,221796950,10809829639,"SFY 2000-2001"
"Sterling",71699490,2697050,5975810,126383153,"SFY 2000-2001"
"Stonington",780118530,178007830,35693290,1230132270,"SFY 2000-2001"
"Stratford",1712013310,236611090,235685710,2772510187,"SFY 2000-2001"
"Suffield",532430920,35729330,27392260,715959560,"SFY 2000-2001"
"Thomaston",214554797,25231991,25053730,372887777,"SFY 2000-2001"
"Thompson",249524665,12086600,6377960,373653121,"SFY 2000-2001"
"Tolland",509238498,22769910,16842357,664509891,"SFY 2000-2001"
"Torrington",830469020,191258690,66533420,1452838812,"SFY 2000-2001"
"Trumbull",1886775298,205662027,184129944,2817930490,"SFY 2000-2001"
"Union",32116620,2959110,158990,46663188,"SFY 2000-2001"
"Vernon",706976790,176997720,17662560,1177812770,"SFY 2000-2001"
"Voluntown",78482020,4428520,0,103249400,"SFY 2000-2001"
"Wallingford",1342120445,380051070,235475640,2538367185,"SFY 2000-2001"
"Warren",94454170,4020940,0,118541820,"SFY 2000-2001"
"Washington",424325580,24984530,0,580601230,"SFY 2000-2001"
"Waterbury",642118611,296636240,103421502,1753365910,"SFY 2000-2001"
"Waterford",700481440,194618780,27913960,3245024840,"SFY 2000-2001"
"Watertown",739941705,95688160,49698790,1195914804,"SFY 2000-2001"
"Westbrook",375664560,72267376,16942760,556382322,"SFY 2000-2001"
"West Hartford",2482064050,455438470,74337150,3605179507,"SFY 2000-2001"
"West Haven",1157287900,168175560,117500320,1868714299,"SFY 2000-2001"
"Weston",1491406265,14663811,0,1674129736,"SFY 2000-2001"
"Westport",4329641400,694427900,0,5435302265,"SFY 2000-2001"
"Wethersfield",1033965800,144577800,15615800,1440630395,"SFY 2000-2001"
"Willington",148225270,30764940,3815270,276534350,"SFY 2000-2001"
"Wilton",1628168290,185348700,0,2124067390,"SFY 2000-2001"
"Winchester",281745038,21569340,4267000,448701583,"SFY 2000-2001"
"Windham",314540620,77904630,22373880,575786977,"SFY 2000-2001"
"Windsor",905610300,196566650,174269690,1699194490,"SFY 2000-2001"
"Windsor Locks",344793100,108635200,115406300,929969134,"SFY 2000-2001"
"Wolcott",497174440,37640340,21927710,705969342,"SFY 2000-2001"
"Woodbridge",641085130,41680590,12458420,787132040,"SFY 2000-2001"
"Woodbury",498827160,51435770,9233320,664666773,"SFY 2000-2001"
"Woodstock",244595342,9731120,11674590,337334951,"SFY 2000-2001"
"Andover",112654080,2061810,1232140,144393939,"SFY 2001-2002"
"Ansonia",424066416,47713965,16031558,627836155,"SFY 2001-2002"
"Ashford",128635450,5318430,614450,170492330,"SFY 2001-2002"
"Avon",1132161090,190176900,23474420,1577836190,"SFY 2001-2002"
"Barkhamsted",140973240,14365850,670430,212627330,"SFY 2001-2002"
"Beacon Falls",163354200,9124560,18303010,245455000,"SFY 2001-2002"
"Berlin",723521530,4779350,137478850,1256877530,"SFY 2001-2002"
"Bethany",268039830,15982580,6993930,342735290,"SFY 2001-2002"
"Bethel",722031240,68484440,118452550,1138411722,"SFY 2001-2002"
"Bethlehem",183151620,6608650,2577940,227927146,"SFY 2001-2002"
"Bloomfield",640739376,141338959,102800748,1199062213,"SFY 2001-2002"
"Bolton",207431860,12389760,4913090,267294740,"SFY 2001-2002"
"Bozrah",74969021,13259813,7763110,151409593,"SFY 2001-2002"
"Branford",1362851140,280113940,72128290,2046376650,"SFY 2001-2002"
"Bridgeport",1977064163,552188549,171293595,3757958377,"SFY 2001-2002"
"Bridgewater",173357566,2926030,0,196663851,"SFY 2001-2002"
"Brooklyn",208851190,20570380,2901550,306400577,"SFY 2001-2002"
"Burlington",398888560,7708050,2595040,506191139,"SFY 2001-2002"
"Canaan",49990700,3626100,657100,88233030,"SFY 2001-2002"
"Canterbury",150901740,6091800,1761100,204045296,"SFY 2001-2002"
"Canton",410258510,53878410,3223210,558169976,"SFY 2001-2002"
"Chaplin",56624984,5635000,98000,83665379,"SFY 2001-2002"
"Cheshire",1229890605,120207010,134832920,1812758141,"SFY 2001-2002"
"Durham",336953751,16449170,12448990,436084382,"SFY 2001-2002"
"Eastford",48087200,2994040,804440,71022536,"SFY 2001-2002"
"East Granby",196298800,18107200,52852100,365219358,"SFY 2001-2002"
"East Haddam",345498120,23234100,3552270,456478483,"SFY 2001-2002"
"East Hampton",483197690,29753410,8234370,625891282,"SFY 2001-2002"
"East Hartford",1011823895,226261740,254084810,2169766793,"SFY 2001-2002"
"East Haven",847343350,144044440,25412670,1196614474,"SFY 2001-2002"
"East Lyme",695242770,69131300,6729450,924411255,"SFY 2001-2002"
"Easton",649698110,24190950,189860,765179585,"SFY 2001-2002"
"East Windsor",251624026,83750391,67467860,561332133,"SFY 2001-2002"
"Ellington",446246810,45842670,14726130,656389190,"SFY 2001-2002"
"Enfield",1068721940,195436800,170890670,1870356234,"SFY 2001-2002"
"Essex",448408360,73750980,26406180,659252810,"SFY 2001-2002"
"Fairfield",3455685800,426371940,48784960,4565405027,"SFY 2001-2002"
"Farmington",1176635840,359171050,64073670,2035079864,"SFY 2001-2002"
"Franklin",62115960,18067350,3728980,121367846,"SFY 2001-2002"
"Glastonbury",1452723120,231023560,20033020,2096708240,"SFY 2001-2002"
"Goshen",191090850,7571460,587110,227126075,"SFY 2001-2002"
"Granby",443478740,25771300,1747410,568992130,"SFY 2001-2002"
"Greenwich",8102282900,1098934680,20787740,10511613462,"SFY 2001-2002"
"Griswold",252005700,24664800,7195020,377842379,"SFY 2001-2002"
"Groton",874970710,198416316,445866702,2324366046,"SFY 2001-2002"
"Guilford",1172980397,91894734,16766530,1486130686,"SFY 2001-2002"
"Haddam",369143230,16339390,3331490,472072403,"SFY 2001-2002"
"Hamden",1706800924,299803521,46978670,2574444838,"SFY 2001-2002"
"Hampton",60461860,1932880,0,79717283,"SFY 2001-2002"
"Hartford",882726513,1233051795,75617790,3608099266,"SFY 2001-2002"
"Madison",1212116730,73576400,2114300,1475310463,"SFY 2001-2002"
"Manchester",1395108610,714304800,172875200,2849811928,"SFY 2001-2002"
"Mansfield",393635960,36735410,1085700,541356533,"SFY 2001-2002"
"Marlborough",240836980,15162700,3584850,305960316,"SFY 2001-2002"
"Meriden",1145723090,299782210,76575120,2037757864,"SFY 2001-2002"
"Middlebury",343431807,31451674,43731644,520239757,"SFY 2001-2002"
"Middlefield",171255780,11756650,14867820,248842740,"SFY 2001-2002"
"Middletown",937214741,280921210,74628080,2103739126,"SFY 2001-2002"
"Milford",2323695931,497332500,130288970,3917447161,"SFY 2001-2002"
"Monroe",1072587390,72346640,19734300,1400991381,"SFY 2001-2002"
"Montville",450768240,51217280,34381600,815021184,"SFY 2001-2002"
"Morris",187477990,6057090,1316940,215272151,"SFY 2001-2002"
"Naugatuck",772110620,88204680,53131700,1183810720,"SFY 2001-2002"
"New Britain",858208760,174854100,53444520,1568788817,"SFY 2001-2002"
"New Canaan",2729514720,177019990,1948730,3191612570,"SFY 2001-2002"
"New Fairfield",952175470,20565125,2516780,1108088725,"SFY 2001-2002"
"New Hartford",229511730,18280850,12160260,386588510,"SFY 2001-2002"
"New Haven",1759884684,861476208,169654974,3938129114,"SFY 2001-2002"
"Newington",1018455550,233925840,87942590,1734359155,"SFY 2001-2002"
"New London",391302910,262565310,4023600,890613799,"SFY 2001-2002"
"New Milford",972340890,128544290,67722560,1575965730,"SFY 2001-2002"
"Newtown",1363667350,110513710,43817830,1819405611,"SFY 2001-2002"
"Norfolk",112413510,7710470,0,164014670,"SFY 2001-2002"
"North Branford",475893600,45328360,31909220,689575600,"SFY 2001-2002"
"North Canaan",89134800,21983940,18668430,211238210,"SFY 2001-2002"
"North Haven",1038021390,230077610,216076570,2026123082,"SFY 2001-2002"
"North Stonington",218274770,25686080,7393050,327045890,"SFY 2001-2002"
"Norwalk",4089588484,1072805829,167042121,6394835187,"SFY 2001-2002"
"Norwich",651280020,177919900,35379400,1169114115,"SFY 2001-2002"
"Old Lyme",732593239,36768841,3658400,879021731,"SFY 2001-2002"
"Old Saybrook",768136710,146215540,10177800,1103947387,"SFY 2001-2002"
"Orange",828196095,260821825,69031788,1342381728,"SFY 2001-2002"
"Oxford",523443500,17425530,22177985,662412110,"SFY 2001-2002"
"Plainfield",285828930,47387180,33703000,511619630,"SFY 2001-2002"
"Plainville",490318170,131471270,56428620,909201950,"SFY 2001-2002"
"Plymouth",322992240,22154290,17833130,467126216,"SFY 2001-2002"
"Pomfret",145427544,8585976,9512870,208538463,"SFY 2001-2002"
"Portland",315178940,37155450,19537470,462296293,"SFY 2001-2002"
"Preston",153630250,9543300,1205300,211643704,"SFY 2001-2002"
"Prospect",372685260,25794170,9450460,490822966,"SFY 2001-2002"
"Putnam",161920400,49613000,29732000,345326213,"SFY 2001-2002"
"Bristol",1384024370,236244800,168030250,2450639750,"SFY 2001-2002"
"Brookfield",776743500,127553810,44584960,1175306419,"SFY 2001-2002"
"Chester",181671870,35954600,11006100,283314027,"SFY 2001-2002"
"Clinton",627775744,99609632,24466300,908513688,"SFY 2001-2002"
"Colchester",492180640,52894380,7678940,698687527,"SFY 2001-2002"
"Colebrook",80885300,841800,0,104064805,"SFY 2001-2002"
"Columbia",230070990,15109780,0,289000190,"SFY 2001-2002"
"Cornwall",133868100,6852630,0,184936670,"SFY 2001-2002"
"Coventry",465287860,14577640,1704570,566137415,"SFY 2001-2002"
"Cromwell",447343030,120711810,24617410,734420720,"SFY 2001-2002"
"Danbury",2387898500,1061003000,266237800,4551743810,"SFY 2001-2002"
"Darien",3528533156,335074073,0,4210589025,"SFY 2001-2002"
"Deep River",202692164,14658530,9750610,282092815,"SFY 2001-2002"
"Derby",342733970,59043418,9976030,521887751,"SFY 2001-2002"
"Hartland",86657290,438490,0,118918010,"SFY 2001-2002"
"Harwinton",247420540,7228940,1275440,318391019,"SFY 2001-2002"
"Hebron",341953490,11647650,442520,426889401,"SFY 2001-2002"
"Kent",237805730,30068200,0,307363333,"SFY 2001-2002"
"Killingly",296482215,56740395,110646855,754660829,"SFY 2001-2002"
"Killingworth",300656204,8399410,407310,370739536,"SFY 2001-2002"
"Lebanon",248040830,7780230,1743730,329357147,"SFY 2001-2002"
"Ledyard",431172490,33057430,9556750,625415033,"SFY 2001-2002"
"Lisbon",122636260,21813570,303730,202850220,"SFY 2001-2002"
"Litchfield",441449818,63868489,7330942,621467938,"SFY 2001-2002"
"Lyme",233219250,2454600,0,275144675,"SFY 2001-2002"
"Redding",827125290,33037150,5313360,969174171,"SFY 2001-2002"
"Ridgefield",2044615759,154399856,131023939,2696986313,"SFY 2001-2002"
"Rocky Hill",612512870,277016120,52766900,1187129040,"SFY 2001-2002"
"Roxbury",263481570,1792600,230300,293935265,"SFY 2001-2002"
"Salem",150218340,11519330,506730,200414160,"SFY 2001-2002"
"Salisbury",426129910,30498850,0,572339420,"SFY 2001-2002"
"Scotland",53895060,550790,885720,69539258,"SFY 2001-2002"
"Seymour",469512460,40649450,26896800,694637808,"SFY 2001-2002"
"Sharon",269699700,11790200,0,353125578,"SFY 2001-2002"
"Shelton",1511166050,307585970,111201010,2527289860,"SFY 2001-2002"
"Sherman",298072160,2414250,0,376930036,"SFY 2001-2002"
"Simsbury",1076214540,138640670,11234390,1498317534,"SFY 2001-2002"
"Somers",352035280,15670740,7555720,456158905,"SFY 2001-2002"
"Southbury",945581740,203474206,8035520,1478727168,"SFY 2001-2002"
"Southington",1438985286,177666293,76367924,2177954349,"SFY 2001-2002"
"South Windsor",930588840,95660570,135456425,1455298249,"SFY 2001-2002"
"Sprague",71333480,4853120,10682840,135688020,"SFY 2001-2002"
"Stafford",301370220,31490450,16204760,488255670,"SFY 2001-2002"
"Stamford",6054173710,2584840280,213312860,10921964161,"SFY 2001-2002"
"Sterling",72731497,2626480,6213570,128365024,"SFY 2001-2002"
"Stonington",794957020,178576250,34484310,1249620203,"SFY 2001-2002"
"Stratford",2097703785,273342970,236914340,3221036221,"SFY 2001-2002"
"Suffield",547625820,39311720,27769420,742045830,"SFY 2001-2002"
"Thomaston",222166176,26059365,23068710,390031053,"SFY 2001-2002"
"Thompson",244322900,14055000,6053900,373990926,"SFY 2001-2002"
"Tolland",589591660,26375030,15961530,756843261,"SFY 2001-2002"
"Torrington",839639030,190203210,66542730,1464425730,"SFY 2001-2002"
"Trumbull",2289892823,246339920,221045062,3335276722,"SFY 2001-2002"
"Union",32915960,1653580,158990,47536408,"SFY 2001-2002"
"Vernon",727050538,160028590,18943340,1222506749,"SFY 2001-2002"
"Voluntown",80496360,4288820,0,106809192,"SFY 2001-2002"
"Wallingford",1366537430,386789816,225202408,2597017383,"SFY 2001-2002"
"Warren",98838050,3953360,0,124231700,"SFY 2001-2002"
"Washington",437110460,23049440,0,591752550,"SFY 2001-2002"
"Waterbury",643151396,297888620,103693320,1785423001,"SFY 2001-2002"
"Waterford",709607970,211139290,29012550,3247719170,"SFY 2001-2002"
"Watertown",747904978,93472900,49916370,1215042988,"SFY 2001-2002"
"Westbrook",381371777,72164326,17203720,568207100,"SFY 2001-2002"
"West Hartford",2491869370,459014990,66959420,3616532770,"SFY 2001-2002"
"West Haven",1122726780,168324170,121934120,1850096158,"SFY 2001-2002"
"Weston",1532354410,14124390,0,1716570511,"SFY 2001-2002"
"Westport",4474623200,841833500,0,5760920486,"SFY 2001-2002"
"Wethersfield",1040239000,143184200,15569600,1455453670,"SFY 2001-2002"
"Willington",150776200,32168770,3851390,281529240,"SFY 2001-2002"
"Wilton",1655577000,198763920,0,2187292550,"SFY 2001-2002"
"Winchester",280474713,34917643,15886370,455091786,"SFY 2001-2002"
"Windham",317118110,82441190,22753310,589698820,"SFY 2001-2002"
"Windsor",915276460,200378710,182331940,1760570670,"SFY 2001-2002"
"Windsor Locks",349182071,111052703,109031700,947915140,"SFY 2001-2002"
"Wolcott",508215690,37818130,22322710,724748952,"SFY 2001-2002"
"Woodbridge",685400200,48106170,9034650,845449370,"SFY 2001-2002"
"Woodbury",511449300,51710860,9457050,683787860,"SFY 2001-2002"
"Woodstock",305609509,11653730,10728880,404935146,"SFY 2001-2002"
"Andover",128955150,2522400,773600,162835688,"SFY 2002-2003"
"Ansonia",428601186,46641795,15556938,628285322,"SFY 2002-2003"
"Ashford",132226840,5875720,75250,175847320,"SFY 2002-2003"
"Avon",1161140150,196313520,26388360,1629635560,"SFY 2002-2003"
"Barkhamsted",143490740,14366240,670430,217786221,"SFY 2002-2003"
"Beacon Falls",211626650,7040570,21208080,299076875,"SFY 2002-2003"
"Berlin",738370620,8303820,139885800,1285036106,"SFY 2002-2003"
"Bethany",273928710,15465790,7201740,350060093,"SFY 2002-2003"
"Bethel",733421470,69878800,119259913,1168048973,"SFY 2002-2003"
"Bethlehem",187239070,7296150,2609730,232975742,"SFY 2002-2003"
"Bloomfield",638677533,78349820,105718640,1168020062,"SFY 2002-2003"
"Bolton",210902920,12373770,5341410,272567640,"SFY 2002-2003"
"Bozrah",76917207,13606553,7863360,148550702,"SFY 2002-2003"
"Branford",1374786350,281018380,73580690,2073521619,"SFY 2002-2003"
"Deep River",268005780,20621160,8761900,355989945,"SFY 2002-2003"
"Derby",344446900,66868158,9827240,536265295,"SFY 2002-2003"
"Durham",348734431,17540040,12515700,458240850,"SFY 2002-2003"
"Eastford",49190850,2984310,1399930,73188663,"SFY 2002-2003"
"East Granby",199182000,18139900,54821400,377905228,"SFY 2002-2003"
"East Haddam",357742730,25324240,3768210,471767693,"SFY 2002-2003"
"East Hampton",495894310,29925460,8657200,645025650,"SFY 2002-2003"
"East Hartford",1229050190,349133087,97036140,2383268796,"SFY 2002-2003"
"Franklin",63888760,20476540,1388020,124698456,"SFY 2002-2003"
"Glastonbury",1488472400,246266690,19995710,2152352070,"SFY 2002-2003"
"Morris",190359110,6396435,1316940,219027993,"SFY 2002-2003"
"Naugatuck",778311760,87576640,53275490,1198909660,"SFY 2002-2003"
"New Britain",858903270,177977960,53451080,1581821755,"SFY 2002-2003"
"New Canaan",4956821900,279412550,385560,5504515420,"SFY 2002-2003"
"New Fairfield",963101385,20162360,2516780,1119504980,"SFY 2002-2003"
"Norwich",655876050,181107100,35382400,1174382497,"SFY 2002-2003"
"Old Lyme",738960239,37520841,5218300,891180370,"SFY 2002-2003"
"Old Saybrook",778660310,143876090,16516000,1123002406,"SFY 2002-2003"
"Orange",836474095,260727129,73378834,1364252144,"SFY 2002-2003"
"Oxford",523618520,20570110,19343190,693990281,"SFY 2002-2003"
"Plainfield",290834366,52052280,29133990,519826819,"SFY 2002-2003"
"Plainville",492436550,136910650,60272250,932421389,"SFY 2002-2003"
"Plymouth",363109750,22819850,19633015,530539227,"SFY 2002-2003"
"Pomfret",147494150,8160040,9420640,210958249,"SFY 2002-2003"
"Portland",352849000,43863640,11287490,512926740,"SFY 2002-2003"
"Bridgeport",1976213981,546015425,165661798,3761823506,"SFY 2002-2003"
"Bridgewater",177464390,3358130,0,201657131,"SFY 2002-2003"
"Bristol",1397166930,219771900,167258520,2497532520,"SFY 2002-2003"
"Brookfield",1200319790,163134110,87392460,1700228037,"SFY 2002-2003"
"Brooklyn",213045550,20654030,2885650,310863595,"SFY 2002-2003"
"Burlington",410862620,8004150,2023770,521758901,"SFY 2002-2003"
"Canaan",51373980,3626100,657100,89878610,"SFY 2002-2003"
"Canterbury",153566340,6465100,1632300,208485909,"SFY 2002-2003"
"Canton",420197980,54314580,3223210,572553311,"SFY 2002-2003"
"Chaplin",57467000,5981250,98000,85223985,"SFY 2002-2003"
"Cheshire",1242269720,120935000,134974410,1835312024,"SFY 2002-2003"
"Chester",185200650,36864400,11160600,290921905,"SFY 2002-2003"
"Clinton",638398319,101612053,24470900,919291315,"SFY 2002-2003"
"Colchester",543540730,59753470,8180600,764813012,"SFY 2002-2003"
"Colebrook",80880100,841800,0,104959612,"SFY 2002-2003"
"Columbia",246450730,13248300,3604300,318142850,"SFY 2002-2003"
"Cornwall",156881090,6168900,0,214378720,"SFY 2002-2003"
"Coventry",476489950,14872900,1704570,582329875,"SFY 2002-2003"
"Cromwell",458812400,123824620,24970450,754876612,"SFY 2002-2003"
"Danbury",2442699500,1067816400,267362000,4661646250,"SFY 2002-2003"
"Darien",3543949349,336381370,0,4215313068,"SFY 2002-2003"
"East Haven",855410210,147332520,30318270,1239801380,"SFY 2002-2003"
"East Lyme",1024475244,82602582,9723910,1285088153,"SFY 2002-2003"
"Easton",662934390,23994050,594610,779132481,"SFY 2002-2003"
"East Windsor",258308117,89963561,67507490,577664888,"SFY 2002-2003"
"Ellington",470394000,46681380,15114780,682161376,"SFY 2002-2003"
"Enfield",1175888090,297945640,117053640,2030728156,"SFY 2002-2003"
"Essex",459401970,74730550,26625550,671811448,"SFY 2002-2003"
"Fairfield",5847997480,590018660,52787700,7193856779,"SFY 2002-2003"
"Farmington",1196329880,374158180,64073670,2082871730,"SFY 2002-2003"
"Goshen",198317360,7571460,587110,236026325,"SFY 2002-2003"
"Granby",456108670,28197820,1747410,586261780,"SFY 2002-2003"
"Greenwich",16036230529,2654800330,61365150,20614247636,"SFY 2002-2003"
"Griswold",315678603,26466787,7050610,445864163,"SFY 2002-2003"
"Groton",1273315970,245852326,442234430,2841219103,"SFY 2002-2003"
"Guilford",1188812210,92929654,16989440,1511445706,"SFY 2002-2003"
"Haddam",409145480,17863890,4322790,548161350,"SFY 2002-2003"
"Hamden",1733566244,287142830,48167840,2602345238,"SFY 2002-2003"
"Hampton",61321560,1429680,244230,80558396,"SFY 2002-2003"
"Hartford",884714136,1238498102,74678891,3582480023,"SFY 2002-2003"
"Hartland",90108790,438490,0,120669970,"SFY 2002-2003"
"Harwinton",252324790,7214990,1275440,323579153,"SFY 2002-2003"
"Hebron",444385670,15341480,766050,546470087,"SFY 2002-2003"
"Kent",242737230,31119600,0,315528154,"SFY 2002-2003"
"Killingly",302039885,58190275,155178225,974626727,"SFY 2002-2003"
"Killingworth",462780040,11367510,981460,541070721,"SFY 2002-2003"
"Lebanon",254876380,8070280,2372120,337898741,"SFY 2002-2003"
"Ledyard",577087867,35949958,9040570,789990997,"SFY 2002-2003"
"Lisbon",146199910,40247530,1953200,257121610,"SFY 2002-2003"
"Litchfield",449782675,64929122,7430522,631435984,"SFY 2002-2003"
"Lyme",238918850,2223500,0,280245042,"SFY 2002-2003"
"Madison",1233865230,76554220,2114300,1500311495,"SFY 2002-2003"
"Manchester",1411674710,535467200,176302700,2891325840,"SFY 2002-2003"
"Mansfield",402086950,40864890,1085700,559697801,"SFY 2002-2003"
"Marlborough",322267720,16612090,3451570,392927355,"SFY 2002-2003"
"Meriden",1341940930,524781550,52175340,2419864772,"SFY 2002-2003"
"Middlebury",446518260,84048850,4804680,653299084,"SFY 2002-2003"
"Middlefield",219966000,14695360,11090600,302957740,"SFY 2002-2003"
"Middletown",960364438,279064300,76192190,2110574933,"SFY 2002-2003"
"Milford",2367486941,501356870,129915100,4007778585,"SFY 2002-2003"
"Monroe",1087818180,73266920,21227920,1427389335,"SFY 2002-2003"
"Montville",556781630,68882070,25582860,981394086,"SFY 2002-2003"
"New Hartford",236862640,18407050,11446960,397984297,"SFY 2002-2003"
"New Haven",1795665020,817286370,246272670,4116596496,"SFY 2002-2003"
"Newington",1028144350,246692250,89337860,1784661813,"SFY 2002-2003"
"New London",394266080,309225510,4047470,959884615,"SFY 2002-2003"
"New Milford",1453826260,152620580,77659960,2116976154,"SFY 2002-2003"
"Newtown",1402209850,112539570,43646340,1859358263,"SFY 2002-2003"
"Norfolk",113416070,7748520,0,166313060,"SFY 2002-2003"
"North Branford",636898578,58494517,25120830,860358908,"SFY 2002-2003"
"North Canaan",89452870,22630570,19395380,215676590,"SFY 2002-2003"
"North Haven",1040505822,230359490,217167520,1997227114,"SFY 2002-2003"
"North Stonington",222151020,26901910,7315420,334020468,"SFY 2002-2003"
"Norwalk",4125598955,1142050829,162039450,6527896478,"SFY 2002-2003"
"Preston",156497400,9922300,1205300,215620063,"SFY 2002-2003"
"Prospect",377120070,26098120,9455510,494795925,"SFY 2002-2003"
"Putnam",163868620,49740000,30395010,350505775,"SFY 2002-2003"
"Redding",847346510,34238960,5313360,995418419,"SFY 2002-2003"
"Ridgefield",2092784309,152231036,130583969,2759301519,"SFY 2002-2003"
"Rocky Hill",629504900,274073890,53311130,1214280600,"SFY 2002-2003"
"Roxbury",271834890,1792600,230300,303865760,"SFY 2002-2003"
"Salem",184139730,12139510,1129810,240334540,"SFY 2002-2003"
"Salisbury",438612280,30109040,0,583150550,"SFY 2002-2003"
"Scotland",54602380,550790,885720,70159512,"SFY 2002-2003"
"Seymour",643378120,54778420,33312510,911353460,"SFY 2002-2003"
"Sharon",279752400,11987800,0,364134200,"SFY 2002-2003"
"Shelton",2075293040,402659040,135559430,3209877420,"SFY 2002-2003"
