TownCode,Town
New Canaan,New Canaan
91,New Fairfield
New Fairfield,New Fairfield
92,New Hartford
New Hartford,New Hartford
93,New Haven
New Haven,New Haven
94,Newington
Newington,Newington
95,New London
New London,New London
96,New Milford
New Milford,New Milford
97,Newtown
Newtown,Newtown
98,Norfolk
Norfolk,Norfolk
99,North Branford
North Branford,North Branford
100,North Canaan
North Canaan,North Canaan
101,North Haven
North Haven,North Haven
102,North Stonington
North Stonington,North Stonington
103,Norwalk
Norwalk,Norwalk
104,Norwich
Norwich,Norwich
105,Old Lyme
Old Lyme,Old Lyme
106,Old Saybrook
Old Saybrook,Old Saybrook
107,Orange
Orange,Orange
108,Oxford
Oxford,Oxford
109,Plainfield
Plainfield,Plainfield
110,Plainville
Plainville,Plainville
111,Plymouth
Plymouth,Plymouth
112,Pomfret
Pomfret,Pomfret
113,Portland
Portland,Portland
114,Preston
Preston,Preston
115,Prospect
Prospect,Prospect
116,Putnam
Putnam,Putnam
117,Redding
Redding,Redding
118,Ridgefield
Ridgefield,Ridgefield
119,Rocky Hill
Rocky Hill,Rocky Hill
120,Roxbury
Roxbury,Roxbury
121,Salem
Salem,Salem
122,Salisbury
Salisbury,Salisbury
123,Scotland
Scotland,Scotland
124,Seymour
Seymour,Seymour
125,Sharon
Sharon,Sharon
126,Shelton
Shelton,Shelton
127,Sherman
Sherman,Sherman
128,Simsbury
Simsbury,Simsbury
129,Somers
Somers,Somers
130,Southbury
Southbury,Southbury
131,Southington
Southington,Southington
132,South Windsor
South Windsor,South Windsor
133,Sprague
Sprague,Sprague
134,Stafford
Stafford,Stafford
135,Stamford
Stamford,Stamford
136,Sterling
Sterling,Sterling
137,Stonington
Stonington,Stonington
138,Stratford
Stratford,Stratford
139,Suffield
Suffield,Suffield
140,Thomaston
Thomaston,Thomaston
141,Thompson
Thompson,Thompson
142,Tolland
Tolland,Tolland
143,Torrington
Torrington,Torrington
144,Trumbull
Trumbull,Trumbull
145,Union
Union,Union
146,Vernon
Vernon,Vernon
147,Voluntown
Voluntown,Voluntown
148,Wallingford
Wallingford,Wallingford
149,Warren
Warren,Warren
150,Washington
Washington,Washington
151,Waterbury
Waterbury,Waterbury
152,Waterford
Waterford,Waterford
153,Watertown
Watertown,Watertown
154,Westbrook
Westbrook,Westbrook
155,West Hartford
West Hartford,West Hartford
156,West Haven
West Haven,West Haven
157,Weston
Weston,Weston
158,Westport
Westport,Westport
159,Wethersfield
Wethersfield,Wethersfield
160,Willington
Willington,Willington
161,Wilton
Wilton,Wilton
162,Winchester
Winchester,Winchester
163,Windham
Windham,Windham
164,Windsor
Windsor,Windsor
165,Windsor Locks
Windsor Locks,Windsor Locks
166,Wolcott
Wolcott,Wolcott
Wolcott*,Wolcott
167,Woodbridge
Woodbridge,Woodbridge
168,Woodbury
Woodbury,Woodbury
169,Woodstock
Woodstock,Woodstock
