MUNICIPALITY,NUMBERED,TOWN CODE,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,PUBLIC UTILITY,APARTMENT,TOTAL REAL,REAL EXEMPTIONS,TOTAL NET REAL,TOTAL MV,MV EXEMPTIONS,TOTAL NET MV,TOTAL PERS PROP,PERS PROP EXEMPTIONS,TOTAL NET PERS PROP,TOTAL GRAND LIST,TOTAL NET GRAND LIST,OTHER
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,1.0172578720000000e+09,2.8434085300000000e+08,2.5225060000000000e+08,0.0000000000000000e+00,1.4340779600000000e+08,1.7012558910000000e+09,4.6294080000000000e+07,1.6549618110000000e+09,1.6108728700000000e+08,4.7583700000000000e+06,1.5632891700000000e+08,4.5034132200000000e+08,1.4476884800000000e+08,3.0557247400000000e+08,2.3126845000000000e+09,2.1168632020000000e+09,3.9987700000000000e+06
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,3.4988516000000000e+08,1.5246930000000000e+07,8.2698000000000000e+06,0.0000000000000000e+00,2.4799000000000000e+06,3.8474350500000000e+08,1.8319400000000000e+06,3.8291156500000000e+08,4.2418770000000000e+07,6.4698000000000000e+05,4.1771790000000000e+07,1.3487103000000000e+07,3.1539900000000000e+06,1.0333113000000000e+07,4.4064937800000000e+08,4.3501646800000000e+08,8.8617150000000000e+06
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,1.3427415000000000e+08,1.9140900000000000e+07,1.3675840000000000e+07,0.0000000000000000e+00,9.5111000000000000e+05,1.7638112000000000e+08,6.0117000000000000e+05,1.7577995000000000e+08,2.6009140000000000e+07,4.1561000000000000e+05,2.5593530000000000e+07,3.6273160000000000e+07,1.2858860000000000e+07,2.3414300000000000e+07,2.3866342000000000e+08,2.2478778000000000e+08,8.3391200000000000e+06
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,2.6153105200000000e+09,3.6250751000000000e+08,1.1296751000000000e+08,3.2127000000000000e+06,5.1716620000000000e+07,3.1636199100000000e+09,6.6768000000000000e+06,3.1569431100000000e+09,2.4353468500000000e+08,1.6855550000000000e+06,2.4184913000000000e+08,1.9597473600000000e+08,2.4775721000000000e+07,1.7119901500000000e+08,3.6031293310000000e+09,3.5699912550000000e+09,1.7905050000000000e+07
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,3.1198483430000000e+09,8.7875897800000000e+08,3.7145313900000000e+08,5.2699542000000000e+07,2.9141367700000000e+08,4.7969232150000000e+09,3.2929108000000000e+07,4.7639941070000000e+09,5.1685193600000000e+08,2.4275238000000000e+07,4.9257669800000000e+08,8.9802568800000000e+08,8.9933279000000000e+07,8.0809240900000000e+08,6.2118008390000000e+09,6.0646632140000000e+09,8.2749536000000000e+07
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,3.2244255200000000e+08,2.8722000000000000e+06,6.7310000000000000e+05,4.0340000000000000e+05,0.0000000000000000e+00,3.4760058200000000e+08,7.2600000000000000e+05,3.4687458200000000e+08,1.8012880000000000e+07,7.3630000000000000e+04,1.7939250000000000e+07,5.8968230000000000e+06,4.0122000000000000e+05,5.4956030000000000e+06,3.7151028500000000e+08,3.7030943500000000e+08,2.1209330000000000e+07
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,2.3581234570000000e+09,5.1711120000000000e+08,2.1132001000000000e+08,2.2449700000000000e+06,1.5397147200000000e+08,3.2688166290000000e+09,3.0249778000000000e+07,3.2385668510000000e+09,3.8411945400000000e+08,2.9880350000000000e+06,3.8113141900000000e+08,5.5281404000000000e+08,2.5554882500000000e+08,2.9726521500000000e+08,4.2057501230000000e+09,3.9169634850000000e+09,2.6045520000000000e+07
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,1.5670994950000000e+09,2.5176084000000000e+08,8.0234750000000000e+07,6.1343600000000000e+06,3.1145681000000000e+07,1.9745661760000000e+09,3.4394600000000000e+06,1.9711267160000000e+09,1.5511000500000000e+08,1.8020700000000000e+06,1.5330793500000000e+08,1.3537222400000000e+08,1.7082377000000000e+07,1.1828984700000000e+08,2.2650484050000000e+09,2.2427244980000000e+09,3.8191050000000000e+07
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,3.6491787800000000e+08,5.0231100000000000e+07,2.9847000000000000e+06,2.9746000000000000e+06,1.6356340000000000e+07,4.5297127800000000e+08,2.2683300000000000e+06,4.5070294800000000e+08,5.8680086000000000e+07,7.6728000000000000e+05,5.7912806000000000e+07,4.6592363000000000e+07,2.8672100000000000e+06,4.3725153000000000e+07,5.5824372700000000e+08,5.5234090700000000e+08,1.5506660000000000e+07
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,7.6366140600000000e+08,1.2904330000000000e+07,2.8356300000000000e+06,0.0000000000000000e+00,2.2073800000000000e+06,8.2754778600000000e+08,9.6355000000000000e+05,8.2658423600000000e+08,9.0333110000000000e+07,2.9503000000000000e+05,9.0038080000000000e+07,1.6104747000000000e+07,5.8801000000000000e+05,1.5516737000000000e+07,9.3398564300000000e+08,9.3213905300000000e+08,4.5939040000000000e+07
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,1.3482685000000000e+08,4.3813000000000000e+06,9.7363000000000000e+06,4.7560000000000000e+06,0.0000000000000000e+00,1.5608405000000000e+08,2.3500000000000000e+05,1.5584905000000000e+08,8.9200000000000000e+06,1.9895000000000000e+05,8.7210500000000000e+06,1.3770380000000000e+07,1.5988000000000000e+06,1.2171580000000000e+07,1.7877443000000000e+08,1.7674168000000000e+08,2.3836000000000000e+06
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,2.7909192200000000e+08,1.0776860000000000e+07,5.4989000000000000e+06,3.2741000000000000e+06,1.9063600000000000e+06,3.1444449200000000e+08,3.3136000000000000e+06,3.1113089200000000e+08,4.3032998000000000e+07,1.8848980000000000e+06,4.1148100000000000e+07,1.2296270000000000e+07,2.8387940000000000e+06,9.4574760000000000e+06,3.6977376000000000e+08,3.6173646800000000e+08,1.3896350000000000e+07
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,8.3261506300000000e+08,1.3639842000000000e+08,7.8430400000000000e+06,1.5550000000000000e+05,6.2936600000000000e+06,9.8898457300000000e+08,1.2679900000000000e+06,9.8771658300000000e+08,8.8041570000000000e+07,9.0480000000000000e+04,8.7951090000000000e+07,4.7071609000000000e+07,9.7231000000000000e+05,4.6099299000000000e+07,1.1240977520000000e+09,1.1217669720000000e+09,5.6788900000000000e+06
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,1.1442690000000000e+08,8.1182000000000000e+06,1.7514600000000000e+06,0.0000000000000000e+00,2.9680000000000000e+05,1.2615406000000000e+08,3.8459000000000000e+05,1.2576947000000000e+08,1.6946240000000000e+07,3.7490000000000000e+04,1.6908750000000000e+07,4.7990780000000000e+07,7.0321000000000000e+05,4.7287570000000000e+07,1.9109108000000000e+08,1.8996579000000000e+08,1.5607000000000000e+06
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,2.0139283400000000e+09,3.2233146500000000e+08,4.5965655000000000e+07,4.6427000000000000e+05,1.0175010000000000e+07,2.4117160100000000e+09,1.6922019000000000e+07,2.3947939910000000e+09,2.4824445000000000e+08,1.1136220000000000e+07,2.3710823000000000e+08,2.0191673700000000e+08,5.4947052000000000e+07,1.4696968500000000e+08,2.8618771970000000e+09,2.7788719060000000e+09,1.8851270000000000e+07
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,3.2113151000000000e+08,5.1090400000000000e+07,1.4875010000000000e+07,2.4237100000000000e+06,2.9637200000000000e+06,3.9762657000000000e+08,1.4822270000000000e+06,3.9614434300000000e+08,3.0761045000000000e+07,1.1357000000000000e+05,3.0647475000000000e+07,2.9942203000000000e+07,1.2438050000000000e+07,1.7504153000000000e+07,4.5832981800000000e+08,4.4429597100000000e+08,5.1422200000000000e+06
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,1.1591079530000000e+09,1.7313260900000000e+08,2.3313320000000000e+07,1.1623000000000000e+06,5.8308700000000000e+06,1.3778116620000000e+09,5.2095400000000000e+06,1.3726021220000000e+09,9.9959850000000000e+07,5.8620500000000000e+05,9.9373645000000000e+07,6.5588989000000000e+07,4.5532550000000000e+06,6.1035734000000000e+07,1.5433605010000000e+09,1.5330115010000000e+09,1.5264610000000000e+07
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,8.7988445000000000e+08,9.6197110000000000e+07,9.6944000000000000e+06,5.1463000000000000e+06,2.2889200000000000e+07,1.0401104800000000e+09,3.3466750000000000e+06,1.0367638050000000e+09,1.2859658000000000e+08,7.2063000000000000e+05,1.2787595000000000e+08,5.2851060000000000e+07,4.3268800000000000e+06,4.8524180000000000e+07,1.2215581200000000e+09,1.2131639350000000e+09,2.6299020000000000e+07
"COLEBROOK",2.9000000000000000e+01,2.9000000000000000e+01,1.3305995000000000e+08,1.2511000000000000e+06,1.0034900000000000e+07,1.8230175000000000e+07,0.0000000000000000e+00,1.6541582500000000e+08,1.1065000000000000e+06,1.6430932500000000e+08,1.3675962000000000e+07,3.7750000000000000e+04,1.3638212000000000e+07,8.2442650000000000e+06,4.7885000000000000e+04,8.1963800000000000e+06,1.8733605200000000e+08,1.8614391700000000e+08,2.8397000000000000e+06
"COLUMBIA",3.0000000000000000e+01,3.0000000000000000e+01,3.8756322000000000e+08,1.5463900000000000e+07,7.0051000000000000e+06,3.3360000000000000e+05,6.4780000000000000e+05,4.2108220000000000e+08,1.0935000000000000e+06,4.1998870000000000e+08,4.6707090000000000e+07,3.2338000000000000e+05,4.6383710000000000e+07,2.6026510000000000e+07,5.2727600000000000e+06,2.0753750000000000e+07,4.9381580000000000e+08,4.8712616000000000e+08,1.0068580000000000e+07
"CORNWALL",3.1000000000000000e+01,3.1000000000000000e+01,3.3362998000000000e+08,9.6795000000000000e+06,0.0000000000000000e+00,3.4780000000000000e+05,0.0000000000000000e+00,3.6560808000000000e+08,3.4800000000000000e+05,3.6526008000000000e+08,1.4126890000000000e+07,5.7430000000000000e+04,1.4069460000000000e+07,1.1134840000000000e+07,6.5518000000000000e+05,1.0479660000000000e+07,3.9086981000000000e+08,3.8980920000000000e+08,2.1950800000000000e+07
"COVENTRY",3.2000000000000000e+01,3.2000000000000000e+01,7.9806110000000000e+08,3.3272700000000000e+07,1.4700000000000000e+06,1.4135000000000000e+06,4.8200000000000000e+04,8.3536390000000000e+08,2.7980500000000000e+06,8.3256585000000000e+08,9.5794430000000000e+07,7.7171000000000000e+05,9.5022720000000000e+07,4.3410171000000000e+07,5.0469060000000000e+06,3.8363265000000000e+07,9.7456850100000000e+08,9.6595183500000000e+08,1.0984000000000000e+06
"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,9.0598714500000000e+08,2.2976933700000000e+08,4.2557220000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,1.1796398010000000e+09,4.5300350000000000e+06,1.1751097660000000e+09,1.1673378300000000e+08,7.3557300000000000e+05,1.1599821000000000e+08,1.6399919000000000e+08,1.3003590000000000e+07,1.5099560000000000e+08,1.4603727740000000e+09,1.4421035760000000e+09,1.3260990000000000e+06
"DANBURY",3.4000000000000000e+01,3.4000000000000000e+01,4.2778755000000000e+09,1.5415777000000000e+09,3.6230070000000000e+08,2.8469000000000000e+06,4.0258510000000000e+08,6.7246117000000000e+09,5.2482465000000000e+07,6.6721292350000000e+09,5.7118473000000000e+08,6.3924300000000000e+06,5.6479230000000000e+08,6.7692112000000000e+08,1.8009922700000000e+08,4.9682189300000000e+08,7.9727175500000000e+09,7.7337434280000000e+09,1.3742580000000000e+08
"DARIEN",3.5000000000000000e+01,3.5000000000000000e+01,7.3895520400000000e+09,6.2239847000000000e+08,3.2326000000000000e+06,5.4740000000000000e+05,3.8718200000000000e+07,8.1703062200000000e+09,3.6407430000000000e+06,8.1666654770000000e+09,2.4962302800000000e+08,8.9490000000000000e+04,2.4953353800000000e+08,1.7551958300000000e+08,1.7195730000000000e+06,1.7380001000000000e+08,8.5954488310000000e+09,8.5899990250000000e+09,1.1585751000000000e+08
"DEEP RIVER",3.6000000000000000e+01,3.6000000000000000e+01,3.7366620500000000e+08,3.4317080000000000e+07,1.6441460000000000e+07,1.8953900000000000e+06,3.1395000000000000e+06,4.3807707500000000e+08,7.5900000000000000e+05,4.3731807500000000e+08,3.6368760000000000e+07,1.7956000000000000e+05,3.6189200000000000e+07,4.0225410000000000e+07,1.0453540000000000e+07,2.9771870000000000e+07,5.1467124500000000e+08,5.0327914500000000e+08,8.6174400000000000e+06
"DERBY",3.7000000000000000e+01,3.7000000000000000e+01,4.6871809000000000e+08,1.0074491000000000e+08,8.3174900000000000e+06,5.4294000000000000e+05,1.8606030000000000e+07,6.0943777000000000e+08,3.6053200000000000e+06,6.0583245000000000e+08,7.1923776000000000e+07,4.2116000000000000e+05,7.1502616000000000e+07,4.5333891000000000e+07,3.8364570000000000e+06,4.1497434000000000e+07,7.2669543700000000e+08,7.1883250000000000e+08,1.2508310000000000e+07
"DURHAM",3.8000000000000000e+01,3.8000000000000000e+01,4.7361432000000000e+08,1.8929320000000000e+07,1.6907170000000000e+07,4.0425000000000000e+05,1.5241800000000000e+06,6.0336879000000000e+08,3.8224170000000000e+06,5.9954637300000000e+08,6.7683527000000000e+07,1.0953000000000000e+06,6.6588227000000000e+07,6.0127306000000000e+07,1.8934300000000000e+07,4.1193006000000000e+07,7.3117962300000000e+08,7.0732760600000000e+08,9.1989550000000000e+07
"EAST GRANBY",3.9000000000000000e+01,4.0000000000000000e+01,3.6009800000000000e+08,2.0011599000000000e+07,7.4492603000000000e+07,6.6680000000000000e+05,0.0000000000000000e+00,4.5733520200000000e+08,1.6288700000000000e+06,4.5570633200000000e+08,6.3347859000000000e+07,2.7926490000000000e+06,6.0555210000000000e+07,1.2740961000000000e+08,6.1707240000000000e+07,6.5702370000000000e+07,6.4809267100000000e+08,5.8196391200000000e+08,2.0662000000000000e+06
"EAST HADDAM",4.0000000000000000e+01,4.1000000000000000e+01,7.1366808000000000e+08,2.8878750000000000e+07,7.3451200000000000e+06,0.0000000000000000e+00,4.2756700000000000e+06,7.7577932000000000e+08,4.3334180000000000e+06,7.7144590200000000e+08,7.3098640000000000e+07,6.9457700000000000e+05,7.2404063000000000e+07,2.9301370000000000e+07,8.9842000000000000e+05,2.8402950000000000e+07,8.7817933000000000e+08,8.7225291500000000e+08,2.1611700000000000e+07
"EAST HAMPTON",4.1000000000000000e+01,4.2000000000000000e+01,9.1357251300000000e+08,5.4828502000000000e+07,8.0144100000000000e+06,0.0000000000000000e+00,2.5625030000000000e+06,1.0083711210000000e+09,7.5233420000000000e+06,1.0008477790000000e+09,1.0234300300000000e+08,7.5727500000000000e+05,1.0158572800000000e+08,3.8015970000000000e+07,2.4788300000000000e+06,3.5537140000000000e+07,1.1487300940000000e+09,1.1379706470000000e+09,2.9393193000000000e+07
"EAST HARTFORD",4.2000000000000000e+01,4.3000000000000000e+01,1.4521547070000000e+09,3.7650213600000000e+08,3.1334431900000000e+08,1.5709400000000000e+06,1.0898629600000000e+08,2.2773237840000000e+09,2.8005280000000000e+07,2.2493185040000000e+09,2.7533484000000000e+08,3.1739300000000000e+06,2.7216091000000000e+08,5.9259881000000000e+08,3.0211093000000000e+08,2.9048788000000000e+08,3.1452574340000000e+09,2.8119672940000000e+09,2.4765386000000000e+07
"EAST HAVEN",4.3000000000000000e+01,4.4000000000000000e+01,1.3818337500000000e+09,3.2485289000000000e+08,2.0640380000000000e+07,0.0000000000000000e+00,8.3012600000000000e+06,1.7516920800000000e+09,1.1468830000000000e+07,1.7402232500000000e+09,1.7445015300000000e+08,4.2498860000000000e+06,1.7020026700000000e+08,7.1020980000000000e+07,7.3267900000000000e+06,6.3694190000000000e+07,1.9971632130000000e+09,1.9741177070000000e+09,1.6063800000000000e+07
"EAST LYME",4.4000000000000000e+01,4.5000000000000000e+01,1.7261765910000000e+09,1.4495275900000000e+08,1.5442420000000000e+07,2.9158500000000000e+06,4.9681658000000000e+07,1.9819509080000000e+09,8.0860000000000000e+06,1.9738649080000000e+09,1.3828210800000000e+08,8.9323700000000000e+05,1.3738887100000000e+08,5.7063191000000000e+07,1.9027100000000000e+06,5.5160481000000000e+07,2.1772962070000000e+09,2.1664142600000000e+09,4.2781630000000000e+07
"EAST WINDSOR",4.5000000000000000e+01,4.7000000000000000e+01,4.7678475400000000e+08,1.8723381400000000e+08,6.8755660000000000e+07,0.0000000000000000e+00,4.0961440000000000e+07,7.9095733900000000e+08,1.1220000000000000e+06,7.8983533900000000e+08,1.0749420500000000e+08,8.1702600000000000e+06,9.9323945000000000e+07,1.0040416700000000e+08,3.0410840000000000e+07,6.9993327000000000e+07,9.9885571100000000e+08,9.5915261100000000e+08,1.7221671000000000e+07
"EASTFORD",4.6000000000000000e+01,3.9000000000000000e+01,1.1171014000000000e+08,5.8963000000000000e+06,3.0161100000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,1.2537207000000000e+08,7.0533500000000000e+05,1.2466673500000000e+08,1.4897190000000000e+07,1.2276000000000000e+05,1.4774430000000000e+07,2.0279661000000000e+07,1.3174020000000000e+07,7.1056410000000000e+06,1.6054892100000000e+08,1.4654680600000000e+08,4.7495200000000000e+06
"EASTON",4.7000000000000000e+01,4.6000000000000000e+01,1.1486029000000000e+09,1.2037100000000000e+07,1.4344300000000000e+06,2.2707680000000000e+07,0.0000000000000000e+00,1.1921332700000000e+09,2.8185300000000000e+06,1.1893147400000000e+09,7.7556395000000000e+07,4.4825000000000000e+05,7.7108145000000000e+07,1.8154364000000000e+07,1.3280400000000000e+06,1.6826324000000000e+07,1.2878440290000000e+09,1.2832492090000000e+09,7.3511600000000000e+06
"ELLINGTON",4.8000000000000000e+01,4.8000000000000000e+01,9.9108321100000000e+08,7.9009820000000000e+07,1.8013700000000000e+07,9.5647000000000000e+05,9.4203260000000000e+07,1.2063618710000000e+09,1.3149600000000000e+07,1.1932122710000000e+09,1.3919372500000000e+08,1.3264400000000000e+06,1.3786728500000000e+08,7.4431380000000000e+07,2.0591925000000000e+07,5.3839455000000000e+07,1.4199869760000000e+09,1.3849190110000000e+09,2.3095410000000000e+07
"ENFIELD",4.9000000000000000e+01,4.9000000000000000e+01,1.7910794200000000e+09,3.6319042500000000e+08,1.7513762000000000e+08,5.1338100000000000e+06,7.6085370000000000e+07,2.4386454750000000e+09,2.2427340000000000e+07,2.4162181350000000e+09,2.6928461000000000e+08,2.4979250000000000e+06,2.6678668500000000e+08,2.5180077100000000e+08,3.2987891000000000e+07,2.1881288000000000e+08,2.9597308560000000e+09,2.9018177000000000e+09,2.8018830000000000e+07
"ESSEX",5.0000000000000000e+01,5.0000000000000000e+01,8.0259014000000000e+08,1.1164127000000000e+08,3.3328750000000000e+07,0.0000000000000000e+00,3.3600000000000000e+04,9.4813526000000000e+08,1.4890400000000000e+06,9.4664622000000000e+08,7.0686060000000000e+07,4.1082200000000000e+06,6.6577840000000000e+07,5.2813980000000000e+07,1.5726010000000000e+07,3.7087970000000000e+07,1.0716353000000000e+09,1.0503120300000000e+09,5.4150000000000000e+05
"FAIRFIELD",5.1000000000000000e+01,5.1000000000000000e+01,8.9105433450000000e+09,9.9400987000000000e+08,4.1248410000000000e+07,3.6554210000000000e+07,1.0723650000000000e+07,1.0077333615000000e+10,2.6773180000000000e+07,1.0050560435000000e+10,5.2461134000000000e+08,4.6841800000000000e+06,5.1992716000000000e+08,3.1950079000000000e+08,2.3750498000000000e+07,2.9575029200000000e+08,1.0921445745000000e+10,1.0866237887000000e+10,8.4254130000000000e+07
"FARMINGTON",5.2000000000000000e+01,5.2000000000000000e+01,2.2232584400000000e+09,8.1836168000000000e+08,7.6490730000000000e+07,1.6145200000000000e+06,5.1803940000000000e+07,3.1942163800000000e+09,1.7602500000000000e+06,3.1924561300000000e+09,2.3383297500000000e+08,1.0374900000000000e+06,2.3279548500000000e+08,2.9911400000000000e+08,7.0332401000000000e+07,2.2878159900000000e+08,3.7271633550000000e+09,3.6540332140000000e+09,2.2687070000000000e+07
"FRANKLIN",5.3000000000000000e+01,5.3000000000000000e+01,1.1016272000000000e+08,3.3892032000000000e+07,3.9288600000000000e+06,0.0000000000000000e+00,8.3214000000000000e+05,1.6016143200000000e+08,4.3900000000000000e+05,1.5972243200000000e+08,2.2806310000000000e+07,1.1598800000000000e+06,2.1646430000000000e+07,3.4347650000000000e+07,1.5974200000000000e+06,3.2750230000000000e+07,2.1731539200000000e+08,2.1411909200000000e+08,1.1345680000000000e+07
"GLASTONBURY",5.4000000000000000e+01,5.4000000000000000e+01,2.9595543300000000e+09,5.4954010000000000e+08,7.4744900000000000e+07,6.5063000000000000e+06,6.9223400000000000e+07,3.7051725300000000e+09,4.5242000000000000e+06,3.7006483300000000e+09,3.0716840900000000e+08,1.4634420000000000e+06,3.0570496700000000e+08,1.8983987000000000e+08,1.7098100000000000e+07,1.7274177000000000e+08,4.2021808090000000e+09,4.1790950670000000e+09,4.5603500000000000e+07
"GOSHEN",5.5000000000000000e+01,5.5000000000000000e+01,4.5542471000000000e+08,1.7170760000000000e+07,6.5316000000000000e+05,2.4750600000000000e+06,1.5519000000000000e+05,5.1339819000000000e+08,1.6435000000000000e+06,5.1175469000000000e+08,3.1875680000000000e+07,2.0625000000000000e+05,3.1669430000000000e+07,1.2594700000000000e+07,1.9257000000000000e+06,1.0669000000000000e+07,5.5786857000000000e+08,5.5409312000000000e+08,3.7519310000000000e+07
"GRANBY",5.6000000000000000e+01,5.6000000000000000e+01,8.1032282000000000e+08,4.2644700000000000e+07,3.8093300000000000e+06,6.7788000000000000e+05,5.8762200000000000e+06,8.7607973000000000e+08,1.5923000000000000e+06,8.7448743000000000e+08,9.1965860000000000e+07,1.0069700000000000e+06,9.0958890000000000e+07,2.7779380000000000e+07,2.9926500000000000e+06,2.4786730000000000e+07,9.9582497000000000e+08,9.9023305000000000e+08,1.2748780000000000e+07
"GREENWICH",5.7000000000000000e+01,5.7000000000000000e+01,2.6464223770000000e+10,4.4739598990000000e+09,8.3471850000000000e+07,4.3973440000000000e+07,2.8205247000000000e+08,3.1460505049000000e+10,1.5055000000000000e+07,3.1445450049000000e+10,8.1801120500000000e+08,1.5562400000000000e+06,8.1645496500000000e+08,6.6898260000000000e+08,2.9547070000000000e+07,6.3943553000000000e+08,3.2947498854000000e+10,3.2901340544000000e+10,1.1282362000000000e+08
