Municipality,Mill Rates  FY 2012-13,Comments
"HADDAM",2.8989999999999998e+01,
"HAMDEN",3.7137000000000000e+01,
"HAMPTON",2.4800000000000001e+01,
"HARTFORD",7.4290000000000006e+01,
"HARTLAND",2.4000000000000000e+01,
"HARWINTON",2.4600000000000001e+01,
"HEBRON",3.3549999999999997e+01,
"KENT",1.4270000000000000e+01,
"KILLINGLY",1.9699999999999999e+01,
"KILLINGWORTH",2.4780000000000001e+01,
"LEBANON",2.3600000000000001e+01,
"LEDYARD",2.7930000000000000e+01,
"LISBON",1.9600000000000001e+01,
"LITCHFIELD",2.2199999999999999e+01,
"LYME",1.3500000000000000e+01,
"MADISON",1.9770000000000000e+01,
"MANCHESTER",3.5829999999999998e+01,
"MANSFIELD",2.7160000000000000e+01,
"MARLBOROUGH",3.1030000000000001e+01,
"MERIDEN",3.4700000000000003e+01,
"MIDDLEBURY",2.8070000000000000e+01,
"MIDDLEFIELD",3.2149999999999999e+01,
"MIDDLETOWN",2.6899999999999999e+01,
"MILFORD",2.5600000000000001e+01,
"MONROE",2.9260000000000002e+01,
"MONTVILLE",2.9329999999999998e+01,
"MORRIS",2.1899999999999999e+01,
"NAUGATUCK",3.3549999999999997e+01,
"NEW BRITAIN",3.6630000000000003e+01,
"NEW CANAAN",1.4076000000000001e+01,
"NEW FAIRFIELD",2.4660000000000000e+01,
"NEW HARTFORD",2.4800000000000001e+01,
"NEW HAVEN",3.8880000000000003e+01,
"NEW LONDON",2.6600000000000001e+01,
"NEW MILFORD",2.5370000000000001e+01,
"NEWINGTON",3.2640000000000001e+01,
"NEWTOWN",2.4539999999999999e+01,
"NORFOLK",2.0180000000000000e+01,
"NORTH BRANFORD",2.7770000000000000e+01,
"NORTH CANAAN",2.1500000000000000e+01,
"NORTH HAVEN",2.6539999999999999e+01,
