MUNICIPALITY,PER CAPITA INCOME - 2012 ESTIMATE
"PUTNAM",2.3526000000000000e+04
"REDDING",6.3081000000000000e+04
"RIDGEFIELD",7.7535000000000000e+04
"ROCKY HILL",3.9785000000000000e+04
"ROXBURY",6.1204000000000000e+04
"SALEM",4.1657000000000000e+04
"SALISBURY",4.5882000000000000e+04
"SCOTLAND",3.1576000000000000e+04
"SEYMOUR",3.3030000000000000e+04
"SHARON",4.8922000000000000e+04
"SHELTON",4.0559000000000000e+04
"SHERMAN",5.5920000000000000e+04
"SIMSBURY",5.7069000000000000e+04
"SOMERS",3.4655000000000000e+04
"SOUTH WINDSOR",4.0318000000000000e+04
"SOUTHBURY",4.2012000000000000e+04
"SOUTHINGTON",3.7876000000000000e+04
"SPRAGUE",3.2250000000000000e+04
"STAFFORD",2.8445000000000000e+04
"STAMFORD",4.3408000000000000e+04
"STERLING",2.6825000000000000e+04
"STONINGTON",4.4483000000000000e+04
"STRATFORD",3.3805000000000000e+04
"SUFFIELD",3.9646000000000000e+04
"THOMASTON",3.3123000000000000e+04
"THOMPSON",2.9044000000000000e+04
"TOLLAND",4.4177000000000000e+04
"TORRINGTON",2.7762000000000000e+04
"TRUMBULL",4.4885000000000000e+04
"UNION",3.4546000000000000e+04
"VERNON",3.4483000000000000e+04
"VOLUNTOWN",3.2718000000000000e+04
"WALLINGFORD",3.6244000000000000e+04
"WARREN",5.2310000000000000e+04
"WASHINGTON",5.2826000000000000e+04
"WATERBURY",2.1703000000000000e+04
"WATERFORD",3.8894000000000000e+04
"WATERTOWN",3.6503000000000000e+04
"WEST HARTFORD",4.6234000000000000e+04
"WEST HAVEN",2.7040000000000000e+04
"WESTBROOK",3.8303000000000000e+04
"WESTON",9.2022000000000000e+04
"WESTPORT",8.8920000000000000e+04
"WETHERSFIELD",3.9663000000000000e+04
"WILLINGTON",3.0773000000000000e+04
"WILTON",7.8574000000000000e+04
"WINCHESTER",2.9044000000000000e+04
"WINDHAM",2.0119000000000000e+04
"WINDSOR",3.5594000000000000e+04
"WINDSOR LOCKS",3.3313000000000000e+04
"WOLCOTT",3.4814000000000000e+04
"WOODBRIDGE",6.9179000000000000e+04
"WOODBURY",4.4020000000000000e+04
"WOODSTOCK",3.7611000000000000e+04
