MUNICIPALITY,AREA
"SOUTHBURY",3.8991999999999997e+01
"SOUTHINGTON",3.5911999999999999e+01
"SPRAGUE",1.3249000000000001e+01
"STAFFORD",5.8036000000000001e+01
"STAMFORD",3.7639000000000003e+01
"STERLING",2.7219999999999999e+01
"STONINGTON",3.8655999999999999e+01
"STRATFORD",1.7481000000000002e+01
"SUFFIELD",4.2262999999999998e+01
"THOMASTON",1.1968999999999999e+01
"THOMPSON",4.6902999999999999e+01
"TOLLAND",3.9627000000000002e+01
"TORRINGTON",3.9753999999999998e+01
"TRUMBULL",2.3323000000000000e+01
"UNION",2.8795999999999999e+01
"VERNON",1.7699000000000002e+01
"VOLUNTOWN",3.8960999999999999e+01
"WALLINGFORD",3.9039999999999999e+01
"WARREN",2.6309000000000001e+01
"WASHINGTON",3.8070999999999998e+01
"WATERBURY",2.8518999999999998e+01
"WATERFORD",3.2768000000000001e+01
"WATERTOWN",2.9006000000000000e+01
"WEST HARTFORD",2.1837000000000000e+01
"WEST HAVEN",1.0747000000000000e+01
"WESTBROOK",1.5782999999999999e+01
"WESTON",1.9798999999999999e+01
"WESTPORT",1.9957999999999998e+01
"WETHERSFIELD",1.2310000000000000e+01
"WILLINGTON",3.3293999999999997e+01
"WILTON",2.6805000000000000e+01
"WINCHESTER",3.2512000000000000e+01
"WINDHAM",2.6972000000000001e+01
"WINDSOR",2.9504000000000001e+01
"WINDSOR LOCKS",9.0239999999999991e+00
"WOLCOTT",2.0434999999999999e+01
"WOODBRIDGE",1.8812000000000001e+01
"WOODBURY",3.6399000000000001e+01
"WOODSTOCK",6.0645000000000003e+01
