MUNICIPALITY,Numbered,Dec2012 Labor Force,Dec2012 Unemployed
"NEW CANAAN",9.1000000000000000e+01,8.6180000000000000e+03,4.3400000000000000e+02
"NEW FAIRFIELD",9.2000000000000000e+01,7.4870000000000000e+03,4.5700000000000000e+02
"NEW HARTFORD",9.3000000000000000e+01,3.8520000000000000e+03,2.6300000000000000e+02
"NEW HAVEN",9.4000000000000000e+01,5.7620000000000000e+04,6.4680000000000000e+03
"NEW LONDON",9.5000000000000000e+01,1.3830000000000000e+04,1.5210000000000000e+03
"NEW MILFORD",9.6000000000000000e+01,1.5972000000000000e+04,9.8900000000000000e+02
"NEWINGTON",9.7000000000000000e+01,1.6881000000000000e+04,1.1320000000000000e+03
"NEWTOWN",9.8000000000000000e+01,1.4253000000000000e+04,7.5400000000000000e+02
"NORFOLK",9.9000000000000000e+01,9.7100000000000000e+02,7.3000000000000000e+01
"NORTH BRANFORD",1.0000000000000000e+02,8.1710000000000000e+03,5.3800000000000000e+02
"NORTH CANAAN",1.0100000000000000e+02,1.7130000000000000e+03,1.4800000000000000e+02
"NORTH HAVEN",1.0200000000000000e+02,1.2869000000000000e+04,8.2600000000000000e+02
"NORTH STONINGTON",1.0300000000000000e+02,3.1100000000000000e+03,2.0700000000000000e+02
"NORWALK",1.0400000000000000e+02,4.8437000000000000e+04,3.1500000000000000e+03
"NORWICH",1.0500000000000000e+02,2.1725000000000000e+04,2.0720000000000000e+03
"OLD LYME",1.0600000000000000e+02,4.0330000000000000e+03,2.5800000000000000e+02
"OLD SAYBROOK",1.0700000000000000e+02,5.2230000000000000e+03,3.2100000000000000e+02
"ORANGE",1.0800000000000000e+02,7.1040000000000000e+03,3.8000000000000000e+02
"OXFORD",1.0900000000000000e+02,7.2420000000000000e+03,4.3600000000000000e+02
"PLAINFIELD",1.1000000000000000e+02,8.3400000000000000e+03,9.0300000000000000e+02
"PLAINVILLE",1.1100000000000000e+02,1.0166000000000000e+04,7.5700000000000000e+02
"PLYMOUTH",1.1200000000000000e+02,6.8160000000000000e+03,5.9800000000000000e+02
"POMFRET",1.1300000000000000e+02,2.2520000000000000e+03,1.5100000000000000e+02
"PORTLAND",1.1400000000000000e+02,5.2600000000000000e+03,3.5000000000000000e+02
"PRESTON",1.1500000000000000e+02,2.6010000000000000e+03,1.9800000000000000e+02
"PROSPECT",1.1600000000000000e+02,5.1460000000000000e+03,3.8500000000000000e+02
"PUTNAM",1.1700000000000000e+02,5.2670000000000000e+03,4.4700000000000000e+02
"REDDING",1.1800000000000000e+02,4.7210000000000000e+03,2.4100000000000000e+02
"RIDGEFIELD",1.1900000000000000e+02,1.1732000000000000e+04,6.2300000000000000e+02
"ROCKY HILL",1.2000000000000000e+02,1.1017000000000000e+04,6.5500000000000000e+02
"ROXBURY",1.2100000000000000e+02,1.3110000000000000e+03,6.9000000000000000e+01
"SALEM",1.2200000000000000e+02,2.4750000000000000e+03,1.6600000000000000e+02
"SALISBURY",1.2300000000000000e+02,1.7810000000000000e+03,7.9000000000000000e+01
"SCOTLAND",1.2400000000000000e+02,9.8600000000000000e+02,4.7000000000000000e+01
"SEYMOUR",1.2500000000000000e+02,9.1720000000000000e+03,7.0800000000000000e+02
"SHARON",1.2600000000000000e+02,1.4060000000000000e+03,7.3000000000000000e+01
"SHELTON",1.2700000000000000e+02,2.2290000000000000e+04,1.5390000000000000e+03
"SHERMAN",1.2800000000000000e+02,1.8630000000000000e+03,8.3000000000000000e+01
"SIMSBURY",1.2900000000000000e+02,1.1794000000000000e+04,6.5800000000000000e+02
"SOMERS",1.3000000000000000e+02,4.8490000000000000e+03,4.1700000000000000e+02
"SOUTH WINDSOR",1.3100000000000000e+02,1.4381000000000000e+04,8.6600000000000000e+02
"SOUTHBURY",1.3200000000000000e+02,8.9310000000000000e+03,5.9100000000000000e+02
"SOUTHINGTON",1.3300000000000000e+02,2.4241000000000000e+04,1.5500000000000000e+03
"SPRAGUE",1.3400000000000000e+02,1.7030000000000000e+03,1.6400000000000000e+02
"STAFFORD",1.3500000000000000e+02,6.9010000000000000e+03,5.3600000000000000e+02
"STAMFORD",1.3600000000000000e+02,6.6940000000000000e+04,4.3080000000000000e+03
"STERLING",1.3700000000000000e+02,2.1320000000000000e+03,2.0200000000000000e+02
"STONINGTON",1.3800000000000000e+02,9.9210000000000000e+03,6.0000000000000000e+02
"STRATFORD",1.3900000000000000e+02,2.6652000000000000e+04,2.2190000000000000e+03
"SUFFIELD",1.4000000000000000e+02,7.5080000000000000e+03,4.6300000000000000e+02
"THOMASTON",1.4100000000000000e+02,4.5250000000000000e+03,3.4200000000000000e+02
"THOMPSON",1.4200000000000000e+02,5.3180000000000000e+03,4.1300000000000000e+02
"TOLLAND",1.4300000000000000e+02,8.3850000000000000e+03,4.4200000000000000e+02
"TORRINGTON",1.4400000000000000e+02,1.9460000000000000e+04,1.6830000000000000e+03
"TRUMBULL",1.4500000000000000e+02,1.8037000000000000e+04,1.1550000000000000e+03
"UNION",1.4600000000000000e+02,5.2400000000000000e+02,2.6000000000000000e+01
"VERNON",1.4700000000000000e+02,1.6911000000000000e+04,1.3220000000000000e+03
"VOLUNTOWN",1.4800000000000000e+02,1.5090000000000000e+03,1.2400000000000000e+02
"WALLINGFORD",1.4900000000000000e+02,2.5051000000000000e+04,1.8190000000000000e+03
"WARREN",1.5000000000000000e+02,7.7900000000000000e+02,5.0000000000000000e+01
"WASHINGTON",1.5100000000000000e+02,1.8570000000000000e+03,1.1100000000000000e+02
"WATERBURY",1.5200000000000000e+02,5.0281000000000000e+04,6.3970000000000000e+03
"WATERFORD",1.5300000000000000e+02,1.0240000000000000e+04,8.4500000000000000e+02
"WATERTOWN",1.5400000000000000e+02,1.1931000000000000e+04,9.2900000000000000e+02
"WEST HARTFORD",1.5500000000000000e+02,2.9810000000000000e+04,1.8500000000000000e+03
"WEST HAVEN",1.5600000000000000e+02,3.0754000000000000e+04,2.7580000000000000e+03
"WESTBROOK",1.5700000000000000e+02,3.7770000000000000e+03,2.3400000000000000e+02
"WESTON",1.5800000000000000e+02,4.7770000000000000e+03,2.4500000000000000e+02
"WESTPORT",1.5900000000000000e+02,1.2366000000000000e+04,7.0800000000000000e+02
"WETHERSFIELD",1.6000000000000000e+02,1.3396000000000000e+04,8.9000000000000000e+02
"WILLINGTON",1.6100000000000000e+02,3.7150000000000000e+03,1.9700000000000000e+02
"WILTON",1.6200000000000000e+02,8.2290000000000000e+03,4.3900000000000000e+02
"WINCHESTER",1.6300000000000000e+02,6.1480000000000000e+03,4.9200000000000000e+02
"WINDHAM",1.6400000000000000e+02,1.1954000000000000e+04,1.2360000000000000e+03
"WINDSOR",1.6500000000000000e+02,1.6093000000000000e+04,1.1800000000000000e+03
"WINDSOR LOCKS",1.6600000000000000e+02,6.8880000000000000e+03,5.3000000000000000e+02
"WOLCOTT",1.6700000000000000e+02,8.8400000000000000e+03,6.6900000000000000e+02
"WOODBRIDGE",1.6800000000000000e+02,4.6010000000000000e+03,2.4500000000000000e+02
"WOODBURY",1.6900000000000000e+02,5.5260000000000000e+03,3.0600000000000000e+02
"WOODSTOCK",1.7000000000000000e+02,4.4330000000000000e+03,2.9100000000000000e+02
