MUNICIPALITY,2013 TANF RECIPIENTS
"NORTH STONINGTON",1.0000000000000000e+01
"NORWALK",4.0900000000000000e+02
"NORWICH",8.4600000000000000e+02
"OLD LYME",1.4000000000000000e+01
"OLD SAYBROOK",1.3000000000000000e+01
"ORANGE",1.2000000000000000e+01
"OXFORD",1.5000000000000000e+01
"PLAINFIELD",1.6800000000000000e+02
"PLAINVILLE",1.0300000000000000e+02
"PLYMOUTH",7.0000000000000000e+01
"POMFRET",9.0000000000000000e+00
"PORTLAND",3.7000000000000000e+01
"PRESTON",1.8000000000000000e+01
"PROSPECT",1.8000000000000000e+01
"PUTNAM",1.2800000000000000e+02
"REDDING",2.0000000000000000e+00
"RIDGEFIELD",3.0000000000000000e+00
"ROCKY HILL",2.9000000000000000e+01
"ROXBURY",0.0000000000000000e+00
"SALEM",1.5000000000000000e+01
"SALISBURY",2.0000000000000000e+00
"SCOTLAND",9.0000000000000000e+00
"SEYMOUR",6.7000000000000000e+01
"SHARON",8.0000000000000000e+00
"SHELTON",1.3100000000000000e+02
"SHERMAN",1.0000000000000000e+00
"SIMSBURY",2.1000000000000000e+01
"SOMERS",2.2000000000000000e+01
"SOUTH WINDSOR",4.3000000000000000e+01
"SOUTHBURY",2.0000000000000000e+01
"SOUTHINGTON",1.4200000000000000e+02
"SPRAGUE",4.4000000000000000e+01
"STAFFORD",6.8000000000000000e+01
"STAMFORD",7.8800000000000000e+02
"STERLING",2.8000000000000000e+01
"STONINGTON",9.6000000000000000e+01
"STRATFORD",3.0800000000000000e+02
"SUFFIELD",2.2000000000000000e+01
"THOMASTON",2.3000000000000000e+01
"THOMPSON",6.3000000000000000e+01
"TOLLAND",2.2000000000000000e+01
"TORRINGTON",2.9600000000000000e+02
"TRUMBULL",4.0000000000000000e+01
"UNION",0.0000000000000000e+00
"VERNON",2.7100000000000000e+02
"VOLUNTOWN",1.3000000000000000e+01
"WALLINGFORD",1.4300000000000000e+02
"WARREN",0.0000000000000000e+00
"WASHINGTON",3.0000000000000000e+00
"WATERBURY",3.6500000000000000e+03
"WATERFORD",5.5000000000000000e+01
"WATERTOWN",8.7000000000000000e+01
"WEST HARTFORD",2.2000000000000000e+02
"WEST HAVEN",7.1800000000000000e+02
"WESTBROOK",9.0000000000000000e+00
"WESTON",5.0000000000000000e+00
"WESTPORT",1.9000000000000000e+01
"WETHERSFIELD",6.5000000000000000e+01
"WILLINGTON",2.3000000000000000e+01
"WILTON",6.0000000000000000e+00
"WINCHESTER",8.3000000000000000e+01
"WINDHAM",6.9200000000000000e+02
"WINDSOR",1.7700000000000000e+02
"WINDSOR LOCKS",9.3000000000000000e+01
"WOLCOTT",5.0000000000000000e+01
"WOODBRIDGE",1.2000000000000000e+01
"WOODBURY",1.5000000000000000e+01
"WOODSTOCK",1.2000000000000000e+01
