TANF13%,TANF12%,MUNICIPALITY,numbered,2012 TANF RECIPIENTS,2013 TANF RECIPIENTS,SortID
4.1220115416323163e-03,3.9571310799670243e-03,"BEACON FALLS",6.0000000000000000e+00,2.4000000000000000e+01,2.5000000000000000e+01,54
4.0456494173057179e-03,5.3136887869090028e-03,"SEYMOUR",1.2500000000000000e+02,8.8000000000000000e+01,6.7000000000000000e+01,55
3.9081802255064909e-03,3.6386505547819055e-03,"WATERTOWN",1.5400000000000000e+02,8.1000000000000000e+01,8.7000000000000000e+01,56
3.9062500000000000e-03,3.4839527027027027e-03,"PORTLAND",1.1400000000000000e+02,3.3000000000000000e+01,3.7000000000000000e+01,57
3.8371705038371703e-03,4.1708375041708372e-03,"WILLINGTON",1.6100000000000000e+02,2.5000000000000000e+01,2.3000000000000000e+01,58
3.8200339558573855e-03,2.9711375212224107e-03,"MORRIS",8.8000000000000000e+01,7.0000000000000000e+00,9.0000000000000000e+00,59
3.7907505686125853e-03,5.6861258529188781e-03,"BOZRAH",1.3000000000000000e+01,1.5000000000000000e+01,1.0000000000000000e+01,60
3.7870818430464971e-03,3.7870818430464971e-03,"PRESTON",1.1500000000000000e+02,1.8000000000000000e+01,1.8000000000000000e+01,61
3.7453183520599251e-03,1.6051364365971107e-03,"HAMPTON",6.4000000000000000e+01,3.0000000000000000e+00,7.0000000000000000e+00,62
3.5816618911174787e-03,4.5367717287488063e-03,"SALEM",1.2200000000000000e+02,1.9000000000000000e+01,1.5000000000000000e+01,63
3.4970025692263773e-03,3.9965743648301454e-03,"BRANFORD",1.4000000000000000e+01,1.1200000000000000e+02,9.8000000000000000e+01,64
3.4769415557733036e-03,3.9194613901444514e-03,"WEST HARTFORD",1.5500000000000000e+02,2.4800000000000000e+02,2.2000000000000000e+02,65
3.2693281760832527e-03,3.2923516139429939e-03,"SOUTHINGTON",1.3300000000000000e+02,1.4300000000000000e+02,1.4200000000000000e+02,66
3.2537691562554332e-03,3.3531208862174313e-03,"SHELTON",1.2700000000000000e+02,1.3500000000000000e+02,1.3100000000000000e+02,67
3.2193158953722333e-03,3.1388329979879274e-03,"COVENTRY",3.2000000000000000e+01,3.9000000000000000e+01,4.0000000000000000e+01,68
3.1991098129216218e-03,3.4772932749148064e-03,"NORTH BRANFORD",1.0000000000000000e+02,5.0000000000000000e+01,4.6000000000000000e+01,69
3.1898227666521959e-03,3.4540684396293011e-03,"MILFORD",8.5000000000000000e+01,1.8300000000000000e+02,1.6900000000000000e+02,70
3.1651873658115498e-03,3.3865291396445252e-03,"WALLINGFORD",1.4900000000000000e+02,1.5300000000000000e+02,1.4300000000000000e+02,71
3.0562347188264061e-03,3.3618581907090463e-03,"ANDOVER",1.0000000000000000e+00,1.1000000000000000e+01,1.0000000000000000e+01,72
2.9897153790959100e-03,2.5711552260224827e-03,"WOLCOTT",1.6700000000000000e+02,4.3000000000000000e+01,5.0000000000000000e+01,73
2.9532614278376989e-03,3.3384694401643552e-03,"THOMASTON",1.4100000000000000e+02,2.6000000000000000e+01,2.3000000000000000e+01,74
2.9459313813544100e-03,3.3770432908209087e-03,"NEW MILFORD",9.6000000000000000e+01,9.4000000000000000e+01,8.2000000000000000e+01,75
2.9122679286494356e-03,2.1842009464870769e-03,"SHARON",1.2600000000000000e+02,6.0000000000000000e+00,8.0000000000000000e+00,76
2.8796605031827828e-03,2.9554410427402242e-03,"CLINTON",2.7000000000000000e+01,3.9000000000000000e+01,3.8000000000000000e+01,77
