Municipality,Millrate FY 2013-14
"NORTH HAVEN",2.8100000000000001e+01
"NORTH STONINGTON",2.5600000000000001e+01
"NORWALK",2.2141999999999999e+01
"NORWICH",2.7230000000000000e+01
"OLD LYME",1.9300000000000001e+01
"OLD SAYBROOK",1.5199999999999999e+01
"ORANGE",3.0500000000000000e+01
"OXFORD",2.4750000000000000e+01
"PLAINFIELD",2.8359999999999999e+01
"PLAINVILLE",3.1379999999999999e+01
"PLYMOUTH",3.5450000000000003e+01
"POMFRET",2.3789999999999999e+01
"PORTLAND",3.1280000000000001e+01
"PRESTON",2.3699999999999999e+01
"PROSPECT",2.8079999999999998e+01
"PUTNAM",1.5070000000000000e+01
"REDDING",2.8949999999999999e+01
"RIDGEFIELD",2.5379999999999999e+01
"ROCKY HILL",2.6600000000000001e+01
"ROXBURY",1.3300000000000001e+01
"SALEM",3.0100000000000001e+01
"SALISBURY",1.0400000000000000e+01
"SCOTLAND",3.0359999999999999e+01
"SEYMOUR",3.3229999999999997e+01
"SHARON",1.1699999999999999e+01
"SHELTON",2.2309999999999999e+01
"SHERMAN",1.6844999999999999e+01
"SIMSBURY",3.7289999999999999e+01
"SOMERS",2.3370000000000001e+01
"SOUTH WINDSOR",3.4899999999999999e+01
"SOUTHBURY",2.6399999999999999e+01
"SOUTHINGTON",2.7460000000000001e+01
"SPRAGUE",3.0000000000000000e+01
"STAFFORD",3.3060000000000002e+01
"STAMFORD",2.4039999999999999e+01
"STERLING",3.1500000000000000e+01
"STONINGTON",1.9879999999999999e+01
"STRATFORD",3.4640000000000001e+01
"SUFFIELD",2.5160000000000000e+01
"THOMASTON",3.3130000000000003e+01
"THOMPSON",2.2420000000000002e+01
"TOLLAND",3.0190000000000001e+01
"TORRINGTON",3.4460000000000001e+01
"TRUMBULL",3.1286000000000001e+01
"UNION",2.4370000000000001e+01
"VERNON",3.5399999999999999e+01
"VOLUNTOWN",2.4250000000000000e+01
"WALLINGFORD",2.6219999999999999e+01
"WARREN",1.3900000000000000e+01
"WASHINGTON",1.1750000000000000e+01
"WATERBURY",5.6979999999999997e+01
"WATERFORD",2.4050000000000001e+01
"WATERTOWN",2.5090000000000000e+01
"WEST HARTFORD",3.6299999999999997e+01
"WEST HAVEN",3.1250000000000000e+01
"WESTBROOK",2.0980000000000000e+01
"WESTON",2.3890000000000001e+01
"WESTPORT",1.8070000000000000e+01
"WETHERSFIELD",3.3460000000000001e+01
"WILLINGTON",2.4379999999999999e+01
"WILTON",2.5989599999999999e+01
"WINCHESTER",3.1199999999999999e+01
"WINDHAM",2.9059999999999999e+01
"WINDSOR",2.7329999999999998e+01
"WINDSOR LOCKS",2.4539999999999999e+01
"WOLCOTT",2.5910000000000000e+01
"WOODBRIDGE",3.4140000000000001e+01
"WOODBURY",2.3399999999999999e+01
"WOODSTOCK",2.2280000000000001e+01
