Sort ID,Municipality,numbered,MEDIAN HOUSEHOLD INCOME - 2013 ESTIMATE,Population_Range,PercentOfStateMedian
28,"MONROE",8.6000000000000000e+01,1.0358900000000000e+05,"10,000 to 30,000",1.4913260678654210e+00
29,"NEW FAIRFIELD",9.2000000000000000e+01,1.0310000000000000e+05,"10,000 to 30,000",1.4842861461827501e+00
30,"OXFORD",1.0900000000000000e+02,1.0216700000000000e+05,"0 to 10,000",1.4708541483710282e+00
31,"WARREN",1.5000000000000000e+02,1.0097200000000000e+05,"0 to 10,000",1.4536502497804524e+00
32,"SALEM",1.2200000000000000e+02,1.0062500000000000e+05,"0 to 10,000",1.4486546407336491e+00
33,"BETHANY",8.0000000000000000e+00,1.0008300000000000e+05,"0 to 10,000",1.4408517009544926e+00
34,"SOMERS",1.3000000000000000e+02,9.8846000000000000e+04,"0 to 10,000",1.4230431465138711e+00
35,"PROSPECT",1.1600000000000000e+02,9.8151000000000000e+04,"0 to 10,000",1.4130375318524064e+00
36,"GRANBY",5.6000000000000000e+01,9.7894000000000000e+04,"0 to 10,000",1.4093376139128431e+00
37,"COLCHESTER",2.8000000000000000e+01,9.6774000000000000e+04,"10,000 to 30,000",1.3932134579116338e+00
38,"MIDDLEFIELD",8.3000000000000000e+01,9.6765000000000000e+04,"0 to 10,000",1.3930838888009098e+00
39,"MIDDLEBURY",8.2000000000000000e+01,9.6181000000000000e+04,"0 to 10,000",1.3846762931717078e+00
40,"GUILFORD",6.1000000000000000e+01,9.6151000000000000e+04,"10,000 to 30,000",1.3842443961359612e+00
41,"EAST HAMPTON",4.1000000000000000e+01,9.4747000000000000e+04,"10,000 to 30,000",1.3640316148630167e+00
42,"HADDAM",6.2000000000000000e+01,9.3824000000000000e+04,"0 to 10,000",1.3507435827298773e+00
43,"COVENTRY",3.2000000000000000e+01,9.3816000000000000e+04,"10,000 to 30,000",1.3506284101870114e+00
44,"SUFFIELD",1.4000000000000000e+02,9.2737000000000000e+04,"10,000 to 30,000",1.3350945134679892e+00
45,"COLUMBIA",3.0000000000000000e+01,9.0725000000000000e+04,"0 to 10,000",1.3061286189372454e+00
46,"SOUTH WINDSOR",1.3100000000000000e+02,9.0499000000000000e+04,"10,000 to 30,000",1.3028749946012870e+00
47,"ROXBURY",1.2100000000000000e+02,9.0250000000000000e+04,"0 to 10,000",1.2992902492045897e+00
48,"BARKHAMSTED",5.0000000000000000e+00,8.9911000000000000e+04,"0 to 10,000",1.2944098127006523e+00
49,"FRANKLIN",5.3000000000000000e+01,8.9643000000000000e+04,"0 to 10,000",1.2905515325146486e+00
50,"EAST HADDAM",4.0000000000000000e+01,8.9615000000000000e+04,"0 to 10,000",1.2901484286146183e+00
51,"HARWINTON",6.7000000000000000e+01,8.9102000000000000e+04,"0 to 10,000",1.2827629893033501e+00
52,"FARMINGTON",5.2000000000000000e+01,8.8935000000000000e+04,"10,000 to 30,000",1.2803587624710269e+00
53,"PORTLAND",1.1400000000000000e+02,8.8693000000000000e+04,"0 to 10,000",1.2768747930493369e+00
54,"ANDOVER",1.0000000000000000e+00,8.8438000000000000e+04,"0 to 10,000",1.2732036682454904e+00
55,"HARTLAND",6.6000000000000000e+01,8.8362000000000000e+04,"0 to 10,000",1.2721095290882654e+00
56,"CANTON",2.3000000000000000e+01,8.7891000000000000e+04,"0 to 10,000",1.2653287456270426e+00
57,"BRIDGEWATER",1.6000000000000000e+01,8.7875000000000000e+04,"0 to 10,000",1.2650984005413108e+00
58,"LEDYARD",7.3000000000000000e+01,8.7518000000000000e+04,"10,000 to 30,000",1.2599588258159256e+00
59,"BERLIN",7.0000000000000000e+00,8.7432000000000000e+04,"10,000 to 30,000",1.2587207209801183e+00
60,"OLD LYME",1.0600000000000000e+02,8.7416000000000000e+04,"0 to 10,000",1.2584903758943868e+00
61,"BOLTON",1.2000000000000000e+01,8.6890000000000000e+04,"0 to 10,000",1.2509177812009618e+00
62,"LITCHFIELD",7.5000000000000000e+01,8.6801000000000000e+04,"0 to 10,000",1.2496364866615799e+00
63,"NEW HARTFORD",9.3000000000000000e+01,8.6354000000000000e+04,"0 to 10,000",1.2432012208289545e+00
64,"ESSEX",5.0000000000000000e+01,8.6298000000000000e+04,"0 to 10,000",1.2423950130288939e+00
65,"NORTH HAVEN",1.0200000000000000e+02,8.6250000000000000e+04,"10,000 to 30,000",1.2417039777716992e+00
66,"SHELTON",1.2700000000000000e+02,8.6138000000000000e+04,"30,000 to 70,000",1.2400915621715782e+00
67,"BETHEL",9.0000000000000000e+00,8.5589000000000000e+04,"10,000 to 30,000",1.2321878464174141e+00
68,"BEACON FALLS",6.0000000000000000e+00,8.5280000000000000e+04,"0 to 10,000",1.2277393069492233e+00
69,"LYME",7.6000000000000000e+01,8.5263000000000000e+04,"0 to 10,000",1.2274945652956335e+00
70,"POMFRET",1.1300000000000000e+02,8.4918000000000000e+04,"0 to 10,000",1.2225277493845468e+00
71,"NORTH BRANFORD",1.0000000000000000e+02,8.4783000000000000e+04,"10,000 to 30,000",1.2205842127236868e+00
72,"ELLINGTON",4.8000000000000000e+01,8.4699000000000000e+04,"10,000 to 30,000",1.2193749010235959e+00
73,"WOLCOTT",1.6700000000000000e+02,8.3993000000000000e+04,"10,000 to 30,000",1.2092109241156908e+00
74,"MORRIS",8.8000000000000000e+01,8.3958000000000000e+04,"0 to 10,000",1.2087070442406531e+00
75,"BETHLEHEM",1.0000000000000000e+01,8.3871000000000000e+04,"0 to 10,000",1.2074545428369876e+00
76,"UNION",1.4600000000000000e+02,8.3850000000000000e+04,"0 to 10,000",1.2071522149119649e+00
77,"LEBANON",7.2000000000000000e+01,8.3651000000000000e+04,"0 to 10,000",1.2042872979081787e+00
78,"EASTFORD",4.6000000000000000e+01,8.3015000000000000e+04,"0 to 10,000",1.1951310807503490e+00
79,"NORTH STONINGTON",1.0300000000000000e+02,8.2900000000000000e+04,"0 to 10,000",1.1934754754466534e+00
80,"WEST HARTFORD",1.5500000000000000e+02,8.2322000000000000e+04,"30,000 to 70,000",1.1851542592246009e+00
81,"WOODBURY",1.6900000000000000e+02,8.1597000000000000e+04,"0 to 10,000",1.1747167475273894e+00
82,"STONINGTON",1.3800000000000000e+02,8.1026000000000000e+04,"10,000 to 30,000",1.1664963072803443e+00
83,"NEW MILFORD",9.6000000000000000e+01,8.0792000000000000e+04,"10,000 to 30,000",1.1631275104015202e+00
84,"MILFORD",8.5000000000000000e+01,8.0460000000000000e+04,"30,000 to 70,000",1.1583478498725903e+00
85,"WASHINGTON",1.5100000000000000e+02,8.0160000000000000e+04,"0 to 10,000",1.1540288795151237e+00
86,"LISBON",7.4000000000000000e+01,8.0129000000000000e+04,"0 to 10,000",1.1535825859115187e+00
87,"WATERTOWN",1.5400000000000000e+02,8.0067000000000000e+04,"10,000 to 30,000",1.1526899987043089e+00
88,"SOUTHINGTON",1.3300000000000000e+02,8.0029000000000000e+04,"30,000 to 70,000",1.1521429291256964e+00
89,"GOSHEN",5.5000000000000000e+01,7.9850000000000000e+04,"0 to 10,000",1.1495659434790746e+00
90,"COLEBROOK",2.9000000000000000e+01,7.9667000000000000e+04,"0 to 10,000",1.1469313715610199e+00
91,"WINDSOR LOCKS",1.6600000000000000e+02,7.9528000000000000e+04,"10,000 to 30,000",1.1449302486287269e+00
92,"BOZRAH",1.3000000000000000e+01,7.8580000000000000e+04,"0 to 10,000",1.1312823022991318e+00
93,"EAST LYME",4.4000000000000000e+01,7.8257000000000000e+04,"10,000 to 30,000",1.1266322108809259e+00
94,"SCOTLAND",1.2400000000000000e+02,7.8250000000000000e+04,"0 to 10,000",1.1265314349059183e+00
95,"WETHERSFIELD",1.6000000000000000e+02,7.7740000000000000e+04,"10,000 to 30,000",1.1191891852982250e+00
96,"ROCKY HILL",1.2000000000000000e+02,7.7560000000000000e+04,"10,000 to 30,000",1.1165978030837449e+00
97,"NEWINGTON",9.7000000000000000e+01,7.7368000000000000e+04,"10,000 to 30,000",1.1138336620549660e+00
98,"WOODSTOCK",1.7000000000000000e+02,7.7366000000000000e+04,"0 to 10,000",1.1138048689192497e+00
99,"STAMFORD",1.3600000000000000e+02,7.6779000000000000e+04,"70,000 & Up",1.1053540835864730e+00
100,"THOMASTON",1.4100000000000000e+02,7.6692000000000000e+04,"0 to 10,000",1.1041015821828075e+00
101,"VOLUNTOWN",1.4800000000000000e+02,7.5938000000000000e+04,"0 to 10,000",1.0932465700177079e+00
102,"CROMWELL",3.3000000000000000e+01,7.5859000000000000e+04,"10,000 to 30,000",1.0921092411569082e+00
103,"OLD SAYBROOK",1.0700000000000000e+02,7.5549000000000000e+04,"0 to 10,000",1.0876463051208591e+00
104,"SEYMOUR",1.2500000000000000e+02,7.5426000000000000e+04,"10,000 to 30,000",1.0858755272742977e+00
105,"CHAPLIN",2.4000000000000000e+01,7.5368000000000000e+04,"0 to 10,000",1.0850405263385210e+00
106,"WALLINGFORD",1.4900000000000000e+02,7.5346000000000000e+04,"30,000 to 70,000",1.0847238018456400e+00
107,"ASHFORD",3.0000000000000000e+00,7.5127000000000000e+04,"0 to 10,000",1.0815709534846893e+00
108,"CHESTER",2.6000000000000000e+01,7.4911000000000000e+04,"0 to 10,000",1.0784612948273131e+00
109,"NORWALK",1.0400000000000000e+02,7.4728000000000000e+04,"70,000 & Up",1.0758267229092584e+00
110,"HAMPTON",6.4000000000000000e+01,7.4559000000000000e+04,"0 to 10,000",1.0733937029412188e+00
111,"PRESTON",1.1500000000000000e+02,7.4141000000000000e+04,"0 to 10,000",1.0673759375764817e+00
112,"SHARON",1.2600000000000000e+02,7.4083000000000000e+04,"0 to 10,000",1.0665409366407048e+00
113,"SOUTHBURY",1.3200000000000000e+02,7.3341000000000000e+04,"10,000 to 30,000",1.0558586832899037e+00
114,"WATERFORD",1.5300000000000000e+02,7.3156000000000000e+04,"10,000 to 30,000",1.0531953182361324e+00
115,"BLOOMFIELD",1.1000000000000000e+01,7.3104000000000000e+04,"10,000 to 30,000",1.0524466967075050e+00
116,"CANTERBURY",2.2000000000000000e+01,7.3038000000000000e+04,"0 to 10,000",1.0514965232288622e+00
117,"EAST WINDSOR",4.5000000000000000e+01,7.2785000000000000e+04,"0 to 10,000",1.0478541915607320e+00
118,"WILLINGTON",1.6100000000000000e+02,7.2011000000000000e+04,"0 to 10,000",1.0367112480384677e+00
119,"CLINTON",2.7000000000000000e+01,7.1599000000000000e+04,"10,000 to 30,000",1.0307798620808799e+00
120,"NORFOLK",9.9000000000000000e+01,7.1538000000000000e+04,"0 to 10,000",1.0299016714415283e+00
121,"DEEP RIVER",3.6000000000000000e+01,7.1500000000000000e+04,"0 to 10,000",1.0293546018629158e+00
122,"EAST GRANBY",3.9000000000000000e+01,7.1250000000000000e+04,"0 to 10,000",1.0257554598983603e+00
123,"BRANFORD",1.4000000000000000e+01,7.0785000000000000e+04,"10,000 to 30,000",1.0190610558442867e+00
124,"PLYMOUTH",1.1200000000000000e+02,7.0273000000000000e+04,"10,000 to 30,000",1.0116900131008768e+00
125,"STERLING",1.3700000000000000e+02,6.8833000000000000e+04,"0 to 10,000",9.9095895538503620e-01
126,"HAMDEN",6.3000000000000000e+01,6.8794000000000000e+04,"30,000 to 70,000",9.9039748923856552e-01
127,"MONTVILLE",8.7000000000000000e+01,6.8298000000000000e+04,"10,000 to 30,000",9.8325679158088708e-01
128,"SALISBURY",1.2300000000000000e+02,6.8094000000000000e+04,"0 to 10,000",9.8031989173780976e-01
129,"CORNWALL",3.1000000000000000e+01,6.7500000000000000e+04,"0 to 10,000",9.7176833043002553e-01
130,"ENFIELD",4.9000000000000000e+01,6.7191000000000000e+04,"30,000 to 70,000",9.6731979096183474e-01
131,"SPRAGUE",1.3400000000000000e+02,6.6622000000000000e+04,"0 to 10,000",9.5912814385050604e-01
132,"WINDSOR",1.6500000000000000e+02,6.6583000000000000e+04,"10,000 to 30,000",9.5856667770403536e-01
133,"STRATFORD",1.3900000000000000e+02,6.6361000000000000e+04,"30,000 to 70,000",9.5537063963950997e-01
134,"MANSFIELD",7.9000000000000000e+01,6.6143000000000000e+04,"10,000 to 30,000",9.5223218784641739e-01
135,"CANAAN",2.1000000000000000e+01,6.5000000000000000e+04,"0 to 10,000",9.3577691078446901e-01
136,"THOMPSON",1.4200000000000000e+02,6.4974000000000000e+04,"0 to 10,000",9.3540260002015518e-01
137,"DANBURY",3.4000000000000000e+01,6.4969000000000000e+04,"30,000 to 70,000",9.3533061718086408e-01
138,"KENT",6.9000000000000000e+01,6.4038000000000000e+04,"0 to 10,000",9.2192741250485888e-01
139,"EAST HAVEN",4.3000000000000000e+01,6.3673000000000000e+04,"10,000 to 30,000",9.1667266523660762e-01
140,"MANCHESTER",7.8000000000000000e+01,6.3274000000000000e+04,"30,000 to 70,000",9.1092843466117679e-01
141,"WESTBROOK",1.5700000000000000e+02,6.2832000000000000e+04,"0 to 10,000",9.0456515166784235e-01
142,"PLAINFIELD",1.1000000000000000e+02,6.2708000000000000e+04,"10,000 to 30,000",9.0277997725342274e-01
143,"STAFFORD",1.3500000000000000e+02,6.1959000000000000e+04,"10,000 to 30,000",8.9199694792761408e-01
144,"VERNON",1.4700000000000000e+02,6.1038000000000000e+04,"10,000 to 30,000",8.7873770893019110e-01
145,"GROTON",5.9000000000000000e+01,6.0684000000000000e+04,"30,000 to 70,000",8.7364132390838023e-01
146,"PLAINVILLE",1.1100000000000000e+02,6.0630000000000000e+04,"10,000 to 30,000",8.7286390924403623e-01
147,"MIDDLETOWN",8.4000000000000000e+01,5.9994000000000000e+04,"30,000 to 70,000",8.6370769208620668e-01
148,"GRISWOLD",5.8000000000000000e+01,5.9387000000000000e+04,"10,000 to 30,000",8.5496897539626548e-01
149,"BROOKLYN",1.9000000000000000e+01,5.9262000000000000e+04,"0 to 10,000",8.5316940441398770e-01
150,"NAUGATUCK",8.9000000000000000e+01,5.9056000000000000e+04,"30,000 to 70,000",8.5020371143519380e-01
151,"WINCHESTER",1.6300000000000000e+02,5.8458000000000000e+04,"10,000 to 30,000",8.4159456385597675e-01
152,"BRISTOL",1.7000000000000000e+01,5.7610000000000000e+04,"30,000 to 70,000",8.2938627431220402e-01
153,"KILLINGLY",7.0000000000000000e+01,5.7205000000000000e+04,"10,000 to 30,000",8.2355566432962379e-01
154,"DERBY",3.7000000000000000e+01,5.3098000000000000e+04,"10,000 to 30,000",7.6442896013590356e-01
155,"MERIDEN",8.1000000000000000e+01,5.2590000000000000e+04,"30,000 to 70,000",7.5711550366392655e-01
156,"WEST HAVEN",1.5600000000000000e+02,5.2353000000000000e+04,"30,000 to 70,000",7.5370351708152772e-01
157,"TORRINGTON",1.4400000000000000e+02,5.1951000000000000e+04,"30,000 to 70,000",7.4791609680252225e-01
158,"EAST HARTFORD",4.2000000000000000e+01,5.0400000000000000e+04,"30,000 to 70,000",7.2558702005441900e-01
159,"NORTH CANAAN",1.0100000000000000e+02,4.9746000000000000e+04,"0 to 10,000",7.1617166467514148e-01
160,"NORWICH",1.0500000000000000e+02,4.8597000000000000e+04,"30,000 to 70,000",6.9963000820604371e-01
161,"PUTNAM",1.1700000000000000e+02,4.6627000000000000e+04,"0 to 10,000",6.7126876952534520e-01
162,"ANSONIA",2.0000000000000000e+00,4.5505000000000000e+04,"10,000 to 30,000",6.5511582038841942e-01
163,"NEW LONDON",9.5000000000000000e+01,4.3307000000000000e+04,"10,000 to 30,000",6.2347216423604612e-01
164,"WINDHAM",1.6400000000000000e+02,4.1639000000000000e+04,"10,000 to 30,000",5.9945868904853084e-01
165,"BRIDGEPORT",1.5000000000000000e+01,4.1050000000000000e+04,"70,000 & Up",5.9097911058003771e-01
166,"WATERBURY",1.5200000000000000e+02,4.0639000000000000e+04,"70,000 & Up",5.8506212119030820e-01
167,"NEW BRITAIN",9.0000000000000000e+01,4.0294000000000000e+04,"70,000 & Up",5.8009530527922148e-01
168,"NEW HAVEN",9.4000000000000000e+01,3.7428000000000000e+04,"70,000 & Up",5.3883474179755542e-01
169,"HARTFORD",6.5000000000000000e+01,2.9430000000000000e+04,"70,000 & Up",4.2369099206749111e-01
