Municipality,numbered,Comptroller Town Code,County,Total Units,1 Unit,2 Unit,3 and 4 Units,5 Units or More,Demolitions
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,"Litchfield",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,"Hartford",2.8000000000000000e+01,2.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3000000000000000e+01
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,"Fairfield",2.5000000000000000e+01,3.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000000e+00,1.4000000000000000e+01,2.0000000000000000e+00
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,"Windham",2.6000000000000000e+01,2.2000000000000000e+01,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.0000000000000000e+00
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,"Hartford",2.3000000000000000e+01,2.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,"Litchfield",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,"Windham",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,"Hartford",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,"Windham",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,"New Haven",2.4000000000000000e+01,2.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000000e+00
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,"Middlesex",5.8000000000000000e+01,5.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,"Middlesex",1.7000000000000000e+01,1.5000000000000000e+01,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.0000000000000000e+00
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,"New London",2.5000000000000000e+01,2.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"COLEBROOK",2.9000000000000000e+01,2.9000000000000000e+01,"Litchfield",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"COLUMBIA",3.0000000000000000e+01,3.0000000000000000e+01,"Tolland",1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00
"CORNWALL",3.1000000000000000e+01,3.1000000000000000e+01,"Litchfield",1.4000000000000000e+01,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,0.0000000000000000e+00
"COVENTRY",3.2000000000000000e+01,3.2000000000000000e+01,"Tolland",2.4000000000000000e+01,2.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00
"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,"Middlesex",4.2000000000000000e+01,4.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00
"DANBURY",3.4000000000000000e+01,3.4000000000000000e+01,"Fairfield",3.9600000000000000e+02,1.0400000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,2.9200000000000000e+02,0.0000000000000000e+00
"DARIEN",3.5000000000000000e+01,3.5000000000000000e+01,"Fairfield",7.4000000000000000e+01,3.4000000000000000e+01,0.0000000000000000e+00,4.0000000000000000e+01,0.0000000000000000e+00,4.5000000000000000e+01
"DEEP RIVER",3.6000000000000000e+01,3.6000000000000000e+01,"Middlesex",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"DERBY",3.7000000000000000e+01,3.7000000000000000e+01,"New Haven",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"DURHAM",3.8000000000000000e+01,3.8000000000000000e+01,"Middlesex",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"EAST GRANBY",3.9000000000000000e+01,4.0000000000000000e+01,"Hartford",1.2000000000000000e+01,1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"EAST HADDAM",4.0000000000000000e+01,4.1000000000000000e+01,"Middlesex",1.1000000000000000e+01,1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"EAST HAMPTON",4.1000000000000000e+01,4.2000000000000000e+01,"Middlesex",1.1000000000000000e+01,1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00
"EAST HARTFORD",4.2000000000000000e+01,4.3000000000000000e+01,"Hartford",1.1000000000000000e+01,1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"EAST HAVEN",4.3000000000000000e+01,4.4000000000000000e+01,"New Haven",1.3000000000000000e+01,1.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01
"EAST LYME",4.4000000000000000e+01,4.5000000000000000e+01,"New London",3.9000000000000000e+01,2.1000000000000000e+01,1.0000000000000000e+01,8.0000000000000000e+00,0.0000000000000000e+00,9.0000000000000000e+00
"EAST WINDSOR",4.5000000000000000e+01,4.7000000000000000e+01,"Hartford",1.9000000000000000e+01,1.7000000000000000e+01,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.0000000000000000e+00
"EASTFORD",4.6000000000000000e+01,3.9000000000000000e+01,"Windham",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"EASTON",4.7000000000000000e+01,4.6000000000000000e+01,"Fairfield",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"ELLINGTON",4.8000000000000000e+01,4.8000000000000000e+01,"Tolland",3.6000000000000000e+01,3.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"ENFIELD",4.9000000000000000e+01,4.9000000000000000e+01,"Hartford",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000000e+00
"ESSEX",5.0000000000000000e+01,5.0000000000000000e+01,"Middlesex",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00
"FAIRFIELD",5.1000000000000000e+01,5.1000000000000000e+01,"Fairfield",5.0000000000000000e+01,5.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.9000000000000000e+01
"FARMINGTON",5.2000000000000000e+01,5.2000000000000000e+01,"Hartford",4.3000000000000000e+01,4.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00
"FRANKLIN",5.3000000000000000e+01,5.3000000000000000e+01,"New London",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"GLASTONBURY",5.4000000000000000e+01,5.4000000000000000e+01,"Hartford",4.0000000000000000e+01,4.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"GOSHEN",5.5000000000000000e+01,5.5000000000000000e+01,"Litchfield",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"GRANBY",5.6000000000000000e+01,5.6000000000000000e+01,"Hartford",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"GREENWICH",5.7000000000000000e+01,5.7000000000000000e+01,"Fairfield",6.2000000000000000e+01,6.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.6000000000000000e+01
"GRISWOLD",5.8000000000000000e+01,5.8000000000000000e+01,"New London",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"GROTON",5.9000000000000000e+01,5.9000000000000000e+01,"New London",2.0000000000000000e+01,2.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+00
"GUILFORD",6.1000000000000000e+01,6.0000000000000000e+01,"New Haven",2.9000000000000000e+01,1.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.2000000000000000e+01,1.1000000000000000e+01
"HADDAM",6.2000000000000000e+01,6.1000000000000000e+01,"Middlesex",1.5000000000000000e+01,1.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"HAMDEN",6.3000000000000000e+01,6.2000000000000000e+01,"New Haven",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5000000000000000e+01
"HAMPTON",6.4000000000000000e+01,6.3000000000000000e+01,"Windham",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"HARTFORD",6.5000000000000000e+01,6.4000000000000000e+01,"Hartford",2.4000000000000000e+01,1.8000000000000000e+01,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.4000000000000000e+01
"HARTLAND",6.6000000000000000e+01,6.5000000000000000e+01,"Hartford",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"HARWINTON",6.7000000000000000e+01,6.6000000000000000e+01,"Litchfield",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"HEBRON",6.8000000000000000e+01,6.7000000000000000e+01,"Tolland",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"KENT",6.9000000000000000e+01,6.8000000000000000e+01,"Litchfield",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"KILLINGLY",7.0000000000000000e+01,6.9000000000000000e+01,"Windham",1.6000000000000000e+01,1.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00
"KILLINGWORTH",7.1000000000000000e+01,7.0000000000000000e+01,"Middlesex",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"LEBANON",7.2000000000000000e+01,7.1000000000000000e+01,"New London",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00
"LEDYARD",7.3000000000000000e+01,7.2000000000000000e+01,"New London",2.4000000000000000e+01,2.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"LISBON",7.4000000000000000e+01,7.3000000000000000e+01,"New London",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"LITCHFIELD",7.5000000000000000e+01,7.4000000000000000e+01,"Litchfield",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00
"LYME",7.6000000000000000e+01,7.5000000000000000e+01,"New London",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"MADISON",7.7000000000000000e+01,7.6000000000000000e+01,"New Haven",2.0000000000000000e+01,2.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00
"MANCHESTER",7.8000000000000000e+01,7.7000000000000000e+01,"Hartford",1.7000000000000000e+01,1.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"MANSFIELD",7.9000000000000000e+01,7.8000000000000000e+01,"Tolland",1.4000000000000000e+01,1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"MARLBOROUGH",8.0000000000000000e+01,7.9000000000000000e+01,"Hartford",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"MERIDEN",8.1000000000000000e+01,8.0000000000000000e+01,"New Haven",1.4000000000000000e+01,1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00
"MIDDLEBURY",8.2000000000000000e+01,8.1000000000000000e+01,"New Haven",7.0000000000000000e+00,7.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"MIDDLEFIELD",8.3000000000000000e+01,8.2000000000000000e+01,"Middlesex",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"MIDDLETOWN",8.4000000000000000e+01,8.3000000000000000e+01,"Middlesex",2.0000000000000000e+01,2.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"MILFORD",8.5000000000000000e+01,8.4000000000000000e+01,"New Haven",1.4500000000000000e+02,2.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.2300000000000000e+02,3.0000000000000000e+01
"MONROE",8.6000000000000000e+01,8.5000000000000000e+01,"Fairfield",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00
"MONTVILLE",8.7000000000000000e+01,8.6000000000000000e+01,"New London",1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"MORRIS",8.8000000000000000e+01,8.7000000000000000e+01,"Litchfield",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"NAUGATUCK",8.9000000000000000e+01,8.8000000000000000e+01,"New Haven",2.1000000000000000e+01,2.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+00
"NEW BRITAIN",9.0000000000000000e+01,8.9000000000000000e+01,"Hartford",1.2000000000000000e+01,1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.9000000000000000e+01
"NEW CANAAN",9.1000000000000000e+01,9.0000000000000000e+01,"Fairfield",2.8000000000000000e+01,2.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+01
"NEW FAIRFIELD",9.2000000000000000e+01,9.1000000000000000e+01,"Fairfield",7.0000000000000000e+00,7.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00
"NEW HARTFORD",9.3000000000000000e+01,9.2000000000000000e+01,"Litchfield",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"NEW HAVEN",9.4000000000000000e+01,9.3000000000000000e+01,"New Haven",9.7000000000000000e+01,8.5000000000000000e+01,1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,3.1000000000000000e+01
"NEW LONDON",9.5000000000000000e+01,9.5000000000000000e+01,"New London",3.2000000000000000e+01,3.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"NEW MILFORD",9.6000000000000000e+01,9.6000000000000000e+01,"Litchfield",1.8000000000000000e+01,1.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.0000000000000000e+00
"NEWINGTON",9.7000000000000000e+01,9.4000000000000000e+01,"Hartford",7.5000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.4000000000000000e+01,2.0000000000000000e+00
"NEWTOWN",9.8000000000000000e+01,9.7000000000000000e+01,"Fairfield",1.2000000000000000e+01,1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00
"NORFOLK",9.9000000000000000e+01,9.8000000000000000e+01,"Litchfield",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"NORTH BRANFORD",1.0000000000000000e+02,9.9000000000000000e+01,"New Haven",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00
"NORTH CANAAN",1.0100000000000000e+02,1.0000000000000000e+02,"Litchfield",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"NORTH HAVEN",1.0200000000000000e+02,1.0100000000000000e+02,"New Haven",1.9000000000000000e+01,1.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00
"NORTH STONINGTON",1.0300000000000000e+02,1.0200000000000000e+02,"New London",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"NORWALK",1.0400000000000000e+02,1.0300000000000000e+02,"Fairfield",2.3000000000000000e+02,4.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.8300000000000000e+02,4.4000000000000000e+01
"NORWICH",1.0500000000000000e+02,1.0400000000000000e+02,"New London",4.6000000000000000e+01,4.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"OLD LYME",1.0600000000000000e+02,1.0500000000000000e+02,"New London",1.4000000000000000e+01,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2000000000000000e+01,9.0000000000000000e+00
"OLD SAYBROOK",1.0700000000000000e+02,1.0600000000000000e+02,"Middlesex",2.7000000000000000e+01,1.9000000000000000e+01,0.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,1.9000000000000000e+01
"ORANGE",1.0800000000000000e+02,1.0700000000000000e+02,"New Haven",1.8000000000000000e+01,1.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00
"OXFORD",1.0900000000000000e+02,1.0800000000000000e+02,"New Haven",3.0000000000000000e+01,2.7000000000000000e+01,0.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+00
"PLAINFIELD",1.1000000000000000e+02,1.0900000000000000e+02,"Windham",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.0000000000000000e+00
"PLAINVILLE",1.1100000000000000e+02,1.1000000000000000e+02,"Hartford",1.2000000000000000e+01,1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00
"PLYMOUTH",1.1200000000000000e+02,1.1100000000000000e+02,"Litchfield",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"POMFRET",1.1300000000000000e+02,1.1200000000000000e+02,"Windham",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"PORTLAND",1.1400000000000000e+02,1.1300000000000000e+02,"Middlesex",5.0000000000000000e+00,3.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00
"PRESTON",1.1500000000000000e+02,1.1400000000000000e+02,"New London",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"PROSPECT",1.1600000000000000e+02,1.1500000000000000e+02,"New Haven",2.3000000000000000e+01,2.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00
"PUTNAM",1.1700000000000000e+02,1.1600000000000000e+02,"Windham",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"REDDING",1.1800000000000000e+02,1.1700000000000000e+02,"Fairfield",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00
"RIDGEFIELD",1.1900000000000000e+02,1.1800000000000000e+02,"Fairfield",3.5000000000000000e+01,1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.4000000000000000e+01,5.0000000000000000e+00
"ROCKY HILL",1.2000000000000000e+02,1.1900000000000000e+02,"Hartford",7.6000000000000000e+01,1.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,6.0000000000000000e+01,0.0000000000000000e+00
"ROXBURY",1.2100000000000000e+02,1.2000000000000000e+02,"Litchfield",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"SALEM",1.2200000000000000e+02,1.2100000000000000e+02,"New London",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"SALISBURY",1.2300000000000000e+02,1.2200000000000000e+02,"Litchfield",1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"SCOTLAND",1.2400000000000000e+02,1.2300000000000000e+02,"Windham",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"SEYMOUR",1.2500000000000000e+02,1.2400000000000000e+02,"New Haven",2.3000000000000000e+01,2.1000000000000000e+01,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"SHARON",1.2600000000000000e+02,1.2500000000000000e+02,"Litchfield",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
