MUNICIPALITY,NUMBERED,TOWN CODE,Net Grand List - 2012 GL Year
"WESTPORT",1.5900000000000000e+02,1.5800000000000000e+02,9799546479.0000
"WETHERSFIELD",1.6000000000000000e+02,1.5900000000000000e+02,2335601900.0000
"WILLINGTON",1.6100000000000000e+02,1.6000000000000000e+02,479609789.0000
"WILTON",1.6200000000000000e+02,1.6100000000000000e+02,4237894310.0000
"WINCHESTER",1.6300000000000000e+02,1.6200000000000000e+02,688379460.0000
"WINDHAM",1.6400000000000000e+02,1.6300000000000000e+02,962400175.0000
"WINDSOR",1.6500000000000000e+02,1.6400000000000000e+02,3014228046.0000
"WINDSOR LOCKS",1.6600000000000000e+02,1.6500000000000000e+02,1269830949.0000
"WOLCOTT",1.6700000000000000e+02,1.6600000000000000e+02,1257541104.0000
"WOODBRIDGE",1.6800000000000000e+02,1.6700000000000000e+02,1201171700.0000
"WOODBURY",1.6900000000000000e+02,1.6800000000000000e+02,1237661106.0000
"WOODSTOCK",1.7000000000000000e+02,1.6900000000000000e+02,667366070.0000
