MUNICIPALITY,NUMBERED,TOWN CODE,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,PUBLIC UTILITY,APARTMENT,TOTAL REAL,REAL EXEMPTIONS,TOTAL NET REAL,TOTAL GROSS MV,MV EXEMPTIONS,TOTAL NET MV,TOTAL PERS PROP,PERS PROP EXEMPTIONS,TOTAL NET PERS PROP,TOTAL GROSS GRAND LIST,TOTAL NET GRAND LIST,OTHER
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,1.1086984400000000e+09,2.6566288000000000e+08,1.8768852000000000e+08,0.0000000000000000e+00,1.0141167000000000e+08,1.6678100500000000e+09,1.0072700000000000e+07,1.6577373500000000e+09,1.4957067700000000e+08,1.7469800000000000e+06,1.4782369700000000e+08,3.1812841000000000e+08,8.0880000000000000e+04,3.1804753000000000e+08,2.1355091370000000e+09,2.1236085770000000e+09,4.3485400000000000e+06
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,3.9184918000000000e+08,2.1652590000000000e+07,2.8663000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,4.3587324000000000e+08,2.2345300000000000e+06,4.3363871000000000e+08,4.0020720000000000e+07,1.6146880000000000e+06,3.8406032000000000e+07,1.0923850000000000e+07,2.9197000000000000e+05,1.0631880000000000e+07,4.8681781000000000e+08,4.8267662200000000e+08,1.9505170000000000e+07
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,1.3901509000000000e+08,1.0426790000000000e+07,2.1139820000000000e+07,0.0000000000000000e+00,9.7175000000000000e+05,1.7984972000000000e+08,1.0203300000000000e+06,1.7882939000000000e+08,2.3347366000000000e+07,4.8062000000000000e+05,2.2866746000000000e+07,2.5509754000000000e+07,2.8077000000000000e+05,2.5228984000000000e+07,2.2870684000000000e+08,2.2692512000000000e+08,8.2962700000000000e+06
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,2.6236190400000000e+09,3.4965050000000000e+08,1.0855708000000000e+08,2.8696000000000000e+06,3.9369790000000000e+07,3.1451686100000000e+09,9.0100000000000000e+06,3.1361586100000000e+09,2.1669572000000000e+08,1.4412540000000000e+06,2.1525446600000000e+08,1.6276079700000000e+08,2.2294700000000000e+05,1.6253785000000000e+08,3.5246251270000000e+09,3.5139509260000000e+09,2.1102600000000000e+07
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,4.0822052840000000e+09,9.0166026300000000e+08,5.8739836800000000e+08,4.2210115000000000e+07,3.2373932400000000e+08,6.0203908290000000e+09,2.7624278000000000e+07,5.9927665510000000e+09,4.2857720000000000e+08,5.8781830000000000e+06,4.2269901700000000e+08,8.0442886400000000e+08,7.2334464000000000e+07,7.3209440000000000e+08,7.2533968930000000e+09,7.1475599680000000e+09,8.3177475000000000e+07
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,3.3968645200000000e+08,2.8743000000000000e+06,7.0110000000000000e+05,5.5480000000000000e+05,0.0000000000000000e+00,3.6732522200000000e+08,7.7200000000000000e+05,3.6655322200000000e+08,1.7216667000000000e+07,8.3960000000000000e+04,1.7132707000000000e+07,3.7361850000000000e+06,2.3484000000000000e+05,3.5013450000000000e+06,3.8827807400000000e+08,3.8718727400000000e+08,2.3508570000000000e+07
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,2.3374153100000000e+09,4.6959697000000000e+08,2.2183004000000000e+08,2.2957200000000000e+06,1.3262411000000000e+08,3.2012741100000000e+09,2.8303788000000000e+07,3.1729703220000000e+09,3.6342694000000000e+08,2.7531290000000000e+06,3.6067381100000000e+08,4.2591988000000000e+08,2.8212200000000000e+06,4.2309866000000000e+08,3.9906209300000000e+09,3.9567427930000000e+09,3.7511960000000000e+07
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,1.5580580000000000e+09,2.4392513000000000e+08,8.0253360000000000e+07,8.4156800000000000e+06,1.0703910000000000e+07,1.9458483200000000e+09,4.1111200000000000e+06,1.9417372000000000e+09,1.3839289400000000e+08,2.2238500000000000e+06,1.3616904400000000e+08,1.1761167800000000e+08,6.4700000000000000e+04,1.1754697800000000e+08,2.2018528920000000e+09,2.1954532220000000e+09,4.4492240000000000e+07
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,3.9245817000000000e+08,3.6294200000000000e+07,3.5203000000000000e+06,2.5949000000000000e+06,1.5334700000000000e+07,4.6787950000000000e+08,1.5550700000000000e+06,4.6632443000000000e+08,5.1467425000000000e+07,8.0269000000000000e+05,5.0664735000000000e+07,1.6038140000000000e+07,5.0315000000000000e+05,1.5534990000000000e+07,5.3538506500000000e+08,5.3252415500000000e+08,1.7677230000000000e+07
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,7.9074112400000000e+08,1.3523830000000000e+07,3.1265500000000000e+06,0.0000000000000000e+00,3.4426000000000000e+05,8.5277874400000000e+08,1.0833000000000000e+06,8.5169544400000000e+08,7.8945640000000000e+07,2.1593000000000000e+05,7.8729710000000000e+07,1.2073287000000000e+07,1.8215000000000000e+05,1.1891137000000000e+07,9.4379767100000000e+08,9.4231629100000000e+08,4.5042980000000000e+07
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,1.0437872000000000e+08,4.0544500000000000e+06,9.5680000000000000e+06,2.0389000000000000e+06,0.0000000000000000e+00,1.5185487000000000e+08,2.6200000000000000e+05,1.5159287000000000e+08,8.6350400000000000e+06,5.0460000000000000e+04,8.5845800000000000e+06,1.1914190000000000e+07,5.2846500000000000e+05,1.1385725000000000e+07,1.7240410000000000e+08,1.7156317500000000e+08,3.1814800000000000e+07
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,3.0574029200000000e+08,1.0849180000000000e+07,4.4106000000000000e+06,1.4830000000000000e+05,1.6536000000000000e+06,3.4261795200000000e+08,3.4040000000000000e+06,3.3921395200000000e+08,3.7336200000000000e+07,7.6035000000000000e+05,3.6575850000000000e+07,8.2935050000000000e+06,5.7384000000000000e+05,7.7196650000000000e+06,3.8824765700000000e+08,3.8350946700000000e+08,1.9815980000000000e+07
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,8.6715654000000000e+08,1.3171271000000000e+08,7.6631000000000000e+06,1.3758000000000000e+05,7.8448800000000000e+06,1.0167576400000000e+09,1.2305000000000000e+06,1.0155271400000000e+09,8.0215250000000000e+07,2.0687000000000000e+05,8.0008380000000000e+07,4.1245740000000000e+07,7.3560000000000000e+04,4.1172180000000000e+07,1.1382186300000000e+09,1.1367077000000000e+09,2.2428300000000000e+06
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,1.3665290000000000e+08,7.5309000000000000e+06,1.4234000000000000e+06,0.0000000000000000e+00,2.8660000000000000e+05,1.4857310000000000e+08,1.2380400000000000e+06,1.4733506000000000e+08,1.5735480000000000e+07,4.6230000000000000e+04,1.5689250000000000e+07,9.1803450000000000e+06,2.9084000000000000e+05,8.8895050000000000e+06,1.7348892500000000e+08,1.7191381500000000e+08,2.6793000000000000e+06
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,2.1325811900000000e+09,2.1752253000000000e+08,1.7758352000000000e+08,0.0000000000000000e+00,1.2966510000000000e+07,2.5612683500000000e+09,1.7499882000000000e+07,2.5437684680000000e+09,2.2407640700000000e+08,8.4764000000000000e+05,2.2322876700000000e+08,1.5070370100000000e+08,1.0275550000000000e+06,1.4967614600000000e+08,2.9360484580000000e+09,2.9166733810000000e+09,2.0614600000000000e+07
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,3.6811319000000000e+08,5.5862530000000000e+07,1.9849230000000000e+07,1.1204800000000000e+06,3.2454700000000000e+06,4.6027083000000000e+08,1.5580000000000000e+06,4.5871283000000000e+08,2.8645540000000000e+07,2.2119000000000000e+05,2.8424350000000000e+07,2.1017410000000000e+07,2.0120000000000000e+04,2.0997290000000000e+07,5.0993378000000000e+08,5.0813447000000000e+08,1.2079930000000000e+07
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,1.1710992150000000e+09,1.3417070300000000e+08,2.8556100000000000e+07,1.0399000000000000e+06,4.3959920000000000e+06,1.3564677500000000e+09,5.5974700000000000e+06,1.3508702800000000e+09,9.2309005000000000e+07,6.6946000000000000e+05,9.1639545000000000e+07,5.9830167000000000e+07,2.7191000000000000e+05,5.9558257000000000e+07,1.5086069220000000e+09,1.5020680820000000e+09,1.7205840000000000e+07
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,8.7838895000000000e+08,8.5636400000000000e+07,8.8032000000000000e+06,4.2797000000000000e+06,2.0882700000000000e+07,1.0333156700000000e+09,3.8068060000000000e+06,1.0295088640000000e+09,1.1686921300000000e+08,1.4071090000000000e+06,1.1546210400000000e+08,4.7565126000000000e+07,7.6029000000000000e+05,4.6804836000000000e+07,1.1977500090000000e+09,1.1917758040000000e+09,3.5324720000000000e+07
"COLEBROOK",2.9000000000000000e+01,2.9000000000000000e+01,1.4756445000000000e+08,1.4780000000000000e+06,5.8440000000000000e+05,1.1313700000000000e+07,0.0000000000000000e+00,1.6306784000000000e+08,1.1160000000000000e+06,1.6195184000000000e+08,1.2103970000000000e+07,1.7172000000000000e+05,1.1932250000000000e+07,1.1158970000000000e+07,5.0030000000000000e+04,1.1108940000000000e+07,1.8633078000000000e+08,1.8499303000000000e+08,2.1272900000000000e+06
"COLUMBIA",3.0000000000000000e+01,3.0000000000000000e+01,3.7931485000000000e+08,1.4520500000000000e+07,6.6449300000000000e+06,3.1500000000000000e+05,5.3260000000000000e+05,4.1175739100000000e+08,1.1945000000000000e+06,4.1056289100000000e+08,4.2466000000000000e+07,2.3207000000000000e+05,4.2233930000000000e+07,1.3273963000000000e+07,2.4476000000000000e+05,1.3029203000000000e+07,4.6749735400000000e+08,4.6582602400000000e+08,1.0429511000000000e+07
"CORNWALL",3.1000000000000000e+01,3.1000000000000000e+01,2.6930073000000000e+08,9.8867000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.7130233000000000e+08,3.7600000000000000e+05,3.7092633000000000e+08,1.3695110000000000e+07,4.7480000000000000e+04,1.3647630000000000e+07,8.8936900000000000e+06,4.4272000000000000e+05,8.4509700000000000e+06,3.9389113000000000e+08,3.9302493000000000e+08,9.2114900000000000e+07
"COVENTRY",3.2000000000000000e+01,3.2000000000000000e+01,8.4803115000000000e+08,3.3893400000000000e+07,1.1401000000000000e+06,4.5590000000000000e+05,5.5200000000000000e+04,8.8525755000000000e+08,3.2463500000000000e+06,8.8201120000000000e+08,9.1608910000000000e+07,4.6052000000000000e+05,9.1148390000000000e+07,2.2724195000000000e+07,9.7242000000000000e+05,2.1751775000000000e+07,9.9959065500000000e+08,9.9491136500000000e+08,1.6818000000000000e+06
"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,8.4222448100000000e+08,1.8492188800000000e+08,3.5970950000000000e+07,0.0000000000000000e+00,1.3323400000000000e+06,1.0754479190000000e+09,4.1287650000000000e+06,1.0713191540000000e+09,1.0632221000000000e+08,3.8079000000000000e+05,1.0594142000000000e+08,8.4982749000000000e+07,2.5553000000000000e+05,8.4727219000000000e+07,1.2667528780000000e+09,1.2619877930000000e+09,1.0998260000000000e+07
"DANBURY",3.4000000000000000e+01,3.4000000000000000e+01,3.8639604000000000e+09,1.3991439000000000e+09,3.4363300000000000e+08,2.7877000000000000e+06,2.5110220000000000e+08,6.0206304000000000e+09,4.8797385000000000e+07,5.9718330150000000e+09,4.8198063700000000e+08,6.8776000000000000e+05,4.8129287700000000e+08,5.5676609000000000e+08,9.9660200000000000e+06,5.4680007000000000e+08,7.0593771270000000e+09,6.9999259620000000e+09,1.6000320000000000e+08
"DARIEN",3.5000000000000000e+01,3.5000000000000000e+01,7.6568078200000000e+09,6.4555335000000000e+08,3.4050100000000000e+06,6.6612000000000000e+05,3.7886310000000000e+07,8.5015528900000000e+09,1.1015000000000000e+06,8.5004513900000000e+09,2.2833676800000000e+08,1.1023000000000000e+05,2.2822653800000000e+08,1.6298486200000000e+08,1.2500000000000000e+04,1.6297236200000000e+08,8.8928745200000000e+09,8.8916502900000000e+09,1.5723428000000000e+08
"DEEP RIVER",3.6000000000000000e+01,3.6000000000000000e+01,3.8219664000000000e+08,3.0094610000000000e+07,1.3735750000000000e+07,4.3022000000000000e+05,2.7792100000000000e+06,4.3969205000000000e+08,1.5252200000000000e+06,4.3816683000000000e+08,3.3206870000000000e+07,1.9132000000000000e+05,3.3015550000000000e+07,2.6669997000000000e+07,1.7432600000000000e+05,2.6495671000000000e+07,4.9956891700000000e+08,4.9767805100000000e+08,1.0455620000000000e+07
"DERBY",3.7000000000000000e+01,3.7000000000000000e+01,5.0228535000000000e+08,1.0337517000000000e+08,1.0606970000000000e+07,4.5607000000000000e+05,1.7679550000000000e+07,6.4620928000000000e+08,5.0547800000000000e+06,6.4115450000000000e+08,6.3131210000000000e+07,5.7192000000000000e+05,6.2559290000000000e+07,4.2168162000000000e+07,2.7822800000000000e+05,4.1889934000000000e+07,7.5150865200000000e+08,7.4560372400000000e+08,1.1806170000000000e+07
"DURHAM",3.8000000000000000e+01,3.8000000000000000e+01,5.0108925000000000e+08,1.8644640000000000e+07,1.8054470000000000e+07,3.9823000000000000e+05,1.6172800000000000e+06,6.5004998400000000e+08,4.1089060000000000e+06,6.4594107800000000e+08,6.0988680000000000e+07,2.5684000000000000e+05,6.0731840000000000e+07,4.9820073000000000e+07,1.0048280000000000e+06,4.8815245000000000e+07,7.6085873700000000e+08,7.5548816300000000e+08,1.1024611400000000e+08
"EAST GRANBY",3.9000000000000000e+01,4.0000000000000000e+01,3.7246498000000000e+08,1.9527500000000000e+07,7.6018160000000000e+07,3.9830000000000000e+05,0.0000000000000000e+00,4.8935374000000000e+08,2.3125500000000000e+06,4.8704119000000000e+08,5.1926723000000000e+07,2.5081300000000000e+05,5.1675910000000000e+07,9.3285076000000000e+07,3.7450000000000000e+03,9.3281331000000000e+07,6.3456553900000000e+08,6.3199843100000000e+08,2.0944800000000000e+07
"EAST HADDAM",4.0000000000000000e+01,4.1000000000000000e+01,6.9430656000000000e+08,3.1264380000000000e+07,7.4259500000000000e+06,0.0000000000000000e+00,3.2404400000000000e+06,7.6181620000000000e+08,3.9058520000000000e+06,7.5791034800000000e+08,7.1392447000000000e+07,2.9695200000000000e+06,6.8422927000000000e+07,1.8486410000000000e+07,7.1691000000000000e+05,1.7769500000000000e+07,8.5169505700000000e+08,8.4410277500000000e+08,2.5578870000000000e+07
"EAST HAMPTON",4.1000000000000000e+01,4.2000000000000000e+01,9.1112554600000000e+08,5.2710696000000000e+07,8.2317780000000000e+06,0.0000000000000000e+00,2.1230060000000000e+06,1.0091138910000000e+09,3.7109760000000000e+06,1.0054029150000000e+09,9.7418591000000000e+07,6.8239700000000000e+05,9.6736194000000000e+07,2.6895504000000000e+07,6.2147000000000000e+05,2.6274034000000000e+07,1.1334279860000000e+09,1.1284131430000000e+09,3.4922865000000000e+07
"EAST HARTFORD",4.2000000000000000e+01,4.3000000000000000e+01,1.4656377460000000e+09,3.9533013100000000e+08,2.4574733800000000e+08,1.5694600000000000e+06,1.0750566000000000e+08,2.2415424200000000e+09,3.7716321000000000e+07,2.2038260990000000e+09,2.6023817800000000e+08,1.3077900000000000e+06,2.5893038800000000e+08,4.2943508000000000e+08,9.2234650000000000e+06,4.2021161500000000e+08,2.9312156780000000e+09,2.8829681020000000e+09,2.5752085000000000e+07
"EAST HAVEN",4.3000000000000000e+01,4.4000000000000000e+01,1.4278249600000000e+09,2.9361456000000000e+08,2.1280340000000000e+07,0.0000000000000000e+00,7.1008300000000000e+06,1.7795872200000000e+09,1.5816690000000000e+07,1.7637705300000000e+09,1.6520761600000000e+08,2.5473400000000000e+06,1.6266027600000000e+08,5.1974050000000000e+07,7.0260000000000000e+04,5.1903790000000000e+07,1.9967688860000000e+09,1.9783345960000000e+09,2.9766530000000000e+07
"EAST LYME",4.4000000000000000e+01,4.5000000000000000e+01,1.6740012610000000e+09,1.2230313600000000e+08,1.4146230000000000e+07,7.7385000000000000e+05,2.9720262000000000e+07,1.8911475390000000e+09,9.5860000000000000e+06,1.8815615390000000e+09,1.2557601000000000e+08,8.5904000000000000e+05,1.2471697000000000e+08,4.7432319000000000e+07,1.6178000000000000e+05,4.7270539000000000e+07,2.0641558680000000e+09,2.0535490480000000e+09,5.0202800000000000e+07
"EAST WINDSOR",4.5000000000000000e+01,4.7000000000000000e+01,4.9582089800000000e+08,1.6862238000000000e+08,7.2775170000000000e+07,0.0000000000000000e+00,3.8580960000000000e+07,7.8475627000000000e+08,1.3549700000000000e+06,7.8340130000000000e+08,9.6541197000000000e+07,5.1223300000000000e+05,9.6028964000000000e+07,8.2522100000000000e+07,2.7068220000000000e+06,7.9815278000000000e+07,9.6381956700000000e+08,9.5924554200000000e+08,8.9568620000000000e+06
"EASTFORD",4.6000000000000000e+01,3.9000000000000000e+01,1.2823938000000000e+08,7.0826100000000000e+06,3.5646300000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,1.4496460000000000e+08,7.5043500000000000e+05,1.4421416500000000e+08,1.4140153000000000e+07,5.0870000000000000e+04,1.4089283000000000e+07,1.2906160000000000e+07,4.6012000000000000e+05,1.2446040000000000e+07,1.7201091300000000e+08,1.7074948800000000e+08,6.0779800000000000e+06
"EASTON",4.7000000000000000e+01,4.6000000000000000e+01,1.1917289900000000e+09,1.1159100000000000e+07,2.3067980000000000e+07,1.0748500000000000e+06,0.0000000000000000e+00,1.2364842800000000e+09,3.1434100000000000e+06,1.2333408700000000e+09,7.5894810000000000e+07,9.3610000000000000e+04,7.5801200000000000e+07,1.5115113000000000e+07,6.3183000000000000e+05,1.4483283000000000e+07,1.3274942030000000e+09,1.3236253530000000e+09,9.4533600000000000e+06
"ELLINGTON",4.8000000000000000e+01,4.8000000000000000e+01,9.5786221600000000e+08,7.3714570000000000e+07,1.7693070000000000e+07,6.2677000000000000e+05,5.9866795000000000e+07,1.1189145710000000e+09,5.1220800000000000e+06,1.1137924910000000e+09,1.1825293600000000e+08,9.3930000000000000e+05,1.1731363600000000e+08,5.5910160000000000e+07,1.8200800000000000e+06,5.4090080000000000e+07,1.2930776670000000e+09,1.2851962070000000e+09,9.1511500000000000e+06
"ENFIELD",4.9000000000000000e+01,4.9000000000000000e+01,1.7954790800000000e+09,3.7856898100000000e+08,1.6729604000000000e+08,5.2027400000000000e+06,5.3506370000000000e+07,2.4335265210000000e+09,1.5311700000000000e+07,2.4182148210000000e+09,2.5239653000000000e+08,1.9031700000000000e+06,2.5049336000000000e+08,1.9809923600000000e+08,9.8634900000000000e+05,1.9711288700000000e+08,2.8840222870000000e+09,2.8658210680000000e+09,3.3473310000000000e+07
"ESSEX",5.0000000000000000e+01,5.0000000000000000e+01,8.7766585000000000e+08,1.2082317000000000e+08,3.5592600000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,1.0346658200000000e+09,2.5883800000000000e+06,1.0320774400000000e+09,6.2289730000000000e+07,3.0623000000000000e+05,6.1983500000000000e+07,3.8557249000000000e+07,3.5693000000000000e+04,3.8521556000000000e+07,1.1355127990000000e+09,1.1325824960000000e+09,5.8420000000000000e+05
"FAIRFIELD",5.1000000000000000e+01,5.1000000000000000e+01,8.9564039950000000e+09,1.0386315230000000e+09,5.3215330000000000e+07,3.5914220000000000e+07,6.5116100000000000e+06,1.0189268548000000e+10,3.9122180000000000e+07,1.0150146368000000e+10,4.7842351300000000e+08,1.5073900000000000e+06,4.7691612300000000e+08,2.7409182000000000e+08,4.0189000000000000e+05,2.7368993000000000e+08,1.0941783881000000e+10,1.0900752421000000e+10,9.8591870000000000e+07
"FARMINGTON",5.2000000000000000e+01,5.2000000000000000e+01,2.2224988000000000e+09,8.0787949000000000e+08,3.7572980000000000e+07,2.3576000000000000e+05,0.0000000000000000e+00,3.0772138000000000e+09,2.1045000000000000e+06,3.0751093000000000e+09,2.2114986000000000e+08,4.5909000000000000e+05,2.2069077000000000e+08,2.3154488000000000e+08,3.1031300000000000e+06,2.2844175000000000e+08,3.5299085400000000e+09,3.5242418200000000e+09,9.0267700000000000e+06
"FRANKLIN",5.3000000000000000e+01,5.3000000000000000e+01,1.2951223000000000e+08,3.3344236000000000e+07,5.0300600000000000e+06,0.0000000000000000e+00,1.1709700000000000e+06,1.8332963600000000e+08,7.2419000000000000e+05,1.8260544600000000e+08,1.8908139000000000e+07,1.4810000000000000e+05,1.8760039000000000e+07,1.5733270000000000e+07,7.0484000000000000e+05,1.5028430000000000e+07,2.1797104500000000e+08,2.1639391500000000e+08,1.4272140000000000e+07
"GLASTONBURY",5.4000000000000000e+01,5.4000000000000000e+01,2.7786147200000000e+09,4.8092823000000000e+08,7.0673780000000000e+07,3.0961000000000000e+06,2.6720170000000000e+07,3.4026459600000000e+09,5.4552900000000000e+06,3.3971906700000000e+09,2.7794414800000000e+08,7.4567000000000000e+05,2.7719847800000000e+08,1.5174027000000000e+08,1.6113100000000000e+06,1.5012896000000000e+08,3.8323303780000000e+09,3.8245181080000000e+09,4.2612960000000000e+07
"GOSHEN",5.5000000000000000e+01,5.5000000000000000e+01,4.2406722000000000e+08,1.6762760000000000e+07,6.9067000000000000e+05,2.4491700000000000e+06,1.7640000000000000e+05,4.8110049000000000e+08,1.7405000000000000e+06,4.7935999000000000e+08,3.0243600000000000e+07,1.4103000000000000e+05,3.0102570000000000e+07,9.1185000000000000e+06,3.7049000000000000e+05,8.7480100000000000e+06,5.2046259000000000e+08,5.1821057000000000e+08,3.6954270000000000e+07
"GRANBY",5.6000000000000000e+01,5.6000000000000000e+01,7.2304992000000000e+08,3.7152430000000000e+07,3.4239100000000000e+06,6.9174000000000000e+05,4.2793100000000000e+06,8.5043420000000000e+08,1.6985500000000000e+06,8.4873565000000000e+08,8.5969400000000000e+07,2.6897000000000000e+05,8.5700430000000000e+07,2.1690820000000000e+07,8.0479000000000000e+05,2.0886030000000000e+07,9.5809442000000000e+08,9.5532211000000000e+08,8.1836890000000000e+07
"GREENWICH",5.7000000000000000e+01,5.7000000000000000e+01,2.4272802260000000e+10,4.1536757500000000e+09,7.6022730000000000e+07,3.7524970000000000e+07,3.3590662000000000e+08,2.9465922290000000e+10,2.1827000000000000e+07,2.9444095290000000e+10,7.4446245000000000e+08,5.5708500000000000e+06,7.3889160000000000e+08,6.5991171000000000e+08,1.3475600000000000e+06,6.5856415000000000e+08,3.0870296450000000e+10,3.0841551040000000e+10,5.8998996000000000e+08
