Municipality,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Unreserved_Fund_Bal,Fund_Equity_Enterprise,Fund_Equity_Internal_Service,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2002 Population,Moody's_Bond_Ratings_July_2002,area lmt,ACGLFY02,EGL,TANF02 Recipients,empl,ACMR,enrollmt
"BLOOMFIELD",2.0020000000000000e+03,1.1000000000000000e+01,1.1000000000000000e+01,"H",6821493.0000,41097569.0000,50206002.0000,28013115.0000,1409196.0000,48251731.0000,175833.0000,175833.0000,2078500.0000,2078500.0000,51604.0000,262194.0000,51604.0000,,14489926.0000,14489926.0000,295616.0000,0.0000,5806044.0000,5510428.0000,,1615406.0000,41099820.0000,40313309.0000,9.8086339550878809e-01,42388145.0000,40703723.0000,9.6026195531793146e-01,1.9794000000000000e+04,"Aa2",2.6010000000000002e+01,1150864990.0000,1708087873.0000,2.4400000000000000e+02,5.1762940735183796e-02,3.6789999999999999e+01,2.7639200000000001e+03
"BOLTON",2.0020000000000000e+03,1.2000000000000000e+01,1.2000000000000000e+01,"T",3677796.0000,8803907.0000,13141416.0000,9134912.0000,1102766.0000,12825831.0000,0.0000,0.0000,359853.0000,359853.0000,-44268.0000,-169119.0000,-44268.0000,,6275000.0000,6275000.0000,313633.0000,0.0000,729278.0000,415645.0000,25772.0000,,8764874.0000,8642280.0000,9.8601303338758772e-01,8976620.0000,8734668.0000,9.7304642504639827e-01,5.1540000000000000e+03,"A1",1.4410000000000000e+01,263841065.0000,439228158.0000,1.3000000000000000e+01,2.8493894165535955e-02,3.3100000000000001e+01,9.7689999999999998e+02
"BOZRAH",2.0020000000000000e+03,1.3000000000000000e+01,1.3000000000000000e+01,"NL",2289527.0000,2963154.0000,5467677.0000,3619916.0000,611915.0000,5631476.0000,0.0000,0.0000,100000.0000,100000.0000,-263799.0000,343933.0000,-263799.0000,,3330000.0000,3330000.0000,269514.0000,0.0000,345097.0000,75583.0000,,,2950327.0000,2865443.0000,9.7122895190939851e-01,3144327.0000,2941237.0000,9.3541066180457699e-01,2.4070000000000000e+03,,1.9960000000000001e+01,131752628.0000,246380681.0000,1.7000000000000000e+01,4.0368271954674219e-02,2.3000000000000000e+01,3.7624000000000001e+02
"BRANFORD",2.0020000000000000e+03,1.4000000000000000e+01,1.4000000000000000e+01,"NH",5783023.0000,56962877.0000,68370378.0000,35155560.0000,6753403.0000,65514491.0000,0.0000,0.0000,620282.0000,620282.0000,2235605.0000,1850727.0000,2235605.0000,,43523652.0000,43523652.0000,374881.0000,2000000.0000,11176733.0000,10801852.0000,,-176024.0000,57002473.0000,55260329.0000,9.6943739616349622e-01,60618319.0000,56437276.0000,9.3102674127271656e-01,2.8951000000000000e+04,"Aa3",2.1990000000000002e+01,2014920297.0000,3236084364.0000,1.4000000000000000e+02,3.4744647769405571e-02,2.7920000000000002e+01,3.8658200000000002e+03
"BRIDGEPORT",2.0020000000000000e+03,1.5000000000000000e+01,1.5000000000000000e+01,"F",196369721.0000,176476368.0000,393500808.0000,162216090.0000,64219818.0000,410632254.0000,5808228.0000,86531318.0000,0.0000,79331679.0000,-11323218.0000,90400.0000,-9931807.0000,,642407239.0000,642407239.0000,2584394.0000,0.0000,41155512.0000,38571118.0000,63799585.0000,,173831595.0000,161502431.0000,9.2907409035739441e-01,223636623.0000,169727580.0000,7.5894358322518585e-01,1.4010400000000000e+05,"Baa1",1.6000000000000000e+01,1602691662.0000,5355502616.0000,5.8160000000000000e+03,7.1595229160208190e-02,6.5000000000000000e+01,2.4138279999999999e+04
"BRIDGEWATER",2.0020000000000000e+03,1.6000000000000000e+01,1.6000000000000000e+01,"L",147310.0000,4827526.0000,5421017.0000,3638809.0000,40414.0000,4903248.0000,0.0000,0.0000,238300.0000,238300.0000,279469.0000,320919.0000,279469.0000,1297408.0000,6916.0000,1304324.0000,0.0000,50000.0000,1519950.0000,1519950.0000,,,4798957.0000,4750429.0000,9.8988780270379584e-01,4927572.0000,4772636.0000,9.6855733411911582e-01,1.8670000000000000e+03,,1.6230000000000000e+01,195941273.0000,344686977.0000,0.0000000000000000e+00,2.6759167492566897e-02,2.4500000000000000e+01,2.7625000000000000e+02
"BRISTOL",2.0020000000000000e+03,1.7000000000000000e+01,1.7000000000000000e+01,"H",46218000.0000,73290000.0000,125797000.0000,69212000.0000,6304000.0000,111396000.0000,960000.0000,960000.0000,15227000.0000,15227000.0000,134000.0000,440000.0000,134000.0000,,37808000.0000,37808000.0000,2013000.0000,4014000.0000,21831000.0000,19818000.0000,23181000.0000,-1150000.0000,72315000.0000,70196000.0000,9.7069764225955890e-01,78246000.0000,71959000.0000,9.1965084477161774e-01,6.0541000000000000e+04,"Aa3",2.6510000000000002e+01,2348398510.0000,4066273136.0000,1.0320000000000000e+03,4.9509150406011393e-02,3.0500000000000000e+01,8.9959699999999993e+03
"BROOKFIELD",2.0020000000000000e+03,1.8000000000000000e+01,1.8000000000000000e+01,"F",3406979.0000,35088080.0000,39760067.0000,26534977.0000,2929026.0000,38185351.0000,185000.0000,185000.0000,1558534.0000,1558534.0000,201182.0000,-173081.0000,201182.0000,,24847636.0000,24847636.0000,0.0000,800000.0000,4447254.0000,4447254.0000,,345923.0000,34275376.0000,33737560.0000,9.8430896863100792e-01,35313705.0000,34341100.0000,9.7245814337521364e-01,1.5923000000000000e+04,"Aa2",1.9800000000000001e+01,1164016639.0000,2199512543.0000,2.2000000000000000e+01,3.4415285451197056e-02,2.9400000000000002e+01,3.0540999999999999e+03
"BROOKLYN",2.0020000000000000e+03,1.9000000000000000e+01,1.9000000000000000e+01,"W",8019326.0000,7049255.0000,15711506.0000,11532606.0000,1593498.0000,15385848.0000,0.0000,0.0000,0.0000,0.0000,325658.0000,95035.0000,325658.0000,,10953858.0000,10953858.0000,640617.0000,230990.0000,1974076.0000,1333459.0000,,,6998061.0000,6849861.0000,9.7882270531794446e-01,7222266.0000,6982813.0000,9.6684517020004523e-01,7.3610000000000000e+03,"A3",2.8969999999999999e+01,302775064.0000,434824467.0000,2.4000000000000000e+01,3.4704729918835713e-02,2.2969999999999999e+01,1.3192900000000000e+03
"BURLINGTON",2.0020000000000000e+03,2.0000000000000000e+01,2.0000000000000000e+01,"H",3593513.0000,15161359.0000,19523629.0000,14229670.0000,221356.0000,18888215.0000,0.0000,0.0000,66991.0000,66991.0000,568423.0000,334967.0000,568423.0000,6896871.4731,4480494.0000,11377365.4731,0.0000,110940.0000,1988704.0000,1988704.0000,20573.0000,,14837183.0000,14570769.0000,9.8204416566136576e-01,15479166.0000,14922343.0000,9.6402758391505072e-01,8.6400000000000000e+03,"A2",2.9789999999999999e+01,504819544.0000,824870135.0000,1.3000000000000000e+01,3.1687995124923825e-02,2.9000000000000000e+01,1.6548900000000001e+03
"CANAAN",2.0020000000000000e+03,2.1000000000000000e+01,2.1000000000000000e+01,"L",592030.0000,2781164.0000,3521045.0000,2251637.0000,129849.0000,3353301.0000,94060.0000,94060.0000,0.0000,0.0000,261804.0000,224718.0000,261804.0000,470323.4142,1156500.0000,1626823.4142,0.0000,99368.0000,922927.0000,922927.0000,46645.0000,,2751854.0000,2701820.0000,9.8181807610432825e-01,2862272.0000,2757058.0000,9.6324108959595733e-01,1.0950000000000000e+03,,3.2939999999999998e+01,87655365.0000,182430316.0000,6.0000000000000000e+00,3.5117056856187288e-02,3.1250000000000000e+01,1.8537000000000000e+02
"CANTERBURY",2.0020000000000000e+03,2.2000000000000000e+01,2.2000000000000000e+01,"W",5852266.0000,5344317.0000,11476771.0000,8449111.0000,2492219.0000,10761080.0000,0.0000,0.0000,736125.0000,736125.0000,-20434.0000,305361.0000,-20434.0000,,4305000.0000,4305000.0000,432088.0000,0.0000,2085842.0000,1653754.0000,,,5245166.0000,5069076.0000,9.6642813592553600e-01,5758551.0000,5216167.0000,9.0581241704727455e-01,4.8250000000000000e+03,"A3",3.9890000000000001e+01,201077225.0000,288892264.0000,2.4000000000000000e+01,4.0885860306643949e-02,2.5770000000000000e+01,8.8700999999999999e+02
"CANTON",2.0020000000000000e+03,2.3000000000000000e+01,2.3000000000000000e+01,"H",3604632.0000,17808981.0000,22373689.0000,14675263.0000,1597054.0000,22056051.0000,5070.0000,5070.0000,464750.0000,464750.0000,-142042.0000,342456.0000,-142042.0000,,12131181.0000,12131181.0000,23779.0000,0.0000,1361774.0000,1337995.0000,,743681.0000,17575112.0000,17323574.0000,9.8568782947158462e-01,18493875.0000,17553553.0000,9.4915494994964544e-01,9.0610000000000000e+03,"A1",2.4560000000000002e+01,555197846.0000,935639231.0000,1.0000000000000000e+01,3.0897207367795602e-02,3.1240000000000002e+01,1.6370400000000000e+03
"CHAPLIN",2.0020000000000000e+03,2.4000000000000000e+01,2.4000000000000000e+01,"W",2646551.0000,2693477.0000,5476778.0000,4112511.0000,456227.0000,5738704.0000,0.0000,0.0000,107253.0000,107253.0000,-369179.0000,-69511.0000,-369179.0000,0.0000,2718716.0000,2718716.0000,263392.0000,0.0000,519883.0000,256491.0000,,,2618890.0000,2558371.0000,9.7689135473425759e-01,2740500.0000,2624378.0000,9.5762744024812996e-01,2.3310000000000000e+03,,1.9440000000000001e+01,83121119.0000,145532446.0000,1.4000000000000000e+01,3.5960214231063506e-02,3.1000000000000000e+01,3.9111000000000001e+02
"CHESHIRE",2.0020000000000000e+03,2.5000000000000000e+01,2.5000000000000000e+01,"NH",15771010.0000,56887746.0000,75266691.0000,47237812.0000,9953724.0000,74308256.0000,969032.0000,969032.0000,1309000.0000,1309000.0000,618467.0000,467015.0000,618467.0000,,86021902.0000,86021902.0000,1528949.0000,380000.0000,6101138.0000,4572189.0000,,1129423.0000,55598373.0000,55080175.0000,9.9067961934785398e-01,56884438.0000,55610727.0000,9.7760879697888547e-01,2.9096000000000000e+04,"Aa3",3.2910000000000004e+01,1779084331.0000,3027995269.0000,2.5000000000000000e+01,3.0845419172267421e-02,3.1000000000000000e+01,5.0276999999999998e+03
"CHESTER",2.0020000000000000e+03,2.6000000000000000e+01,2.6000000000000000e+01,"M",2013167.0000,7038335.0000,9356892.0000,5681398.0000,334215.0000,8283780.0000,50000.0000,50000.0000,595700.0000,595700.0000,527412.0000,364185.0000,527412.0000,1496307.5475,1684171.0000,3180478.5475,0.0000,539690.0000,1749168.0000,1749168.0000,,,7022352.0000,6981194.0000,9.9413900072226513e-01,7132051.0000,7006436.0000,9.8238725438166385e-01,3.8110000000000000e+03,"A2",1.6030000000000001e+01,279093523.0000,461686110.0000,1.5000000000000000e+01,3.5198555956678701e-02,2.4830000000000002e+01,5.2795000000000005e+02
"CLINTON",2.0020000000000000e+03,2.7000000000000000e+01,2.7000000000000000e+01,"M",8636311.0000,23743479.0000,34645343.0000,21889479.0000,2001357.0000,31810720.0000,0.0000,0.0000,1171620.0000,1171620.0000,1663003.0000,283767.0000,1663003.0000,,9344945.0000,9344945.0000,665925.0000,0.0000,7178439.0000,6512514.0000,,-225094.0000,23525117.0000,23362431.0000,9.9308458274617717e-01,24074167.0000,23603659.0000,9.8045589697869917e-01,1.3406000000000000e+04,"A2",1.6280000000000001e+01,896815258.0000,1294403926.0000,4.8000000000000000e+01,3.3065472269793179e-02,2.6090000000000000e+01,2.2237900000000000e+03
"COLCHESTER",2.0020000000000000e+03,2.8000000000000000e+01,2.8000000000000000e+01,"NL",14120438.0000,20125857.0000,35801223.0000,24308011.0000,4675242.0000,35210022.0000,0.0000,0.0000,461672.0000,461672.0000,129529.0000,1065066.0000,129529.0000,,28061106.0000,28061106.0000,172165.0000,200000.0000,3068294.0000,2896129.0000,3653047.0000,181779.0000,20026012.0000,19431432.0000,9.7030961531432214e-01,20818236.0000,19826073.0000,9.5234163932044957e-01,1.4998000000000000e+04,"A1",4.9060000000000002e+01,693082742.0000,1084732138.0000,6.5000000000000000e+01,3.7001325780402557e-02,2.8460000000000001e+01,3.1141800000000003e+03
"COLEBROOK",2.0020000000000000e+03,2.9000000000000000e+01,2.9000000000000000e+01,"L",583640.0000,3668676.0000,4358881.0000,2686614.0000,138191.0000,3947045.0000,0.0000,0.0000,200000.0000,200000.0000,211836.0000,-201027.0000,211836.0000,1367178.0000,730000.0000,2097178.0000,0.0000,0.0000,810529.0000,810529.0000,,,3525353.0000,3419830.0000,9.7006739466941327e-01,3871009.0000,3549181.0000,9.1686198611266467e-01,1.5110000000000000e+03,"A3",3.1490000000000002e+01,103258335.0000,147976957.0000,1.0000000000000000e+00,1.9875776397515529e-02,3.3170000000000002e+01,2.5842000000000002e+02
"COLUMBIA",2.0020000000000000e+03,3.0000000000000000e+01,3.0000000000000000e+01,"T",3005782.0000,7527949.0000,11386338.0000,7919695.0000,1301389.0000,11119107.0000,165559.0000,165559.0000,310758.0000,310758.0000,122032.0000,1013886.0000,122032.0000,,9675000.0000,9675000.0000,70370.0000,0.0000,2157195.0000,2086825.0000,,,7488980.0000,7383915.0000,9.8597071964406369e-01,7678232.0000,7473272.0000,9.7330635490045103e-01,5.1500000000000000e+03,"A1",2.1350000000000001e+01,286572030.0000,470250792.0000,7.0000000000000000e+00,2.7122226135963368e-02,2.5800000000000001e+01,9.5647000000000003e+02
"CORNWALL",2.0020000000000000e+03,3.1000000000000000e+01,3.1000000000000000e+01,"L",501581.0000,3907027.0000,4613807.0000,2879927.0000,1195663.0000,4182627.0000,0.0000,0.0000,452500.0000,452500.0000,-21320.0000,-15933.0000,-21320.0000,481948.0665,1401665.0000,1883613.0665,0.0000,225000.0000,1157153.0000,1157153.0000,,,3839979.0000,3785316.0000,9.8576476590106354e-01,3976224.0000,3830404.0000,9.6332701578180702e-01,1.4540000000000000e+03,"A1",4.6000000000000000e+01,183943400.0000,333230144.0000,6.0000000000000000e+00,2.2499999999999999e-02,2.0750000000000000e+01,2.4914000000000001e+02
"COVENTRY",2.0020000000000000e+03,3.2000000000000000e+01,3.2000000000000000e+01,"T",9447899.0000,16242792.0000,26290713.0000,17434358.0000,2282405.0000,25848440.0000,136734.0000,136734.0000,198502.0000,198502.0000,380505.0000,239645.0000,380505.0000,,19906556.0000,19906556.0000,136115.0000,200000.0000,1958456.0000,1822341.0000,,56423.0000,15851495.0000,15522181.0000,9.7922505101253854e-01,16713600.0000,16072654.0000,9.6165123013593723e-01,1.1938000000000000e+04,"A2",3.7719999999999999e+01,561981085.0000,805159907.0000,3.9000000000000000e+01,3.7554453958239448e-02,2.7900000000000002e+01,2.1115599999999999e+03
"CROMWELL",2.0020000000000000e+03,3.3000000000000000e+01,3.3000000000000000e+01,"M",4759451.0000,21509817.0000,28133167.0000,17295612.0000,1208608.0000,27061703.0000,208417.0000,208417.0000,280900.0000,280900.0000,998981.0000,-511297.0000,998981.0000,,14920000.0000,14920000.0000,142592.0000,1484226.0000,4229473.0000,4086881.0000,,,21427315.0000,20871662.0000,9.7406800618742950e-01,22996223.0000,21240541.0000,9.2365346257078829e-01,1.3370000000000000e+04,"A1",1.2390000000000001e+01,728473564.0000,1258874165.0000,3.1000000000000000e+01,3.5671342685370741e-02,2.9490000000000002e+01,1.8466800000000001e+03
"DANBURY",2.0020000000000000e+03,3.4000000000000000e+01,3.4000000000000000e+01,"F",29838060.0000,109011992.0000,150059484.0000,81035751.0000,6917124.0000,146199834.0000,0.0000,1123620.0000,891291.0000,891291.0000,2968359.0000,-2162319.0000,4091979.0000,,58672515.0000,58672515.0000,788134.0000,0.0000,12194220.0000,11406086.0000,92317622.0000,0.0000,109333278.0000,107187016.0000,9.8036954494312334e-01,116047321.0000,109591417.0000,9.4436834952872373e-01,7.6917000000000000e+04,"Aa2",4.2109999999999999e+01,4468312290.0000,7357096958.0000,4.9500000000000000e+02,3.6551562132957481e-02,2.4300000000000001e+01,9.5676700000000001e+03
"DARIEN",2.0020000000000000e+03,3.5000000000000000e+01,3.5000000000000000e+01,"F",4122584.0000,59399547.0000,67484563.0000,44974037.0000,5452372.0000,66910988.0000,936008.0000,936008.0000,1946476.0000,1946476.0000,-436893.0000,359752.0000,-436893.0000,,47006457.0000,47006457.0000,272811.0000,800000.0000,7951402.0000,7678591.0000,,,58772372.0000,58387013.0000,9.9344319470379727e-01,59714280.0000,58660026.0000,9.8234502701866289e-01,1.9887000000000000e+04,"Aaa",1.2859999999999999e+01,4208656086.0000,7504779305.0000,8.0000000000000000e+00,3.0362277170787808e-02,1.4020000000000000e+01,3.9435999999999999e+03
"DEEP RIVER",2.0020000000000000e+03,3.6000000000000000e+01,3.6000000000000000e+01,"M",2187393.0000,8228559.0000,11253459.0000,7040949.0000,1008115.0000,10651407.0000,0.0000,0.0000,32427.0000,32427.0000,569625.0000,-171682.0000,569625.0000,1979022.2084,3444735.0000,5423757.2084,0.0000,0.0000,-502190.0000,-502190.0000,9212552.0000,,8146631.0000,7992892.0000,9.8112851803401924e-01,8393237.0000,8140655.0000,9.6990648542391933e-01,4.7250000000000000e+03,"Baa1",1.3550000000000001e+01,273898645.0000,501485959.0000,2.4000000000000000e+01,4.0912667191188044e-02,2.9350000000000001e+01,7.0164999999999998e+02
"DERBY",2.0020000000000000e+03,3.7000000000000000e+01,3.7000000000000000e+01,"NH",9917045.0000,16475903.0000,27656577.0000,13747492.0000,2341037.0000,26346579.0000,334705.0000,334705.0000,611814.0000,611814.0000,1032889.0000,1161915.0000,1032889.0000,,11001425.0000,11001425.0000,0.0000,1264248.0000,3583865.0000,3583865.0000,2245328.0000,,15928227.0000,15472672.0000,9.7139951609177844e-01,16736025.0000,15956828.0000,9.5344193140246858e-01,1.2520000000000000e+04,"A3",4.9800000000000004e+00,510894377.0000,739051420.0000,1.9400000000000000e+02,5.0150150150150147e-02,3.1300000000000001e+01,1.6110400000000000e+03
"DURHAM",2.0020000000000000e+03,3.8000000000000000e+01,3.8000000000000000e+01,"M",5111989.0000,13158744.0000,18831818.0000,13189199.0000,1518298.0000,19592401.0000,280796.0000,1568686.0000,202142.0000,202142.0000,-681929.0000,64855.0000,605961.0000,11809305.0000,1389342.0000,13198647.0000,0.0000,853612.0000,3010896.0000,3010896.0000,,,12973636.0000,12781767.0000,9.8521085376528217e-01,13468165.0000,12997478.0000,9.6505188345999626e-01,6.9820000000000000e+03,,2.3600000000000001e+01,426498417.0000,620931867.0000,2.1000000000000000e+01,3.1914893617021274e-02,2.9699999999999999e+01,1.3848299999999999e+03
"EAST GRANBY",2.0020000000000000e+03,3.9000000000000000e+01,4.0000000000000000e+01,"H",2778455.0000,9825002.0000,13076010.0000,8139599.0000,783610.0000,11587724.0000,259600.0000,259600.0000,1860195.0000,1860195.0000,-112309.0000,-290411.0000,-112309.0000,,6365000.0000,6365000.0000,110223.0000,0.0000,1246147.0000,1135924.0000,,,9739520.0000,9648271.0000,9.9063105779340255e-01,9969906.0000,9742271.0000,9.7716778874344457e-01,4.9100000000000000e+03,"A1",1.7480000000000000e+01,348290453.0000,571545257.0000,1.8000000000000000e+01,3.6475261827374504e-02,2.7699999999999999e+01,8.9300000000000000e+02
"EAST HADDAM",2.0020000000000000e+03,4.0000000000000000e+01,4.1000000000000000e+01,"M",4797383.0000,13807669.0000,19826438.0000,12721227.0000,1685059.0000,19475659.0000,315911.0000,315911.0000,200600.0000,200600.0000,466090.0000,-89881.0000,466090.0000,,9580479.0000,9580479.0000,0.0000,496947.0000,3196290.0000,3196290.0000,,18237.0000,13747541.0000,13582350.0000,9.8798396018604351e-01,14029568.0000,13723062.0000,9.7815285545499331e-01,8.6380000000000000e+03,"A1",5.4329999999999998e+01,453756503.0000,840767688.0000,2.7000000000000000e+01,3.7739698082415341e-02,2.9930000000000000e+01,1.3774800000000000e+03
