Municipality,numbered,Comptroller Town Code,Net Grand List - 2004 GL Year
"WESTPORT",1.5900000000000000e+02,1.5800000000000000e+02,5.9730013320000000e+09
"WETHERSFIELD",1.6000000000000000e+02,1.5900000000000000e+02,1.9744668400000000e+09
"WILLINGTON",1.6100000000000000e+02,1.6000000000000000e+02,3.7716056000000000e+08
"WILTON",1.6200000000000000e+02,1.6100000000000000e+02,3.7040342200000000e+09
"WINCHESTER",1.6300000000000000e+02,1.6200000000000000e+02,5.7208578400000000e+08
"WINDHAM",1.6400000000000000e+02,1.6300000000000000e+02,6.6247011500000000e+08
"WINDSOR",1.6500000000000000e+02,1.6400000000000000e+02,2.2834645520000000e+09
"WINDSOR LOCKS",1.6600000000000000e+02,1.6500000000000000e+02,1.0755868630000000e+09
"WOLCOTT",1.6700000000000000e+02,1.6600000000000000e+02,8.8597335000000000e+08
"WOODBRIDGE",1.6800000000000000e+02,1.6700000000000000e+02,1.1635990280000000e+09
"WOODBURY",1.6900000000000000e+02,1.6800000000000000e+02,9.9934855900000000e+08
"WOODSTOCK",1.7000000000000000e+02,1.6900000000000000e+02,4.4718453100000000e+08
