Municipality,numbered,Moody's,SandP,Fitch
"NORWICH",1.0500000000000000e+02,"A1","AA-","AA-"
"OLD LYME",1.0600000000000000e+02,"Aa2",,
"OLD SAYBROOK",1.0700000000000000e+02,"Aa3",,
"ORANGE",1.0800000000000000e+02,"Aa2",,
"OXFORD",1.0900000000000000e+02,"A1",,
"PLAINFIELD",1.1000000000000000e+02,"A2",,
"PLAINVILLE",1.1100000000000000e+02,"A1","A+",
"PLYMOUTH",1.1200000000000000e+02,"A2",,
"POMFRET",1.1300000000000000e+02,,,
"PORTLAND",1.1400000000000000e+02,"A2",,
"PRESTON",1.1500000000000000e+02,,"A",
"PROSPECT",1.1600000000000000e+02,"A3",,
"PUTNAM",1.1700000000000000e+02,"A3",,
"REDDING",1.1800000000000000e+02,"Aa1",,
"RIDGEFIELD",1.1900000000000000e+02,"Aaa","AAA","AAA"
"ROCKY HILL",1.2000000000000000e+02,"Aa3",,
"ROXBURY",1.2100000000000000e+02,,,
"SALEM",1.2200000000000000e+02,"A3",,
"SALISBURY",1.2300000000000000e+02,"A1",,
"SCOTLAND",1.2400000000000000e+02,"A3",,
"SEYMOUR",1.2500000000000000e+02,"A2","A+",
"SHARON",1.2600000000000000e+02,"A1",,
"SHELTON",1.2700000000000000e+02,"Aa3","AA-",
"SHERMAN",1.2800000000000000e+02,"A1",,
"SIMSBURY",1.2900000000000000e+02,"Aa1",,
"SOMERS",1.3000000000000000e+02,"A1",,
"SOUTH WINDSOR",1.3100000000000000e+02,"Aa3","AA",
"SOUTHBURY",1.3200000000000000e+02,"Aa3",,
"SOUTHINGTON",1.3300000000000000e+02,"A1","AA-",
"SPRAGUE",1.3400000000000000e+02,"A3",,
"STAFFORD",1.3500000000000000e+02,"A3",,
"STAMFORD",1.3600000000000000e+02,"Aaa","AAA",
"STERLING",1.3700000000000000e+02,"A3",,
"STONINGTON",1.3800000000000000e+02,"Aa3",,
"STRATFORD",1.3900000000000000e+02,"A1","A+",
"SUFFIELD",1.4000000000000000e+02,"Aa3","AA",
"THOMASTON",1.4100000000000000e+02,"A2",,
"THOMPSON",1.4200000000000000e+02,"A3",,
"TOLLAND",1.4300000000000000e+02,"A1","AA","AA"
"TORRINGTON",1.4400000000000000e+02,"A1",,
"TRUMBULL",1.4500000000000000e+02,"Aa3","AA","AA"
"UNION",1.4600000000000000e+02,,,
"VERNON",1.4700000000000000e+02,"A1",,
"VOLUNTOWN",1.4800000000000000e+02,"A3",,
"WALLINGFORD",1.4900000000000000e+02,"Aa1","AA",
"WARREN",1.5000000000000000e+02,,,
"WASHINGTON",1.5100000000000000e+02,"Aa3",,
"WATERBURY",1.5200000000000000e+02,"Baa1","BBB+","BBB+"
"WATERFORD",1.5300000000000000e+02,,"A1",
"WATERTOWN",1.5400000000000000e+02,"Aa3",,
"WEST HARTFORD",1.5500000000000000e+02,"Aaa","AAA",
"WEST HAVEN",1.5600000000000000e+02,"Baa2","BBB-",
"WESTBROOK",1.5700000000000000e+02,"A1",,
"WESTON",1.5800000000000000e+02,"Aaa",,
"WESTPORT",1.5900000000000000e+02,"Aaa",,
"WETHERSFIELD",1.6000000000000000e+02,"Aa3","AA",
"WILLINGTON",1.6100000000000000e+02,"A2",,
"WILTON",1.6200000000000000e+02,"Aaa",,
"WINCHESTER",1.6300000000000000e+02,"A2","A+",
"WINDHAM",1.6400000000000000e+02,"A2","A+",
"WINDSOR",1.6500000000000000e+02,"Aa2","AAA",
"WINDSOR LOCKS",1.6600000000000000e+02,"Aa2",,
"WOLCOTT",1.6700000000000000e+02,"A3",,
"WOODBRIDGE",1.6800000000000000e+02,"Aa1",,
"WOODBURY",1.6900000000000000e+02,"Aa3",,
"WOODSTOCK",1.7000000000000000e+02,"A2",,"AA-"
"Regional S. D. 1",1.7100000000000000e+02,"A2",,
"Regional S. D. 4",1.7200000000000000e+02,"A2",,
"Regional S. D. 5",1.7300000000000000e+02,"Aa3",,"AA"
"Regional S. D. 6",1.7400000000000000e+02,"A2",,
"Regional S. D. 7",1.7500000000000000e+02,"A2",,
"Regional S. D. 8",1.7600000000000000e+02,"A2","A",
"Regional S. D. 9",1.7700000000000000e+02,"Aa2",,
"Regional S. D. 10",1.7800000000000000e+02,"A2","A+",
"Regional S. D. 11",1.7900000000000000e+02,,,
"Regional S. D. 12",1.8000000000000000e+02,"Aa3",,"AA"
"Regional S. D. 13",1.8100000000000000e+02,"A2",,
"Regional S. D. 14",1.8200000000000000e+02,"A1",,
"Regional S. D. 15",1.8300000000000000e+02,"A1",,
"Regional S. D. 16",1.8400000000000000e+02,"A3",,
"Regional S. D. 17",1.8500000000000000e+02,"A2",,
"Regional S. D. 18",1.8600000000000000e+02,"Aa2",,
"Regional S. D. 19",1.8700000000000000e+02,"A2",,
