Municipality,July 2004 Population
"OLD LYME",7.5350000000000000e+03
"OLD SAYBROOK",1.0520000000000000e+04
"ORANGE",1.3587000000000000e+04
"OXFORD",1.1112000000000000e+04
"PLAINFIELD",1.5353000000000000e+04
"PLAINVILLE",1.7371000000000000e+04
"PLYMOUTH",1.2117000000000000e+04
"POMFRET",4.0860000000000000e+03
"PORTLAND",9.3400000000000000e+03
"PRESTON",4.8460000000000000e+03
"PROSPECT",9.2050000000000000e+03
"PUTNAM",9.2370000000000000e+03
"REDDING",8.6480000000000000e+03
"RIDGEFIELD",2.4202000000000000e+04
"ROCKY HILL",1.8620000000000000e+04
"ROXBURY",2.3110000000000000e+03
"SALEM",4.0580000000000000e+03
"SALISBURY",4.0590000000000000e+03
"SCOTLAND",1.6650000000000000e+03
"SEYMOUR",1.6133000000000000e+04
"SHARON",3.0360000000000000e+03
"SHELTON",3.9254000000000000e+04
"SHERMAN",4.1000000000000000e+03
"SIMSBURY",2.3460000000000000e+04
"SOMERS",1.0888000000000000e+04
"SOUTH WINDSOR",2.5586000000000000e+04
"SOUTHBURY",1.9498000000000000e+04
"SOUTHINGTON",4.1723000000000000e+04
"SPRAGUE",3.0110000000000000e+03
"STAFFORD",1.1815000000000000e+04
"STAMFORD",1.2016000000000000e+05
"STERLING",3.3840000000000000e+03
"STONINGTON",1.8381000000000000e+04
"STRATFORD",5.0309000000000000e+04
"SUFFIELD",1.4539000000000000e+04
"THOMASTON",7.9010000000000000e+03
"THOMPSON",9.2630000000000000e+03
"TOLLAND",1.4416000000000000e+04
"TORRINGTON",3.5955000000000000e+04
"TRUMBULL",3.5293000000000000e+04
"UNION",7.4400000000000000e+02
"VERNON",2.9338000000000000e+04
"VOLUNTOWN",2.6320000000000000e+03
"WALLINGFORD",4.4607000000000000e+04
"WARREN",1.3420000000000000e+03
"WASHINGTON",3.7010000000000000e+03
"WATERBURY",1.0848700000000000e+05
"WATERFORD",1.9089000000000000e+04
"WATERTOWN",2.2268000000000000e+04
"WEST HARTFORD",6.1392000000000000e+04
"WEST HAVEN",5.3124000000000000e+04
"WESTBROOK",6.5970000000000000e+03
"WESTON",1.0263000000000000e+04
"WESTPORT",2.6564000000000000e+04
"WETHERSFIELD",2.6358000000000000e+04
"WILLINGTON",6.1970000000000000e+03
"WILTON",1.7965000000000000e+04
"WINCHESTER",1.0889000000000000e+04
"WINDHAM",2.3167000000000000e+04
"WINDSOR",2.8652000000000000e+04
"WINDSOR LOCKS",1.2333000000000000e+04
"WOLCOTT",1.6149000000000000e+04
"WOODBRIDGE",9.2890000000000000e+03
"WOODBURY",9.6790000000000000e+03
"WOODSTOCK",7.8540000000000000e+03
