Municipality,numbered,Comptroller Town Code,Net Grand List - 2003 GL Year
"GLASTONBURY",5.4000000000000000e+01,5.4000000000000000e+01,2.9105201900000000e+09
"GOSHEN",5.5000000000000000e+01,5.5000000000000000e+01,3.5693317500000000e+08
"GRANBY",5.6000000000000000e+01,5.6000000000000000e+01,7.7826104000000000e+08
"GREENWICH",5.7000000000000000e+01,5.7000000000000000e+01,2.0085799300000000e+10
"GRISWOLD",5.8000000000000000e+01,5.8000000000000000e+01,4.5371673200000000e+08
"GROTON",5.9000000000000000e+01,5.9000000000000000e+01,2.5096748370000000e+09
"GROTON (City of)",6.0000000000000000e+01,5.0100000000000000e+02,
"GUILFORD",6.1000000000000000e+01,6.0000000000000000e+01,2.4203263880000000e+09
"HADDAM",6.2000000000000000e+01,6.1000000000000000e+01,5.9119978500000000e+08
"HAMDEN",6.3000000000000000e+01,6.2000000000000000e+01,2.5985546550000000e+09
"HAMPTON",6.4000000000000000e+01,6.3000000000000000e+01,1.1395897400000000e+08
"HARTFORD",6.5000000000000000e+01,6.4000000000000000e+01,3.5013811340000000e+09
"HARTLAND",6.6000000000000000e+01,6.5000000000000000e+01,1.4471323000000000e+08
"HARWINTON",6.7000000000000000e+01,6.6000000000000000e+01,4.3924685200000000e+08
"HEBRON",6.8000000000000000e+01,6.7000000000000000e+01,5.6940926600000000e+08
"KENT",6.9000000000000000e+01,6.8000000000000000e+01,4.4594982600000000e+08
"KILLINGLY",7.0000000000000000e+01,6.9000000000000000e+01,7.6703017700000000e+08
"KILLINGWORTH",7.1000000000000000e+01,7.0000000000000000e+01,5.5554776500000000e+08
"LEBANON",7.2000000000000000e+01,7.1000000000000000e+01,4.5279923100000000e+08
"LEDYARD",7.3000000000000000e+01,7.2000000000000000e+01,8.0188154900000000e+08
"LISBON",7.4000000000000000e+01,7.3000000000000000e+01,2.4023366500000000e+08
"LITCHFIELD",7.5000000000000000e+01,7.4000000000000000e+01,8.3355817600000000e+08
"LYME",7.6000000000000000e+01,7.5000000000000000e+01,4.9500086600000000e+08
"MADISON",7.7000000000000000e+01,7.6000000000000000e+01,2.3654158650000000e+09
"MANCHESTER",7.8000000000000000e+01,7.7000000000000000e+01,2.8278804240000000e+09
"MANSFIELD",7.9000000000000000e+01,7.8000000000000000e+01,5.8595146700000000e+08
"MARLBOROUGH",8.0000000000000000e+01,7.9000000000000000e+01,4.2237563000000000e+08
"MERIDEN",8.1000000000000000e+01,8.0000000000000000e+01,2.3391872880000000e+09
"MIDDLEBURY",8.2000000000000000e+01,8.1000000000000000e+01,6.6524119900000000e+08
"MIDDLEFIELD",8.3000000000000000e+01,8.2000000000000000e+01,3.0251962000000000e+08
"MIDDLETOWN",8.4000000000000000e+01,8.3000000000000000e+01,2.5374424430000000e+09
"MILFORD",8.5000000000000000e+01,8.4000000000000000e+01,3.9778160180000000e+09
"MONROE",8.6000000000000000e+01,8.5000000000000000e+01,2.0086845150000000e+09
"MONTVILLE",8.7000000000000000e+01,8.6000000000000000e+01,9.9191320000000000e+08
"MORRIS",8.8000000000000000e+01,8.7000000000000000e+01,2.2615923600000000e+08
"NAUGATUCK",8.9000000000000000e+01,8.8000000000000000e+01,1.3675582900000000e+09
"NEW BRITAIN",9.0000000000000000e+01,8.9000000000000000e+01,2.0255722510000000e+09
"NEW CANAAN",9.1000000000000000e+01,9.0000000000000000e+01,6.5571715400000000e+09
"NEW FAIRFIELD",9.2000000000000000e+01,9.1000000000000000e+01,1.1400488000000000e+09
"NEW HARTFORD",9.3000000000000000e+01,9.2000000000000000e+01,5.3579592400000000e+08
"NEW HAVEN",9.4000000000000000e+01,9.3000000000000000e+01,3.8865416200000000e+09
"NEWINGTON",9.7000000000000000e+01,9.4000000000000000e+01,1.7458230630000000e+09
"NEW LONDON",9.5000000000000000e+01,9.5000000000000000e+01,1.2158489290000000e+09
"NEW MILFORD",9.6000000000000000e+01,9.6000000000000000e+01,2.1664793850000000e+09
"NEWTOWN",9.8000000000000000e+01,9.7000000000000000e+01,2.8444206410000000e+09
"NORFOLK",9.9000000000000000e+01,9.8000000000000000e+01,1.9878966200000000e+08
"NORTH BRANFORD",1.0000000000000000e+02,9.9000000000000000e+01,8.7368146400000000e+08
"NORTH CANAAN",1.0100000000000000e+02,1.0000000000000000e+02,2.3681222000000000e+08
"NORTH HAVEN",1.0200000000000000e+02,1.0100000000000000e+02,1.9110394370000000e+09
"NORTH STONINGTON",1.0300000000000000e+02,1.0200000000000000e+02,3.4089958300000000e+08
"NORWALK",1.0400000000000000e+02,1.0300000000000000e+02,7.3236523460000000e+09
"NORWICH",1.0500000000000000e+02,1.0400000000000000e+02,1.7332952370000000e+09
"OLD LYME",1.0600000000000000e+02,1.0500000000000000e+02,9.0826822500000000e+08
"OLD SAYBROOK",1.0700000000000000e+02,1.0600000000000000e+02,1.8466508580000000e+09
"ORANGE",1.0800000000000000e+02,1.0700000000000000e+02,1.3767774660000000e+09
"OXFORD",1.0900000000000000e+02,1.0800000000000000e+02,7.5916829900000000e+08
"PLAINFIELD",1.1000000000000000e+02,1.0900000000000000e+02,6.3433459500000000e+08
"PLAINVILLE",1.1100000000000000e+02,1.1000000000000000e+02,9.2836212300000000e+08
"PLYMOUTH",1.1200000000000000e+02,1.1100000000000000e+02,5.2813962400000000e+08
"POMFRET",1.1300000000000000e+02,1.1200000000000000e+02,2.1599507200000000e+08
"PORTLAND",1.1400000000000000e+02,1.1300000000000000e+02,5.2745175100000000e+08
"PRESTON",1.1500000000000000e+02,1.1400000000000000e+02,2.6525375500000000e+08
"PROSPECT",1.1600000000000000e+02,1.1500000000000000e+02,5.0462252900000000e+08
"PUTNAM",1.1700000000000000e+02,1.1600000000000000e+02,4.6334933000000000e+08
"REDDING",1.1800000000000000e+02,1.1700000000000000e+02,1.4326606900000000e+09
"RIDGEFIELD",1.1900000000000000e+02,1.1800000000000000e+02,4.0523746370000000e+09
"ROCKY HILL",1.2000000000000000e+02,1.1900000000000000e+02,1.5333668400000000e+09
"ROXBURY",1.2100000000000000e+02,1.2000000000000000e+02,4.7564334000000000e+08
"SALEM",1.2200000000000000e+02,1.2100000000000000e+02,2.5722307100000000e+08
"SALISBURY",1.2300000000000000e+02,1.2200000000000000e+02,6.2225054000000000e+08
"SCOTLAND",1.2400000000000000e+02,1.2300000000000000e+02,8.9308157000000000e+07
"SEYMOUR",1.2500000000000000e+02,1.2400000000000000e+02,9.2163161200000000e+08
"SHARON",1.2600000000000000e+02,1.2500000000000000e+02,5.1695603800000000e+08
"SHELTON",1.2700000000000000e+02,1.2600000000000000e+02,3.2470165000000000e+09
"SHERMAN",1.2800000000000000e+02,1.2700000000000000e+02,6.3229092600000000e+08
"SIMSBURY",1.2900000000000000e+02,1.2800000000000000e+02,1.9240075290000000e+09
"SOMERS",1.3000000000000000e+02,1.2900000000000000e+02,4.8540954300000000e+08
"SOUTHBURY",1.3200000000000000e+02,1.3000000000000000e+02,1.9633461630000000e+09
"SOUTHINGTON",1.3300000000000000e+02,1.3100000000000000e+02,2.5968394210000000e+09
"SOUTH WINDSOR",1.3100000000000000e+02,1.3200000000000000e+02,1.9487016150000000e+09
"SPRAGUE",1.3400000000000000e+02,1.3300000000000000e+02,1.9290229700000000e+08
"STAFFORD",1.3500000000000000e+02,1.3400000000000000e+02,4.9324135800000000e+08
"STAMFORD",1.3600000000000000e+02,1.3500000000000000e+02,1.0892407229000000e+10
"STERLING",1.3700000000000000e+02,1.3600000000000000e+02,1.5679026000000000e+08
"STONINGTON",1.3800000000000000e+02,1.3700000000000000e+02,1.9892480540000000e+09
"STRATFORD",1.3900000000000000e+02,1.3800000000000000e+02,3.1663755050000000e+09
"SUFFIELD",1.4000000000000000e+02,1.3900000000000000e+02,1.0193989750000000e+09
"THOMASTON",1.4100000000000000e+02,1.4000000000000000e+02,3.7535171700000000e+08
"THOMPSON",1.4200000000000000e+02,1.4100000000000000e+02,3.8566806000000000e+08
"TOLLAND",1.4300000000000000e+02,1.4200000000000000e+02,8.2670138800000000e+08
"TORRINGTON",1.4400000000000000e+02,1.4300000000000000e+02,1.8240340470000000e+09
"TRUMBULL",1.4500000000000000e+02,1.4400000000000000e+02,3.3606631190000000e+09
"UNION",1.4600000000000000e+02,1.4500000000000000e+02,6.2955579000000000e+07
"VERNON",1.4700000000000000e+02,1.4600000000000000e+02,1.2539983360000000e+09
"VOLUNTOWN",1.4800000000000000e+02,1.4700000000000000e+02,1.2488417900000000e+08
"WALLINGFORD",1.4900000000000000e+02,1.4800000000000000e+02,3.0542114990000000e+09
"WARREN",1.5000000000000000e+02,1.4900000000000000e+02,1.8982676700000000e+08
"WASHINGTON",1.5100000000000000e+02,1.5000000000000000e+02,9.1254118000000000e+08
"WATERBURY",1.5200000000000000e+02,1.5100000000000000e+02,3.3432387410000000e+09
"WATERFORD",1.5300000000000000e+02,1.5200000000000000e+02,2.5560760200000000e+09
"WATERTOWN",1.5400000000000000e+02,1.5300000000000000e+02,1.5482405600000000e+09
"WESTBROOK",1.5700000000000000e+02,1.5400000000000000e+02,7.6888594200000000e+08
"WEST HARTFORD",1.5500000000000000e+02,1.5500000000000000e+02,3.6279607400000000e+09
"WEST HAVEN",1.5600000000000000e+02,1.5600000000000000e+02,1.8299908840000000e+09
"WESTON",1.5800000000000000e+02,1.5700000000000000e+02,2.3567681860000000e+09
"WESTPORT",1.5900000000000000e+02,1.5800000000000000e+02,5.7938814500000000e+09
"WETHERSFIELD",1.6000000000000000e+02,1.5900000000000000e+02,1.9545392200000000e+09
"WILLINGTON",1.6100000000000000e+02,1.6000000000000000e+02,3.7125927700000000e+08
"WILTON",1.6200000000000000e+02,1.6100000000000000e+02,3.6498629100000000e+09
"WINCHESTER",1.6300000000000000e+02,1.6200000000000000e+02,5.6065687100000000e+08
"WINDHAM",1.6400000000000000e+02,1.6300000000000000e+02,6.4719852500000000e+08
"WINDSOR",1.6500000000000000e+02,1.6400000000000000e+02,2.2437670900000000e+09
"WINDSOR LOCKS",1.6600000000000000e+02,1.6500000000000000e+02,1.0465536290000000e+09
"WOLCOTT",1.6700000000000000e+02,1.6600000000000000e+02,8.6315651300000000e+08
"WOODBRIDGE",1.6800000000000000e+02,1.6700000000000000e+02,8.8722958000000000e+08
"WOODBURY",1.6900000000000000e+02,1.6800000000000000e+02,9.6933441700000000e+08
"WOODSTOCK",1.7000000000000000e+02,1.6900000000000000e+02,4.2847709400000000e+08
