Municipality,2006 LABOR FORCE,2006 UNEMPLOYED,2006 Unemp Rate,2005 LABOR FORCE,2005 UNEMPLOYED,2005 Unemp Rate,2004 LABOR FORCE,2004 UNEMPLOYED,2004 Unemp Rate,2003 LABOR FORCE,2003 UNEMPLOYED,2003 Unemp Rate
"BOZRAH",1.4770000000000000e+03,6.6000000000000000e+01,4.4685172647257958e-02,1.4630000000000000e+03,7.0000000000000000e+01,4.7846889952153110e-02,1.4350000000000000e+03,6.5000000000000000e+01,4.5296167247386762e-02,1.4370000000000000e+03,7.1000000000000000e+01,4.9408489909533754e-02
"BRANFORD",1.7135000000000000e+04,5.9700000000000000e+02,3.4840968777356290e-02,1.6912000000000000e+04,6.8100000000000000e+02,4.0267265846736046e-02,1.6830000000000000e+04,6.8900000000000000e+02,4.0938799762329177e-02,1.6814000000000000e+04,7.6300000000000000e+02,4.5378850957535390e-02
"BRIDGEPORT",6.1659000000000000e+04,4.1660000000000000e+03,6.7565156749217467e-02,6.1339000000000000e+04,4.6850000000000000e+03,7.6378812827075759e-02,6.1386000000000000e+04,4.7990000000000000e+03,7.8177434594207146e-02,6.2337000000000000e+04,5.5960000000000000e+03,8.9770120474196705e-02
"BRIDGEWATER",1.0270000000000000e+03,2.8000000000000000e+01,2.7263875365141188e-02,1.0180000000000000e+03,3.0000000000000000e+01,2.9469548133595286e-02,1.0110000000000000e+03,3.0000000000000000e+01,2.9673590504451040e-02,1.0120000000000000e+03,3.3000000000000000e+01,3.2608695652173912e-02
"BRISTOL",3.3728000000000000e+04,1.6270000000000000e+03,4.8238851992409869e-02,3.3386000000000000e+04,1.7990000000000000e+03,5.3884861918169290e-02,3.2881000000000000e+04,1.7980000000000000e+03,5.4682035217906995e-02,3.2994000000000000e+04,1.9830000000000000e+03,6.0101836697581380e-02
"BROOKFIELD",8.9550000000000000e+03,2.9000000000000000e+02,3.2384142936906758e-02,8.8430000000000000e+03,3.0500000000000000e+02,3.4490557503109802e-02,8.7460000000000000e+03,3.0900000000000000e+02,3.5330436771095361e-02,8.7180000000000000e+03,3.4900000000000000e+02,4.0032117458132600e-02
"BROOKLYN",3.7840000000000000e+03,1.7100000000000000e+02,4.5190274841437630e-02,3.6860000000000000e+03,1.6100000000000000e+02,4.3678784590341836e-02,3.5710000000000000e+03,1.6500000000000000e+02,4.6205544665359845e-02,3.6040000000000000e+03,1.6200000000000000e+02,4.4950055493895670e-02
"BURLINGTON",5.2860000000000000e+03,1.7400000000000000e+02,3.2917139614074914e-02,5.1860000000000000e+03,1.9100000000000000e+02,3.6829926725800231e-02,5.0800000000000000e+03,2.0100000000000000e+02,3.9566929133858265e-02,5.0080000000000000e+03,2.1700000000000000e+02,4.3330670926517573e-02
"CANAAN",6.0600000000000000e+02,2.3000000000000000e+01,3.7953795379537955e-02,5.9700000000000000e+02,2.4000000000000000e+01,4.0201005025125629e-02,6.0200000000000000e+02,2.6000000000000000e+01,4.3189368770764118e-02,6.0100000000000000e+02,2.5000000000000000e+01,4.1597337770382693e-02
"CANTERBURY",3.2290000000000000e+03,1.5100000000000000e+02,4.6763703933106228e-02,3.1490000000000000e+03,1.5300000000000000e+02,4.8586852969196570e-02,3.0760000000000000e+03,1.4900000000000000e+02,4.8439531859557870e-02,3.0200000000000000e+03,1.4600000000000000e+02,4.8344370860927154e-02
"CANTON",5.6780000000000000e+03,1.7100000000000000e+02,3.0116238112011272e-02,5.5220000000000000e+03,1.9100000000000000e+02,3.4588917059036578e-02,5.3180000000000000e+03,2.0700000000000000e+02,3.8924407672057161e-02,5.2330000000000000e+03,2.2400000000000000e+02,4.2805274221287978e-02
"CHAPLIN",1.4450000000000000e+03,6.7000000000000000e+01,4.6366782006920418e-02,1.3960000000000000e+03,6.3000000000000000e+01,4.5128939828080229e-02,1.3590000000000000e+03,6.7000000000000000e+01,4.9300956585724795e-02,1.3290000000000000e+03,6.5000000000000000e+01,4.8908954100827691e-02
"CHESHIRE",1.4435000000000000e+04,4.9800000000000000e+02,3.4499480429511606e-02,1.4335000000000000e+04,5.6200000000000000e+02,3.9204743634461109e-02,1.4228000000000000e+04,5.5700000000000000e+02,3.9148158560584762e-02,1.4174000000000000e+04,5.7000000000000000e+02,4.0214477211796246e-02
"CHESTER",2.2600000000000000e+03,6.8000000000000000e+01,3.0088495575221239e-02,2.2200000000000000e+03,7.7000000000000000e+01,3.4684684684684684e-02,2.2080000000000000e+03,7.8000000000000000e+01,3.5326086956521736e-02,2.2090000000000000e+03,8.5000000000000000e+01,3.8478949751018558e-02
"CLINTON",7.8950000000000000e+03,2.7900000000000000e+02,3.5338822039265361e-02,7.7740000000000000e+03,3.2200000000000000e+02,4.1420118343195270e-02,7.7020000000000000e+03,3.0400000000000000e+02,3.9470267462996624e-02,7.7040000000000000e+03,3.3100000000000000e+02,4.2964693665628245e-02
"COLCHESTER",8.6390000000000000e+03,3.2700000000000000e+02,3.7851603194814218e-02,8.5150000000000000e+03,3.5900000000000000e+02,4.2160892542571930e-02,8.4140000000000000e+03,3.7000000000000000e+02,4.3974328500118849e-02,8.3520000000000000e+03,3.8500000000000000e+02,4.6096743295019157e-02
"COLEBROOK",8.3100000000000000e+02,1.9000000000000000e+01,2.2864019253910951e-02,8.1700000000000000e+02,2.3000000000000000e+01,2.8151774785801713e-02,8.1200000000000000e+02,2.0000000000000000e+01,2.4630541871921183e-02,8.1400000000000000e+02,2.3000000000000000e+01,2.8255528255528257e-02
"COLUMBIA",3.0290000000000000e+03,1.0500000000000000e+02,3.4664905909541105e-02,2.9660000000000000e+03,1.1100000000000000e+02,3.7424140256237359e-02,2.9240000000000000e+03,1.1800000000000000e+02,4.0355677154582763e-02,2.8700000000000000e+03,1.1300000000000000e+02,3.9372822299651569e-02
"CORNWALL",8.3000000000000000e+02,2.6000000000000000e+01,3.1325301204819279e-02,8.1500000000000000e+02,2.5000000000000000e+01,3.0674846625766871e-02,8.1200000000000000e+02,2.4000000000000000e+01,2.9556650246305417e-02,8.1600000000000000e+02,3.1000000000000000e+01,3.7990196078431369e-02
"COVENTRY",6.9230000000000000e+03,2.6100000000000000e+02,3.7700418893543260e-02,6.8250000000000000e+03,2.9200000000000000e+02,4.2783882783882787e-02,6.7410000000000000e+03,2.9000000000000000e+02,4.3020323394155173e-02,6.7110000000000000e+03,3.2100000000000000e+02,4.7831917746982568e-02
"CROMWELL",7.6900000000000000e+03,2.8400000000000000e+02,3.6931079323797140e-02,7.6150000000000000e+03,3.1400000000000000e+02,4.1234405778069597e-02,7.5330000000000000e+03,3.1500000000000000e+02,4.1816009557945039e-02,7.5180000000000000e+03,3.5500000000000000e+02,4.7220005320563981e-02
"DANBURY",4.3946000000000000e+04,1.5310000000000000e+03,3.4838210531106355e-02,4.3311000000000000e+04,1.6940000000000000e+03,3.9112465655376231e-02,4.2877000000000000e+04,1.7310000000000000e+03,4.0371294633486488e-02,4.3042000000000000e+04,1.9270000000000000e+03,4.4770224431950188e-02
"DARIEN",9.1270000000000000e+03,2.6000000000000000e+02,2.8486906979292209e-02,8.9900000000000000e+03,2.9500000000000000e+02,3.2814238042269191e-02,8.9310000000000000e+03,2.8000000000000000e+02,3.1351472399507335e-02,8.7430000000000000e+03,3.2100000000000000e+02,3.6715086354798122e-02
"DEEP RIVER",2.5600000000000000e+03,9.0000000000000000e+01,3.5156250000000000e-02,2.5360000000000000e+03,1.0600000000000000e+02,4.1798107255520502e-02,2.5160000000000000e+03,1.0000000000000000e+02,3.9745627980922099e-02,2.5330000000000000e+03,1.1600000000000000e+02,4.5795499407816818e-02
"DERBY",6.7910000000000000e+03,3.4200000000000000e+02,5.0360771609483136e-02,6.7290000000000000e+03,3.8400000000000000e+02,5.7066428889879624e-02,6.7280000000000000e+03,4.0100000000000000e+02,5.9601664684898928e-02,6.7830000000000000e+03,4.5300000000000000e+02,6.6784608580274213e-02
"DURHAM",4.2420000000000000e+03,1.3800000000000000e+02,3.2531824611032531e-02,4.1190000000000000e+03,1.4600000000000000e+02,3.5445496479728091e-02,4.0470000000000000e+03,1.3900000000000000e+02,3.4346429453916479e-02,4.0250000000000000e+03,1.7100000000000000e+02,4.2484472049689442e-02
"EAST GRANBY",2.8970000000000000e+03,1.0000000000000000e+02,3.4518467380048323e-02,2.8430000000000000e+03,1.0800000000000000e+02,3.7988040801969748e-02,2.7920000000000000e+03,1.0200000000000000e+02,3.6532951289398284e-02,2.7850000000000000e+03,1.1900000000000000e+02,4.2728904847396769e-02
"EAST HADDAM",5.0880000000000000e+03,1.6600000000000000e+02,3.2625786163522012e-02,5.0030000000000000e+03,1.9600000000000000e+02,3.9176494103537879e-02,4.9460000000000000e+03,2.0000000000000000e+02,4.0436716538617065e-02,4.9290000000000000e+03,2.2000000000000000e+02,4.4633799959423820e-02
"EAST HAMPTON",6.9020000000000000e+03,3.1300000000000000e+02,4.5349174152419590e-02,6.7100000000000000e+03,3.7800000000000000e+02,5.6333830104321907e-02,6.4430000000000000e+03,3.1800000000000000e+02,4.9355890113301257e-02,6.3590000000000000e+03,3.7300000000000000e+02,5.8657021544267968e-02
"EAST HARTFORD",2.4926000000000000e+04,1.4400000000000000e+03,5.7771002166412580e-02,2.4770000000000000e+04,1.5820000000000000e+03,6.3867581752119498e-02,2.4640000000000000e+04,1.6180000000000000e+03,6.5665584415584413e-02,2.4922000000000000e+04,1.8260000000000000e+03,7.3268598025840626e-02
"EAST HAVEN",1.5942000000000000e+04,7.4100000000000000e+02,4.6480993601806547e-02,1.5738000000000000e+04,8.1600000000000000e+02,5.1849027830728173e-02,1.5683000000000000e+04,8.4400000000000000e+02,5.3816234138876491e-02,1.5605000000000000e+04,8.9600000000000000e+02,5.7417494392822815e-02
"EAST LYME",9.5770000000000000e+03,3.4100000000000000e+02,3.5606139709721207e-02,9.4960000000000000e+03,3.6500000000000000e+02,3.8437236731255264e-02,9.3340000000000000e+03,3.5000000000000000e+02,3.7497321619884297e-02,9.4550000000000000e+03,3.8800000000000000e+02,4.1036488630354313e-02
"EAST WINDSOR",6.1420000000000000e+03,2.8800000000000000e+02,4.6890263757733634e-02,6.0300000000000000e+03,3.2000000000000000e+02,5.3067993366500830e-02,5.8800000000000000e+03,3.0900000000000000e+02,5.2551020408163264e-02,5.8750000000000000e+03,3.6400000000000000e+02,6.1957446808510640e-02
"EASTFORD",9.9300000000000000e+02,3.5000000000000000e+01,3.5246727089627394e-02,9.6700000000000000e+02,4.1000000000000000e+01,4.2399172699069287e-02,9.3500000000000000e+02,3.5000000000000000e+01,3.7433155080213901e-02,9.1100000000000000e+02,3.8000000000000000e+01,4.1712403951701428e-02
"EASTON",3.7190000000000000e+03,1.1200000000000000e+02,3.0115622479161063e-02,3.6650000000000000e+03,1.1400000000000000e+02,3.1105047748976808e-02,3.6470000000000000e+03,1.1700000000000000e+02,3.2081162599396765e-02,3.6610000000000000e+03,1.2800000000000000e+02,3.4963124829281614e-02
"ELLINGTON",8.6230000000000000e+03,3.2200000000000000e+02,3.7341992346051261e-02,8.4020000000000000e+03,3.3200000000000000e+02,3.9514401333015946e-02,8.2810000000000000e+03,3.3100000000000000e+02,3.9971017992996016e-02,8.1340000000000000e+03,3.3000000000000000e+02,4.0570445045488075e-02
"ENFIELD",2.3756000000000000e+04,1.1190000000000000e+03,4.7103889543694225e-02,2.3526000000000000e+04,1.1340000000000000e+03,4.8201989288446823e-02,2.3449000000000000e+04,1.2130000000000000e+03,5.1729284830909633e-02,2.3581000000000000e+04,1.3390000000000000e+03,5.6783003265340741e-02
"ESSEX",3.7560000000000000e+03,1.2000000000000000e+02,3.1948881789137379e-02,3.7060000000000000e+03,1.3700000000000000e+02,3.6967080410145708e-02,3.6880000000000000e+03,1.3600000000000000e+02,3.6876355748373099e-02,3.6770000000000000e+03,1.4100000000000000e+02,3.8346478107152568e-02
"FAIRFIELD",2.8158000000000000e+04,9.7600000000000000e+02,3.4661552667092831e-02,2.7638000000000000e+04,1.0710000000000000e+03,3.8750995006874595e-02,2.7479000000000000e+04,1.0870000000000000e+03,3.9557480257651295e-02,2.7600000000000000e+04,1.2320000000000000e+03,4.4637681159420288e-02
"FARMINGTON",1.2761000000000000e+04,4.3400000000000000e+02,3.4009873834339004e-02,1.2544000000000000e+04,4.8100000000000000e+02,3.8345025510204078e-02,1.2328000000000000e+04,4.8700000000000000e+02,3.9503569110966905e-02,1.2286000000000000e+04,5.4400000000000000e+02,4.4278040045580336e-02
"FRANKLIN",1.1860000000000000e+03,4.6000000000000000e+01,3.8785834738617200e-02,1.1760000000000000e+03,4.5000000000000000e+01,3.8265306122448980e-02,1.1590000000000000e+03,4.1000000000000000e+01,3.5375323554788611e-02,1.1600000000000000e+03,4.8000000000000000e+01,4.1379310344827586e-02
"GLASTONBURY",1.7948000000000000e+04,5.4800000000000000e+02,3.0532649877423667e-02,1.7708000000000000e+04,6.0700000000000000e+02,3.4278292297266769e-02,1.7418000000000000e+04,5.7300000000000000e+02,3.2897003100241129e-02,1.7462000000000000e+04,6.7100000000000000e+02,3.8426297102279232e-02
"GOSHEN",1.6030000000000000e+03,4.9000000000000000e+01,3.0567685589519649e-02,1.5610000000000000e+03,6.3000000000000000e+01,4.0358744394618833e-02,1.5340000000000000e+03,6.9000000000000000e+01,4.4980443285528034e-02,1.4980000000000000e+03,6.6000000000000000e+01,4.4058744993324434e-02
"GRANBY",6.2240000000000000e+03,1.9500000000000000e+02,3.1330334190231360e-02,6.0970000000000000e+03,2.2500000000000000e+02,3.6903395112350336e-02,5.9860000000000000e+03,2.1200000000000000e+02,3.5415970598062146e-02,5.9430000000000000e+03,2.3800000000000000e+02,4.0047114252061249e-02
"GREENWICH",3.0053000000000000e+04,8.9600000000000000e+02,2.9813995275014143e-02,2.9541000000000000e+04,9.6300000000000000e+02,3.2598761043972781e-02,2.9288000000000000e+04,9.1300000000000000e+02,3.1173176727670036e-02,2.9344000000000000e+04,1.0130000000000000e+03,3.4521537622682660e-02
"GRISWOLD",7.1380000000000000e+03,3.2100000000000000e+02,4.4970579994396187e-02,7.0310000000000000e+03,3.4700000000000000e+02,4.9352865879675724e-02,6.8700000000000000e+03,3.3300000000000000e+02,4.8471615720524018e-02,6.8800000000000000e+03,3.7100000000000000e+02,5.3924418604651164e-02
"GROTON",1.9094000000000000e+04,8.1800000000000000e+02,4.2840682937048284e-02,1.9662000000000000e+04,8.8700000000000000e+02,4.5112399552436171e-02,1.9333000000000000e+04,8.8900000000000000e+02,4.5983551440542079e-02,1.8994000000000000e+04,9.5000000000000000e+02,5.0015794461408865e-02
"GROTON (City of)",,,,,,,,,,,,
"GUILFORD",1.2857000000000000e+04,3.7600000000000000e+02,2.9244769386326516e-02,1.2636000000000000e+04,4.2800000000000000e+02,3.3871478315922764e-02,1.2492000000000000e+04,4.0500000000000000e+02,3.2420749279538905e-02,1.2367000000000000e+04,4.2600000000000000e+02,3.4446510875717637e-02
"HADDAM",4.7750000000000000e+03,1.4200000000000000e+02,2.9738219895287958e-02,4.6540000000000000e+03,1.6700000000000000e+02,3.5883111302105718e-02,4.5370000000000000e+03,1.5800000000000000e+02,3.4824774079788408e-02,4.5120000000000000e+03,1.7700000000000000e+02,3.9228723404255317e-02
"HAMDEN",3.0511000000000000e+04,1.3090000000000000e+03,4.2902559732555474e-02,3.0184000000000000e+04,1.4190000000000000e+03,4.7011661807580173e-02,3.0049000000000000e+04,1.3730000000000000e+03,4.5692036340643616e-02,3.0029000000000000e+04,1.5090000000000000e+03,5.0251423623830296e-02
"HAMPTON",1.2000000000000000e+03,5.6000000000000000e+01,4.6666666666666669e-02,1.1580000000000000e+03,6.2000000000000000e+01,5.3540587219343697e-02,1.1020000000000000e+03,5.0000000000000000e+01,4.5372050816696916e-02,1.0810000000000000e+03,6.1000000000000000e+01,5.6429232192414434e-02
"HARTFORD",4.8101000000000000e+04,4.2520000000000000e+03,8.8397330616827099e-02,4.7552000000000000e+04,4.5790000000000000e+03,9.6294582772543741e-02,4.7400000000000000e+04,4.7480000000000000e+03,1.0016877637130801e-01,4.7933000000000000e+04,5.3640000000000000e+03,1.1190620240752717e-01
"HARTLAND",1.1920000000000000e+03,4.0000000000000000e+01,3.3557046979865772e-02,1.1660000000000000e+03,3.9000000000000000e+01,3.3447684391080618e-02,1.1590000000000000e+03,4.5000000000000000e+01,3.8826574633304571e-02,1.1540000000000000e+03,4.5000000000000000e+01,3.8994800693240898e-02
"HARWINTON",3.1330000000000000e+03,1.1600000000000000e+02,3.7025215448451963e-02,3.0710000000000000e+03,1.2400000000000000e+02,4.0377727124715074e-02,3.0370000000000000e+03,1.4200000000000000e+02,4.6756667764241026e-02,3.0070000000000000e+03,1.3800000000000000e+02,4.5892916528101096e-02
"HEBRON",5.4340000000000000e+03,1.8700000000000000e+02,3.4412955465587043e-02,5.3380000000000000e+03,2.0500000000000000e+02,3.8403896590483329e-02,5.2180000000000000e+03,1.9000000000000000e+02,3.6412418551169029e-02,5.1880000000000000e+03,2.1000000000000000e+02,4.0478026214340788e-02
"KENT",1.5900000000000000e+03,4.9000000000000000e+01,3.0817610062893082e-02,1.5610000000000000e+03,5.0000000000000000e+01,3.2030749519538756e-02,1.5660000000000000e+03,5.5000000000000000e+01,3.5121328224776503e-02,1.5630000000000000e+03,5.9000000000000000e+01,3.7747920665387076e-02
"KILLINGLY",9.3250000000000000e+03,5.2000000000000000e+02,5.5764075067024126e-02,9.1150000000000000e+03,5.5300000000000000e+02,6.0669226549643442e-02,8.8840000000000000e+03,5.7400000000000000e+02,6.4610535794687077e-02,9.0000000000000000e+03,6.7800000000000000e+02,7.5333333333333335e-02
"KILLINGWORTH",3.5670000000000000e+03,1.0700000000000000e+02,2.9997196523689373e-02,3.4930000000000000e+03,1.1800000000000000e+02,3.3781849413111936e-02,3.4540000000000000e+03,1.1400000000000000e+02,3.3005211349160395e-02,3.4370000000000000e+03,1.2600000000000000e+02,3.6659877800407331e-02
"LEBANON",4.2520000000000000e+03,1.6900000000000000e+02,3.9746001881467548e-02,4.2050000000000000e+03,1.8300000000000000e+02,4.3519619500594534e-02,4.0940000000000000e+03,1.7000000000000000e+02,4.1524181729360038e-02,4.0730000000000000e+03,1.8300000000000000e+02,4.4930027007120059e-02
"LEDYARD",8.5670000000000000e+03,3.0300000000000000e+02,3.5368273608030819e-02,8.4560000000000000e+03,3.0600000000000000e+02,3.6187322611163669e-02,8.3120000000000000e+03,3.0400000000000000e+02,3.6573628488931663e-02,8.2980000000000000e+03,3.3600000000000000e+02,4.0491684743311641e-02
"LISBON",2.5690000000000000e+03,1.0600000000000000e+02,4.1261191124951344e-02,2.5620000000000000e+03,1.1800000000000000e+02,4.6057767369242782e-02,2.5080000000000000e+03,1.0700000000000000e+02,4.2663476874003188e-02,2.5130000000000000e+03,1.1800000000000000e+02,4.6955829685634699e-02
"LITCHFIELD",4.3930000000000000e+03,1.5900000000000000e+02,3.6193944912360575e-02,4.3180000000000000e+03,1.8600000000000000e+02,4.3075497915701713e-02,4.2930000000000000e+03,1.8100000000000000e+02,4.2161658513859772e-02,4.2780000000000000e+03,1.8400000000000000e+02,4.3010752688172046e-02
"LYME",1.1520000000000000e+03,3.8000000000000000e+01,3.2986111111111112e-02,1.1380000000000000e+03,3.6000000000000000e+01,3.1634446397188050e-02,1.1260000000000000e+03,3.6000000000000000e+01,3.1971580817051509e-02,1.1340000000000000e+03,4.4000000000000000e+01,3.8800705467372132e-02
"MADISON",9.9800000000000000e+03,2.9000000000000000e+02,2.9058116232464931e-02,9.8310000000000000e+03,3.1300000000000000e+02,3.1838063269250330e-02,9.7450000000000000e+03,3.0900000000000000e+02,3.1708568496664959e-02,9.6720000000000000e+03,3.1900000000000000e+02,3.2981803143093465e-02
"MANCHESTER",3.1527000000000000e+04,1.3360000000000000e+03,4.2376375804865668e-02,3.1040000000000000e+04,1.4670000000000000e+03,4.7261597938144329e-02,3.0701000000000000e+04,1.4550000000000000e+03,4.7392593075144131e-02,3.0859000000000000e+04,1.6790000000000000e+03,5.4408762435594157e-02
"MANSFIELD",1.2934000000000000e+04,5.0400000000000000e+02,3.8967063553425080e-02,1.2627000000000000e+04,5.3200000000000000e+02,4.2131939494733504e-02,1.2420000000000000e+04,4.5500000000000000e+02,3.6634460547504029e-02,1.2168000000000000e+04,4.2500000000000000e+02,3.4927679158448389e-02
"MARLBOROUGH",3.5760000000000000e+03,1.1900000000000000e+02,3.3277404921700227e-02,3.4960000000000000e+03,1.2800000000000000e+02,3.6613272311212815e-02,3.4300000000000000e+03,1.3300000000000000e+02,3.8775510204081633e-02,3.3890000000000000e+03,1.4700000000000000e+02,4.3375627028622014e-02
"MERIDEN",3.1362000000000000e+04,1.7350000000000000e+03,5.5321726930680444e-02,3.0946000000000000e+04,1.8280000000000000e+03,5.9070639177922830e-02,3.0478000000000000e+04,1.7850000000000000e+03,5.8566835094166284e-02,3.0502000000000000e+04,2.0600000000000000e+03,6.7536554980001315e-02
"MIDDLEBURY",3.8380000000000000e+03,1.2100000000000000e+02,3.1526836894215739e-02,3.7340000000000000e+03,1.4600000000000000e+02,3.9100160685591856e-02,3.6400000000000000e+03,1.4000000000000000e+02,3.8461538461538464e-02,3.6000000000000000e+03,1.5600000000000000e+02,4.3333333333333335e-02
"MIDDLEFIELD",2.3540000000000000e+03,9.1000000000000000e+01,3.8657604078164827e-02,2.3260000000000000e+03,1.0100000000000000e+02,4.3422184006878764e-02,2.3070000000000000e+03,9.6000000000000000e+01,4.1612483745123538e-02,2.3310000000000000e+03,1.2200000000000000e+02,5.2338052338052339e-02
"MIDDLETOWN",2.6126000000000000e+04,1.0710000000000000e+03,4.0993646176222920e-02,2.5760000000000000e+04,1.2040000000000000e+03,4.6739130434782609e-02,2.5451000000000000e+04,1.2030000000000000e+03,4.7267297945070917e-02,2.5471000000000000e+04,1.4040000000000000e+03,5.5121510737701697e-02
"MILFORD",3.1457000000000000e+04,1.1860000000000000e+03,3.7702260228248081e-02,3.0820000000000000e+04,1.3430000000000000e+03,4.3575600259571703e-02,3.0438000000000000e+04,1.3440000000000000e+03,4.4155332150601224e-02,3.0257000000000000e+04,1.4600000000000000e+03,4.8253296757775059e-02
"MONROE",1.0537000000000000e+04,3.5600000000000000e+02,3.3785707506880515e-02,1.0399000000000000e+04,4.0100000000000000e+02,3.8561400134628332e-02,1.0327000000000000e+04,3.6800000000000000e+02,3.5634743875278395e-02,1.0394000000000000e+04,4.5300000000000000e+02,4.3582836251683667e-02
"MONTVILLE",1.0944000000000000e+04,4.4600000000000000e+02,4.0752923976608187e-02,1.0744000000000000e+04,4.6900000000000000e+02,4.3652271034996276e-02,1.0571000000000000e+04,4.5700000000000000e+02,4.3231482357392867e-02,1.0698000000000000e+04,5.1400000000000000e+02,4.8046363806318937e-02
"MORRIS",1.2910000000000000e+03,4.5000000000000000e+01,3.4856700232378003e-02,1.2860000000000000e+03,5.5000000000000000e+01,4.2768273716951785e-02,1.2920000000000000e+03,5.6000000000000000e+01,4.3343653250773995e-02,1.2970000000000000e+03,5.7000000000000000e+01,4.3947571318427137e-02
"NAUGATUCK",1.7040000000000000e+04,8.2900000000000000e+02,4.8650234741784038e-02,1.6897000000000000e+04,9.0000000000000000e+02,5.3263892998757174e-02,1.6828000000000000e+04,9.5200000000000000e+02,5.6572379367720464e-02,1.6888000000000000e+04,1.1080000000000000e+03,6.5608716248223592e-02
"NEW BRITAIN",3.3933000000000000e+04,2.2280000000000000e+03,6.5658798220021811e-02,3.3819000000000000e+04,2.4960000000000000e+03,7.3804666016144771e-02,3.3712000000000000e+04,2.6040000000000000e+03,7.7242524916943528e-02,3.4052000000000000e+04,2.7800000000000000e+03,8.1639844943028311e-02
