Municipality,numbered,Comptroller Town Code,County,Total Units,1 Unit,2 Unit,3 and 4 Units,5 Units or More,Demolitions*,Net Gain,Net Gain Ranking
"POMFRET",1.1300000000000000e+02,1.1200000000000000e+02,"Windham",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"PORTLAND",1.1400000000000000e+02,1.1300000000000000e+02,"Middlesex",1.3000000000000000e+01,1.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.2000000000000000e+01,"92"
"PRESTON",1.1500000000000000e+02,1.1400000000000000e+02,"New London",2.2000000000000000e+01,1.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+00,1.0000000000000000e+00,2.1000000000000000e+01,"67"
"PROSPECT",1.1600000000000000e+02,1.1500000000000000e+02,"New Haven",3.9000000000000000e+01,3.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"PUTNAM",1.1700000000000000e+02,1.1600000000000000e+02,"Windham",2.4000000000000000e+01,2.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,2.1000000000000000e+01,"68"
"REDDING",1.1800000000000000e+02,1.1700000000000000e+02,"Fairfield",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,1.0000000000000000e+00,"140"
"RIDGEFIELD",1.1900000000000000e+02,1.1800000000000000e+02,"Fairfield",1.0700000000000000e+02,5.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+01,9.0000000000000000e+00,9.8000000000000000e+01,"14"
"ROCKY HILL",1.2000000000000000e+02,1.1900000000000000e+02,"Hartford",3.3000000000000000e+01,3.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.3000000000000000e+01,"48"
"ROXBURY",1.2100000000000000e+02,1.2000000000000000e+02,"Litchfield",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,"136"
"SALEM",1.2200000000000000e+02,1.2100000000000000e+02,"New London",1.1000000000000000e+01,1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,9.0000000000000000e+00,"102"
"SALISBURY",1.2300000000000000e+02,1.2200000000000000e+02,"Litchfield",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,7.0000000000000000e+00,"115"
"SCOTLAND",1.2400000000000000e+02,1.2300000000000000e+02,"Windham",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"SEYMOUR",1.2500000000000000e+02,1.2400000000000000e+02,"New Haven",2.8000000000000000e+01,2.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00,2.4000000000000000e+01,"60"
"SHARON",1.2600000000000000e+02,1.2500000000000000e+02,"Litchfield",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,7.0000000000000000e+00,"116"
"SHELTON",1.2700000000000000e+02,1.2600000000000000e+02,"Fairfield",9.3000000000000000e+01,8.1000000000000000e+01,1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,9.0000000000000000e+01,"17"
"SHERMAN",1.2800000000000000e+02,1.2700000000000000e+02,"Fairfield",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000000e+00,"112"
"SIMSBURY",1.2900000000000000e+02,1.2800000000000000e+02,"Hartford",1.9000000000000000e+01,1.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,1.6000000000000000e+01,"78"
"SOMERS",1.3000000000000000e+02,1.2900000000000000e+02,"Tolland",4.6000000000000000e+01,4.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,4.5000000000000000e+01,"33"
"SOUTH WINDSOR",1.3100000000000000e+02,1.3200000000000000e+02,"Hartford",4.7000000000000000e+01,4.5000000000000000e+01,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,4.5000000000000000e+01,"34"
"SOUTHBURY",1.3200000000000000e+02,1.3000000000000000e+02,"New Haven",3.3000000000000000e+01,3.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+01,"53"
"SOUTHINGTON",1.3300000000000000e+02,1.3100000000000000e+02,"Hartford",1.0800000000000000e+02,1.0800000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.0000000000000000e+00,1.0100000000000000e+02,"13"
"SPRAGUE",1.3400000000000000e+02,1.3300000000000000e+02,"New London",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"STAFFORD",1.3500000000000000e+02,1.3400000000000000e+02,"Tolland",2.5000000000000000e+01,2.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,2.4000000000000000e+01,"61"
"STAMFORD",1.3600000000000000e+02,1.3500000000000000e+02,"Fairfield",6.3100000000000000e+02,2.6200000000000000e+02,4.0000000000000000e+00,0.0000000000000000e+00,3.6500000000000000e+02,5.0000000000000000e+00,6.2600000000000000e+02,"1"
"STERLING",1.3700000000000000e+02,1.3600000000000000e+02,"Windham",1.3000000000000000e+01,1.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"STONINGTON",1.3800000000000000e+02,1.3700000000000000e+02,"New London",6.4000000000000000e+01,4.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.8000000000000000e+01,1.9000000000000000e+01,4.5000000000000000e+01,"35"
"STRATFORD",1.3900000000000000e+02,1.3800000000000000e+02,"Fairfield",4.8000000000000000e+01,4.4000000000000000e+01,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,3.8000000000000000e+01,"44"
"SUFFIELD",1.4000000000000000e+02,1.3900000000000000e+02,"Hartford",3.1000000000000000e+01,3.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,2.9000000000000000e+01,"54"
"THOMASTON",1.4100000000000000e+02,1.4000000000000000e+02,"Litchfield",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,7.0000000000000000e+00,"117"
"THOMPSON",1.4200000000000000e+02,1.4100000000000000e+02,"Windham",2.8000000000000000e+01,2.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.0000000000000000e+00,2.1000000000000000e+01,"69"
"TOLLAND",1.4300000000000000e+02,1.4200000000000000e+02,"Tolland",5.5000000000000000e+01,3.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,0.0000000000000000e+00,5.5000000000000000e+01,"28"
"TORRINGTON",1.4400000000000000e+02,1.4300000000000000e+02,"Litchfield",5.7000000000000000e+01,5.4000000000000000e+01,0.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,5.4000000000000000e+01,"29"
"TRUMBULL",1.4500000000000000e+02,1.4400000000000000e+02,"Fairfield",3.9000000000000000e+01,2.7000000000000000e+01,1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00,3.5000000000000000e+01,"46"
"UNION",1.4600000000000000e+02,1.4500000000000000e+02,"Tolland",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,"143"
"VERNON",1.4700000000000000e+02,1.4600000000000000e+02,"Tolland",1.8300000000000000e+02,3.8000000000000000e+01,6.0000000000000000e+00,0.0000000000000000e+00,1.3900000000000000e+02,,,"NR"
"VOLUNTOWN",1.4800000000000000e+02,1.4700000000000000e+02,"New London",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,5.0000000000000000e+00,"128"
"WALLINGFORD",1.4900000000000000e+02,1.4800000000000000e+02,"New Haven",1.4100000000000000e+02,3.5000000000000000e+01,0.0000000000000000e+00,8.0000000000000000e+00,9.8000000000000000e+01,7.0000000000000000e+00,1.3400000000000000e+02,"7"
"WARREN",1.5000000000000000e+02,1.4900000000000000e+02,"Litchfield",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"WASHINGTON",1.5100000000000000e+02,1.5000000000000000e+02,"Litchfield",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"WATERBURY",1.5200000000000000e+02,1.5100000000000000e+02,"New Haven",1.4600000000000000e+02,7.1000000000000000e+01,1.0000000000000000e+01,3.0000000000000000e+00,6.2000000000000000e+01,2.3000000000000000e+01,1.2300000000000000e+02,"9"
"WATERFORD",1.5300000000000000e+02,1.5200000000000000e+02,"New London",6.4000000000000000e+01,6.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00,6.0000000000000000e+01,"24"
"WATERTOWN",1.5400000000000000e+02,1.5300000000000000e+02,"Litchfield",4.7000000000000000e+01,4.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,4.5000000000000000e+01,"36"
"WEST HARTFORD",1.5500000000000000e+02,1.5500000000000000e+02,"Hartford",1.0400000000000000e+02,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,9.4000000000000000e+01,0.0000000000000000e+00,1.0400000000000000e+02,"12"
"WEST HAVEN",1.5600000000000000e+02,1.5600000000000000e+02,"New Haven",1.8000000000000000e+01,1.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1000000000000000e+01,7.0000000000000000e+00,"118"
"WESTBROOK",1.5700000000000000e+02,1.5400000000000000e+02,"Middlesex",2.6000000000000000e+01,2.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5000000000000000e+01,1.1000000000000000e+01,"96"
"WESTON",1.5800000000000000e+02,1.5700000000000000e+02,"Fairfield",1.4000000000000000e+01,1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+00,9.0000000000000000e+00,"103"
"WESTPORT",1.5900000000000000e+02,1.5800000000000000e+02,"Fairfield",9.3000000000000000e+01,9.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.5000000000000000e+01,-2.0000000000000000e+00,"144"
"WETHERSFIELD",1.6000000000000000e+02,1.5900000000000000e+02,"Hartford",1.6000000000000000e+01,1.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+01,"84"
"WILLINGTON",1.6100000000000000e+02,1.6000000000000000e+02,"Tolland",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,"134"
"WILTON",1.6200000000000000e+02,1.6100000000000000e+02,"Fairfield",2.7000000000000000e+01,2.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1000000000000000e+01,6.0000000000000000e+00,"122"
"WINCHESTER",1.6300000000000000e+02,1.6200000000000000e+02,"Litchfield",2.3000000000000000e+01,2.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,2.0000000000000000e+01,"73"
"WINDHAM",1.6400000000000000e+02,1.6300000000000000e+02,"Windham",1.9000000000000000e+01,1.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,1.6000000000000000e+01,"79"
"WINDSOR",1.6500000000000000e+02,1.6400000000000000e+02,"Hartford",7.5000000000000000e+01,6.1000000000000000e+01,1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,7.4000000000000000e+01,"22"
"WINDSOR LOCKS",1.6600000000000000e+02,1.6500000000000000e+02,"Hartford",2.4000000000000000e+01,2.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00,2.0000000000000000e+01,"74"
"WOLCOTT",1.6700000000000000e+02,1.6600000000000000e+02,"New Haven",2.7000000000000000e+01,2.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,2.6000000000000000e+01,"58"
"WOODBRIDGE",1.6800000000000000e+02,1.6700000000000000e+02,"New Haven",7.0000000000000000e+00,7.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+00,2.0000000000000000e+00,"137"
"WOODBURY",1.6900000000000000e+02,1.6800000000000000e+02,"Litchfield",2.7000000000000000e+01,2.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"WOODSTOCK",1.7000000000000000e+02,1.6900000000000000e+02,"Windham",2.7000000000000000e+01,2.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7000000000000000e+01,"56"
