Municipality,July 2002 Population
"HADDAM",7.3600000000000000e+03
"HAMDEN",5.7927000000000000e+04
"HAMPTON",1.8590000000000000e+03
"HARTFORD",1.2455800000000000e+05
"HARTLAND",2.0530000000000000e+03
"HARWINTON",5.4290000000000000e+03
"HEBRON",8.9070000000000000e+03
"KENT",2.9070000000000000e+03
"KILLINGLY",1.6740000000000000e+04
"KILLINGWORTH",6.2800000000000000e+03
"LEBANON",7.0760000000000000e+03
"LEDYARD",1.4882000000000000e+04
"LISBON",4.1590000000000000e+03
"LITCHFIELD",8.4800000000000000e+03
"LYME",2.0590000000000000e+03
"MADISON",1.8546000000000000e+04
"MANCHESTER",5.5084000000000000e+04
"MANSFIELD",2.1554000000000000e+04
"MARLBOROUGH",5.9790000000000000e+03
"MERIDEN",5.8675000000000000e+04
"MIDDLEBURY",6.6480000000000000e+03
"MIDDLEFIELD",4.2730000000000000e+03
"MIDDLETOWN",4.6552000000000000e+04
"MILFORD",5.3472000000000000e+04
"MONROE",1.9551000000000000e+04
"MONTVILLE",1.9606000000000000e+04
"MORRIS",2.3710000000000000e+03
"NAUGATUCK",3.1429000000000000e+04
"NEW BRITAIN",7.1589000000000000e+04
"NEW CANAAN",1.9734000000000000e+04
"NEW FAIRFIELD",1.4149000000000000e+04
"NEW HARTFORD",6.4130000000000000e+03
"NEW HAVEN",1.2417600000000000e+05
"NEW LONDON",2.6582000000000000e+04
"NEW MILFORD",2.7959000000000000e+04
"NEWINGTON",2.9623000000000000e+04
"NEWTOWN",2.5866000000000000e+04
"NORFOLK",1.6730000000000000e+03
"NORTH BRANFORD",1.4095000000000000e+04
"NORTH CANAAN",3.3760000000000000e+03
"NORTH HAVEN",2.3460000000000000e+04
"NORTH STONINGTON",5.0960000000000000e+03
"NORWALK",8.4127000000000000e+04
"NORWICH",3.6003000000000000e+04
"OLD LYME",7.4420000000000000e+03
"OLD SAYBROOK",1.0485000000000000e+04
"ORANGE",1.3383000000000000e+04
"OXFORD",1.0430000000000000e+04
"PLAINFIELD",1.5017000000000000e+04
"PLAINVILLE",1.7407000000000000e+04
"PLYMOUTH",1.1976000000000000e+04
"POMFRET",3.9230000000000000e+03
"PORTLAND",9.1250000000000000e+03
"PRESTON",4.7600000000000000e+03
"PROSPECT",9.0520000000000000e+03
"PUTNAM",9.0600000000000000e+03
"REDDING",8.5040000000000000e+03
"RIDGEFIELD",2.4054000000000000e+04
"ROCKY HILL",1.8305000000000000e+04
"ROXBURY",2.2500000000000000e+03
"SALEM",3.9380000000000000e+03
"SALISBURY",4.0220000000000000e+03
"SCOTLAND",1.5970000000000000e+03
"SEYMOUR",1.5727000000000000e+04
"SHARON",3.0080000000000000e+03
"SHELTON",3.8845000000000000e+04
"SHERMAN",3.9720000000000000e+03
"SIMSBURY",2.3421000000000000e+04
"SOMERS",1.0608000000000000e+04
"SOUTH WINDSOR",2.4846000000000000e+04
"SOUTHBURY",1.8953000000000000e+04
"SOUTHINGTON",4.0943000000000000e+04
"SPRAGUE",2.9710000000000000e+03
"STAFFORD",1.1592000000000000e+04
"STAMFORD",1.1985000000000000e+05
"STERLING",3.2040000000000000e+03
"STONINGTON",1.8084000000000000e+04
"STRATFORD",5.0171000000000000e+04
"SUFFIELD",1.4021000000000000e+04
"THOMASTON",7.7660000000000000e+03
"THOMPSON",9.0640000000000000e+03
"TOLLAND",1.3945000000000000e+04
"TORRINGTON",3.5655000000000000e+04
"TRUMBULL",3.4857000000000000e+04
"UNION",7.2100000000000000e+02
"VERNON",2.8718000000000000e+04
"VOLUNTOWN",2.5790000000000000e+03
"WALLINGFORD",4.3826000000000000e+04
"WARREN",1.3020000000000000e+03
"WASHINGTON",3.6700000000000000e+03
"WATERBURY",1.0788300000000000e+05
"WATERFORD",1.8925000000000000e+04
"WATERTOWN",2.2100000000000000e+04
"WEST HARTFORD",6.1365000000000000e+04
"WEST HAVEN",5.2733000000000000e+04
"WESTBROOK",6.5070000000000000e+03
"WESTON",1.0229000000000000e+04
"WESTPORT",2.6171000000000000e+04
"WETHERSFIELD",2.6390000000000000e+04
"WILLINGTON",6.1160000000000000e+03
"WILTON",1.7860000000000000e+04
"WINCHESTER",1.0755000000000000e+04
"WINDHAM",2.2976000000000000e+04
"WINDSOR",2.8519000000000000e+04
"WINDSOR LOCKS",1.2237000000000000e+04
"WOLCOTT",1.5682000000000000e+04
"WOODBRIDGE",9.1460000000000000e+03
"WOODBURY",9.4660000000000000e+03
"WOODSTOCK",7.5180000000000000e+03
