Municipality,Millrate FY 2006-07,Grand List Year,Comments
"GRANBY",3.4670000000000002e+01,2.0050000000000000e+03,
"GREENWICH",7.5000000000000000e+00,2.0050000000000000e+03,
"GRISWOLD",2.8750000000000000e+01,2.0050000000000000e+03,
"GROTON",2.4050000000000001e+01,2.0050000000000000e+03,
"GROTON (City of)",,,
"GUILFORD",2.3160000000000000e+01,2.0050000000000000e+03,
"HADDAM",2.5000000000000000e+01,2.0050000000000000e+03,
"HAMDEN",2.7949999999999999e+01,2.0050000000000000e+03,
"HAMPTON",3.0100000000000001e+01,2.0050000000000000e+03,
"HARTFORD",6.4820000000000007e+01,2.0050000000000000e+03,
"HARTLAND",2.1250000000000000e+01,2.0050000000000000e+03,
"HARWINTON",2.4900000000000002e+01,2.0050000000000000e+03,
"HEBRON",3.4890000000000001e+01,2.0050000000000000e+03,
"KENT",1.7580000000000002e+01,2.0050000000000000e+03,
"KILLINGLY",2.5800000000000001e+01,2.0050000000000000e+03," "
"KILLINGWORTH",2.7629999999999999e+01,2.0050000000000000e+03,
"LEBANON",2.5300000000000001e+01,2.0050000000000000e+03,
"LEDYARD",2.4980000000000000e+01,2.0050000000000000e+03,
"LISBON",2.1500000000000000e+01,2.0050000000000000e+03,"Per Kathy Rubenbauer and memo from Jean G. dated 8-30-06"
"LITCHFIELD",2.3900000000000002e+01,2.0050000000000000e+03,
"LYME",1.3750000000000000e+01,2.0050000000000000e+03,
"MADISON",2.2280000000000001e+01,2.0050000000000000e+03,
"MANCHESTER",4.0140000000000001e+01,2.0050000000000000e+03,
"MANSFIELD",2.2879999999999999e+01,2.0050000000000000e+03,
"MARLBOROUGH",2.4710000000000001e+01,2.0050000000000000e+03,
"MERIDEN",4.2200000000000003e+01,2.0050000000000000e+03,
"MIDDLEBURY",3.1320000000000000e+01,2.0050000000000000e+03,
"MIDDLEFIELD",3.2350000000000001e+01,2.0050000000000000e+03,
"MIDDLETOWN",3.1800000000000001e+01,2.0050000000000000e+03,
"MILFORD",3.4359999999999999e+01,2.0050000000000000e+03,
"MONROE",2.6080000000000002e+01,2.0050000000000000e+03,
"MONTVILLE",2.9859999999999999e+01,2.0050000000000000e+03,
"MORRIS",2.0510000000000002e+01,2.0050000000000000e+03,
"NAUGATUCK",3.8800000000000004e+01,2.0050000000000000e+03,
"NEW BRITAIN",4.5880000000000003e+01,2.0050000000000000e+03,
"NEW CANAAN",1.4044000000000000e+01,2.0050000000000000e+03,
"NEW FAIRFIELD",1.9699999999999999e+01,2.0050000000000000e+03,
"NEW HARTFORD",2.7100000000000001e+01,2.0050000000000000e+03,
"NEW HAVEN",4.4850000000000001e+01,2.0050000000000000e+03,
"NEW LONDON",2.9930000000000000e+01,2.0050000000000000e+03,
"NEW MILFORD",2.0870000000000001e+01,2.0050000000000000e+03,
"NEWINGTON",2.5760000000000002e+01,2.0050000000000000e+03,
"NEWTOWN",2.7300000000000001e+01,2.0050000000000000e+03,
"NORFOLK",2.7250000000000000e+01,2.0050000000000000e+03,
"NORTH BRANFORD",2.2760000000000002e+01,2.0050000000000000e+03,
"NORTH CANAAN",2.5500000000000000e+01,2.0050000000000000e+03,
"NORTH HAVEN",2.8699999999999999e+01,2.0050000000000000e+03,
"NORTH STONINGTON",1.8600000000000001e+01,2.0050000000000000e+03,
"NORWALK",2.3164000000000001e+01,2.0050000000000000e+03," "
"NORWICH",2.8079999999999998e+01,2.0050000000000000e+03,
"OLD LYME",1.7800000000000001e+01,2.0050000000000000e+03,
"OLD SAYBROOK",1.5350000000000000e+01,2.0050000000000000e+03,
"ORANGE",3.1900000000000002e+01,2.0050000000000000e+03,
"OXFORD",1.9370000000000001e+01,2.0050000000000000e+03,
"PLAINFIELD",2.6900000000000002e+01,2.0050000000000000e+03,
"PLAINVILLE",3.6280000000000001e+01,2.0050000000000000e+03,
"PLYMOUTH",4.1300000000000004e+01,2.0050000000000000e+03,
"POMFRET",1.9230000000000000e+01,2.0050000000000000e+03,
"PORTLAND",3.8910000000000004e+01,2.0050000000000000e+03,
"PRESTON",2.6199999999999999e+01,2.0050000000000000e+03,
"PROSPECT",2.3980000000000000e+01,2.0050000000000000e+03,
"PUTNAM",1.4220000000000001e+01,2.0050000000000000e+03,"Waiver"
"REDDING",2.2740000000000002e+01,2.0050000000000000e+03,
"RIDGEFIELD",2.4230000000000000e+01,2.0050000000000000e+03,
"ROCKY HILL",2.8000000000000000e+01,2.0050000000000000e+03,
"ROXBURY",1.5400000000000000e+01,2.0050000000000000e+03,
"SALEM",3.3399999999999999e+01,2.0050000000000000e+03,
"SALISBURY",8.7000000000000011e+00,2.0050000000000000e+03,
"SCOTLAND",3.3049999999999997e+01,2.0050000000000000e+03,
"SEYMOUR",2.4163000000000000e+01,2.0050000000000000e+03,
"SHARON",1.4900000000000000e+01,2.0050000000000000e+03,
"SHELTON",2.4310000000000002e+01,2.0050000000000000e+03,
"SHERMAN",1.5400000000000000e+01,2.0050000000000000e+03,
"SIMSBURY",3.5899999999999999e+01,2.0050000000000000e+03,
"SOMERS",2.1010000000000002e+01,2.0050000000000000e+03,
"SOUTH WINDSOR",3.2539999999999999e+01,2.0050000000000000e+03,
"SOUTHBURY",2.5100000000000001e+01,2.0050000000000000e+03,
"SOUTHINGTON",2.1400000000000002e+01,2.0050000000000000e+03,
"SPRAGUE",2.4000000000000000e+01,2.0050000000000000e+03,
"STAFFORD",2.4629999999999999e+01,2.0050000000000000e+03,
"STAMFORD",3.0680000000000000e+01,2.0050000000000000e+03,
"STERLING",3.2250000000000000e+01,2.0050000000000000e+03,
"STONINGTON",2.0870000000000001e+01,2.0050000000000000e+03,
"STRATFORD",2.8859999999999999e+01,2.0050000000000000e+03,
"SUFFIELD",2.5340000000000000e+01,2.0050000000000000e+03,
"THOMASTON",3.9619999999999997e+01,2.0050000000000000e+03,
"THOMPSON",1.6649999999999999e+01,2.0050000000000000e+03,
"TOLLAND",2.8390000000000001e+01,2.0050000000000000e+03,
"TORRINGTON",3.3960000000000001e+01,2.0050000000000000e+03,
"TRUMBULL",2.1650000000000002e+01,2.0050000000000000e+03,
"UNION",2.5379999999999999e+01,2.0050000000000000e+03,
"VERNON",3.6730000000000004e+01,2.0050000000000000e+03,
"VOLUNTOWN",1.8000000000000000e+01,2.0050000000000000e+03,
"WALLINGFORD",2.1250000000000000e+01,2.0050000000000000e+03,
"WARREN",1.9500000000000000e+01,2.0050000000000000e+03,
"WASHINGTON",1.2000000000000000e+01,2.0050000000000000e+03,
"WATERBURY",5.5493800000000000e+01,2.0050000000000000e+03,
"WATERFORD",1.9890000000000001e+01,2.0050000000000000e+03,
"WATERTOWN",2.2719999999999999e+01,2.0050000000000000e+03,
"WEST HARTFORD",4.6189999999999998e+01,2.0050000000000000e+03,
"WEST HAVEN",2.7960000000000001e+01,2.0050000000000000e+03,
"WESTBROOK",2.2219999999999999e+01,2.0050000000000000e+03,
"WESTON",2.2750000000000000e+01,2.0050000000000000e+03,
"WESTPORT",1.2970000000000001e+01,2.0050000000000000e+03,
"WETHERSFIELD",3.2430000000000000e+01,2.0050000000000000e+03," "
"WILLINGTON",2.5570000000000000e+01,2.0050000000000000e+03,
"WILTON",2.3390000000000001e+01,2.0050000000000000e+03,
"WINCHESTER",3.3340000000000003e+01,2.0050000000000000e+03,"Based on Town's website information."
"WINDHAM",2.3949999999999999e+01,2.0050000000000000e+03,
"WINDSOR",2.9300000000000001e+01,2.0050000000000000e+03,
"WINDSOR LOCKS",2.2650000000000002e+01,2.0050000000000000e+03,
"WOLCOTT",3.1770000000000000e+01,2.0050000000000000e+03,
"WOODBRIDGE",2.8730000000000000e+01,2.0050000000000000e+03,
"WOODBURY",2.2789999999999999e+01,2.0050000000000000e+03,
"WOODSTOCK",1.6399999999999999e+01,2.0050000000000000e+03,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
