Municipality,numbered,County_Identifier,Curr_Year_Taxes_Collected,Curr_Year_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Total_Adjusted_Taxes_Collectible
"ENFIELD",4.9000000000000000e+01,"H",73763000.0000,75636000.0000,74725000.0000,78320000.0000
"ESSEX",5.0000000000000000e+01,"M",16114739.0000,16310574.0000,16240955.0000,16643200.0000
"FAIRFIELD",5.1000000000000000e+01,"F",190021000.0000,191857000.0000,191185000.0000,194051000.0000
"FARMINGTON",5.2000000000000000e+01,"H",68168321.0000,68340829.0000,68296097.0000,68545039.0000
"FRANKLIN",5.3000000000000000e+01,"NL",4080718.0000,4170712.0000,4157072.0000,4294595.0000
"GLASTONBURY",5.4000000000000000e+01,"H",103294543.0000,103690601.0000,103727605.0000,104123663.0000
"GOSHEN",5.5000000000000000e+01,"L",8218320.0000,8278575.0000,8346106.0000,8437700.0000
"GRANBY",5.6000000000000000e+01,"H",28340088.0000,28558431.0000,28544285.0000,28842871.0000
"GREENWICH",5.7000000000000000e+01,"F",245439302.0000,246345085.0000,246187743.0000,248188233.0000
"GRISWOLD",5.8000000000000000e+01,"NL",13820113.0000,14245111.0000,14093970.0000,15021579.0000
"GROTON",5.9000000000000000e+01,"NL",64595190.0000,65828369.0000,65635624.0000,67403076.0000
"GROTON (City of)",6.0000000000000000e+01,,5101085.0000,5148126.0000,5190593.0000,5250787.0000
"GUILFORD",6.1000000000000000e+01,"NH",53927153.0000,54128603.0000,54077615.0000,54401120.0000
"HADDAM",6.2000000000000000e+01,"M",20814348.0000,21847411.0000,21165038.0000,22605775.0000
"HAMDEN",6.3000000000000000e+01,"NH",116491586.0000,118310721.0000,116870509.0000,119985479.0000
"HAMPTON",6.4000000000000000e+01,"W",3521610.0000,3568366.0000,3559124.0000,3665775.0000
"HARTFORD",6.5000000000000000e+01,"H",219241000.0000,229569000.0000,227352000.0000,248975000.0000
"HARTLAND",6.6000000000000000e+01,"H",4028827.0000,4065260.0000,4057669.0000,4112185.0000
"HARWINTON",6.7000000000000000e+01,"L",11485049.0000,11643562.0000,11587943.0000,12087497.0000
"HEBRON",6.8000000000000000e+01,"T",21079040.0000,21278613.0000,21177665.0000,21583366.0000
"KENT",6.9000000000000000e+01,"L",8038157.0000,8136283.0000,8128955.0000,8355773.0000
"KILLINGLY",7.0000000000000000e+01,"W",22084125.0000,22687607.0000,22510195.0000,23446843.0000
"KILLINGWORTH",7.1000000000000000e+01,"M",16033316.0000,16121697.0000,16064831.0000,16180475.0000
"LEBANON",7.2000000000000000e+01,"NL",12028168.0000,12328300.0000,12289419.0000,12745481.0000
"LEDYARD",7.3000000000000000e+01,"NL",27988116.0000,28308141.0000,28208437.0000,28618239.0000
"LISBON",7.4000000000000000e+01,"NL",5444329.0000,5552399.0000,5507414.0000,5671694.0000
"LITCHFIELD",7.5000000000000000e+01,"L",20707000.0000,20962000.0000,20947000.0000,21395000.0000
"LYME",7.6000000000000000e+01,"NL",6919454.0000,6993056.0000,6966062.0000,7106847.0000
"MADISON",7.7000000000000000e+01,"NH",53891741.0000,54147022.0000,53877538.0000,54588315.0000
"MANCHESTER",7.8000000000000000e+01,"H",112401000.0000,114676000.0000,113812000.0000,117830000.0000
"MANSFIELD",7.9000000000000000e+01,"T",20062383.0000,20370550.0000,20241878.0000,20747744.0000
"MARLBOROUGH",8.0000000000000000e+01,"H",15062369.0000,15146318.0000,15145888.0000,15319824.0000
"MERIDEN",8.1000000000000000e+01,"NH",100818674.0000,103692551.0000,103634041.0000,110149136.0000
"MIDDLEBURY",8.2000000000000000e+01,"NH",22388339.0000,22597535.0000,22656798.0000,23170552.0000
"MIDDLEFIELD",8.3000000000000000e+01,"M",9922361.0000,10088729.0000,10037708.0000,10328851.0000
"MIDDLETOWN",8.4000000000000000e+01,"M",87601000.0000,89555000.0000,89333000.0000,92477000.0000
"MILFORD",8.5000000000000000e+01,"NH",129553000.0000,131807000.0000,130974000.0000,137275000.0000
"MONROE",8.6000000000000000e+01,"F",53543525.0000,53915213.0000,53829740.0000,54399765.0000
"MONTVILLE",8.7000000000000000e+01,"NL",30259899.0000,30893938.0000,30751787.0000,32120251.0000
"MORRIS",8.8000000000000000e+01,"L",6812631.0000,6860057.0000,6850379.0000,6910166.0000
"NAUGATUCK",8.9000000000000000e+01,"NH",53087905.0000,55606711.0000,55080403.0000,62266637.0000
"NEW BRITAIN",9.0000000000000000e+01,"H",92550000.0000,95916000.0000,95194000.0000,104612000.0000
"NEW CANAAN",9.1000000000000000e+01,"F",95462039.0000,96106161.0000,95615131.0000,96905741.0000
"NEW FAIRFIELD",9.2000000000000000e+01,"F",35332036.0000,35538763.0000,35535484.0000,35827379.0000
"NEW HARTFORD",9.3000000000000000e+01,"L",15119089.0000,15290426.0000,15236414.0000,15517620.0000
"NEW HAVEN",9.4000000000000000e+01,"NH",176093542.0000,179529208.0000,177301202.0000,183184502.0000
"NEW LONDON",9.5000000000000000e+01,"NL",36762469.0000,37641070.0000,37209323.0000,40895087.0000
"NEW MILFORD",9.6000000000000000e+01,"L",61274088.0000,62565016.0000,62109736.0000,64794388.0000
"NEWINGTON",9.7000000000000000e+01,"H",65488000.0000,66006000.0000,66330000.0000,67506000.0000
"NEWTOWN",9.8000000000000000e+01,"F",80907427.0000,81644015.0000,81421980.0000,82707696.0000
"NORFOLK",9.9000000000000000e+01,"L",5454326.0000,5572508.0000,5521980.0000,5748149.0000
"NORTH BRANFORD",1.0000000000000000e+02,"NH",28437853.0000,28733762.0000,28609329.0000,29002760.0000
"NORTH CANAAN",1.0100000000000000e+02,"L",6204072.0000,6324534.0000,6293405.0000,6551488.0000
"NORTH HAVEN",1.0200000000000000e+02,"NH",63393779.0000,64768681.0000,64226864.0000,68464028.0000
"NORTH STONINGTON",1.0300000000000000e+02,"NL",10890440.0000,11081447.0000,11099088.0000,11427503.0000
"NORWALK",1.0400000000000000e+02,"F",212638561.0000,216241703.0000,213671586.0000,219691266.0000
"NORWICH",1.0500000000000000e+02,"NL",48177000.0000,49971000.0000,48899000.0000,52011000.0000
"OLD LYME",1.0600000000000000e+02,"NL",26077615.0000,26305435.0000,26304629.0000,26669558.0000
"OLD SAYBROOK",1.0700000000000000e+02,"M",28998757.0000,29199765.0000,29081636.0000,29515735.0000
"ORANGE",1.0800000000000000e+02,"NH",45704770.0000,46020121.0000,45828427.0000,46220558.0000
"OXFORD",1.0900000000000000e+02,"NH",24082517.0000,24756757.0000,24588795.0000,29851444.0000
"PLAINFIELD",1.1000000000000000e+02,"W",17902704.0000,18433387.0000,18256074.0000,19419142.0000
"PLAINVILLE",1.1100000000000000e+02,"H",34290418.0000,35055339.0000,35038359.0000,36526893.0000
"PLYMOUTH",1.1200000000000000e+02,"L",22154884.0000,22953247.0000,22707552.0000,24319379.0000
"POMFRET",1.1300000000000000e+02,"W",6362143.0000,6398292.0000,6398352.0000,6459480.0000
"PORTLAND",1.1400000000000000e+02,"M",21715104.0000,22060959.0000,21872896.0000,22546948.0000
"PRESTON",1.1500000000000000e+02,"NL",7336912.0000,7486512.0000,7404133.0000,7634059.0000
"PROSPECT",1.1600000000000000e+02,"NH",18448305.0000,18684832.0000,18663254.0000,19237390.0000
"PUTNAM",1.1700000000000000e+02,"W",6910322.0000,7062590.0000,6992863.0000,7232130.0000
"REDDING",1.1800000000000000e+02,"F",33245174.0000,33561920.0000,33430417.0000,34086824.0000
"RIDGEFIELD",1.1900000000000000e+02,"F",99045063.0000,99974730.0000,99517414.0000,101832103.0000
"ROCKY HILL",1.2000000000000000e+02,"H",45036645.0000,45313396.0000,45282154.0000,45686572.0000
"ROXBURY",1.2100000000000000e+02,"L",7613839.0000,7642588.0000,7659100.0000,7693087.0000
"SALEM",1.2200000000000000e+02,"NL",9198734.0000,9356802.0000,9272729.0000,9488282.0000
"SALISBURY",1.2300000000000000e+02,"L",9880539.0000,9976846.0000,10060085.0000,10277218.0000
"SCOTLAND",1.2400000000000000e+02,"W",3049067.0000,3163445.0000,3151173.0000,3448532.0000
"SEYMOUR",1.2500000000000000e+02,"NH",31091923.0000,31724332.0000,31606988.0000,32655551.0000
"SHARON",1.2600000000000000e+02,"L",7838252.0000,7956383.0000,7932872.0000,8214038.0000
"SHELTON",1.2700000000000000e+02,"F",82173588.0000,82901008.0000,82492064.0000,83694961.0000
"SHERMAN",1.2800000000000000e+02,"F",10013002.0000,10094608.0000,10036822.0000,10121411.0000
"SIMSBURY",1.2900000000000000e+02,"H",71632585.0000,72150521.0000,72023805.0000,72803210.0000
"SOMERS",1.3000000000000000e+02,"T",15258285.0000,15413001.0000,15332205.0000,15725471.0000
"SOUTH WINDSOR",1.3100000000000000e+02,"H",67036593.0000,67732297.0000,68044716.0000,70742947.0000
"SOUTHBURY",1.3200000000000000e+02,"NH",50751632.0000,51040914.0000,50962649.0000,51424008.0000
"SOUTHINGTON",1.3300000000000000e+02,"H",80617000.0000,81627000.0000,81570000.0000,83457000.0000
"SPRAGUE",1.3400000000000000e+02,"NL",4570054.0000,4684931.0000,4720476.0000,4911162.0000
"STAFFORD",1.3500000000000000e+02,"T",18569098.0000,19016078.0000,18922164.0000,19865811.0000
"STAMFORD",1.3600000000000000e+02,"F",333025662.0000,338789500.0000,337405009.0000,349398731.0000
"STERLING",1.3700000000000000e+02,"W",5385230.0000,5640412.0000,5569767.0000,5938054.0000
"STONINGTON",1.3800000000000000e+02,"NL",43527450.0000,43895316.0000,43773309.0000,44219323.0000
"STRATFORD",1.3900000000000000e+02,"F",127684116.0000,129744920.0000,129956974.0000,134228482.0000
"SUFFIELD",1.4000000000000000e+02,"H",27269991.0000,27558052.0000,27469549.0000,27974958.0000
"THOMASTON",1.4100000000000000e+02,"L",15384998.0000,15758093.0000,15744904.0000,16932935.0000
"THOMPSON",1.4200000000000000e+02,"W",10441667.0000,10619617.0000,10708594.0000,11080773.0000
"TOLLAND",1.4300000000000000e+02,"T",33433191.0000,33675313.0000,33565134.0000,33871353.0000
"TORRINGTON",1.4400000000000000e+02,"L",64446485.0000,64446485.0000,64446485.0000,64446485.0000
"TRUMBULL",1.4500000000000000e+02,"F",105985190.0000,107455438.0000,106752831.0000,109330973.0000
"UNION",1.4600000000000000e+02,"T",1756793.0000,1785509.0000,1762291.0000,1816309.0000
"VERNON",1.4700000000000000e+02,"T",47704186.0000,48559054.0000,48303350.0000,49674176.0000
"VOLUNTOWN",1.4800000000000000e+02,"NL",3781134.0000,3903352.0000,3900912.0000,4090875.0000
"WALLINGFORD",1.4900000000000000e+02,"NH",87159000.0000,88637000.0000,88385000.0000,90841000.0000
"WARREN",1.5000000000000000e+02,"L",3986686.0000,4007349.0000,4013458.0000,4037581.0000
"WASHINGTON",1.5100000000000000e+02,"L",11315266.0000,11418232.0000,11374734.0000,11527598.0000
"WATERBURY",1.5200000000000000e+02,"NH",187525000.0000,194064000.0000,192662000.0000,224241000.0000
"WATERFORD",1.5300000000000000e+02,"NL",50052645.0000,53356569.0000,50266758.0000,62109073.0000
"WATERTOWN",1.5400000000000000e+02,"L",37087621.0000,37427265.0000,37538621.0000,38116848.0000
"WEST HARTFORD",1.5500000000000000e+02,"H",171388000.0000,172700000.0000,172185000.0000,174308000.0000
"WEST HAVEN",1.5600000000000000e+02,"NH",83956237.0000,85520692.0000,87245075.0000,94377118.0000
"WESTBROOK",1.5700000000000000e+02,"M",17601854.0000,17804376.0000,17901631.0000,18331624.0000
"WESTON",1.5800000000000000e+02,"F",55143293.0000,55620516.0000,55533588.0000,56257717.0000
"WESTPORT",1.5900000000000000e+02,"F",130759451.0000,132976547.0000,132535360.0000,138209763.0000
"WETHERSFIELD",1.6000000000000000e+02,"H",63971604.0000,64626417.0000,64258954.0000,65302675.0000
"WILLINGTON",1.6100000000000000e+02,"T",9943771.0000,10007056.0000,10005964.0000,10103898.0000
"WILTON",1.6200000000000000e+02,"F",84316081.0000,84894783.0000,84614691.0000,85823772.0000
"WINCHESTER",1.6300000000000000e+02,"L",19016467.0000,19521627.0000,19368633.0000,20107559.0000
"WINDHAM",1.6400000000000000e+02,"W",24494008.0000,25161494.0000,25006775.0000,26062179.0000
"WINDSOR",1.6500000000000000e+02,"H",67097273.0000,68003214.0000,67673173.0000,68988354.0000
"WINDSOR LOCKS",1.6600000000000000e+02,"H",25555096.0000,26060181.0000,25884500.0000,26882148.0000
"WOLCOTT",1.6700000000000000e+02,"NH",28015308.0000,28945766.0000,28470587.0000,30242644.0000
"WOODBRIDGE",1.6800000000000000e+02,"NH",33918341.0000,34110588.0000,33967581.0000,34260157.0000
"WOODBURY",1.6900000000000000e+02,"L",23011836.0000,23299245.0000,23243912.0000,23785796.0000
"WOODSTOCK",1.7000000000000000e+02,"W",12252694.0000,12412711.0000,12477435.0000,12761615.0000
