TANF07%,TANF06%,MUNICIPALITY,numbered,Sort ID,TANF RECIPIENTS FY 2005-06,TANF RECIPIENTS FY 2006-07
2.7198549410698096e-03,1.8132366273798731e-03,"CANAAN",2.1000000000000000e+01,76,2.0000000000000000e+00,3.0000000000000000e+00
2.6829268292682929e-03,1.9512195121951219e-03,"SALEM",1.2200000000000000e+02,77,8.0000000000000000e+00,1.1000000000000000e+01
2.6563138536984062e-03,3.4736411932979158e-03,"PRESTON",1.1500000000000000e+02,78,1.7000000000000000e+01,1.3000000000000000e+01
2.6197298403602127e-03,2.1285304952926728e-03,"COVENTRY",3.2000000000000000e+01,79,2.6000000000000000e+01,3.2000000000000000e+01
2.6025823024403436e-03,3.2785777056716014e-03,"NEWINGTON",9.7000000000000000e+01,80,9.7000000000000000e+01,7.7000000000000000e+01
2.5849335302806499e-03,2.2156573116691287e-03,"CROMWELL",3.3000000000000000e+01,81,3.0000000000000000e+01,3.5000000000000000e+01
2.4956805528892302e-03,2.4956805528892302e-03,"NORTH STONINGTON",1.0300000000000000e+02,82,1.3000000000000000e+01,1.3000000000000000e+01
2.4743848888269327e-03,3.0668432424897189e-03,"NEW MILFORD",9.6000000000000000e+01,83,8.8000000000000000e+01,7.1000000000000000e+01
2.3276346416245285e-03,3.4513203306846458e-03,"EAST HAMPTON",4.1000000000000000e+01,84,4.3000000000000000e+01,2.9000000000000000e+01
2.2268615170494086e-03,2.1572720946416144e-03,"ELLINGTON",4.8000000000000000e+01,85,3.1000000000000000e+01,3.2000000000000000e+01
2.1660649819494585e-03,7.2202166064981946e-04,"WARREN",1.5000000000000000e+02,86,1.0000000000000000e+00,3.0000000000000000e+00
2.1451958902562944e-03,1.6935757028339166e-03,"EAST HADDAM",4.0000000000000000e+01,87,1.5000000000000000e+01,1.9000000000000000e+01
2.0822488287350338e-03,2.6028110359187923e-03,"CHESTER",2.6000000000000000e+01,88,1.0000000000000000e+01,8.0000000000000000e+00
2.0469726352079294e-03,1.5082956259426848e-03,"PROSPECT",1.1600000000000000e+02,89,1.4000000000000000e+01,1.9000000000000000e+01
1.9846895378508650e-03,2.4572346659105944e-03,"OLD SAYBROOK",1.0700000000000000e+02,90,2.6000000000000000e+01,2.1000000000000000e+01
1.9372336303758234e-03,2.3246803564509881e-03,"HADDAM",6.2000000000000000e+01,91,1.8000000000000000e+01,1.5000000000000000e+01
1.9339687802182623e-03,2.0721094073767096e-03,"NORTH BRANFORD",1.0000000000000000e+02,92,3.0000000000000000e+01,2.8000000000000000e+01
1.9319523451754857e-03,1.2879682301169904e-03,"BETHEL",9.0000000000000000e+00,93,2.4000000000000000e+01,3.6000000000000000e+01
1.9184652278177458e-03,1.4388489208633094e-03,"HAMPTON",6.4000000000000000e+01,94,3.0000000000000000e+00,4.0000000000000000e+00
1.9103760711751542e-03,2.6199443261830688e-03,"EAST LYME",4.4000000000000000e+01,95,4.8000000000000000e+01,3.5000000000000000e+01
1.9064378941193723e-03,2.1264114972869923e-03,"CLINTON",2.7000000000000000e+01,96,2.9000000000000000e+01,2.6000000000000000e+01
1.8878101402373248e-03,1.6181229773462784e-03,"BARKHAMSTED",5.0000000000000000e+00,97,6.0000000000000000e+00,7.0000000000000000e+00
1.8709073900841909e-03,1.8709073900841909e-03,"MIDDLEFIELD",8.3000000000000000e+01,98,8.0000000000000000e+00,8.0000000000000000e+00
1.7971246006389776e-03,1.9568690095846646e-03,"FARMINGTON",5.2000000000000000e+01,99,4.9000000000000000e+01,4.5000000000000000e+01
1.7450404114621601e-03,2.2042615723732550e-03,"SOMERS",1.3000000000000000e+02,100,2.4000000000000000e+01,1.9000000000000000e+01
1.6844469399213925e-03,1.5440763615946099e-03,"NEW FAIRFIELD",9.2000000000000000e+01,101,2.2000000000000000e+01,2.4000000000000000e+01
1.6799664006719867e-03,3.3599328013439733e-03,"MORRIS",8.8000000000000000e+01,102,8.0000000000000000e+00,4.0000000000000000e+00
1.6546269018120183e-03,1.5335566407038217e-03,"MANSFIELD",7.9000000000000000e+01,103,3.8000000000000000e+01,4.1000000000000000e+01
1.6535573829102610e-03,1.6088666428316052e-03,"GUILFORD",6.1000000000000000e+01,104,3.6000000000000000e+01,3.7000000000000000e+01
1.6447368421052631e-03,5.7565789473684207e-03,"BOZRAH",1.3000000000000000e+01,105,1.4000000000000000e+01,4.0000000000000000e+00
1.6000000000000001e-03,2.2857142857142859e-03,"LITCHFIELD",7.5000000000000000e+01,106,2.0000000000000000e+01,1.4000000000000000e+01
1.5847860538827259e-03,1.2190661952944045e-03,"WOODSTOCK",1.7000000000000000e+02,107,1.0000000000000000e+01,1.3000000000000000e+01
1.5822784810126582e-03,1.5822784810126582e-03,"FRANKLIN",5.3000000000000000e+01,108,3.0000000000000000e+00,3.0000000000000000e+00
1.5741833923652105e-03,3.1483667847304209e-03,"EAST GRANBY",3.9000000000000000e+01,109,1.6000000000000000e+01,8.0000000000000000e+00
1.5393226980128744e-03,9.7956898964455630e-04,"MIDDLEBURY",8.2000000000000000e+01,110,7.0000000000000000e+00,1.1000000000000000e+01
1.4897579143389199e-03,2.0484171322160149e-03,"COLUMBIA",3.0000000000000000e+01,111,1.1000000000000000e+01,8.0000000000000000e+00
1.4887134745880071e-03,1.0040160642570280e-03,"CHESHIRE",2.5000000000000000e+01,112,2.9000000000000000e+01,4.3000000000000000e+01
1.4865941067162198e-03,1.4335014600477833e-03,"ROCKY HILL",1.2000000000000000e+02,113,2.7000000000000000e+01,2.8000000000000000e+01
1.4810825366904537e-03,9.4250706880301600e-04,"OLD LYME",1.0600000000000000e+02,114,7.0000000000000000e+00,1.1000000000000000e+01
1.4757969303423849e-03,1.3282172373081465e-03,"ESSEX",5.0000000000000000e+01,115,9.0000000000000000e+00,1.0000000000000000e+01
1.4479638009049773e-03,9.0497737556561090e-04,"BETHANY",8.0000000000000000e+00,116,5.0000000000000000e+00,8.0000000000000000e+00
1.4370245139475909e-03,9.2983939137785288e-04,"SIMSBURY",1.2900000000000000e+02,117,2.2000000000000000e+01,3.4000000000000000e+01
1.4354066985645933e-03,1.4354066985645933e-03,"HARTLAND",6.6000000000000000e+01,118,3.0000000000000000e+00,3.0000000000000000e+00
1.3982392542723977e-03,1.5363369583980665e-03,"FAIRFIELD",5.1000000000000000e+01,119,8.9000000000000000e+01,8.1000000000000000e+01
1.3468013468013469e-03,1.6835016835016834e-03,"KENT",6.9000000000000000e+01,120,5.0000000000000000e+00,4.0000000000000000e+00
1.2911555842479018e-03,1.8374137160450910e-03,"BERLIN",7.0000000000000000e+00,121,3.7000000000000000e+01,2.6000000000000000e+01
1.2656225280809998e-03,6.3281126404049991e-04,"MARLBOROUGH",8.0000000000000000e+01,122,4.0000000000000000e+00,8.0000000000000000e+00
1.2457178449081284e-03,1.8685767673621925e-03,"ANDOVER",1.0000000000000000e+00,123,6.0000000000000000e+00,4.0000000000000000e+00
1.2293507491356128e-03,1.5366884364195160e-03,"SOUTH WINDSOR",1.3100000000000000e+02,124,4.0000000000000000e+01,3.2000000000000000e+01
1.2169151201703681e-03,1.4197343068654295e-03,"SOUTHBURY",1.3200000000000000e+02,125,2.8000000000000000e+01,2.4000000000000000e+01
1.2023171931358617e-03,1.4209203191605641e-03,"BURLINGTON",2.0000000000000000e+01,126,1.3000000000000000e+01,1.1000000000000000e+01
1.1790670254255224e-03,1.4813919037397587e-03,"GLASTONBURY",5.4000000000000000e+01,127,4.9000000000000000e+01,3.9000000000000000e+01
1.1600928074245939e-03,2.9002320185614848e-03,"SCOTLAND",1.2400000000000000e+02,128,5.0000000000000000e+00,2.0000000000000000e+00
1.1351658152923053e-03,1.3784156328549421e-03,"OXFORD",1.0900000000000000e+02,129,1.7000000000000000e+01,1.4000000000000000e+01
1.1173184357541898e-03,1.6759776536312849e-03,"EASTFORD",4.6000000000000000e+01,130,3.0000000000000000e+00,2.0000000000000000e+00
1.0933706365668162e-03,1.2702394160114482e-03,"GREENWICH",5.7000000000000000e+01,131,7.9000000000000000e+01,6.8000000000000000e+01
1.0911615911119929e-03,1.0911615911119929e-03,"CANTON",2.3000000000000000e+01,132,1.1000000000000000e+01,1.1000000000000000e+01
1.0824853864472830e-03,6.4949123186836975e-04,"HEBRON",6.8000000000000000e+01,133,6.0000000000000000e+00,1.0000000000000000e+01
1.0714285714285715e-03,2.1428571428571430e-03,"HARWINTON",6.7000000000000000e+01,134,1.2000000000000000e+01,6.0000000000000000e+00
1.0642826734780758e-03,2.1285653469561515e-03,"DEEP RIVER",3.6000000000000000e+01,135,1.0000000000000000e+01,5.0000000000000000e+00
9.8838645910551029e-04,2.9651593773165306e-03,"SALISBURY",1.2300000000000000e+02,136,1.2000000000000000e+01,4.0000000000000000e+00
9.6015362457993274e-04,9.6015362457993274e-04,"LYME",7.6000000000000000e+01,137,2.0000000000000000e+00,2.0000000000000000e+00
9.3196644920782849e-04,2.3299161230195711e-03,"KILLINGWORTH",7.1000000000000000e+01,138,1.5000000000000000e+01,6.0000000000000000e+00
9.2549745488199910e-04,9.2549745488199910e-04,"SUFFIELD",1.4000000000000000e+02,139,1.4000000000000000e+01,1.4000000000000000e+01
9.2165898617511521e-04,1.0240655401945725e-03,"WOODBURY",1.6900000000000000e+02,140,1.0000000000000000e+01,9.0000000000000000e+00
8.8500628068973396e-04,9.9920063948840928e-04,"TRUMBULL",1.4500000000000000e+02,141,3.5000000000000000e+01,3.1000000000000000e+01
8.8313217544892548e-04,1.3246982631733883e-03,"NEW HARTFORD",9.3000000000000000e+01,142,9.0000000000000000e+00,6.0000000000000000e+00
8.5215168299957388e-04,9.1301966035668637e-04,"BROOKFIELD",1.8000000000000000e+01,143,1.5000000000000000e+01,1.4000000000000000e+01
8.5078049863135310e-04,1.3686468891026115e-03,"NEWTOWN",9.8000000000000000e+01,144,3.7000000000000000e+01,2.3000000000000000e+01
8.3798882681564244e-04,1.6759776536312849e-03,"BETHLEHEM",1.0000000000000000e+01,145,6.0000000000000000e+00,3.0000000000000000e+00
8.1638206680726582e-04,6.1228655010544934e-04,"TOLLAND",1.4300000000000000e+02,146,9.0000000000000000e+00,1.2000000000000000e+01
8.1543897798314763e-04,4.0771948899157381e-04,"DURHAM",3.8000000000000000e+01,147,3.0000000000000000e+00,6.0000000000000000e+00
8.0450522928399030e-04,1.1620631089657638e-03,"GRANBY",5.6000000000000000e+01,148,1.3000000000000000e+01,9.0000000000000000e+00
7.9262141518950861e-04,5.7645193831964265e-04,"ORANGE",1.0800000000000000e+02,149,8.0000000000000000e+00,1.1000000000000000e+01
7.5716603569497029e-04,8.6533261222282313e-04,"WOODBRIDGE",1.6800000000000000e+02,150,8.0000000000000000e+00,7.0000000000000000e+00
7.1432215929384155e-04,1.1735292616970254e-03,"MONROE",8.6000000000000000e+01,151,2.3000000000000000e+01,1.4000000000000000e+01
6.5402223675604975e-04,6.5402223675604975e-04,"SHARON",1.2600000000000000e+02,152,2.0000000000000000e+00,2.0000000000000000e+00
5.6060096423365849e-04,5.6060096423365849e-04,"REDDING",1.1800000000000000e+02,153,5.0000000000000000e+00,5.0000000000000000e+00
5.3216965568623272e-04,6.9182055239210265e-04,"MADISON",7.7000000000000000e+01,154,1.3000000000000000e+01,1.0000000000000000e+01
4.6130780763464421e-04,1.0956060431322799e-03,"AVON",4.0000000000000000e+00,155,1.9000000000000000e+01,8.0000000000000000e+00
4.1288191577208916e-04,3.7534719615644471e-04,"WESTPORT",1.5900000000000000e+02,156,1.0000000000000000e+01,1.1000000000000000e+01
3.0036043251902283e-04,1.5018021625951141e-04,"NEW CANAAN",9.1000000000000000e+01,157,3.0000000000000000e+00,6.0000000000000000e+00
2.9113292297454666e-04,2.0795208783896190e-04,"RIDGEFIELD",1.1900000000000000e+02,158,5.0000000000000000e+00,7.0000000000000000e+00
2.4119633381572601e-04,1.6883743367100820e-03,"SHERMAN",1.2800000000000000e+02,159,7.0000000000000000e+00,1.0000000000000000e+00
1.9578092114923401e-04,3.4261661201115954e-04,"DARIEN",3.5000000000000000e+01,160,7.0000000000000000e+00,4.0000000000000000e+00
9.7370983446932815e-05,9.7370983446932815e-05,"WESTON",1.5800000000000000e+02,161,1.0000000000000000e+00,1.0000000000000000e+00
0.0000000000000000e+00,5.2631578947368420e-04,"BRIDGEWATER",1.6000000000000000e+01,162,1.0000000000000000e+00,0.0000000000000000e+00
0.0000000000000000e+00,0.0000000000000000e+00,"COLEBROOK",2.9000000000000000e+01,163,0.0000000000000000e+00,0.0000000000000000e+00
0.0000000000000000e+00,1.3431833445265279e-03,"CORNWALL",3.1000000000000000e+01,164,2.0000000000000000e+00,0.0000000000000000e+00
0.0000000000000000e+00,2.6842034626224669e-04,"EASTON",4.7000000000000000e+01,165,2.0000000000000000e+00,0.0000000000000000e+00
0.0000000000000000e+00,1.2682308180088776e-03,"GOSHEN",5.5000000000000000e+01,166,4.0000000000000000e+00,0.0000000000000000e+00
0.0000000000000000e+00,0.0000000000000000e+00,"ROXBURY",1.2100000000000000e+02,167,0.0000000000000000e+00,0.0000000000000000e+00
0.0000000000000000e+00,0.0000000000000000e+00,"UNION",1.4600000000000000e+02,168,0.0000000000000000e+00,0.0000000000000000e+00
0.0000000000000000e+00,0.0000000000000000e+00,"WILTON",1.6200000000000000e+02,169,0.0000000000000000e+00,0.0000000000000000e+00
