Municipality,numbered,SortID,2008 Population,2004 Population,Population0408Change
"SOUTH WINDSOR",1.3100000000000000e+02,40,2.5966000000000000e+04,2.5586000000000000e+04,1.4851872117564294e-02
"NEW LONDON",9.5000000000000000e+01,41,2.5891000000000000e+04,2.6375000000000000e+04,-1.8350710900473934e-02
"WETHERSFIELD",1.6000000000000000e+02,42,2.5719000000000000e+04,2.6358000000000000e+04,-2.4243114045071706e-02
"FARMINGTON",5.2000000000000000e+01,43,2.5116000000000000e+04,2.4682000000000000e+04,1.7583664208735111e-02
"MANSFIELD",7.9000000000000000e+01,44,2.4622000000000000e+04,2.4232000000000000e+04,1.6094420600858368e-02
"RIDGEFIELD",1.1900000000000000e+02,45,2.4011000000000000e+04,2.4202000000000000e+04,-7.8919097595240070e-03
"NORTH HAVEN",1.0200000000000000e+02,46,2.3961000000000000e+04,2.3710000000000000e+04,1.0586250527203711e-02
"SIMSBURY",1.2900000000000000e+02,47,2.3615000000000000e+04,2.3460000000000000e+04,6.6069906223358912e-03
"WINDHAM",1.6400000000000000e+02,48,2.3609000000000000e+04,2.3167000000000000e+04,1.9078862174644971e-02
"GUILFORD",6.1000000000000000e+01,49,2.2398000000000000e+04,2.2245000000000000e+04,6.8779501011463247e-03
"WATERTOWN",1.5400000000000000e+02,50,2.2095000000000000e+04,2.2268000000000000e+04,-7.7689958685108673e-03
"BLOOMFIELD",1.1000000000000000e+01,51,2.0727000000000000e+04,2.0414000000000000e+04,1.5332614872146566e-02
"BERLIN",7.0000000000000000e+00,52,2.0364000000000000e+04,1.9471000000000000e+04,4.5863078424323356e-02
"DARIEN",3.5000000000000000e+01,53,2.0177000000000000e+04,2.0547000000000000e+04,-1.8007495011437193e-02
"NEW CANAAN",9.1000000000000000e+01,54,1.9912000000000000e+04,1.9965000000000000e+04,-2.6546456298522413e-03
"SOUTHBURY",1.3200000000000000e+02,55,1.9702000000000000e+04,1.9498000000000000e+04,1.0462611549902554e-02
"MONTVILLE",8.7000000000000000e+01,56,1.9612000000000000e+04,1.9846000000000000e+04,-1.1790789075884309e-02
"MONROE",8.6000000000000000e+01,57,1.9359000000000000e+04,1.9656000000000000e+04,-1.5109890109890110e-02
"EAST LYME",4.4000000000000000e+01,58,1.9022000000000000e+04,1.8629000000000000e+04,2.1096140426217189e-02
"ROCKY HILL",1.2000000000000000e+02,59,1.8852000000000000e+04,1.8620000000000000e+04,1.2459720730397422e-02
"MADISON",7.7000000000000000e+01,60,1.8803000000000000e+04,1.8778000000000000e+04,1.3313451911811695e-03
"WATERFORD",1.5300000000000000e+02,61,1.8794000000000000e+04,1.9089000000000000e+04,-1.5453926345015453e-02
"ANSONIA",2.0000000000000000e+00,62,1.8503000000000000e+04,1.8881000000000000e+04,-2.0020126052645516e-02
"BETHEL",9.0000000000000000e+00,63,1.8438000000000000e+04,1.8742000000000000e+04,-1.6220253975029346e-02
"STONINGTON",1.3800000000000000e+02,64,1.8371000000000000e+04,1.8381000000000000e+04,-5.4404004134704317e-04
"KILLINGLY",7.0000000000000000e+01,65,1.7826000000000000e+04,1.7214000000000000e+04,3.5552457302195889e-02
"WILTON",1.6200000000000000e+02,66,1.7698000000000000e+04,1.7965000000000000e+04,-1.4862232118007235e-02
"AVON",4.0000000000000000e+00,67,1.7328000000000000e+04,1.6992000000000000e+04,1.9774011299435030e-02
"PLAINVILLE",1.1100000000000000e+02,68,1.7221000000000000e+04,1.7371000000000000e+04,-8.6350814576017492e-03
"BROOKFIELD",1.8000000000000000e+01,69,1.6657000000000000e+04,1.6201000000000000e+04,2.8146410715387940e-02
"WOLCOTT",1.6700000000000000e+02,70,1.6434000000000000e+04,1.6149000000000000e+04,1.7648151588333643e-02
"SEYMOUR",1.2500000000000000e+02,71,1.6251000000000000e+04,1.6133000000000000e+04,7.3142007066261698e-03
"COLCHESTER",2.8000000000000000e+01,72,1.5578000000000000e+04,1.5334000000000000e+04,1.5912351636885352e-02
"PLAINFIELD",1.1000000000000000e+02,73,1.5430000000000000e+04,1.5353000000000000e+04,5.0153064547645409e-03
"SUFFIELD",1.4000000000000000e+02,74,1.5136000000000000e+04,1.4539000000000000e+04,4.1061971249742070e-02
"LEDYARD",7.3000000000000000e+01,75,1.5078000000000000e+04,1.5149000000000000e+04,-4.6867780051488544e-03
"TOLLAND",1.4300000000000000e+02,76,1.4705000000000000e+04,1.4416000000000000e+04,2.0047169811320754e-02
"ELLINGTON",4.8000000000000000e+01,77,1.4568000000000000e+04,1.4141000000000000e+04,3.0195884308040450e-02
"NORTH BRANFORD",1.0000000000000000e+02,78,1.4374000000000000e+04,1.4292000000000000e+04,5.7374755107752586e-03
"NEW FAIRFIELD",9.2000000000000000e+01,79,1.4059000000000000e+04,1.4229000000000000e+04,-1.1947431302270013e-02
"ORANGE",1.0800000000000000e+02,80,1.3781000000000000e+04,1.3587000000000000e+04,1.4278354309266210e-02
"CROMWELL",3.3000000000000000e+01,81,1.3600000000000000e+04,1.3520000000000000e+04,5.9171597633136093e-03
"CLINTON",2.7000000000000000e+01,82,1.3554000000000000e+04,1.3638000000000000e+04,-6.1592608886933565e-03
"OXFORD",1.0900000000000000e+02,83,1.2734000000000000e+04,1.1112000000000000e+04,1.4596832253419725e-01
"EAST HAMPTON",4.1000000000000000e+01,84,1.2685000000000000e+04,1.1927000000000000e+04,6.3553282468349126e-02
"WINDSOR LOCKS",1.6600000000000000e+02,85,1.2495000000000000e+04,1.2333000000000000e+04,1.3135490148382389e-02
"DERBY",3.7000000000000000e+01,86,1.2393000000000000e+04,1.2620000000000000e+04,-1.7987321711568940e-02
"COVENTRY",3.2000000000000000e+01,87,1.2207000000000000e+04,1.2166000000000000e+04,3.3700476738451422e-03
"PLYMOUTH",1.1200000000000000e+02,88,1.1969000000000000e+04,1.2117000000000000e+04,-1.2214244449946357e-02
"STAFFORD",1.3500000000000000e+02,89,1.1773000000000000e+04,1.1815000000000000e+04,-3.5548032162505288e-03
"GRISWOLD",5.8000000000000000e+01,90,1.1398000000000000e+04,1.1194000000000000e+04,1.8224048597462926e-02
"GRANBY",5.6000000000000000e+01,91,1.1219000000000000e+04,1.0989000000000000e+04,2.0930020930020929e-02
"SOMERS",1.3000000000000000e+02,92,1.0984000000000000e+04,1.0888000000000000e+04,8.8170462894930201e-03
"EAST WINDSOR",4.5000000000000000e+01,93,1.0822000000000000e+04,1.0261000000000000e+04,5.4673033817366726e-02
"WINCHESTER",1.6300000000000000e+02,94,1.0716000000000000e+04,1.0889000000000000e+04,-1.5887592983745064e-02
"OLD SAYBROOK",1.0700000000000000e+02,95,1.0521000000000000e+04,1.0520000000000000e+04,9.5057034220532313e-05
"WESTON",1.5800000000000000e+02,96,1.0183000000000000e+04,1.0263000000000000e+04,-7.7949917178213000e-03
"CANTON",2.3000000000000000e+01,97,1.0104000000000000e+04,9.6030000000000000e+03,5.2171196501093406e-02
"WOODBURY",1.6900000000000000e+02,98,9.6500000000000000e+03,9.6790000000000000e+03,-2.9961772910424632e-03
"PORTLAND",1.1400000000000000e+02,99,9.5510000000000000e+03,9.3400000000000000e+03,2.2591006423982870e-02
"PROSPECT",1.1600000000000000e+02,100,9.3530000000000000e+03,9.2050000000000000e+03,1.6078218359587181e-02
"PUTNAM",1.1700000000000000e+02,101,9.3070000000000000e+03,9.2370000000000000e+03,7.5782180361589260e-03
"THOMPSON",1.4200000000000000e+02,102,9.2690000000000000e+03,9.2630000000000000e+03,6.4773831372125657e-04
"HEBRON",6.8000000000000000e+01,103,9.2280000000000000e+03,9.0850000000000000e+03,1.5740231150247662e-02
"WOODBRIDGE",1.6800000000000000e+02,104,9.1930000000000000e+03,9.2890000000000000e+03,-1.0334804607600388e-02
"BURLINGTON",2.0000000000000000e+01,105,9.1500000000000000e+03,8.9520000000000000e+03,2.2117962466487937e-02
"EAST HADDAM",4.0000000000000000e+01,106,8.8960000000000000e+03,8.7890000000000000e+03,1.2174308795084765e-02
"REDDING",1.1800000000000000e+02,107,8.7980000000000000e+03,8.6480000000000000e+03,1.7345050878815910e-02
"LITCHFIELD",7.5000000000000000e+01,108,8.6250000000000000e+03,8.5940000000000000e+03,3.6071677914824296e-03
"WOODSTOCK",1.7000000000000000e+02,109,8.2290000000000000e+03,7.8540000000000000e+03,4.7746371275783038e-02
"BROOKLYN",1.9000000000000000e+01,110,7.9490000000000000e+03,7.6500000000000000e+03,3.9084967320261441e-02
"HADDAM",6.2000000000000000e+01,111,7.8850000000000000e+03,7.5350000000000000e+03,4.6449900464499004e-02
"THOMASTON",1.4100000000000000e+02,112,7.7660000000000000e+03,7.9010000000000000e+03,-1.7086444753828631e-02
"DURHAM",3.8000000000000000e+01,113,7.4560000000000000e+03,7.2060000000000000e+03,3.4693311129614213e-02
"LEBANON",7.2000000000000000e+01,114,7.3580000000000000e+03,7.2240000000000000e+03,1.8549280177187155e-02
"OLD LYME",1.0600000000000000e+02,115,7.3570000000000000e+03,7.5350000000000000e+03,-2.3623092236230922e-02
"MIDDLEBURY",8.2000000000000000e+01,116,7.3430000000000000e+03,6.8460000000000000e+03,7.2597137014314930e-02
"EASTON",4.7000000000000000e+01,117,7.3400000000000000e+03,7.4880000000000000e+03,-1.9764957264957264e-02
"ESSEX",5.0000000000000000e+01,118,6.7840000000000000e+03,6.8160000000000000e+03,-4.6948356807511738e-03
"NEW HARTFORD",9.3000000000000000e+01,119,6.7280000000000000e+03,6.6620000000000000e+03,9.9069348543980792e-03
"WESTBROOK",1.5700000000000000e+02,120,6.6410000000000000e+03,6.5970000000000000e+03,6.6696983477338182e-03
"KILLINGWORTH",7.1000000000000000e+01,121,6.4630000000000000e+03,6.3810000000000000e+03,1.2850650368280835e-02
"MARLBOROUGH",8.0000000000000000e+01,122,6.3600000000000000e+03,6.1850000000000000e+03,2.8294260307194827e-02
"WILLINGTON",1.6100000000000000e+02,123,6.1140000000000000e+03,6.1970000000000000e+03,-1.3393577537518154e-02
"BEACON FALLS",6.0000000000000000e+00,124,5.8070000000000000e+03,5.5530000000000000e+03,4.5741040878804248e-02
"BETHANY",8.0000000000000000e+00,125,5.5750000000000000e+03,5.4170000000000000e+03,2.9167435850101533e-02
"HARWINTON",6.7000000000000000e+01,126,5.5600000000000000e+03,5.5260000000000000e+03,6.1527325370973581e-03
"COLUMBIA",3.0000000000000000e+01,127,5.3150000000000000e+03,5.2950000000000000e+03,3.7771482530689331e-03
"NORTH STONINGTON",1.0300000000000000e+02,128,5.2330000000000000e+03,5.2010000000000000e+03,6.1526629494328012e-03
"EAST GRANBY",3.9000000000000000e+01,129,5.1550000000000000e+03,5.0180000000000000e+03,2.7301713830211238e-02
"CANTERBURY",2.2000000000000000e+01,130,5.1180000000000000e+03,5.0100000000000000e+03,2.1556886227544911e-02
"BOLTON",1.2000000000000000e+01,131,5.1170000000000000e+03,5.1730000000000000e+03,-1.0825439783491205e-02
"PRESTON",1.1500000000000000e+02,132,4.9310000000000000e+03,4.8460000000000000e+03,1.7540239372678498e-02
"DEEP RIVER",3.6000000000000000e+01,133,4.6680000000000000e+03,4.7360000000000000e+03,-1.4358108108108109e-02
"ASHFORD",3.0000000000000000e+00,134,4.4670000000000000e+03,4.3490000000000000e+03,2.7132674177971949e-02
"MIDDLEFIELD",8.3000000000000000e+01,135,4.2490000000000000e+03,4.3030000000000000e+03,-1.2549384150592610e-02
"LISBON",7.4000000000000000e+01,136,4.2100000000000000e+03,4.2310000000000000e+03,-4.9633656346017487e-03
"POMFRET",1.1300000000000000e+02,137,4.1680000000000000e+03,4.0860000000000000e+03,2.0068526676456193e-02
"SALEM",1.2200000000000000e+02,138,4.1100000000000000e+03,4.0580000000000000e+03,1.2814194184327254e-02
"SHERMAN",1.2800000000000000e+02,139,4.1060000000000000e+03,4.1000000000000000e+03,1.4634146341463415e-03
"SALISBURY",1.2300000000000000e+02,140,3.9580000000000000e+03,4.0590000000000000e+03,-2.4882976102488297e-02
"CHESTER",2.6000000000000000e+01,141,3.8110000000000000e+03,3.8460000000000000e+03,-9.1003640145605816e-03
"STERLING",1.3700000000000000e+02,142,3.7480000000000000e+03,3.3840000000000000e+03,1.0756501182033097e-01
"BARKHAMSTED",5.0000000000000000e+00,143,3.6620000000000000e+03,3.6870000000000000e+03,-6.7805804176837535e-03
"WASHINGTON",1.5100000000000000e+02,144,3.6570000000000000e+03,3.7010000000000000e+03,-1.1888678735476898e-02
"BETHLEHEM",1.0000000000000000e+01,145,3.5600000000000000e+03,3.5980000000000000e+03,-1.0561423012784881e-02
"NORTH CANAAN",1.0100000000000000e+02,146,3.3470000000000000e+03,3.3920000000000000e+03,-1.3266509433962265e-02
"GOSHEN",5.5000000000000000e+01,147,3.2030000000000000e+03,3.0070000000000000e+03,6.5181243764549382e-02
"ANDOVER",1.0000000000000000e+00,148,3.1830000000000000e+03,3.1770000000000000e+03,1.8885741265344666e-03
"SHARON",1.2600000000000000e+02,149,3.0140000000000000e+03,3.0360000000000000e+03,-7.2463768115942030e-03
"SPRAGUE",1.3400000000000000e+02,150,2.9800000000000000e+03,3.0110000000000000e+03,-1.0295582862836267e-02
"KENT",6.9000000000000000e+01,151,2.9440000000000000e+03,2.9450000000000000e+03,-3.3955857385398983e-04
"VOLUNTOWN",1.4800000000000000e+02,152,2.6190000000000000e+03,2.6320000000000000e+03,-4.9392097264437688e-03
"CHAPLIN",2.4000000000000000e+01,153,2.5560000000000000e+03,2.4180000000000000e+03,5.7071960297766747e-02
"BOZRAH",1.3000000000000000e+01,154,2.4520000000000000e+03,2.4460000000000000e+03,2.4529844644317253e-03
"MORRIS",8.8000000000000000e+01,155,2.3290000000000000e+03,2.3960000000000000e+03,-2.7963272120200333e-02
"ROXBURY",1.2100000000000000e+02,156,2.3110000000000000e+03,2.3110000000000000e+03,0.0000000000000000e+00
"HAMPTON",6.4000000000000000e+01,157,2.1490000000000000e+03,1.9680000000000000e+03,9.1971544715447148e-02
"HARTLAND",6.6000000000000000e+01,158,2.0790000000000000e+03,2.0780000000000000e+03,4.8123195380173246e-04
"LYME",7.6000000000000000e+01,159,2.0770000000000000e+03,2.1150000000000000e+03,-1.7966903073286054e-02
"FRANKLIN",5.3000000000000000e+01,160,1.8930000000000000e+03,1.9270000000000000e+03,-1.7644006227296314e-02
"BRIDGEWATER",1.6000000000000000e+01,161,1.8730000000000000e+03,1.8920000000000000e+03,-1.0042283298097251e-02
"EASTFORD",4.6000000000000000e+01,162,1.7980000000000000e+03,1.7250000000000000e+03,4.2318840579710144e-02
"SCOTLAND",1.2400000000000000e+02,163,1.7220000000000000e+03,1.6650000000000000e+03,3.4234234234234232e-02
"NORFOLK",9.9000000000000000e+01,164,1.6470000000000000e+03,1.6870000000000000e+03,-2.3710729104919975e-02
"COLEBROOK",2.9000000000000000e+01,165,1.5200000000000000e+03,1.5300000000000000e+03,-6.5359477124183009e-03
"CORNWALL",3.1000000000000000e+01,166,1.4810000000000000e+03,1.4820000000000000e+03,-6.7476383265856947e-04
"WARREN",1.5000000000000000e+02,167,1.3850000000000000e+03,1.3420000000000000e+03,3.2041728763040241e-02
"CANAAN",2.1000000000000000e+01,168,1.0950000000000000e+03,1.1060000000000000e+03,-9.9457504520795662e-03
"UNION",1.4600000000000000e+02,169,7.5100000000000000e+02,7.4400000000000000e+02,9.4086021505376347e-03
