TANF10%,TANF09%,MUNICIPALITY,numbered,2010 TANF RECIPIENTS,TANF RECIPIENTS FY 2008-09,SortID
4.0441176470588239e-03,4.9632352941176468e-03,"SEYMOUR",1.2500000000000000e+02,6.6000000000000000e+01,8.1000000000000000e+01,57
3.9660435373543371e-03,3.1193600855595909e-03,"WALLINGFORD",1.4900000000000000e+02,1.7800000000000000e+02,1.4000000000000000e+02,58
3.9344959591663120e-03,3.0660711753863605e-03,"MILFORD",8.5000000000000000e+01,2.2200000000000000e+02,1.7300000000000000e+02,59
3.9275619535923227e-03,4.0918950897258924e-03,"WEST HARTFORD",1.5500000000000000e+02,2.3900000000000000e+02,2.4900000000000000e+02,60
3.8764174959500116e-03,4.7442721592224025e-03,"PLAINVILLE",1.1100000000000000e+02,6.7000000000000000e+01,8.2000000000000000e+01,62
3.8630470445044185e-03,3.4396994231888659e-03,"WATERFORD",1.5300000000000000e+02,7.3000000000000000e+01,6.5000000000000000e+01,63
3.7599874667084443e-03,2.6633244555851481e-03,"EAST HAMPTON",4.1000000000000000e+01,4.8000000000000000e+01,3.4000000000000000e+01,64
3.6396724294813468e-03,9.0991810737033670e-04,"CANAAN",2.1000000000000000e+01,4.0000000000000000e+00,1.0000000000000000e+00,65
3.5783195930538503e-03,3.1924223820382390e-03,"NEW MILFORD",9.6000000000000000e+01,1.0200000000000000e+02,9.1000000000000000e+01,66
3.5070680910758607e-03,2.1581957483543758e-03,"BETHEL",9.0000000000000000e+00,6.5000000000000000e+01,4.0000000000000000e+01,67
3.4863451481696689e-03,2.9052876234747240e-03,"SCOTLAND",1.2400000000000000e+02,6.0000000000000000e+00,5.0000000000000000e+00,68
3.4610947314446866e-03,3.3329060376874760e-03,"THOMASTON",1.4100000000000000e+02,2.7000000000000000e+01,2.6000000000000000e+01,69
3.4173430158052115e-03,2.5630072618539087e-03,"MORRIS",8.8000000000000000e+01,8.0000000000000000e+00,6.0000000000000000e+00,70
3.4094783498124785e-03,1.7047391749062393e-03,"BEACON FALLS",6.0000000000000000e+00,2.0000000000000000e+01,1.0000000000000000e+01,71
3.3801160996399441e-03,3.0861929605408185e-03,"CLINTON",2.7000000000000000e+01,4.6000000000000000e+01,4.2000000000000000e+01,72
3.3525796237660645e-03,9.3127211771279570e-04,"COLUMBIA",3.0000000000000000e+01,1.8000000000000000e+01,5.0000000000000000e+00,73
3.2444632529270703e-03,2.9623360135421074e-03,"SOUTHINGTON",1.3300000000000000e+02,1.3800000000000000e+02,1.2600000000000000e+02,74
3.2369217917928368e-03,3.9678396157460582e-03,"PORTLAND",1.1400000000000000e+02,3.1000000000000000e+01,3.8000000000000000e+01,75
3.1458043748628282e-03,2.1947472382763920e-03,"CROMWELL",3.3000000000000000e+01,4.3000000000000000e+01,3.0000000000000000e+01,76
3.0674846625766872e-03,2.5160267457089683e-03,"BRANFORD",1.4000000000000000e+01,8.9000000000000000e+01,7.3000000000000000e+01,77
2.9000790930661744e-03,3.0978117585025045e-03,"LEDYARD",7.3000000000000000e+01,4.4000000000000000e+01,4.7000000000000000e+01,78
2.7906558041139668e-03,3.1057298465139308e-03,"WATERTOWN",1.5400000000000000e+02,6.2000000000000000e+01,6.9000000000000000e+01,80
2.7788115618409626e-03,2.4066492990944053e-03,"SHELTON",1.2700000000000000e+02,1.1200000000000000e+02,9.7000000000000000e+01,81
2.7661536279168734e-03,1.8441024186112490e-03,"NEW FAIRFIELD",9.2000000000000000e+01,3.9000000000000000e+01,2.6000000000000000e+01,82
2.7648526535841932e-03,1.6184503338053813e-03,"ELLINGTON",4.8000000000000000e+01,4.1000000000000000e+01,2.4000000000000000e+01,83
2.7599854189449564e-03,2.7079102223610896e-03,"EAST LYME",4.4000000000000000e+01,5.3000000000000000e+01,5.2000000000000000e+01,84
2.7335682177135221e-03,2.4905843761389868e-03,"WOLCOTT",1.6700000000000000e+02,4.5000000000000000e+01,4.1000000000000000e+01,85
2.6479392125259038e-03,1.1512779184895234e-03,"LITCHFIELD",7.5000000000000000e+01,2.3000000000000000e+01,1.0000000000000000e+01,86
2.6390344238754995e-03,2.2509411262467498e-03,"WETHERSFIELD",1.6000000000000000e+02,6.8000000000000000e+01,5.8000000000000000e+01,87
2.6281208935611039e-03,0.0000000000000000e+00,"UNION",1.4600000000000000e+02,2.0000000000000000e+00,0.0000000000000000e+00,88
2.5936132274274599e-03,2.5936132274274599e-03,"WILLINGTON",1.6100000000000000e+02,1.6000000000000000e+01,1.6000000000000000e+01,89
2.5368285192932487e-03,2.1807824113222662e-03,"GUILFORD",6.1000000000000000e+01,5.7000000000000000e+01,4.9000000000000000e+01,90
2.5279123657046556e-03,2.1065936380872128e-03,"PROSPECT",1.1600000000000000e+02,2.4000000000000000e+01,2.0000000000000000e+01,91
2.4922118380062306e-03,3.1152647975077883e-04,"ANDOVER",1.0000000000000000e+00,8.0000000000000000e+00,1.0000000000000000e+00,92
2.4658573596358117e-03,2.0864946889226099e-03,"NORTH STONINGTON",1.0300000000000000e+02,1.3000000000000000e+01,1.1000000000000000e+01,93
2.4656235182550974e-03,1.2328117591275487e-03,"OLD SAYBROOK",1.0700000000000000e+02,2.6000000000000000e+01,1.3000000000000000e+01,94
2.4327517898102453e-03,1.8766942378536178e-03,"NORTH BRANFORD",1.0000000000000000e+02,3.5000000000000000e+01,2.7000000000000000e+01,95
2.4294776623026049e-03,2.1595356998245379e-03,"LEBANON",7.2000000000000000e+01,1.8000000000000000e+01,1.6000000000000000e+01,96
2.3370691028841558e-03,1.9121474478143092e-03,"ROCKY HILL",1.2000000000000000e+02,4.4000000000000000e+01,3.6000000000000000e+01,98
2.1798913408008587e-03,2.1798913408008587e-03,"NEWINGTON",9.7000000000000000e+01,6.5000000000000000e+01,6.5000000000000000e+01,99
2.0986358866736622e-03,3.1479538300104933e-03,"FRANKLIN",5.3000000000000000e+01,4.0000000000000000e+00,6.0000000000000000e+00,100
2.0942408376963353e-03,1.0471204188481676e-03,"WESTBROOK",1.5700000000000000e+02,1.4000000000000000e+01,7.0000000000000000e+00,101
2.0796197266785502e-03,5.3475935828877002e-03,"NORTH CANAAN",1.0100000000000000e+02,7.0000000000000000e+00,1.8000000000000000e+01,102
1.9587628865979380e-03,1.4432989690721649e-03,"WOODBURY",1.6900000000000000e+02,1.9000000000000000e+01,1.4000000000000000e+01,103
1.9233985616323799e-03,2.0070245860511790e-03,"NORTH HAVEN",1.0200000000000000e+02,4.6000000000000000e+01,4.8000000000000000e+01,104
1.9193857965451055e-03,1.3435700575815739e-03,"EAST GRANBY",3.9000000000000000e+01,1.0000000000000000e+01,7.0000000000000000e+00,105
1.8959913326110510e-03,2.4377031419284940e-03,"BARKHAMSTED",5.0000000000000000e+00,7.0000000000000000e+00,9.0000000000000000e+00,106
1.8495684340320592e-03,9.2478421701602961e-04,"GOSHEN",5.5000000000000000e+01,6.0000000000000000e+00,3.0000000000000000e+00,107
1.8289209366473781e-03,1.7989386262105358e-03,"GLASTONBURY",5.4000000000000000e+01,6.1000000000000000e+01,6.0000000000000000e+01,108
1.7540308979288944e-03,1.5516427173986372e-03,"TOLLAND",1.4300000000000000e+02,2.6000000000000000e+01,2.3000000000000000e+01,109
1.7298317345494575e-03,3.1451486082717407e-03,"MARLBOROUGH",8.0000000000000000e+01,1.1000000000000000e+01,2.0000000000000000e+01,110
1.6666666666666668e-03,5.5555555555555556e-04,"EASTFORD",4.6000000000000000e+01,3.0000000000000000e+00,1.0000000000000000e+00,111
1.6211834639286678e-03,1.2158875979465010e-03,"OLD LYME",1.0600000000000000e+02,1.2000000000000000e+01,9.0000000000000000e+00,112
1.5828002374200355e-03,1.3849502077425311e-03,"SUFFIELD",1.4000000000000000e+02,2.4000000000000000e+01,2.1000000000000000e+01,113
1.5658203780337769e-03,2.0131976289005705e-03,"EAST HADDAM",4.0000000000000000e+01,1.4000000000000000e+01,1.8000000000000000e+01,114
1.5657620041753654e-03,1.5657620041753654e-03,"CHESTER",2.6000000000000000e+01,6.0000000000000000e+00,6.0000000000000000e+00,115
1.5647120184785039e-03,9.6863124953431190e-04,"NEWTOWN",9.8000000000000000e+01,4.2000000000000000e+01,2.6000000000000000e+01,116
1.5151515151515152e-03,8.9126559714795004e-04,"GRANBY",5.6000000000000000e+01,1.7000000000000000e+01,1.0000000000000000e+01,117
1.4740108611326610e-03,1.5515903801396431e-03,"OXFORD",1.0900000000000000e+02,1.9000000000000000e+01,2.0000000000000000e+01,118
1.4598540145985401e-03,9.7323600973236014e-04,"WOODSTOCK",1.7000000000000000e+02,1.2000000000000000e+01,8.0000000000000000e+00,119
1.4406997684589659e-03,1.0805248263442244e-03,"MONROE",8.6000000000000000e+01,2.8000000000000000e+01,2.1000000000000000e+01,120
1.4169150339571016e-03,1.3680558948551327e-03,"BERLIN",7.0000000000000000e+00,2.9000000000000000e+01,2.8000000000000000e+01,121
1.4032877026175612e-03,8.0187868721003498e-04,"TRUMBULL",1.4500000000000000e+02,4.9000000000000000e+01,2.8000000000000000e+01,122
1.3949461262185736e-03,9.1393022062596203e-04,"GREENWICH",5.7000000000000000e+01,8.7000000000000000e+01,5.7000000000000000e+01,123
1.3851511793572899e-03,1.2664239354123793e-03,"MANSFIELD",7.9000000000000000e+01,3.5000000000000000e+01,3.2000000000000000e+01,124
1.3553808620222283e-03,8.1322851721333698e-04,"WASHINGTON",1.5100000000000000e+02,5.0000000000000000e+00,3.0000000000000000e+00,125
1.3522112631244034e-03,1.7101495386573338e-03,"FARMINGTON",5.2000000000000000e+01,3.4000000000000000e+01,4.3000000000000000e+01,127
1.3513513513513514e-03,0.0000000000000000e+00,"KENT",6.9000000000000000e+01,4.0000000000000000e+00,0.0000000000000000e+00,128
1.3374944271065537e-03,2.0508247882300491e-03,"SOMERS",1.3000000000000000e+02,1.5000000000000000e+01,2.3000000000000000e+01,129
1.1851851851851852e-03,6.9135802469135800e-04,"CANTON",2.3000000000000000e+01,1.2000000000000000e+01,7.0000000000000000e+00,130
1.1829069939376016e-03,2.9572674848440039e-04,"NEW HARTFORD",9.3000000000000000e+01,8.0000000000000000e+00,2.0000000000000000e+00,131
1.1425089496534390e-03,1.1805925813085536e-03,"SOUTH WINDSOR",1.3100000000000000e+02,3.0000000000000000e+01,3.1000000000000000e+01,132
1.1289034006043974e-03,9.5522595435756712e-04,"FAIRFIELD",5.1000000000000000e+01,6.5000000000000000e+01,5.5000000000000000e+01,133
1.0980715119072130e-03,1.0637567771601126e-03,"CHESHIRE",2.5000000000000000e+01,3.2000000000000000e+01,3.1000000000000000e+01,134
1.0748065348237317e-03,8.5984522785898540e-04,"HEBRON",6.8000000000000000e+01,1.0000000000000000e+01,8.0000000000000000e+00,135
1.0732904017172647e-03,1.2266176019625882e-03,"KILLINGWORTH",7.1000000000000000e+01,7.0000000000000000e+00,8.0000000000000000e+00,136
1.0656652796102711e-03,7.1044351974018064e-04,"SOUTHBURY",1.3200000000000000e+02,2.1000000000000000e+01,1.4000000000000000e+01,137
1.0587612493382743e-03,0.0000000000000000e+00,"BRIDGEWATER",1.6000000000000000e+01,2.0000000000000000e+00,0.0000000000000000e+00,138
1.0571718538565629e-03,1.3531799729364006e-03,"SIMSBURY",1.2900000000000000e+02,2.5000000000000000e+01,3.2000000000000000e+01,139
1.0057832537088258e-03,1.2572290671360321e-03,"HADDAM",6.2000000000000000e+01,8.0000000000000000e+00,1.0000000000000000e+01,140
9.9042588312974584e-04,2.3109937273027401e-03,"SHARON",1.2600000000000000e+02,3.0000000000000000e+00,7.0000000000000000e+00,141
9.7087378640776695e-04,2.4271844660194174e-04,"SHERMAN",1.2800000000000000e+02,4.0000000000000000e+00,1.0000000000000000e+00,142
9.5328884652049568e-04,4.7664442326024784e-04,"LYME",7.6000000000000000e+01,2.0000000000000000e+00,1.0000000000000000e+00,143
8.9349535382416008e-04,3.5739814152966406e-04,"HARWINTON",6.7000000000000000e+01,5.0000000000000000e+00,2.0000000000000000e+00,144
8.8105726872246700e-04,1.0279001468428781e-03,"ESSEX",5.0000000000000000e+01,6.0000000000000000e+00,7.0000000000000000e+00,146
8.7164959686206146e-04,7.6269339725430372e-04,"BURLINGTON",2.0000000000000000e+01,8.0000000000000000e+00,7.0000000000000000e+00,147
8.5415332052103351e-04,4.2707666026051675e-04,"DEEP RIVER",3.6000000000000000e+01,4.0000000000000000e+00,2.0000000000000000e+00,148
8.3932853717026375e-04,5.9952038369304552e-04,"BROOKFIELD",1.8000000000000000e+01,1.4000000000000000e+01,1.0000000000000000e+01,149
8.0659100074897733e-04,5.1852278619577113e-04,"AVON",4.0000000000000000e+00,1.4000000000000000e+01,9.0000000000000000e+00,150
7.1994240460763136e-04,1.4398848092152627e-03,"WARREN",1.5000000000000000e+02,1.0000000000000000e+00,2.0000000000000000e+00,151
7.1658903618774627e-04,1.6123253314224292e-03,"BETHANY",8.0000000000000000e+00,4.0000000000000000e+00,9.0000000000000000e+00,152
7.0166749215783391e-04,2.4764735017335313e-04,"RIDGEFIELD",1.1900000000000000e+02,1.7000000000000000e+01,6.0000000000000000e+00,153
6.7904028972385700e-04,6.7904028972385700e-04,"REDDING",1.1800000000000000e+02,6.0000000000000000e+00,6.0000000000000000e+00,154
5.8436039099022525e-04,6.3748406289842758e-04,"MADISON",7.7000000000000000e+01,1.1000000000000000e+01,1.2000000000000000e+01,155
5.4418807139747498e-04,6.5302568567696996e-04,"WOODBRIDGE",1.6800000000000000e+02,5.0000000000000000e+00,6.0000000000000000e+00,156
5.0175614651279475e-04,2.5087807325639737e-04,"SALISBURY",1.2300000000000000e+02,2.0000000000000000e+00,1.0000000000000000e+00,157
4.7915668423574511e-04,9.5831336847149022e-04,"HARTLAND",6.6000000000000000e+01,1.0000000000000000e+00,2.0000000000000000e+00,158
4.6981442330279542e-04,9.3962884660559083e-04,"MIDDLEFIELD",8.3000000000000000e+01,2.0000000000000000e+00,4.0000000000000000e+00,159
4.4777790216052836e-04,3.7314825180044032e-04,"WESTPORT",1.5900000000000000e+02,1.2000000000000000e+01,1.0000000000000000e+01,160
3.6305547487656113e-04,4.3566656985187334e-04,"ORANGE",1.0800000000000000e+02,5.0000000000000000e+00,6.0000000000000000e+00,162
3.5000000000000000e-04,4.4999999999999999e-04,"NEW CANAAN",9.1000000000000000e+01,7.0000000000000000e+00,9.0000000000000000e+00,163
1.9712201852946975e-04,9.8561009264734874e-05,"DARIEN",3.5000000000000000e+01,4.0000000000000000e+00,2.0000000000000000e+00,164
1.1254290698328738e-04,2.2508581396657476e-04,"WILTON",1.6200000000000000e+02,2.0000000000000000e+00,4.0000000000000000e+00,165
0.0000000000000000e+00,0.0000000000000000e+00,"COLEBROOK",2.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,166
0.0000000000000000e+00,0.0000000000000000e+00,"CORNWALL",3.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,167
0.0000000000000000e+00,0.0000000000000000e+00,"EASTON",4.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,168
0.0000000000000000e+00,0.0000000000000000e+00,"ROXBURY",1.2100000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,169
2.5833812050146995e-02,2.4009056195721960e-02,"MERIDEN",8.1000000000000000e+01,1.5290000000000000e+03,1.4210000000000000e+03,9
9.0883537899372254e-03,8.4637246634810589e-03,"NAUGATUCK",8.9000000000000000e+01,2.9100000000000000e+02,2.7100000000000000e+02,27
6.2427168303645746e-03,7.0750790744131846e-03,"PLYMOUTH",1.1200000000000000e+02,7.5000000000000000e+01,8.5000000000000000e+01,45
3.9138943248532287e-03,1.1182555213866368e-03,"BETHLEHEM",1.0000000000000000e+01,1.4000000000000000e+01,4.0000000000000000e+00,61
2.7985074626865670e-03,3.7313432835820895e-03,"HAMPTON",6.4000000000000000e+01,6.0000000000000000e+00,8.0000000000000000e+00,79
2.3563825465182419e-03,3.0064191110749979e-03,"COVENTRY",3.2000000000000000e+01,2.9000000000000000e+01,3.7000000000000000e+01,97
1.3524479307546659e-03,2.4344062753583989e-03,"MIDDLEBURY",8.2000000000000000e+01,1.0000000000000000e+01,1.8000000000000000e+01,126
8.8243945484851459e-04,1.9609765663300324e-04,"WESTON",1.5800000000000000e+02,9.0000000000000000e+00,2.0000000000000000e+00,145
4.0166019547462848e-04,0.0000000000000000e+00,"DURHAM",3.8000000000000000e+01,3.0000000000000000e+00,0.0000000000000000e+00,161
