Municipality,numbered,Moody's
"KILLINGLY",70,"Aa2"
"KILLINGWORTH",71,"Aa2"
"LEBANON",72,"Aa2"
"LEDYARD",73,"Aa2"
"LISBON",74,"A1"
"LITCHFIELD",75,"Aa2"
"LYME",76," "
"MADISON",77,"Aaa"
"MANCHESTER",78,"Aa1"
"MANSFIELD",79,"Aa2"
"MARLBOROUGH",80,"Aa2"
"MERIDEN",81,"A1"
"MIDDLEBURY",82,"Aa2"
"MIDDLEFIELD",83," "
"MIDDLETOWN",84,"Aa2"
"MILFORD",85,"Aa1"
"MONROE",86,"Aa2"
"MONTVILLE",87,"Aa2"
"MORRIS",88," "
"NAUGATUCK",89,"Aa2"
"NEW BRITAIN",90,"A1"
"NEW CANAAN",91,"Aaa"
"NEW FAIRFIELD",92,"Aa1"
"NEW HARTFORD",93,"Aa3"
"NEW HAVEN",94,"A1"
"NEW LONDON",95," "
"NEW MILFORD",96,"Aa1"
"NEWINGTON",97,"Aa2"
"NEWTOWN",98,"Aa1"
"NORFOLK",99," "
"NORTH BRANFORD",100,"Aa2"
"NORTH CANAAN",101,"A1"
"NORTH HAVEN",102,"Aa1"
"NORTH STONINGTON",103,"A1"
"NORWALK",104,"Aaa"
"NORWICH",105,"Aa2"
"OLD LYME",106," "
"OLD SAYBROOK",107,"Aa2"
"ORANGE",108,"Aa1"
"OXFORD",109,"Aa2"
"PLAINFIELD",110,"Aa3"
"PLAINVILLE",111,"Aa2"
"PLYMOUTH",112,"Aa3"
"POMFRET",113," "
"PORTLAND",114,"Aa3"
"PRESTON",115," "
"PROSPECT",116,"A1"
"PUTNAM",117," "
"REDDING",118,"Aa1"
"RIDGEFIELD",119,"Aaa"
"ROCKY HILL",120,"Aa2"
"ROXBURY",121," "
"SALEM",122,"A1"
"SALISBURY",123,"Aa2"
"SCOTLAND",124,"A1"
"SEYMOUR",125,"Aa3"
"SHARON",126,"Aa2"
"SHELTON",127,"Aa2"
"SHERMAN",128,"Aa2"
"SIMSBURY",129,"Aaa"
"SOMERS",130,"Aa2"
"SOUTH WINDSOR",131,"Aa2"
"SOUTHBURY",132,"Aa2"
"SOUTHINGTON",133,"Aa2"
"SPRAGUE",134,"A1"
"STAFFORD",135,"A1"
"STAMFORD",136,"Aa1"
"STERLING",137,"A1"
"STONINGTON",138,"Aa1"
"STRATFORD",139,"Aa2"
"SUFFIELD",140,"Aa2"
"THOMASTON",141,"Aa3"
"THOMPSON",142,"A1"
"TOLLAND",143,"Aa2"
"TORRINGTON",144,"Aa2"
"TRUMBULL",145,"Aa2"
"UNION",146," "
"VERNON",147,"Aa2"
"VOLUNTOWN",148," "
"WALLINGFORD",149,"Aaa"
"WARREN",150,"Aa2"
"WASHINGTON",151,"Aa2"
"WATERBURY",152,"A1"
"WATERFORD",153,"Aa2"
"WATERTOWN",154,"Aa3"
"WEST HARTFORD",155,"Aa2"
"WEST HAVEN",156,"A2"
"WESTBROOK",157,"Aa2"
"WESTON",158,"Aaa"
"WESTPORT",159,"Aaa"
"WETHERSFIELD",160,"Aa2"
"WILLINGTON",161,"Aa3"
"WILTON",162,"Aaa"
"WINCHESTER",163,"Aa3"
"WINDHAM",164,"Aa3"
"WINDSOR",165,"Aa1"
"WINDSOR LOCKS",166,"Aa1"
"WOLCOTT",167,"A1"
"WOODBRIDGE",168,"Aaa"
"WOODBURY",169,"Aa2"
"WOODSTOCK",170,"Aa3"
