Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),On-Behalf Payments (OBP) - Teachers Retirement Plan,OBP Allocation From POB Contribution,Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2008 Population,Moody's_Bond_Ratings_July_2008,area lmt,EGL,TANF08 Recipients,empl,ACMR,enrollmt,RPA Identifier,ACGLFY08
"BLOOMFIELD","VR",2.0080000000000000e+03,1.1000000000000000e+01,1.1000000000000000e+01,"H",47951369.0000,-26368563.0000,41282976.0000,7967633.0000,16966207.0000,57743856.0000,79394745.0000,45243647.0000,1882288.0000,74679206.0000,72513.0000,72513.0000,2274135.0000,2274135.0000,2513917.0000,1274752.0000,2513917.0000,0.0000,,32099861.0000,32099861.0000,8678403.0000,6891558.7429,467300.0000,0.0000,7782848.0000,"N",7315548.0000,"N","N",57873253.0000,56811112.0000,9.8164711771083613e-01,59267505.0000,57390630.0000,9.6833214085863750e-01,2.0727000000000000e+04,"Aa3",2.6010000000000002e+01,3174623444.9478,1.6400000000000000e+02,6.3925599608418995e-02,3.4329999999999998e+01,2.6285999999999999e+03,"Capital Region COG",1695761519.0000
"BOLTON","VR",2.0080000000000000e+03,1.2000000000000000e+01,1.2000000000000000e+01,"T",15886882.0000,2263512.0000,19495394.0000,603373.0000,7724870.0000,12273875.0000,20753014.0000,15385286.0000,992143.0000,20232287.0000,0.0000,0.0000,332213.0000,332213.0000,188514.0000,432804.0000,188514.0000,0.0000,,4288000.0000,4288000.0000,4187379.0000,3325216.4433,265622.0000,823755.0000,1619648.0000,"Y",1354026.0000,"N","N",12234012.0000,12114575.0000,9.9023729909697655e-01,12413248.0000,12198405.0000,9.8269244278370982e-01,5.1170000000000000e+03,"A2",1.4410000000000000e+01,665538181.6552,1.2000000000000000e+01,4.1898527004909987e-02,3.0970000000000002e+01,8.6856000000000006e+02,"Capital Region COG",392279040.0000
"BOZRAH","VR",2.0080000000000000e+03,1.3000000000000000e+01,1.3000000000000000e+01,"NL",4131197.0000,2338016.0000,6679213.0000,328615.0000,2072796.0000,4627844.0000,7035787.0000,4998002.0000,346005.0000,7023940.0000,160.0000,160.0000,3000.0000,3000.0000,9007.0000,319476.0000,9007.0000,0.0000,,1859010.0000,1859010.0000,211531.0000,0.0000,347428.0000,0.0000,1051475.0000,"Y",704047.0000,"N","N",4594213.0000,4518105.0000,9.8343394178720056e-01,4816399.0000,4599613.0000,9.5499002470517913e-01,2.4520000000000000e+03,"Baa1",1.9960000000000001e+01,410614497.8952,5.0000000000000000e+00,5.1689860834990060e-02,2.5000000000000000e+01,3.9157999999999998e+02,"Southeastern CT COG",184451135.0000
"BRANFORD","VR",2.0080000000000000e+03,1.4000000000000000e+01,1.4000000000000000e+01,"NH",80482659.0000,30509687.0000,111246650.0000,1330591.0000,21920852.0000,74049248.0000,101942061.0000,60571587.0000,8433237.0000,97788733.0000,365000.0000,365000.0000,4204669.0000,4204669.0000,313659.0000,1550361.0000,313659.0000,0.0000,,47354045.0000,47354045.0000,15973451.0000,12684589.0763,440505.0000,2786889.0000,16928663.0000,"N",16488158.0000,"N","Y",73636971.0000,72727743.0000,9.8765256110276456e-01,75711278.0000,73477644.0000,9.7049800163193656e-01,2.8969000000000000e+04,"Aa2",2.1990000000000002e+01,5877909582.0491,7.8000000000000000e+01,4.7736672794117647e-02,2.2330000000000002e+01,3.5365000000000000e+03,"South Central Regional COG",3292560354.0000
"BRIDGEPORT","VR",2.0080000000000000e+03,1.5000000000000000e+01,1.5000000000000000e+01,"F",344230733.0000,-226824933.0000,120567012.0000,75664635.0000,209554648.0000,227028207.0000,464326216.0000,218222813.0000,67753922.0000,483962220.0000,1000000.0000,1000000.0000,0.0000,0.0000,-18636004.0000,426579.0000,-18636004.0000,0.0000,,689877000.0000,689877000.0000,0.0000,0.0000,0.0000,0.0000,10605102.0000,"N",10605102.0000,"N","Y",222282166.0000,215712695.0000,9.7044535277742439e-01,258206700.0000,222302776.0000,8.6094890643813660e-01,1.3640500000000000e+05,"Baa1",1.6000000000000000e+01,11835219910.5028,3.5920000000000000e+03,8.6594849566547685e-02,4.1280000000000001e+01,2.1801840000000000e+04,"Greater Bridgeport RPA",5413845453.0000
"BRIDGEWATER","VR",2.0080000000000000e+03,1.6000000000000000e+01,1.6000000000000000e+01,"L",3722749.0000,4891592.0000,9422866.0000,772410.0000,199195.0000,6315531.0000,6934709.0000,4695784.0000,0.0000,6520229.0000,0.0000,0.0000,265500.0000,265500.0000,148980.0000,-101485.0000,148980.0000,0.0000,502455.0380,0.0000,502455.0380,0.0000,0.0000,0.0000,274888.0000,1418098.0000,"N",1418098.0000,"N","N",6297954.0000,6250846.0000,9.9252011049937805e-01,6417025.0000,6265987.0000,9.7646292479770613e-01,1.8730000000000000e+03,,1.6230000000000000e+01,580041917.1429,0.0000000000000000e+00,3.5887487875848688e-02,1.5500000000000000e+01,2.5042000000000002e+02,"Housatonic Council of Elected Ofcls",405701782.0000
"BRISTOL","VR",2.0080000000000000e+03,1.7000000000000000e+01,1.7000000000000000e+01,"H",207039000.0000,39534000.0000,247060000.0000,-5706000.0000,90193000.0000,106510000.0000,204962000.0000,121810000.0000,7240000.0000,174452000.0000,1787000.0000,1787000.0000,30965000.0000,30965000.0000,1332000.0000,235000.0000,1332000.0000,0.0000,,54828000.0000,54828000.0000,37791000.0000,30010002.5838,1859000.0000,11759000.0000,29053000.0000,"N",27194000.0000,"N","N",105865000.0000,103853000.0000,9.8099466301421623e-01,109176000.0000,105574000.0000,9.6700740089396942e-01,6.0927000000000000e+04,"Aa3",2.6510000000000002e+01,6606175760.2731,7.8400000000000000e+02,6.0801581073618743e-02,3.4710000000000001e+01,9.0401599999999999e+03,"Central CT RPA",3040943140.0000
"BROOKFIELD","VR",2.0080000000000000e+03,1.8000000000000000e+01,1.8000000000000000e+01,"F",28858038.0000,2271866.0000,31129904.0000,1221203.0000,14915372.0000,45555574.0000,62499843.0000,45501772.0000,5167011.0000,62744929.0000,2231.0000,2231.0000,1146860.0000,1146860.0000,-1389715.0000,145399.0000,-1389715.0000,0.0000,,39773447.0000,39773447.0000,12062514.0000,9578896.4649,0.0000,550000.0000,2693690.0000,"N",2693690.0000,"N","N",45437867.0000,44934392.0000,9.8891948427068554e-01,46191328.0000,45378313.0000,9.8239896891468459e-01,1.6657000000000000e+04,"Aa2",1.9800000000000001e+01,3645733757.1429,1.2000000000000000e+01,4.4161999138302453e-02,1.7960000000000001e+01,2.9912000000000003e+03,"Housatonic Council of Elected Ofcls",2544444960.0000
"BROOKLYN","VR",2.0080000000000000e+03,1.9000000000000000e+01,1.9000000000000000e+01,"W",18661275.0000,4594147.0000,23255422.0000,4790394.0000,8395352.0000,10919737.0000,20584393.0000,15351712.0000,2956374.0000,20187180.0000,0.0000,84385.0000,305457.0000,305457.0000,91756.0000,-376219.0000,176141.0000,0.0000,,7371497.0000,7371497.0000,591777.0000,0.0000,13013.0000,230990.0000,1180093.0000,"N",1167080.0000,"N","N",11013386.0000,10661885.0000,9.6808420226077607e-01,11450156.0000,10856243.0000,9.4813057568822645e-01,7.9490000000000000e+03,"A3",2.8969999999999999e+01,852056587.1039,5.2000000000000000e+01,6.6090493136756481e-02,2.2120000000000001e+01,1.3491300000000001e+03,"Northeastern CT COG",495631822.0000
"BURLINGTON","VR",2.0080000000000000e+03,2.0000000000000000e+01,2.0000000000000000e+01,"H",9825988.0000,7373987.0000,17346165.0000,2326324.0000,4710910.0000,21621966.0000,27580666.0000,20217507.0000,487079.0000,27007466.0000,0.0000,0.0000,116000.0000,116000.0000,457200.0000,129610.0000,457200.0000,0.0000,15015726.4751,5733438.0000,20749164.4751,0.0000,0.0000,0.0000,181830.0000,3121546.0000,"N",3121546.0000,"N","N",21435949.0000,21099386.0000,9.8429913226608257e-01,21980260.0000,21295585.0000,9.6885045945771342e-01,9.1500000000000000e+03,"A2",2.9789999999999999e+01,1362527845.1750,5.0000000000000000e+00,4.2376017764618801e-02,2.7820000000000000e+01,1.8746500000000001e+03,"Central CT RPA",765067210.0000
"CANAAN","VR",2.0080000000000000e+03,2.1000000000000000e+01,2.1000000000000000e+01,"L",3314168.0000,1634937.0000,5156592.0000,518030.0000,1116548.0000,3578177.0000,4863835.0000,3296366.0000,103924.0000,4604123.0000,0.0000,0.0000,121636.0000,121636.0000,138076.0000,1223.0000,138076.0000,0.0000,382320.4488,921000.0000,1303320.4488,587274.0000,466356.9172,0.0000,0.0000,781177.0000,"Y",781177.0000,"N","N",3557370.0000,3532605.0000,9.9303839634336599e-01,3605840.0000,3567954.0000,9.8949315554766715e-01,1.0950000000000000e+03,,3.2939999999999998e+01,272948208.0912,0.0000000000000000e+00,4.5826513911620292e-02,2.9500000000000000e+01,1.4431000000000000e+02,"Northwestern CT COG",120875915.0000
"CANTERBURY","VR",2.0080000000000000e+03,2.2000000000000000e+01,2.2000000000000000e+01,"W",8677655.0000,3156191.0000,11844896.0000,406638.0000,8136662.0000,7635517.0000,16019816.0000,12877890.0000,587747.0000,15600986.0000,0.0000,0.0000,312991.0000,312991.0000,105839.0000,256353.0000,105839.0000,0.0000,,1340000.0000,1340000.0000,2344833.0000,1862042.4013,69033.0000,297015.0000,2223538.0000,"N",2154505.0000,"N","N",7634969.0000,7438695.0000,9.7429275744276111e-01,7808146.0000,7552046.0000,9.6720092067950569e-01,5.1180000000000000e+03,"A3",3.9890000000000001e+01,595636813.3725,3.0000000000000000e+01,5.6821634761470681e-02,2.1949999999999999e+01,8.2990999999999997e+02,"Northeastern CT COG",343595634.0000
"CANTON","VR",2.0080000000000000e+03,2.3000000000000000e+01,2.3000000000000000e+01,"H",56914809.0000,9439995.0000,66379904.0000,2451926.0000,10842779.0000,28054531.0000,40485804.0000,27715327.0000,2444323.0000,39021107.0000,0.0000,0.0000,783988.0000,783988.0000,680709.0000,876101.0000,680709.0000,0.0000,,16860218.0000,16860218.0000,6915270.0000,5491446.9204,10161.0000,0.0000,4310703.0000,"N",4300542.0000,"N","N",27750594.0000,27484464.0000,9.9040993500895869e-01,28500979.0000,27766886.0000,9.7424323564464221e-01,1.0104000000000000e+04,"A1",2.4560000000000002e+01,1774980267.3554,9.0000000000000000e+00,3.8382099827882959e-02,2.9920000000000002e+01,1.7310400000000000e+03,"Capital Region COG",918826998.0000
"CHAPLIN","VR",2.0080000000000000e+03,2.4000000000000000e+01,2.4000000000000000e+01,"W",4803436.0000,1444005.0000,6253366.0000,81833.0000,2658993.0000,4574110.0000,7441199.0000,5602595.0000,356853.0000,7256578.0000,88.0000,88.0000,199998.0000,199998.0000,-15289.0000,-22713.0000,-15289.0000,0.0000,0.0000,1008021.0000,1008021.0000,182149.0000,0.0000,167116.0000,0.0000,812890.0000,"N",645774.0000,"N","N",4541441.0000,4442499.0000,9.7821352297651776e-01,4668802.0000,4524383.0000,9.6906722538244283e-01,2.5560000000000000e+03,"A3",1.9440000000000001e+01,263592622.9652,1.5000000000000000e+01,5.4593874833555260e-02,3.5500000000000000e+01,3.4225999999999999e+02,"Windham Region COG",126980560.0000
"CHESHIRE","VR",2.0080000000000000e+03,2.5000000000000000e+01,2.5000000000000000e+01,"NH",86499091.0000,16102549.0000,102780260.0000,8203036.0000,21637810.0000,69639894.0000,94977279.0000,59146513.0000,11062222.0000,92083761.0000,1022699.0000,1022699.0000,1822337.0000,1822337.0000,2093880.0000,1271276.0000,2093880.0000,0.0000,,72313988.0000,72313988.0000,4144000.0000,0.0000,1501779.0000,1955375.0000,11989694.0000,"N",10487915.0000,"N","Y",69282705.0000,68997441.0000,9.9588260879825641e-01,69522952.0000,69190889.0000,9.9522369245770803e-01,2.9066000000000000e+04,"Aa2",3.2910000000000004e+01,4480349634.4906,3.3000000000000000e+01,4.3905413645910968e-02,2.7600000000000001e+01,5.0968000000000002e+03,"COG of Central Naugatuck Valley",2510628095.0000
"CHESTER","VR",2.0080000000000000e+03,2.6000000000000000e+01,2.6000000000000000e+01,"M",6213261.0000,3162311.0000,9375572.0000,467725.0000,1270405.0000,9865652.0000,11658418.0000,7887865.0000,447365.0000,11599729.0000,19171.0000,19171.0000,500.0000,500.0000,77360.0000,24319.0000,77360.0000,0.0000,4714943.4369,1895000.0000,6609943.4369,115000.0000,0.0000,270269.0000,0.0000,1845719.0000,"N",1575450.0000,"N","N",9834704.0000,9744429.0000,9.9082077101659594e-01,10008438.0000,9812195.0000,9.8039224502364908e-01,3.8110000000000000e+03,"A2",1.6030000000000001e+01,768858651.5472,1.0000000000000000e+01,4.1228070175438600e-02,2.3120000000000001e+01,5.8824000000000001e+02,"CT River Estuary RPA",423284451.0000
"CLINTON","VR",2.0080000000000000e+03,2.7000000000000000e+01,2.7000000000000000e+01,"M",41007153.0000,3317894.0000,44325047.0000,1460176.0000,18180031.0000,33299853.0000,53305221.0000,37475160.0000,1997447.0000,50693984.0000,0.0000,0.0000,1298952.0000,1298952.0000,1312285.0000,161869.0000,1312285.0000,0.0000,,12547315.0000,12547315.0000,10342943.0000,8213377.4220,310816.0000,250000.0000,6689477.0000,"N",6378661.0000,"N","Y",33226783.0000,33008718.0000,9.9343707153352767e-01,33607523.0000,33099758.0000,9.8489132924196765e-01,1.3554000000000000e+04,"A1",1.6280000000000001e+01,2544527056.1534,3.6000000000000000e+01,4.6246396791577889e-02,2.0260000000000002e+01,2.1248000000000002e+03,"CT River Estuary RPA",1642466132.0000
"COLCHESTER","VR",2.0080000000000000e+03,2.8000000000000000e+01,2.8000000000000000e+01,"NL",63310513.0000,9624438.0000,72934951.0000,802617.0000,18442383.0000,28680150.0000,49025836.0000,35822916.0000,4684364.0000,48907109.0000,0.0000,0.0000,329395.0000,329395.0000,-210668.0000,-971216.0000,-210668.0000,0.0000,,24355000.0000,24355000.0000,2485000.0000,0.0000,148615.0000,719425.0000,4818859.0000,"N",4670244.0000,"N","N",28443115.0000,27793797.0000,9.7717134709049980e-01,29647117.0000,28310000.0000,9.5489891985112751e-01,1.5578000000000000e+04,"A1",4.9060000000000002e+01,1750253358.5714,3.4000000000000000e+01,4.8865034104886504e-02,2.3010000000000002e+01,3.2645200000000000e+03,"Southeastern CT COG",1223287771.0000
"COLEBROOK","VR",2.0080000000000000e+03,2.9000000000000000e+01,2.9000000000000000e+01,"L",4122976.0000,2325049.0000,6451283.0000,20124.0000,1292929.0000,4249863.0000,5729501.0000,4056429.0000,198590.0000,5691561.0000,7000.0000,7000.0000,275000.0000,275000.0000,-230060.0000,-97140.0000,-230060.0000,0.0000,911164.8147,1083415.0000,1994579.8147,562190.0000,446437.6003,0.0000,58100.0000,1211872.0000,"N",1211872.0000,"N","N",4156258.0000,4078963.0000,9.8140274256314208e-01,4357196.0000,4180994.0000,9.5956068994830623e-01,1.5200000000000000e+03,"A3",3.1490000000000002e+01,285784134.4039,0.0000000000000000e+00,3.1400966183574880e-02,2.2590000000000000e+01,2.6338999999999999e+02,"Litchfield Hills Cncl of Elected Ofcls",183558000.0000
"COLUMBIA","VR",2.0080000000000000e+03,3.0000000000000000e+01,3.0000000000000000e+01,"T",8331417.0000,4289819.0000,12635173.0000,190166.0000,6621012.0000,10864965.0000,18111286.0000,14135143.0000,999683.0000,18534201.0000,194043.0000,194043.0000,513199.0000,513199.0000,-742071.0000,-514135.0000,-742071.0000,0.0000,,5150000.0000,5150000.0000,2935781.0000,2331316.8584,12328.0000,329261.0000,1291911.0000,"Y",1279583.0000,"N","N",10838318.0000,10699320.0000,9.8717531631753197e-01,10987565.0000,10780137.0000,9.8112156788150973e-01,5.3150000000000000e+03,"A1",2.1350000000000001e+01,738700757.1429,6.0000000000000000e+00,4.5291625936787226e-02,2.0900000000000002e+01,8.5580000000000007e+02,"Windham Region COG",515429194.0000
"CORNWALL","KE",2.0080000000000000e+03,3.1000000000000000e+01,3.1000000000000000e+01,"L",5348603.0000,2506069.0000,8137107.0000,162655.0000,1217468.0000,5359244.0000,6766951.0000,4411874.0000,407194.0000,6346657.0000,14000.0000,14000.0000,470504.0000,470504.0000,-36210.0000,184216.0000,-36210.0000,0.0000,591686.4741,2635000.0000,3226686.4741,709419.0000,563352.8095,0.0000,304064.0000,1447683.0000,"N",1447683.0000,"N","N",5290207.0000,5222091.0000,9.8712413332786408e-01,5502080.0000,5301741.0000,9.6358849744096775e-01,1.4810000000000000e+03,"A1",4.6000000000000000e+01,634406507.1429,1.0000000000000000e+00,3.7125748502994015e-02,1.1900000000000000e+01,2.0131000000000000e+02,"Northwestern CT COG",443576230.0000
"COVENTRY","VR",2.0080000000000000e+03,3.2000000000000000e+01,3.2000000000000000e+01,"T",88972324.0000,14949841.0000,103924503.0000,7540969.0000,18003325.0000,23328579.0000,42160304.0000,31080910.0000,2794397.0000,42051173.0000,184661.0000,184661.0000,100923.0000,100923.0000,192869.0000,266392.0000,192869.0000,0.0000,,26754749.0000,26754749.0000,7994694.0000,6348622.3597,142626.0000,0.0000,2489039.0000,"N",2346413.0000,"N","N",23351565.0000,22799813.0000,9.7637194766175206e-01,23861545.0000,23141050.0000,9.6980518235512414e-01,1.2207000000000000e+04,"A2",3.7719999999999999e+01,1468099473.5080,4.2000000000000000e+01,4.8022598870056499e-02,2.7590000000000000e+01,2.0746700000000001e+03,"Windham Region COG",839994635.0000
