MUNICIPALITY,TANF RECIPIENTS FY 2006-07
"FAIRFIELD",8.1000000000000000e+01
"FARMINGTON",4.5000000000000000e+01
"FRANKLIN",3.0000000000000000e+00
"GLASTONBURY",3.9000000000000000e+01
"GOSHEN",0.0000000000000000e+00
"GRANBY",9.0000000000000000e+00
"GREENWICH",6.8000000000000000e+01
"GRISWOLD",1.0900000000000000e+02
"GROTON",3.5400000000000000e+02
"GROTON (City of)",
"GUILFORD",3.7000000000000000e+01
"HADDAM",1.5000000000000000e+01
"HAMDEN",4.4400000000000000e+02
"HAMPTON",4.0000000000000000e+00
"HARTFORD",6.9970000000000000e+03
"HARTLAND",3.0000000000000000e+00
"HARWINTON",6.0000000000000000e+00
"HEBRON",1.0000000000000000e+01
"KENT",4.0000000000000000e+00
"KILLINGLY",2.1400000000000000e+02
"KILLINGWORTH",6.0000000000000000e+00
"LEBANON",2.2000000000000000e+01
"LEDYARD",4.7000000000000000e+01
"LISBON",1.5000000000000000e+01
"LITCHFIELD",1.4000000000000000e+01
"LYME",2.0000000000000000e+00
"MADISON",1.0000000000000000e+01
"MANCHESTER",7.1200000000000000e+02
"MANSFIELD",4.1000000000000000e+01
"MARLBOROUGH",8.0000000000000000e+00
"MERIDEN",1.4420000000000000e+03
"MIDDLEBURY",1.1000000000000000e+01
"MIDDLEFIELD",8.0000000000000000e+00
"MIDDLETOWN",5.0000000000000000e+02
"MILFORD",1.8400000000000000e+02
"MONROE",1.4000000000000000e+01
"MONTVILLE",9.0000000000000000e+01
"MORRIS",4.0000000000000000e+00
"NAUGATUCK",2.7000000000000000e+02
"NEW BRITAIN",2.7010000000000000e+03
"NEW CANAAN",6.0000000000000000e+00
"NEW FAIRFIELD",2.4000000000000000e+01
"NEW HARTFORD",6.0000000000000000e+00
"NEW HAVEN",5.1960000000000000e+03
"NEW LONDON",8.4600000000000000e+02
"NEW MILFORD",7.1000000000000000e+01
"NEWINGTON",7.7000000000000000e+01
"NEWTOWN",2.3000000000000000e+01
"NORFOLK",9.0000000000000000e+00
"NORTH BRANFORD",2.8000000000000000e+01
"NORTH CANAAN",1.4000000000000000e+01
"NORTH HAVEN",8.0000000000000000e+01
"NORTH STONINGTON",1.3000000000000000e+01
"NORWALK",5.3900000000000000e+02
"NORWICH",8.5400000000000000e+02
"OLD LYME",1.1000000000000000e+01
"OLD SAYBROOK",2.1000000000000000e+01
"ORANGE",1.1000000000000000e+01
"OXFORD",1.4000000000000000e+01
"PLAINFIELD",1.8200000000000000e+02
"PLAINVILLE",1.0700000000000000e+02
"PLYMOUTH",6.8000000000000000e+01
"POMFRET",1.3000000000000000e+01
"PORTLAND",4.8000000000000000e+01
"PRESTON",1.3000000000000000e+01
"PROSPECT",1.9000000000000000e+01
"PUTNAM",1.6700000000000000e+02
"REDDING",5.0000000000000000e+00
"RIDGEFIELD",7.0000000000000000e+00
"ROCKY HILL",2.8000000000000000e+01
"ROXBURY",0.0000000000000000e+00
"SALEM",1.1000000000000000e+01
"SALISBURY",4.0000000000000000e+00
"SCOTLAND",2.0000000000000000e+00
"SEYMOUR",6.9000000000000000e+01
"SHARON",2.0000000000000000e+00
"SHELTON",1.3300000000000000e+02
"SHERMAN",1.0000000000000000e+00
"SIMSBURY",3.4000000000000000e+01
"SOMERS",1.9000000000000000e+01
"SOUTH WINDSOR",3.2000000000000000e+01
"SOUTHBURY",2.4000000000000000e+01
"SOUTHINGTON",1.3800000000000000e+02
"SPRAGUE",3.2000000000000000e+01
"STAFFORD",7.6000000000000000e+01
"STAMFORD",5.9100000000000000e+02
"STERLING",2.6000000000000000e+01
"STONINGTON",9.9000000000000000e+01
"STRATFORD",3.5800000000000000e+02
"SUFFIELD",1.4000000000000000e+01
"THOMASTON",2.6000000000000000e+01
"THOMPSON",5.5000000000000000e+01
"TOLLAND",1.2000000000000000e+01
"TORRINGTON",3.3900000000000000e+02
"TRUMBULL",3.1000000000000000e+01
"UNION",0.0000000000000000e+00
"VERNON",3.4100000000000000e+02
"VOLUNTOWN",1.3000000000000000e+01
"WALLINGFORD",1.2400000000000000e+02
"WARREN",3.0000000000000000e+00
"WASHINGTON",1.1000000000000000e+01
"WATERBURY",4.1870000000000000e+03
"WATERFORD",6.6000000000000000e+01
"WATERTOWN",8.6000000000000000e+01
"WEST HARTFORD",2.3600000000000000e+02
"WEST HAVEN",7.8100000000000000e+02
"WESTBROOK",1.8000000000000000e+01
"WESTON",1.0000000000000000e+00
"WESTPORT",1.1000000000000000e+01
"WETHERSFIELD",8.9000000000000000e+01
"WILLINGTON",2.6000000000000000e+01
"WILTON",0.0000000000000000e+00
"WINCHESTER",9.6000000000000000e+01
"WINDHAM",7.1700000000000000e+02
"WINDSOR",1.7000000000000000e+02
"WINDSOR LOCKS",5.8000000000000000e+01
"WOLCOTT",5.1000000000000000e+01
"WOODBRIDGE",7.0000000000000000e+00
"WOODBURY",9.0000000000000000e+00
"WOODSTOCK",1.3000000000000000e+01
