MUNICIPALITY,Sept 2008 Labor Force,Sept 2008 Unemployed
"SUFFIELD",7.5600000000000000e+03,3.5800000000000000e+02
"THOMASTON",4.6060000000000000e+03,2.4000000000000000e+02
"THOMPSON",5.3360000000000000e+03,3.3400000000000000e+02
"TOLLAND",8.4450000000000000e+03,3.5500000000000000e+02
"TORRINGTON",1.9764000000000000e+04,1.1470000000000000e+03
"TRUMBULL",1.7892000000000000e+04,8.5800000000000000e+02
"UNION",4.7000000000000000e+02,1.1000000000000000e+01
"VERNON",1.7544000000000000e+04,9.6100000000000000e+02
"VOLUNTOWN",1.6470000000000000e+03,1.0800000000000000e+02
"WALLINGFORD",2.5386000000000000e+04,1.2730000000000000e+03
"WARREN",7.5300000000000000e+02,2.5000000000000000e+01
"WASHINGTON",1.9770000000000000e+03,8.7000000000000000e+01
"WATERBURY",4.9866000000000000e+04,4.6780000000000000e+03
"WATERFORD",1.0593000000000000e+04,5.9100000000000000e+02
"WATERTOWN",1.2219000000000000e+04,7.0200000000000000e+02
"WEST HARTFORD",2.9538000000000000e+04,1.5870000000000000e+03
"WEST HAVEN",2.9764000000000000e+04,1.9380000000000000e+03
"WESTBROOK",3.7020000000000000e+03,1.7200000000000000e+02
"WESTON",4.9440000000000000e+03,1.9500000000000000e+02
"WESTPORT",1.2801000000000000e+04,5.5600000000000000e+02
"WETHERSFIELD",1.3374000000000000e+04,7.3300000000000000e+02
"WILLINGTON",3.8980000000000000e+03,1.5200000000000000e+02
"WILTON",8.3760000000000000e+03,3.8700000000000000e+02
"WINCHESTER",6.0690000000000000e+03,3.6200000000000000e+02
"WINDHAM",1.2039000000000000e+04,9.0000000000000000e+02
"WINDSOR",1.6368000000000000e+04,9.3000000000000000e+02
"WINDSOR LOCKS",7.2140000000000000e+03,4.4500000000000000e+02
"WOLCOTT",8.9970000000000000e+03,4.7400000000000000e+02
"WOODBRIDGE",4.9160000000000000e+03,2.0000000000000000e+02
"WOODBURY",5.5890000000000000e+03,2.5800000000000000e+02
"WOODSTOCK",4.6740000000000000e+03,2.2400000000000000e+02
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
