Municipality,numbered,Comptroller Town Code,County,Total Permits,1 Unit,2 Unit,3 and 4 Units,5 Units or More,Demolitions,Net Gain,Net Gain Ranking
"GRANBY",5.6000000000000000e+01,5.6000000000000000e+01,"Hartford",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"2","2","41"
"GREENWICH",5.7000000000000000e+01,5.7000000000000000e+01,"Fairfield",9.4000000000000000e+01,9.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"56","38","15"
"GRISWOLD",5.8000000000000000e+01,5.8000000000000000e+01,"New London",2.8000000000000000e+01,2.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"4","24","20"
"GROTON",5.9000000000000000e+01,5.9000000000000000e+01,"New London",4.2000000000000000e+01,3.6000000000000000e+01,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"3","39","14"
"GUILFORD",6.1000000000000000e+01,6.0000000000000000e+01,"New Haven",1.6000000000000000e+01,1.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"6","10","33"
"HADDAM",6.2000000000000000e+01,6.1000000000000000e+01,"Middlesex",1.6000000000000000e+01,1.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"4","12","31"
"HAMDEN",6.3000000000000000e+01,6.2000000000000000e+01,"New Haven",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"1","5","38"
"HAMPTON",6.4000000000000000e+01,6.3000000000000000e+01,"Windham",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," "," ","NR"
"HARTFORD",6.5000000000000000e+01,6.4000000000000000e+01,"Hartford",6.5000000000000000e+01,7.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+01,"41","24","20"
"HARTLAND",6.6000000000000000e+01,6.5000000000000000e+01,"Hartford",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"0","4","39"
"HARWINTON",6.7000000000000000e+01,6.6000000000000000e+01,"Litchfield",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"0","8","35"
"HEBRON",6.8000000000000000e+01,6.7000000000000000e+01,"Tolland",1.1000000000000000e+01,1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"0","11","32"
"KENT",6.9000000000000000e+01,6.8000000000000000e+01,"Litchfield",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"0","8","35"
"KILLINGLY",7.0000000000000000e+01,6.9000000000000000e+01,"Windham",3.6000000000000000e+01,3.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"3","33","17"
"KILLINGWORTH",7.1000000000000000e+01,7.0000000000000000e+01,"Middlesex",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"0","5","38"
"LEBANON",7.2000000000000000e+01,7.1000000000000000e+01,"New London",7.0000000000000000e+00,5.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"4","3","40"
"LEDYARD",7.3000000000000000e+01,7.2000000000000000e+01,"New London",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"2","7","36"
"LISBON",7.4000000000000000e+01,7.3000000000000000e+01,"New London",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"1","2","41"
"LITCHFIELD",7.5000000000000000e+01,7.4000000000000000e+01,"Litchfield",1.2000000000000000e+01,1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"9","3","40"
"LYME",7.6000000000000000e+01,7.5000000000000000e+01,"New London",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"2","0","43"
"MADISON",7.7000000000000000e+01,7.6000000000000000e+01,"New Haven",1.9000000000000000e+01,1.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"3","16","28"
"MANCHESTER",7.8000000000000000e+01,7.7000000000000000e+01,"Hartford",1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"9","1","42"
"MANSFIELD",7.9000000000000000e+01,7.8000000000000000e+01,"Tolland",2.2000000000000000e+01,2.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"2","20","24"
"MARLBOROUGH",8.0000000000000000e+01,7.9000000000000000e+01,"Hartford",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"0","2","41"
"MERIDEN",8.1000000000000000e+01,8.0000000000000000e+01,"New Haven",2.8000000000000000e+01,2.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"5","23","21"
"MIDDLEBURY",8.2000000000000000e+01,8.1000000000000000e+01,"New Haven",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"10","-4","46"
"MIDDLEFIELD",8.3000000000000000e+01,8.2000000000000000e+01,"Middlesex",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"3","-2","45"
"MIDDLETOWN",8.4000000000000000e+01,8.3000000000000000e+01,"Middlesex",8.5000000000000000e+01,2.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,5.8000000000000000e+01,"17","68","8"
"MILFORD",8.5000000000000000e+01,8.4000000000000000e+01,"New Haven",8.6000000000000000e+01,2.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,6.6000000000000000e+01,"20","66","9"
"MONROE",8.6000000000000000e+01,8.5000000000000000e+01,"Fairfield",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"3","0","43"
"MONTVILLE",8.7000000000000000e+01,8.6000000000000000e+01,"New London",1.4000000000000000e+01,1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"7","7","36"
"MORRIS",8.8000000000000000e+01,8.7000000000000000e+01,"Litchfield",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," "," ","NR"
"NAUGATUCK",8.9000000000000000e+01,8.8000000000000000e+01,"New Haven",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"0","9","34"
"NEW BRITAIN",9.0000000000000000e+01,8.9000000000000000e+01,"Hartford",2.4000000000000000e+01,8.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,1.4000000000000000e+01,"286","-262","51"
"NEW CANAAN",9.1000000000000000e+01,9.0000000000000000e+01,"Fairfield",1.2000000000000000e+01,1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"18","-6","47"
"NEW FAIRFIELD",9.2000000000000000e+01,9.1000000000000000e+01,"Fairfield",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"3","6","37"
"NEW HARTFORD",9.3000000000000000e+01,9.2000000000000000e+01,"Litchfield",1.6000000000000000e+01,1.2000000000000000e+01,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"2","14","29"
"NEW HAVEN",9.4000000000000000e+01,9.3000000000000000e+01,"New Haven",1.3000000000000000e+01,1.1000000000000000e+01,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"93","-80","50"
"NEW LONDON",9.5000000000000000e+01,9.5000000000000000e+01,"New London",2.7000000000000000e+01,2.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"4","23","21"
"NEW MILFORD",9.6000000000000000e+01,9.6000000000000000e+01,"Litchfield",1.4000000000000000e+01,1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"15","-1","44"
"NEWINGTON",9.7000000000000000e+01,9.4000000000000000e+01,"Hartford",1.8000000000000000e+01,1.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"2","16","28"
"NEWTOWN",9.8000000000000000e+01,9.7000000000000000e+01,"Fairfield",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"4","5","38"
"NORFOLK",9.9000000000000000e+01,9.8000000000000000e+01,"Litchfield",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"2","-1","44"
"NORTH BRANFORD",1.0000000000000000e+02,9.9000000000000000e+01,"New Haven",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," "," ","NR"
"NORTH CANAAN",1.0100000000000000e+02,1.0000000000000000e+02,"Litchfield",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"0","1","42"
