MUNICIPALITY,Numbered,2009 LABOR FORCE,2009 UNEMPLOYED,2009 UNEMP RATE
"ROCKY HILL",120,1.0956000000000000e+04,7.3000000000000000e+02,6.6630156991602768e-02
"ROXBURY",121,1.3640000000000000e+03,7.7000000000000000e+01,5.6451612903225805e-02
"SALEM",122,2.6820000000000000e+03,1.7000000000000000e+02,6.3385533184190906e-02
"SALISBURY",123,1.9410000000000000e+03,1.1500000000000000e+02,5.9247810407006697e-02
"SCOTLAND",124,1.0120000000000000e+03,4.3000000000000000e+01,4.2490118577075096e-02
"SEYMOUR",125,9.4210000000000000e+03,7.6000000000000000e+02,8.0670841736546012e-02
"SHARON",126,1.5500000000000000e+03,8.7000000000000000e+01,5.6129032258064517e-02
"SHELTON",127,2.3287000000000000e+04,1.6910000000000000e+03,7.2615622450294154e-02
"SHERMAN",128,2.1440000000000000e+03,1.2800000000000000e+02,5.9701492537313432e-02
"SIMSBURY",129,1.2238000000000000e+04,6.9800000000000000e+02,5.7035463310998527e-02
"SOMERS",130,4.8260000000000000e+03,3.9300000000000000e+02,8.1433899709904681e-02
"SOUTH WINDSOR",131,1.5017000000000000e+04,9.3500000000000000e+02,6.2262768861956447e-02
"SOUTHBURY",132,9.2380000000000000e+03,6.4100000000000000e+02,6.9387313271270831e-02
"SOUTHINGTON",133,2.4720000000000000e+04,1.7570000000000000e+03,7.1076051779935270e-02
"SPRAGUE",134,1.8580000000000000e+03,1.7000000000000000e+02,9.1496232508073191e-02
"STAFFORD",135,7.0120000000000000e+03,6.0300000000000000e+02,8.5995436394751851e-02
"STAMFORD",136,6.7693000000000000e+04,4.9720000000000000e+03,7.3449248814500767e-02
"STERLING",137,2.1390000000000000e+03,1.9600000000000000e+02,9.1631603553062185e-02
"STONINGTON",138,1.0786000000000000e+04,6.4200000000000000e+02,5.9521602076766177e-02
"STRATFORD",139,2.6261000000000000e+04,2.3480000000000000e+03,8.9410151936331436e-02
"SUFFIELD",140,7.5520000000000000e+03,5.0400000000000000e+02,6.6737288135593223e-02
"THOMASTON",141,4.7460000000000000e+03,4.6700000000000000e+02,9.8398651495996622e-02
"THOMPSON",142,5.4620000000000000e+03,5.3200000000000000e+02,9.7400219699743690e-02
"TOLLAND",143,8.5530000000000000e+03,5.3000000000000000e+02,6.1966561440430258e-02
"TORRINGTON",144,1.9957000000000000e+04,2.0350000000000000e+03,1.0196923385278349e-01
"TRUMBULL",145,1.7952000000000000e+04,1.2130000000000000e+03,6.7569073083778963e-02
"UNION",146,4.8600000000000000e+02,3.3000000000000000e+01,6.7901234567901231e-02
"VERNON",147,1.7826000000000000e+04,1.3440000000000000e+03,7.5395489734096266e-02
"VOLUNTOWN",148,1.6810000000000000e+03,1.4900000000000000e+02,8.8637715645449131e-02
"WALLINGFORD",149,2.5750000000000000e+04,1.9230000000000000e+03,7.4679611650485436e-02
"WARREN",150,7.4500000000000000e+02,4.5000000000000000e+01,6.0402684563758392e-02
"WASHINGTON",151,1.9280000000000000e+03,1.1900000000000000e+02,6.1721991701244816e-02
"WATERBURY",152,5.0568000000000000e+04,6.7760000000000000e+03,1.3399778516057587e-01
"WATERFORD",153,1.0719000000000000e+04,7.8100000000000000e+02,7.2861274372609391e-02
"WATERTOWN",154,1.2207000000000000e+04,1.0480000000000000e+03,8.5852379782092245e-02
"WEST HARTFORD",155,2.9730000000000000e+04,2.1500000000000000e+03,7.2317524386141946e-02
"WEST HAVEN",156,2.9973000000000000e+04,2.7200000000000000e+03,9.0748340172822212e-02
"WESTBROOK",157,3.7540000000000000e+03,2.6700000000000000e+02,7.1124134256792759e-02
"WESTON",158,4.9340000000000000e+03,2.6700000000000000e+02,5.4114308877178760e-02
"WESTPORT",159,1.2895000000000000e+04,8.0200000000000000e+02,6.2194649088794109e-02
"WETHERSFIELD",160,1.3484000000000000e+04,1.0430000000000000e+03,7.7350934440818753e-02
"WILLINGTON",161,3.9160000000000000e+03,2.3500000000000000e+02,6.0010214504596530e-02
"WILTON",162,8.3620000000000000e+03,5.0400000000000000e+02,6.0272662042573547e-02
"WINCHESTER",163,6.0540000000000000e+03,5.8600000000000000e+02,9.6795507102741984e-02
"WINDHAM",164,1.2177000000000000e+04,1.2000000000000000e+03,9.8546440009854644e-02
"WINDSOR",165,1.6595000000000000e+04,1.3120000000000000e+03,7.9059957818620061e-02
"WINDSOR LOCKS",166,7.2470000000000000e+03,6.3500000000000000e+02,8.7622464468055744e-02
"WOLCOTT",167,9.0540000000000000e+03,7.7000000000000000e+02,8.5045283852440909e-02
"WOODBRIDGE",168,4.8670000000000000e+03,2.2800000000000000e+02,4.6846106431066369e-02
"WOODBURY",169,5.4880000000000000e+03,3.6700000000000000e+02,6.6873177842565593e-02
"WOODSTOCK",170,4.7080000000000000e+03,3.1800000000000000e+02,6.7544604927782498e-02
,171,,,
