Municipality,SortID,numbered,2009 Population,2005 Population,Population0509Change
"COVENTRY",87,3.2000000000000000e+01,1.2307000000000000e+04,1.2190000000000000e+04,9.5980311730926981e-03
"PLYMOUTH",88,1.1200000000000000e+02,1.2014000000000000e+04,1.2183000000000000e+04,-1.3871788557826479e-02
"STAFFORD",89,1.3500000000000000e+02,1.1869000000000000e+04,1.1857000000000000e+04,1.0120603862697141e-03
"GRISWOLD",90,5.8000000000000000e+01,1.1508000000000000e+04,1.1254000000000000e+04,2.2569752976719388e-02
"GRANBY",91,5.6000000000000000e+01,1.1220000000000000e+04,1.1088000000000000e+04,1.1904761904761904e-02
"SOMERS",92,1.3000000000000000e+02,1.1215000000000000e+04,1.0877000000000000e+04,3.1074744874505837e-02
"EAST WINDSOR",93,4.5000000000000000e+01,1.1041000000000000e+04,1.0447000000000000e+04,5.6858428256915859e-02
"WINCHESTER",94,1.6300000000000000e+02,1.0779000000000000e+04,1.0857000000000000e+04,-7.1843050566454819e-03
"OLD SAYBROOK",95,1.0700000000000000e+02,1.0545000000000000e+04,1.0512000000000000e+04,3.1392694063926939e-03
"WESTON",96,1.5800000000000000e+02,1.0199000000000000e+04,1.0276000000000000e+04,-7.4931880108991822e-03
"CANTON",97,2.3000000000000000e+01,1.0125000000000000e+04,9.9320000000000000e+03,1.9432138542086187e-02
"WOODBURY",98,1.6900000000000000e+02,9.7000000000000000e+03,9.7340000000000000e+03,-3.4929114444216150e-03
"PORTLAND",99,1.1400000000000000e+02,9.5770000000000000e+03,9.5430000000000000e+03,3.5628209158545532e-03
"PROSPECT",100,1.1600000000000000e+02,9.4940000000000000e+03,9.2340000000000000e+03,2.8156811782542777e-02
"PUTNAM",101,1.1700000000000000e+02,9.3070000000000000e+03,9.2880000000000000e+03,2.0456503014642550e-03
"HEBRON",102,6.8000000000000000e+01,9.3040000000000000e+03,9.1980000000000000e+03,1.1524244400956729e-02
"THOMPSON",103,1.4200000000000000e+02,9.2490000000000000e+03,9.3450000000000000e+03,-1.0272873194221509e-02
"WOODBRIDGE",104,1.6800000000000000e+02,9.1880000000000000e+03,9.2640000000000000e+03,-8.2037996545768575e-03
"BURLINGTON",105,2.0000000000000000e+01,9.1780000000000000e+03,9.0970000000000000e+03,8.9040342970209962e-03
"EAST HADDAM",106,4.0000000000000000e+01,8.9410000000000000e+03,8.8080000000000000e+03,1.5099909173478655e-02
"REDDING",107,1.1800000000000000e+02,8.8360000000000000e+03,8.6460000000000000e+03,2.1975479990747167e-02
"LITCHFIELD",108,7.5000000000000000e+01,8.6860000000000000e+03,8.6840000000000000e+03,2.3030861354214648e-04
"WOODSTOCK",109,1.7000000000000000e+02,8.2200000000000000e+03,8.0470000000000000e+03,2.1498695165900337e-02
"BROOKLYN",110,1.9000000000000000e+01,7.9770000000000000e+03,7.7110000000000000e+03,3.4496174296459604e-02
"HADDAM",111,6.2000000000000000e+01,7.9540000000000000e+03,7.6350000000000000e+03,4.1781270464963979e-02
"THOMASTON",112,1.4100000000000000e+02,7.8010000000000000e+03,7.9380000000000000e+03,-1.7258755353993450e-02
"DURHAM",113,3.8000000000000000e+01,7.4690000000000000e+03,7.2660000000000000e+03,2.7938342967244702e-02
"LEBANON",114,7.2000000000000000e+01,7.4090000000000000e+03,7.3340000000000000e+03,1.0226343059721843e-02
"OLD LYME",115,1.0600000000000000e+02,7.4020000000000000e+03,7.4880000000000000e+03,-1.1485042735042736e-02
"MIDDLEBURY",116,8.2000000000000000e+01,7.3940000000000000e+03,6.9740000000000000e+03,6.0223687983940351e-02
"EASTON",117,4.7000000000000000e+01,7.3830000000000000e+03,7.4880000000000000e+03,-1.4022435897435898e-02
"ESSEX",118,5.0000000000000000e+01,6.8100000000000000e+03,6.7830000000000000e+03,3.9805395842547548e-03
"NEW HARTFORD",119,9.3000000000000000e+01,6.7630000000000000e+03,6.7460000000000000e+03,2.5200118588793361e-03
"WESTBROOK",120,1.5700000000000000e+02,6.6850000000000000e+03,6.5990000000000000e+03,1.3032277617820881e-02
"KILLINGWORTH",121,7.1000000000000000e+01,6.5220000000000000e+03,6.4030000000000000e+03,1.8585038263314070e-02
"MARLBOROUGH",122,8.0000000000000000e+01,6.3590000000000000e+03,6.2670000000000000e+03,1.4680070209031434e-02
"WILLINGTON",123,1.6100000000000000e+02,6.1690000000000000e+03,6.2160000000000000e+03,-7.5611325611325613e-03
"BEACON FALLS",124,6.0000000000000000e+00,5.8660000000000000e+03,5.5960000000000000e+03,4.8248749106504646e-02
"HARWINTON",125,6.7000000000000000e+01,5.5960000000000000e+03,5.5710000000000000e+03,4.4875246813857479e-03
"BETHANY",126,8.0000000000000000e+00,5.5820000000000000e+03,5.4730000000000000e+03,1.9915951032340579e-02
"COLUMBIA",127,3.0000000000000000e+01,5.3690000000000000e+03,5.3360000000000000e+03,6.1844077961019494e-03
"NORTH STONINGTON",128,1.0300000000000000e+02,5.2720000000000000e+03,5.2180000000000000e+03,1.0348792640858567e-02
"EAST GRANBY",129,3.9000000000000000e+01,5.2100000000000000e+03,5.0580000000000000e+03,3.0051403716884143e-02
"BOLTON",130,1.2000000000000000e+01,5.1550000000000000e+03,5.1700000000000000e+03,-2.9013539651837525e-03
"CANTERBURY",131,2.2000000000000000e+01,5.1280000000000000e+03,5.0600000000000000e+03,1.3438735177865613e-02
"PRESTON",132,1.1500000000000000e+02,4.9550000000000000e+03,4.8670000000000000e+03,1.8080953359358949e-02
"DEEP RIVER",133,3.6000000000000000e+01,4.6830000000000000e+03,4.7140000000000000e+03,-6.5761561306745863e-03
"ASHFORD",134,3.0000000000000000e+00,4.4700000000000000e+03,4.4160000000000000e+03,1.2228260869565218e-02
"MIDDLEFIELD",135,8.3000000000000000e+01,4.2570000000000000e+03,4.2810000000000000e+03,-5.6061667834618077e-03
"LISBON",136,7.4000000000000000e+01,4.2560000000000000e+03,4.2340000000000000e+03,5.1960321209258385e-03
"POMFRET",137,1.1300000000000000e+02,4.1860000000000000e+03,4.1420000000000000e+03,1.0622887493964268e-02
"SALEM",138,1.2200000000000000e+02,4.1420000000000000e+03,4.0940000000000000e+03,1.1724474841231070e-02
"SHERMAN",139,1.2800000000000000e+02,4.1200000000000000e+03,4.1290000000000000e+03,-2.1797045289416324e-03
"SALISBURY",140,1.2300000000000000e+02,3.9860000000000000e+03,4.0830000000000000e+03,-2.3757041391133969e-02
"CHESTER",141,2.6000000000000000e+01,3.8320000000000000e+03,3.8320000000000000e+03,0.0000000000000000e+00
"STERLING",142,1.3700000000000000e+02,3.7550000000000000e+03,3.5190000000000000e+03,6.7064506962205173e-02
"BARKHAMSTED",143,5.0000000000000000e+00,3.6920000000000000e+03,3.7110000000000000e+03,-5.1199137698733493e-03
"WASHINGTON",144,1.5100000000000000e+02,3.6890000000000000e+03,3.6930000000000000e+03,-1.0831302464121310e-03
"BETHLEHEM",145,1.0000000000000000e+01,3.5770000000000000e+03,3.5960000000000000e+03,-5.2836484983314795e-03
"NORTH CANAAN",146,1.0100000000000000e+02,3.3660000000000000e+03,3.3920000000000000e+03,-7.6650943396226415e-03
"GOSHEN",147,5.5000000000000000e+01,3.2440000000000000e+03,3.0920000000000000e+03,4.9159120310478657e-02
"ANDOVER",148,1.0000000000000000e+00,3.2100000000000000e+03,3.2090000000000000e+03,3.1162355874104082e-04
"SHARON",149,1.2600000000000000e+02,3.0290000000000000e+03,3.0520000000000000e+03,-7.5360419397116647e-03
"SPRAGUE",150,1.3400000000000000e+02,3.0190000000000000e+03,2.9920000000000000e+03,9.0240641711229943e-03
"KENT",151,6.9000000000000000e+01,2.9600000000000000e+03,2.9620000000000000e+03,-6.7521944632005406e-04
"VOLUNTOWN",152,1.4800000000000000e+02,2.6430000000000000e+03,2.6310000000000000e+03,4.5610034207525657e-03
"CHAPLIN",153,2.4000000000000000e+01,2.5580000000000000e+03,2.4720000000000000e+03,3.4789644012944987e-02
"BOZRAH",154,1.3000000000000000e+01,2.4660000000000000e+03,2.4450000000000000e+03,8.5889570552147246e-03
"MORRIS",155,8.8000000000000000e+01,2.3410000000000000e+03,2.3930000000000000e+03,-2.1730045967404930e-02
"ROXBURY",156,1.2100000000000000e+02,2.3200000000000000e+03,2.3270000000000000e+03,-3.0081650193382035e-03
"HAMPTON",157,6.4000000000000000e+01,2.1440000000000000e+03,2.0340000000000000e+03,5.4080629301868237e-02
"LYME",158,7.6000000000000000e+01,2.0980000000000000e+03,2.0990000000000000e+03,-4.7641734159123390e-04
"HARTLAND",159,6.6000000000000000e+01,2.0870000000000000e+03,2.0820000000000000e+03,2.4015369836695487e-03
"FRANKLIN",160,5.3000000000000000e+01,1.9060000000000000e+03,1.9160000000000000e+03,-5.2192066805845511e-03
"BRIDGEWATER",161,1.6000000000000000e+01,1.8890000000000000e+03,1.8980000000000000e+03,-4.7418335089567968e-03
"EASTFORD",162,4.6000000000000000e+01,1.8000000000000000e+03,1.7610000000000000e+03,2.2146507666098807e-02
"SCOTLAND",163,1.2400000000000000e+02,1.7210000000000000e+03,1.6990000000000000e+03,1.2948793407886992e-02
"NORFOLK",164,9.9000000000000000e+01,1.6580000000000000e+03,1.6760000000000000e+03,-1.0739856801909307e-02
"COLEBROOK",165,2.9000000000000000e+01,1.5320000000000000e+03,1.5400000000000000e+03,-5.1948051948051948e-03
"CORNWALL",166,3.1000000000000000e+01,1.4880000000000000e+03,1.4890000000000000e+03,-6.7159167226326397e-04
"WARREN",167,1.5000000000000000e+02,1.3890000000000000e+03,1.3610000000000000e+03,2.0573108008817047e-02
"CANAAN",168,2.1000000000000000e+01,1.0990000000000000e+03,1.1010000000000000e+03,-1.8165304268846503e-03
"UNION",169,1.4600000000000000e+02,7.6100000000000000e+02,7.4400000000000000e+02,2.2849462365591398e-02
