Municipality,Sept2008 LABOR FORCE,Sept2008 UNEMPLOYED
"HARTFORD",5.0381000000000000e+04,5.6910000000000000e+03
"HARTLAND",1.2210000000000000e+03,4.7000000000000000e+01
"HARWINTON",3.2130000000000000e+03,1.3800000000000000e+02
"HEBRON",5.5990000000000000e+03,2.5200000000000000e+02
"KENT",1.6040000000000000e+03,6.0000000000000000e+01
"KILLINGLY",9.5940000000000000e+03,7.6100000000000000e+02
"KILLINGWORTH",3.6330000000000000e+03,1.6200000000000000e+02
"LEBANON",4.3860000000000000e+03,2.2400000000000000e+02
"LEDYARD",8.7350000000000000e+03,4.3100000000000000e+02
"LISBON",2.6190000000000000e+03,1.4400000000000000e+02
"LITCHFIELD",4.4480000000000000e+03,2.0400000000000000e+02
"LYME",1.1610000000000000e+03,4.2000000000000000e+01
"MADISON",1.0151000000000000e+04,4.3100000000000000e+02
"MANCHESTER",3.2829000000000000e+04,2.0590000000000000e+03
"MANSFIELD",1.3300000000000000e+04,6.3100000000000000e+02
"MARLBOROUGH",3.6890000000000000e+03,1.6500000000000000e+02
"MERIDEN",3.1990000000000000e+04,2.2710000000000000e+03
"MIDDLEBURY",3.8930000000000000e+03,1.7900000000000000e+02
"MIDDLEFIELD",2.4200000000000000e+03,1.1400000000000000e+02
"MIDDLETOWN",2.7032000000000000e+04,1.4960000000000000e+03
"MILFORD",3.2458000000000000e+04,1.7730000000000000e+03
"MONROE",1.0838000000000000e+04,5.1800000000000000e+02
"MONTVILLE",1.1198000000000000e+04,6.4900000000000000e+02
"MORRIS",1.3160000000000000e+03,6.7000000000000000e+01
"NAUGATUCK",1.7346000000000000e+04,1.1500000000000000e+03
"NEW BRITAIN",3.5337000000000000e+04,3.0240000000000000e+03
"NEW CANAAN",9.1470000000000000e+03,4.1800000000000000e+02
"NEW FAIRFIELD",7.7320000000000000e+03,3.5900000000000000e+02
"NEW HARTFORD",3.8810000000000000e+03,1.7600000000000000e+02
"NEW HAVEN",5.6366000000000000e+04,5.0650000000000000e+03
"NEW LONDON",1.3957000000000000e+04,1.0450000000000000e+03
"NEW MILFORD",1.6659000000000000e+04,7.7900000000000000e+02
"NEWINGTON",1.6877000000000000e+04,8.4900000000000000e+02
"NEWTOWN",1.4575000000000000e+04,6.1500000000000000e+02
"NORFOLK",9.6000000000000000e+02,4.2000000000000000e+01
"NORTH BRANFORD",8.4510000000000000e+03,4.1400000000000000e+02
"NORTH CANAAN",1.7370000000000000e+03,7.4000000000000000e+01
"NORTH HAVEN",1.3355000000000000e+04,7.4500000000000000e+02
"NORTH STONINGTON",3.3480000000000000e+03,1.6500000000000000e+02
"NORWALK",4.9406000000000000e+04,2.3760000000000000e+03
"NORWICH",2.1154000000000000e+04,1.4480000000000000e+03
"OLD LYME",4.2990000000000000e+03,1.8700000000000000e+02
"OLD SAYBROOK",5.5530000000000000e+03,2.6300000000000000e+02
"ORANGE",7.3270000000000000e+03,3.2100000000000000e+02
"OXFORD",7.4060000000000000e+03,3.4900000000000000e+02
"PLAINFIELD",8.4950000000000000e+03,6.8200000000000000e+02
"PLAINVILLE",1.0239000000000000e+04,5.7200000000000000e+02
"PLYMOUTH",6.9910000000000000e+03,4.4700000000000000e+02
"POMFRET",2.2780000000000000e+03,1.1400000000000000e+02
"PORTLAND",5.4740000000000000e+03,2.7100000000000000e+02
"PRESTON",2.9480000000000000e+03,1.7200000000000000e+02
"PROSPECT",5.3250000000000000e+03,2.7400000000000000e+02
"PUTNAM",5.1980000000000000e+03,3.6300000000000000e+02
"REDDING",4.7950000000000000e+03,1.9700000000000000e+02
"RIDGEFIELD",1.1902000000000000e+04,4.7600000000000000e+02
"ROCKY HILL",1.0967000000000000e+04,5.5500000000000000e+02
"ROXBURY",1.3870000000000000e+03,4.8000000000000000e+01
"SALEM",2.6680000000000000e+03,1.2500000000000000e+02
"SALISBURY",1.9820000000000000e+03,6.7000000000000000e+01
"SCOTLAND",1.0220000000000000e+03,3.4000000000000000e+01
"SEYMOUR",9.4380000000000000e+03,5.7200000000000000e+02
"SHARON",1.5850000000000000e+03,6.1000000000000000e+01
"SHELTON",2.3497000000000000e+04,1.2630000000000000e+03
"SHERMAN",2.1820000000000000e+03,7.7000000000000000e+01
"SIMSBURY",1.2301000000000000e+04,5.1800000000000000e+02
"SOMERS",4.7080000000000000e+03,2.5400000000000000e+02
"SOUTH WINDSOR",1.5009000000000000e+04,6.2400000000000000e+02
"SOUTHBURY",9.2520000000000000e+03,4.4100000000000000e+02
"SOUTHINGTON",2.4542000000000000e+04,1.1420000000000000e+03
"SPRAGUE",1.8390000000000000e+03,1.2200000000000000e+02
"STAFFORD",7.0030000000000000e+03,4.4400000000000000e+02
"STAMFORD",6.7520000000000000e+04,3.2080000000000000e+03
"STERLING",2.0750000000000000e+03,1.4300000000000000e+02
"STONINGTON",1.0720000000000000e+04,4.8300000000000000e+02
"STRATFORD",2.6585000000000000e+04,1.7260000000000000e+03
"SUFFIELD",7.5070000000000000e+03,3.6700000000000000e+02
"THOMASTON",4.6980000000000000e+03,2.4600000000000000e+02
"THOMPSON",5.3290000000000000e+03,3.4300000000000000e+02
"TOLLAND",8.5370000000000000e+03,3.6600000000000000e+02
"TORRINGTON",1.9419000000000000e+04,1.1830000000000000e+03
"TRUMBULL",1.8183000000000000e+04,8.7800000000000000e+02
"UNION",4.7300000000000000e+02,1.1000000000000000e+01
"VERNON",1.7690000000000000e+04,9.9000000000000000e+02
"VOLUNTOWN",1.6580000000000000e+03,1.1000000000000000e+02
"WALLINGFORD",2.5485000000000000e+04,1.3100000000000000e+03
"WARREN",7.4400000000000000e+02,2.5000000000000000e+01
"WASHINGTON",1.9680000000000000e+03,8.8000000000000000e+01
"WATERBURY",5.0726000000000000e+04,4.7940000000000000e+03
"WATERFORD",1.0702000000000000e+04,6.0500000000000000e+02
"WATERTOWN",1.2525000000000000e+04,7.2000000000000000e+02
"WEST HARTFORD",2.9877000000000000e+04,1.6310000000000000e+03
"WEST HAVEN",2.9883000000000000e+04,1.9990000000000000e+03
"WESTBROOK",3.7080000000000000e+03,1.7800000000000000e+02
"WESTON",5.0200000000000000e+03,2.0100000000000000e+02
"WESTPORT",1.2973000000000000e+04,5.6900000000000000e+02
"WETHERSFIELD",1.3602000000000000e+04,7.5600000000000000e+02
"WILLINGTON",3.9650000000000000e+03,1.5800000000000000e+02
"WILTON",8.5270000000000000e+03,3.9600000000000000e+02
"WINCHESTER",6.0630000000000000e+03,3.7200000000000000e+02
"WINDHAM",1.1885000000000000e+04,9.2400000000000000e+02
"WINDSOR",1.6447000000000000e+04,9.5300000000000000e+02
"WINDSOR LOCKS",7.1270000000000000e+03,4.5400000000000000e+02
"WOLCOTT",9.0690000000000000e+03,4.8500000000000000e+02
"WOODBRIDGE",4.9840000000000000e+03,2.0800000000000000e+02
"WOODBURY",5.5850000000000000e+03,2.6800000000000000e+02
"WOODSTOCK",4.6320000000000000e+03,2.3300000000000000e+02
