Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2007 Population,Moody's_Bond_Ratings_July_2007,area lmt,EGL,TANF07 Recipients,empl,ACMR,enrollmt,RPA Identifier,ACGLFY07
"DARIEN","VR",2.0070000000000000e+03,3.5000000000000000e+01,3.5000000000000000e+01,"F",80135668.0000,36444649.0000,116580317.0000,9452204.0000,8088165.0000,85836854.0000,101017507.0000,64441577.0000,8933828.0000,93516587.0000,500032.0000,500032.0000,4818820.0000,4818820.0000,3182132.0000,2866335.0000,3182132.0000,0.0000,,84551128.0000,84551128.0000,267274.0000,1100000.0000,17046948.0000,"N",16779674.0000,"N","N",85538313.0000,85015247.0000,9.9388500916542510e-01,86507737.0000,85405786.0000,9.8726182144840990e-01,2.0246000000000000e+04,"Aaa",1.2859999999999999e+01,12464978529.4223,4.0000000000000000e+00,2.8099715722720315e-02,1.3400000000000000e+01,4.6089899999999998e+03,"South Western RPA",6405574735.0000
"DEEP RIVER","KE",2.0070000000000000e+03,3.6000000000000000e+01,3.6000000000000000e+01,"M",8816424.0000,-219104.0000,8851070.0000,-257769.0000,1995851.0000,10624636.0000,13610188.0000,9087372.0000,1526358.0000,14264379.0000,37512.0000,140512.0000,37525.0000,37525.0000,-654204.0000,39135.0000,-551204.0000,0.0000,7412239.4335,579052.0000,7991291.4335,0.0000,0.0000,593900.0000,"Y",593900.0000,"N","N",10509575.0000,10356058.0000,9.8539265384185371e-01,10774273.0000,10538582.0000,9.7812464933828946e-01,4.6730000000000000e+03,"Baa1",1.3550000000000001e+01,726064844.2857,5.0000000000000000e+00,3.5923467395548615e-02,2.0750000000000000e+01,6.9413999999999999e+02,"CT River Estuary RPA",504439671.0000
"DERBY","KE",2.0070000000000000e+03,3.7000000000000000e+01,3.7000000000000000e+01,"NH",21274701.0000,7682590.0000,28960694.0000,-333850.0000,11443333.0000,21987148.0000,34699578.0000,17635611.0000,1949594.0000,36042200.0000,144488.0000,144488.0000,0.0000,0.0000,-1198134.0000,-42100.0000,-1198134.0000,0.0000,,16514510.0000,16514510.0000,0.0000,0.0000,2183008.0000,"Y",2183008.0000,"N","N",22173702.0000,21622851.0000,9.7515746355750610e-01,22997046.0000,22032642.0000,9.5806400526398039e-01,1.2434000000000000e+04,"A2",4.9800000000000004e+00,1282926511.4286,1.6100000000000000e+02,5.1371862230005838e-02,2.4800000000000001e+01,1.5603400000000001e+03,"Valley COG",896207301.0000
"DURHAM","KE",2.0070000000000000e+03,3.8000000000000000e+01,3.8000000000000000e+01,"M",42023553.0000,4778327.0000,46851802.0000,256261.0000,3944688.0000,19642783.0000,24275692.0000,18577710.0000,375550.0000,23682700.0000,27368.0000,27368.0000,277000.0000,277000.0000,343360.0000,169299.0000,343360.0000,0.0000,12333401.8088,28095.0000,12361496.8088,0.0000,176090.0000,2809490.0000,"N",2809490.0000,"N","N",19335329.0000,19100432.0000,9.8785140920022618e-01,19741084.0000,19392455.0000,9.8233992621681765e-01,7.3970000000000000e+03,,2.3600000000000001e+01,1062829528.5714,6.0000000000000000e+00,3.3348880597014928e-02,2.6250000000000000e+01,1.4531800000000001e+03,"Midstate RPA",737610420.0000
"EAST GRANBY","VR",2.0070000000000000e+03,3.9000000000000000e+01,4.0000000000000000e+01,"H",17625713.0000,2753085.0000,21589896.0000,292948.0000,2281403.0000,12965570.0000,15844327.0000,11079224.0000,862000.0000,15409229.0000,100000.0000,100000.0000,360141.0000,360141.0000,174957.0000,-148860.0000,174957.0000,0.0000,,2640000.0000,2640000.0000,616747.0000,0.0000,2155474.0000,"N",1538727.0000,"N","N",12971408.0000,12774375.0000,9.8481020718799372e-01,13240208.0000,12868100.0000,9.7189560768229621e-01,5.1220000000000000e+03,"A1",1.7480000000000000e+01,831982585.7892,8.0000000000000000e+00,3.6005434782608696e-02,2.6899999999999999e+01,9.3825999999999999e+02,"Capital Region COG",479115795.0000
"EAST HADDAM","KE",2.0070000000000000e+03,4.0000000000000000e+01,4.1000000000000000e+01,"M",35999767.0000,16865673.0000,53306430.0000,7170829.0000,5754603.0000,18669363.0000,26087232.0000,17082092.0000,1129612.0000,24393212.0000,366231.0000,366231.0000,1121556.0000,1121556.0000,938695.0000,284523.0000,938695.0000,0.0000,,4714594.0000,4714594.0000,0.0000,1142753.0000,6222686.0000,"N",6222686.0000,"N","N",18609796.0000,18463529.0000,9.9214032222599324e-01,18742100.0000,18564772.0000,9.9053852022985689e-01,8.8520000000000000e+03,"A1",5.4329999999999998e+01,1387672463.2801,1.9000000000000000e+01,3.6770428015564204e-02,2.7230000000000000e+01,1.4392900000000000e+03,"Midstate RPA",678581570.0000
"EAST HAMPTON","VR",2.0070000000000000e+03,4.1000000000000000e+01,4.2000000000000000e+01,"M",60424658.0000,12879381.0000,73320853.0000,1597446.0000,9993098.0000,24111349.0000,35402644.0000,23441786.0000,2154642.0000,33362018.0000,5914.0000,5914.0000,1713775.0000,1713775.0000,332765.0000,290000.0000,332765.0000,0.0000,,10874235.0000,10874235.0000,1888.0000,0.0000,3944764.0000,"N",3942876.0000,"N","N",24026413.0000,23745910.0000,9.8832522357790153e-01,24285365.0000,23951338.0000,9.8624574924033470e-01,1.2548000000000000e+04,"A2",3.5590000000000003e+01,1524544698.5714,2.9000000000000000e+01,4.7768430058462853e-02,2.2230000000000000e+01,2.1125799999999999e+03,"Midstate RPA",1066156519.0000
"EAST HARTFORD","VR",2.0070000000000000e+03,4.2000000000000000e+01,4.3000000000000000e+01,"H",134170000.0000,-1254000.0000,133155000.0000,4693000.0000,48844000.0000,103853000.0000,159399000.0000,84427000.0000,9075000.0000,155519000.0000,298000.0000,298000.0000,165000.0000,165000.0000,4013000.0000,413000.0000,4013000.0000,0.0000,,47023000.0000,47023000.0000,968000.0000,0.0000,15785000.0000,"N",14817000.0000,"N","N",102173000.0000,99595000.0000,9.7476828516339931e-01,105581000.0000,101913000.0000,9.6525890074918785e-01,4.8697000000000000e+04,"A1",1.8020000000000000e+01,4786965847.3770,1.1730000000000000e+03,6.0743933588761172e-02,4.3619999999999997e+01,8.3568500000000004e+03,"Capital Region COG",2335455490.0000
"EAST HAVEN","KE",2.0070000000000000e+03,4.3000000000000000e+01,4.4000000000000000e+01,"NH",32585690.0000,26928603.0000,61807932.0000,-2050715.0000,23552235.0000,48112640.0000,74708062.0000,42210468.0000,7971683.0000,75931383.0000,0.0000,0.0000,631215.0000,631215.0000,-1854536.0000,1993061.0000,-1854536.0000,0.0000,,58453508.0000,58453508.0000,0.0000,0.0000,4091026.0000,"N",4091026.0000,"N","N",47489214.0000,46462068.0000,9.7837096229893383e-01,49549789.0000,47323992.0000,9.5507958671630266e-01,2.8632000000000000e+04,"A3",1.2260000000000000e+01,3314709992.0348,2.5700000000000000e+02,5.0804139134771227e-02,3.7750000000000000e+01,3.9326300000000001e+03,"South Central Regional COG",1249757955.0000
"EAST LYME","VR",2.0070000000000000e+03,4.4000000000000000e+01,4.5000000000000000e+01,"NL",39431305.0000,9531642.0000,59077665.0000,-696320.0000,10439767.0000,40626355.0000,56726941.0000,38111914.0000,6367772.0000,58573457.0000,2050649.0000,2081395.0000,955043.0000,955043.0000,-750910.0000,248665.0000,-720164.0000,0.0000,,46755718.0000,46755718.0000,525032.0000,700000.0000,5287343.0000,"N",4762311.0000,"N","N",40451698.0000,39985901.0000,9.8848510636067732e-01,41008797.0000,40319714.0000,9.8319670289279637e-01,1.8690000000000000e+04,"Aa3",3.4030000000000001e+01,3375105333.9786,3.5000000000000000e+01,3.4982405299109919e-02,2.8390000000000001e+01,2.9929099999999999e+03,"Southeastern CT COG",1412861058.0000
"EAST WINDSOR","KE",2.0070000000000000e+03,4.5000000000000000e+01,4.7000000000000000e+01,"H",36936953.0000,9437822.0000,46408510.0000,2395242.0000,6984588.0000,21760585.0000,30007326.0000,17052072.0000,2053176.0000,28697564.0000,440000.0000,440000.0000,394142.0000,394142.0000,1355620.0000,460485.0000,1355620.0000,0.0000,,13692899.0000,13692899.0000,0.0000,600000.0000,5198588.0000,"N",5198588.0000,"N","N",21336984.0000,20711420.0000,9.7068170459330150e-01,22547085.0000,21350190.0000,9.4691575429817199e-01,1.0617000000000000e+04,"A1",2.6280000000000001e+01,1427927546.9160,7.2000000000000000e+01,4.8454603992273020e-02,2.7812300000000000e+01,1.6133600000000001e+03,"Capital Region COG",755775435.0000
"EASTFORD","KE",2.0070000000000000e+03,4.6000000000000000e+01,3.9000000000000000e+01,"W",2072538.0000,1325187.0000,3437017.0000,408705.0000,1436166.0000,3206830.0000,4816108.0000,3445577.0000,0.0000,4528963.0000,0.0000,0.0000,105987.0000,105987.0000,181158.0000,152594.0000,181158.0000,0.0000,,0.0000,0.0000,51897.0000,0.0000,823259.0000,"N",771362.0000,"N","N",3170934.0000,3101560.0000,9.7812190351486339e-01,3278336.0000,3174037.0000,9.6818538429251910e-01,1.7890000000000000e+03,,2.8879999999999999e+01,222686635.7680,2.0000000000000000e+00,3.5035035035035036e-02,3.1199999999999999e+01,2.6987000000000000e+02,"Northeastern CT COG",101283397.0000
"EASTON","KE",2.0070000000000000e+03,4.7000000000000000e+01,4.6000000000000000e+01,"F",47642649.0000,6373867.0000,54016516.0000,2673670.0000,1807967.0000,32999225.0000,36370789.0000,21625026.0000,4390424.0000,35272280.0000,122219.0000,138468.0000,332078.0000,332078.0000,888650.0000,678779.0000,904899.0000,0.0000,11359343.1426,36800000.0000,48159343.1426,0.0000,569200.0000,5363664.0000,"N",5363664.0000,"N","Y",32748686.0000,32583227.0000,9.9494761408137111e-01,33227461.0000,32758254.0000,9.8587893911003310e-01,7.3660000000000000e+03,"Aa1",2.7420000000000002e+01,2434259851.4533,0.0000000000000000e+00,3.4002677376171353e-02,2.6570000000000000e+01,1.5678800000000001e+03,"Greater Bridgeport RPA",1237750240.0000
"ELLINGTON","VR",2.0070000000000000e+03,4.8000000000000000e+01,4.8000000000000000e+01,"T",41696390.0000,4727447.0000,47159719.0000,1126917.0000,11333020.0000,27794644.0000,41433232.0000,27133354.0000,2735485.0000,41909665.0000,316940.0000,1512998.0000,194589.0000,194589.0000,-354082.0000,790932.0000,841976.0000,0.0000,,19840164.0000,19840164.0000,122000.0000,3371129.0000,5426926.0000,"N",5304926.0000,"Y","N",27840465.0000,27537730.0000,9.8912607961109844e-01,28649955.0000,27804422.0000,9.7048745800822378e-01,1.4426000000000000e+04,"A2",3.4049999999999997e+01,1628457220.0000,3.2000000000000000e+01,3.8060300355382326e-02,2.4300000000000001e+01,2.5623899999999999e+03,"Capital Region COG",1131752994.0000
"ENFIELD","VR",2.0070000000000000e+03,4.9000000000000000e+01,4.9000000000000000e+01,"H",183330000.0000,34133000.0000,217525000.0000,7648000.0000,36650000.0000,75769000.0000,117348000.0000,72357000.0000,3974000.0000,109212000.0000,67000.0000,67000.0000,6731000.0000,6731000.0000,1472000.0000,-590000.0000,1472000.0000,0.0000,,22523000.0000,22523000.0000,2007000.0000,6943000.0000,19895000.0000,"N ",17888000.0000,"N","N",75636000.0000,73763000.0000,9.7523665979163365e-01,78320000.0000,74725000.0000,9.5409856996935649e-01,4.5011000000000000e+04,"Aa3",3.3380000000000003e+01,4832501061.4464,3.0200000000000000e+02,4.7309833024118737e-02,3.6180000000000000e+01,6.5841400000000003e+03,"Capital Region COG",2081393118.0000
"ESSEX","VR",2.0070000000000000e+03,5.0000000000000000e+01,5.0000000000000000e+01,"M",11859608.0000,2687539.0000,14547147.0000,1532899.0000,1666801.0000,16401807.0000,19112220.0000,12310835.0000,630627.0000,18288811.0000,870.0000,85568.0000,254125.0000,254125.0000,570154.0000,340589.0000,654852.0000,0.0000,8208805.1948,2783357.0000,10992162.1948,464911.0000,0.0000,2588070.0000,"N",2123159.0000,"N","N",16310574.0000,16114739.0000,9.8799337166184342e-01,16643200.0000,16240955.0000,9.7583127042876372e-01,6.7530000000000000e+03,"Aa3",1.0359999999999999e+01,1765373656.6035,1.0000000000000000e+01,3.4217506631299736e-02,1.6199999999999999e+01,9.4621000000000004e+02,"CT River Estuary RPA",1007048492.0000
"FAIRFIELD","KE",2.0070000000000000e+03,5.1000000000000000e+01,5.1000000000000000e+01,"F",191534000.0000,40939000.0000,232958000.0000,15653000.0000,13788000.0000,192784000.0000,223447000.0000,131280000.0000,20410000.0000,220202000.0000,113000.0000,113000.0000,2688000.0000,2688000.0000,670000.0000,672000.0000,670000.0000,0.0000,,213421000.0000,213421000.0000,2628000.0000,1100000.0000,12200000.0000,"N",9572000.0000,"N","Y",191857000.0000,190021000.0000,9.9043037262127520e-01,194051000.0000,191185000.0000,9.8523068677821812e-01,5.7548000000000000e+04,"Aaa",3.0030000000000001e+01,16662195442.8571,8.1000000000000000e+01,3.6407253227968672e-02,1.6670000000000002e+01,9.4959400000000005e+03,"Greater Bridgeport RPA",11650318037.0000
"FARMINGTON","VR",2.0070000000000000e+03,5.2000000000000000e+01,5.2000000000000000e+01,"H",55323795.0000,15833869.0000,71157664.0000,2772163.0000,9524768.0000,68584419.0000,83410437.0000,49756734.0000,9049542.0000,81067666.0000,0.0000,0.0000,2146750.0000,2146750.0000,196021.0000,629179.0000,196021.0000,0.0000,,72587163.0000,72587163.0000,448180.0000,350000.0000,8493906.0000,"N",8045726.0000,"N","N",68340829.0000,68168321.0000,9.9747576957253470e-01,68545039.0000,68296097.0000,9.9636819814195454e-01,2.5084000000000000e+04,"Aa1",2.8059999999999999e+01,5250021685.0145,4.5000000000000000e+01,3.5672741372625050e-02,2.5239999999999998e+01,4.2310500000000002e+03,"Capital Region COG",2691453780.0000
"FRANKLIN","KE",2.0070000000000000e+03,5.3000000000000000e+01,5.3000000000000000e+01,"NL",7115018.0000,1753797.0000,8877312.0000,380461.0000,1526527.0000,4194028.0000,5937117.0000,4000129.0000,519981.0000,5627253.0000,0.0000,0.0000,126541.0000,126541.0000,183323.0000,212047.0000,183323.0000,0.0000,,2413500.0000,2413500.0000,0.0000,330628.0000,978023.0000,"Y",978023.0000,"N","N",4170712.0000,4080718.0000,9.7842238927070491e-01,4294595.0000,4157072.0000,9.6797765563458249e-01,1.8910000000000000e+03,"A3",1.9510000000000002e+01,313943780.9250,3.0000000000000000e+00,3.5989717223650387e-02,2.3629999999999999e+01,3.1235000000000002e+02,"Southeastern CT COG",175540943.0000
"GLASTONBURY","VR",2.0070000000000000e+03,5.4000000000000000e+01,5.4000000000000000e+01,"H",148634177.0000,38415432.0000,187049609.0000,15737613.0000,7469242.0000,104127646.0000,124663619.0000,74031222.0000,10370675.0000,121404912.0000,1558223.0000,1558223.0000,3355000.0000,3355000.0000,1461930.0000,3277522.0000,1461930.0000,0.0000,,95891875.0000,95891875.0000,387873.0000,898165.0000,15664232.0000,"N",15276359.0000,"N","N",103690601.0000,103294543.0000,9.9618038668712128e-01,104123663.0000,103727605.0000,9.9619627288755674e-01,3.3169000000000000e+04,"Aa1",5.1369999999999997e+01,5856152420.1573,3.9000000000000000e+01,3.2170991020767918e-02,3.4000000000000000e+01,6.9308299999999999e+03,"Capital Region COG",3030822790.0000
"GOSHEN","VR",2.0070000000000000e+03,5.5000000000000000e+01,5.5000000000000000e+01,"L",3094760.0000,2516730.0000,5920510.0000,1233257.0000,329603.0000,8429018.0000,9139026.0000,6029668.0000,132252.0000,8393706.0000,127242.0000,127242.0000,437881.0000,437881.0000,434681.0000,504006.0000,434681.0000,0.0000,2732149.8945,48750.0000,2780899.8945,0.0000,0.0000,1921259.0000,"N",1921259.0000,"N","N",8278575.0000,8218320.0000,9.9272157345920042e-01,8437700.0000,8346106.0000,9.8914467212629031e-01,3.1680000000000000e+03,"A2",4.3659999999999997e+01,828668250.6935,0.0000000000000000e+00,3.5626535626535630e-02,2.1199999999999999e+01,4.2529000000000002e+02,"Litchfield Hills Cncl of Elected Ofcls",387757480.0000
"GRANBY","VR",2.0070000000000000e+03,5.6000000000000000e+01,5.6000000000000000e+01,"H",42948442.0000,10886189.0000,55107204.0000,2372125.0000,7976867.0000,28703794.0000,38167849.0000,25073445.0000,3044976.0000,35687937.0000,183787.0000,623362.0000,1798627.0000,1798627.0000,865072.0000,337947.0000,1304647.0000,0.0000,,36532761.0000,36532761.0000,184084.0000,1600000.0000,5409417.0000,"N",5225333.0000,"N","N",28558431.0000,28340088.0000,9.9235451695508059e-01,28842871.0000,28544285.0000,9.8964784053570809e-01,1.1215000000000000e+04,"A1",4.0689999999999998e+01,1546982021.0640,9.0000000000000000e+00,3.3349213911386372e-02,3.4670000000000002e+01,2.2550100000000002e+03,"Capital Region COG",822656220.0000
"GREENWICH","VR",2.0070000000000000e+03,5.7000000000000000e+01,5.7000000000000000e+01,"F",304124219.0000,15971811.0000,320096030.0000,31174080.0000,31223582.0000,247117504.0000,319341181.0000,123286129.0000,4718597.0000,285545060.0000,14816182.0000,14816182.0000,78117000.0000,78117000.0000,-29504697.0000,-22835793.0000,-29504697.0000,0.0000,,53292991.0000,53292991.0000,6111361.0000,0.0000,-37331772.0000,"N",-43443133.0000,"N","N",246345085.0000,245439302.0000,9.9632311316460809e-01,248188233.0000,246187743.0000,9.9193962592094365e-01,6.1871000000000000e+04,"Aaa",4.7829999999999998e+01,46909058280.0000,6.8000000000000000e+01,2.9757968522682185e-02,7.5000000000000000e+00,8.9509600000000009e+03,"South Western RPA",32824463316.0000
"GRISWOLD","VR",2.0070000000000000e+03,5.8000000000000000e+01,5.8000000000000000e+01,"NL",35770841.0000,13354293.0000,49287567.0000,3471940.0000,12973156.0000,14328590.0000,31135753.0000,22792880.0000,1999856.0000,28677666.0000,0.0000,0.0000,1588731.0000,1588731.0000,869356.0000,1395959.0000,869356.0000,0.0000,,5295000.0000,5295000.0000,1153407.0000,1600000.0000,7101819.0000,"N",5948412.0000,"N","N",14245111.0000,13820113.0000,9.7016534304295698e-01,15021579.0000,14093970.0000,9.3824823608756447e-01,1.1390000000000000e+04,"Baa1",3.4950000000000003e+01,1275432556.2499,1.0900000000000000e+02,4.7466145469775234e-02,2.8750000000000000e+01,1.9785900000000001e+03,"Southeastern CT COG",489220910.0000
"GROTON","VR",2.0070000000000000e+03,5.9000000000000000e+01,5.9000000000000000e+01,"NL",92285747.0000,52232356.0000,144847596.0000,35973594.0000,43580461.0000,66389842.0000,114233924.0000,72450322.0000,3916583.0000,110445210.0000,648008.0000,648008.0000,2635872.0000,2635872.0000,1800850.0000,-1702583.0000,1800850.0000,0.0000,,31045000.0000,31045000.0000,1846901.0000,3943110.0000,14826667.0000,"N",12979766.0000,"N","N",65828369.0000,64595190.0000,9.8126675445961609e-01,67403076.0000,65635624.0000,9.7377787328281573e-01,4.2324000000000000e+04,"Aa3",3.1300000000000001e+01,6423553860.2001,3.5400000000000000e+02,4.2737154150197632e-02,2.4050000000000001e+01,5.3915500000000002e+03,"Southeastern CT COG",2733502239.0000
"GROTON (City of)","VR",2.0070000000000000e+03,6.0000000000000000e+01,5.0100000000000000e+02,,17258682.0000,7217084.0000,25324029.0000,867128.0000,681333.0000,5253193.0000,11704415.0000,0.0000,1090406.0000,14008697.0000,2465034.0000,2465034.0000,133369.0000,133369.0000,27383.0000,471303.0000,27383.0000,0.0000,,5130000.0000,5130000.0000,33609.0000,659538.0000,3462429.0000,"N",3428820.0000,"N","N",5148126.0000,5101085.0000,9.9086250025737521e-01,5250787.0000,5190593.0000,9.8853619466948484e-01,,"Aa3",,,,,,,,
"GUILFORD","KE",2.0070000000000000e+03,6.1000000000000000e+01,6.0000000000000000e+01,"NH",18286156.0000,-1997017.0000,16289139.0000,1878049.0000,7890489.0000,58219632.0000,69181750.0000,46723393.0000,4587869.0000,69752192.0000,0.0000,0.0000,354455.0000,354455.0000,-924897.0000,542154.0000,-924897.0000,0.0000,,25600002.0000,25600002.0000,1046999.0000,1300000.0000,4997065.0000,"N",3950066.0000,"N","Y",54128603.0000,53927153.0000,9.9627830779227755e-01,54401120.0000,54077615.0000,9.9405333934301354e-01,2.2373000000000000e+04,"Aa2",4.7049999999999997e+01,4890602705.6742,3.7000000000000000e+01,3.2611209621463265e-02,2.3160000000000000e+01,3.7965000000000000e+03,"South Central Regional COG",2518220894.0000
"HADDAM","VR",2.0070000000000000e+03,6.2000000000000000e+01,6.1000000000000000e+01,"M",16107897.0000,5391095.0000,21498992.0000,-843050.0000,1492794.0000,21436229.0000,23858814.0000,17273280.0000,235957.0000,22939650.0000,0.0000,165948.0000,25900.0000,25900.0000,893264.0000,-316921.0000,1059212.0000,0.0000,13078672.6886,996330.0000,14075002.6886,1017803.0000,0.0000,3972532.0000,"N",2954729.0000,"N","N",21847411.0000,20814348.0000,9.5271462600305368e-01,22605775.0000,21165038.0000,9.3626686101228562e-01,7.8000000000000000e+03,,4.4030000000000001e+01,1203605562.8571,1.5000000000000000e+01,3.1546391752577320e-02,2.5000000000000000e+01,1.3760699999999999e+03,"Midstate RPA",842081605.0000
"HAMDEN","VR",2.0070000000000000e+03,6.3000000000000000e+01,6.2000000000000000e+01,"NH",140840449.0000,-96392752.0000,44459662.0000,7187959.0000,34857364.0000,119456053.0000,162935577.0000,75918099.0000,11773097.0000,168389550.0000,0.0000,1212514.0000,0.0000,0.0000,-5453973.0000,4557034.0000,-4241459.0000,0.0000,,105381139.0000,105381139.0000,132888.0000,0.0000,7084409.0000,"N",6951521.0000,"N","Y",118310721.0000,116491586.0000,9.8462408998420359e-01,119985479.0000,116870509.0000,9.7403877514211534e-01,5.7698000000000000e+04,"A2",3.2780000000000001e+01,6041312037.1429,4.4400000000000000e+02,4.4670282988039996e-02,2.7949999999999999e+01,7.0792700000000004e+03,"South Central Regional COG",4216334976.0000
"HAMPTON","KE",2.0070000000000000e+03,6.4000000000000000e+01,6.3000000000000000e+01,"W",3711394.0000,2095175.0000,7267786.0000,550968.0000,1815484.0000,3592230.0000,5695410.0000,3869624.0000,393651.0000,5186082.0000,0.0000,0.0000,244085.0000,244085.0000,265243.0000,-199011.0000,265243.0000,0.0000,0.0000,646145.0000,646145.0000,56569.0000,0.0000,1262422.0000,"Y",1205853.0000,"N","N",3568366.0000,3521610.0000,9.8689708398746090e-01,3665775.0000,3559124.0000,9.7090628857472161e-01,2.1180000000000000e+03,"A3",2.5000000000000000e+01,226516653.1073,4.0000000000000000e+00,4.7967479674796747e-02,3.0100000000000001e+01,2.5253999999999999e+02,"Windham Region COG",117342523.0000
"HARTFORD","VR",2.0070000000000000e+03,6.5000000000000000e+01,6.4000000000000000e+01,"H",815601000.0000,43920000.0000,924841000.0000,78127000.0000,250108000.0000,231638000.0000,504928000.0000,279086000.0000,26775000.0000,475892000.0000,9952000.0000,9952000.0000,37736000.0000,37736000.0000,1252000.0000,296000.0000,1252000.0000,0.0000,,301103000.0000,301103000.0000,0.0000,0.0000,34467000.0000,"N",34467000.0000,"N","Y",229569000.0000,219241000.0000,9.5501134735090543e-01,248975000.0000,227352000.0000,9.1315192288382363e-01,1.2456300000000000e+05,"A2",1.7309999999999999e+01,9210207486.2826,6.9970000000000000e+03,9.0138229832886316e-02,6.4819999999999993e+01,2.2408119999999999e+04,"Capital Region COG",3543536778.0000
"HARTLAND","KE",2.0070000000000000e+03,6.6000000000000000e+01,6.5000000000000000e+01,"H",5763497.0000,1225457.0000,6999024.0000,316284.0000,1888407.0000,4101917.0000,6139809.0000,4426362.0000,397305.0000,6309864.0000,1389.0000,408632.0000,149242.0000,149242.0000,-317908.0000,-400189.0000,89335.0000,0.0000,,2491914.0000,2491914.0000,0.0000,142121.0000,615312.0000,"N",615312.0000,"N","N",4065260.0000,4028827.0000,9.9103796559137669e-01,4112185.0000,4057669.0000,9.8674281434322630e-01,2.0770000000000000e+03,"A3",3.3020000000000003e+01,272189257.1429,3.0000000000000000e+00,3.2718120805369129e-02,2.1250000000000000e+01,3.5279000000000002e+02,"Litchfield Hills Cncl of Elected Ofcls",190234450.0000
"HARWINTON","KE",2.0070000000000000e+03,6.7000000000000000e+01,6.6000000000000000e+01,"L",10587223.0000,4503078.0000,15090301.0000,1127345.0000,2632327.0000,11674866.0000,14846031.0000,9731613.0000,138750.0000,13992422.0000,5231.0000,5231.0000,221000.0000,221000.0000,637840.0000,566657.0000,637840.0000,0.0000,8012451.9811,125000.0000,8137451.9811,0.0000,0.0000,2597787.0000,"N",2597787.0000,"N","N",11643562.0000,11485049.0000,9.8638621068020249e-01,12087497.0000,11587943.0000,9.5867184082858514e-01,5.5640000000000000e+03,,3.0739999999999998e+01,862482397.1219,6.0000000000000000e+00,3.9490445859872610e-02,2.4899999999999999e+01,9.5075000000000000e+02,"Litchfield Hills Cncl of Elected Ofcls",466059275.0000
"HEBRON","KE",2.0070000000000000e+03,6.8000000000000000e+01,6.7000000000000000e+01,"T",44037991.0000,7963702.0000,52012125.0000,700986.0000,6776104.0000,21310125.0000,29229163.0000,21795507.0000,1650602.0000,28441273.0000,530000.0000,530000.0000,2335281.0000,2335281.0000,-1017391.0000,474407.0000,-1017391.0000,0.0000,15668695.7551,9900320.0000,25569015.7551,158472.0000,0.0000,2756016.0000,"N",2597544.0000,"N","N",21278613.0000,21079040.0000,9.9062095823632867e-01,21583366.0000,21177665.0000,9.8120307092044867e-01,9.2320000000000000e+03,"A1",3.6890000000000001e+01,1210208622.7580,1.0000000000000000e+01,3.5440263061746441e-02,3.4890000000000001e+01,2.0721199999999999e+03,"Capital Region COG",602335588.0000
"KENT","VR",2.0070000000000000e+03,6.9000000000000000e+01,6.8000000000000000e+01,"L",8190547.0000,4350987.0000,12619729.0000,640829.0000,701778.0000,8184923.0000,9511272.0000,5915841.0000,729628.0000,9186509.0000,456000.0000,456000.0000,1038955.0000,1038955.0000,-258192.0000,117758.0000,-258192.0000,0.0000,990138.3893,6039716.0000,7029854.3893,1081908.0000,458069.0000,2944724.0000,"N",1862816.0000,"N","N",8136283.0000,8038157.0000,9.8793970170408285e-01,8355773.0000,8128955.0000,9.7285493514483934e-01,2.9520000000000000e+03,"A1",4.8469999999999999e+01,965153780.0822,4.0000000000000000e+00,3.1426775612822123e-02,1.7579999999999998e+01,3.7030000000000001e+02,"Northwestern CT COG",467432051.0000
